player_name,draft_year,college,breakout_age,peak_dominator,source
David Moore,2017,East Central (OK),18.0,257.07,calculated
Isaiah Ford,2017,Virginia Tech,18.0,237.82,calculated
Noah Brown,2017,Ohio St.,18.0,314.12,calculated
Malachi Dupre,2017,LSU,21.0,216.55,calculated
D.J. Moore,2018,Maryland,18.0,150.46,calculated
Calvin Ridley,2018,Alabama,18.0,200.22,calculated
Courtland Sutton,2018,SMU,20.0,235.52,calculated
Dante Pettis,2018,Washington,18.0,118.36,calculated
Christian Kirk,2018,Texas A&M,18.0,191.91,calculated
Anthony Miller,2018,Memphis,18.0,200.43,calculated
James Washington,2018,Oklahoma St.,18.0,208.32,calculated
DJ Chark,2018,LSU,22.0,,calculated
Michael Gallup,2018,Colorado St.,22.0,,calculated
Tre'Quan Smith,2018,Central Florida,18.0,300.0,calculated
Keke Coutee,2018,Texas Tech,22.0,16.94,calculated
Antonio Callaway,2018,Florida,20.0,148.89,calculated
DaeSean Hamilton,2018,Penn St.,18.0,125.99,calculated
Jaleel Scott,2018,New Mexico St.,18.0,152.46,calculated
J'Mon Moore,2018,Missouri,18.0,150.46,calculated
Justin Watson,2018,Pennsylvania,18.0,116.74,calculated
Daurice Fountain,2018,Northern Iowa,,,calculated
Jordan Lasley,2018,UCLA,22.0,3.33,calculated
Marquez Valdes-Scantling,2018,South Florida,18.0,65.96,calculated
Damion Ratley,2018,Texas A&M,20.0,41.49,calculated
Deon Cain,2018,Clemson,20.0,110.23,calculated
Ray-Ray McCloud,2018,Clemson,20.0,45.08,calculated
Dylan Cantrell,2018,Texas Tech,22.0,9.8,calculated
Russell Gage,2018,LSU,,2.55,calculated
Tremon Smith,2018,Central Arkansas,18.0,300.0,calculated
Equanimeous St. Brown,2018,Notre Dame,18.0,314.12,calculated
Cedrick Wilson Jr.,2018,Boise St.,18.0,342.64,calculated
Braxton Berrios,2018,Miami (FL),,17.59,calculated
Javon Wims,2018,Georgia,,12.26,calculated
Marcell Ateman,2018,Oklahoma St.,18.0,134.62,calculated
Richie James,2018,Middle Tenn. St.,18.0,243.51,calculated
Auden Tate,2018,Florida St.,18.0,44.52,calculated
Austin Proehl,2018,North Carolina,20.0,55.01,calculated
Trey Quinn,2018,SMU,22.0,13.31,calculated
Marquise Brown,2019,Oklahoma,19.0,329.5,calculated
N'Keal Harry,2019,Arizona St.,21.0,275.44,calculated
Deebo Samuel,2019,South Carolina,19.0,199.1,calculated
A.J. Brown,2019,Mississippi,19.0,329.5,calculated
Mecole Hardman,2019,Georgia,22.0,148.6,calculated
JJ Arcega-Whiteside,2019,Stanford,21.0,224.59,calculated
Parris Campbell,2019,Ohio St.,19.0,163.15,calculated
Andy Isabella,2019,Massachusetts,21.0,412.9,calculated
D.K. Metcalf,2019,Mississippi,22.0,129.32,calculated
Diontae Johnson,2019,Toledo,19.0,321.39,calculated
Jalen Hurd,2019,Baylor,19.0,194.65,calculated
Terry McLaurin,2019,Ohio St.,22.0,119.68,calculated
Miles Boykin,2019,Notre Dame,22.0,192.11,calculated
Hakeem Butler,2019,Iowa St.,22.0,310.19,calculated
Gary Jennings Jr,2019,West Virginia,19.0,248.51,calculated
Riley Ridley,2019,Georgia,19.0,200.22,calculated
Hunter Renfrow,2019,Clemson,19.0,92.91,calculated
Darius Slayton,2019,Auburn,22.0,133.51,calculated
KeeSean Johnson,2019,Fresno St.,19.0,321.39,calculated
Travis Fulgham,2019,Old Dominion,19.0,226.1,calculated
Juwann Winfree,2019,Colorado,22.0,77.33,calculated
Marcus Green,2019,La-Monroe,19.0,220.93,calculated
Kelvin Harmon,2019,North Carolina St.,21.0,239.74,calculated
Scott Miller,2019,Bowling Green,19.0,273.09,calculated
John Ursua,2019,Hawaii,22.0,246.42,calculated
Terry Godwin,2019,Georgia,19.0,239.6,calculated
Dillon Mitchell,2019,Oregon,19.0,266.51,calculated
Olabisi Johnson,2019,Colorado St.,19.0,321.39,calculated
Henry Ruggs III,2020,Alabama,20.0,16.8,existing
Jerry Jeudy,2020,Alabama,20.0,27.1,existing
CeeDee Lamb,2020,Oklahoma,19.0,31.9,existing
Jalen Reagor,2020,TCU,20.0,38.4,existing
Justin Jefferson,2020,LSU,20.0,29.4,existing
Brandon Aiyuk,2020,Arizona St.,21.0,36.8,existing
Tee Higgins,2020,Clemson,20.0,27.0,existing
Michael Pittman Jr.,2020,USC,20.0,29.2,existing
Laviska Shenault Jr.,2020,Colorado,20.0,33.8,existing
KJ Hamler,2020,Penn St.,20.0,31.4,existing
Chase Claypool,2020,Notre Dame,21.0,31.6,existing
Van Jefferson,2020,Florida,,18.1,existing
Denzel Mims,2020,Baylor,19.0,31.5,existing
Lynn Bowden Jr.,2020,Kentucky,20.0,35.5,existing
Bryan Edwards,2020,South Carolina,19.0,30.6,existing
Devin Duvernay,2020,Texas,21.0,36.9,existing
Gabriel Davis,2020,Central Florida,20.0,30.1,existing
Antonio Gandy-Golden,2020,Liberty,20.0,37.2,existing
Joe Reed,2020,Virginia,,18.1,existing
Tyler Johnson,2020,Minnesota,19.0,44.7,existing
Collin Johnson,2020,Texas,19.0,27.3,existing
Quintez Cephus,2020,Wisconsin,21.0,32.2,existing
John Hightower,2020,Boise St.,21.0,25.7,existing
Isaiah Coulter,2020,Rhode Island,,,calculated
Darnell Mooney,2020,Tulane,19.0,41.7,existing
K.J. Osborn,2020,Miami (FL),,16.9,existing
Donovan Peoples-Jones,2020,Michigan,20.0,21.0,existing
Quez Watkins,2020,Southern Miss,20.0,31.9,existing
James Proche,2020,SMU,19.0,36.9,existing
Isaiah Hodgins,2020,Oregon St.,20.0,38.3,existing
Dezmon Patmon,2020,Washington St.,20.0,16.8,existing
Freddie Swain,2020,Florida,,13.2,existing
Jauan Jennings,2020,Tennessee,21.0,33.7,existing
K.J. Hill,2020,Ohio St.,20.0,17.6,existing
Tyrie Cleveland,2020,Florida,19.0,20.8,existing
Ja'Marr Chase,2021,LSU,20.0,29.5,existing
Jaylen Waddle,2021,Alabama,19.0,17.5,existing
DeVonta Smith,2021,Alabama,20.0,39.9,existing
Kadarius Toney,2021,Florida,21.0,21.7,existing
Rashod Bateman,2021,Minnesota,19.0,37.0,existing
Elijah Moore,2021,Mississippi,20.0,36.5,existing
Rondale Moore,2021,Purdue,19.0,31.5,existing
D'Wayne Eskridge,2021,Western Michigan,18.0,45.1,existing
Tutu Atwell,2021,Louisville,20.0,41.9,existing
Terrace Marshall Jr.,2021,LSU,21.0,23.4,existing
Josh Palmer,2021,Tennessee,19.0,23.2,existing
Dyami Brown,2021,North Carolina,20.0,30.0,existing
Amari Rodgers,2021,Clemson,21.0,24.4,existing
Nico Collins,2021,Michigan,19.0,22.9,existing
Anthony Schwartz,2021,Auburn,21.0,26.9,existing
Dez Fitzpatrick,2021,Louisville,20.0,31.0,existing
Amon-Ra St. Brown,2021,USC,19.0,25.2,existing
Jaelon Darden,2021,North Texas,20.0,42.0,existing
Tylan Wallace,2021,Oklahoma St.,20.0,34.9,existing
Jacob Harris,2021,Central Florida,,15.3,existing
Ihmir Smith-Marsette,2021,Iowa,20.0,24.3,existing
Simi Fehoko,2021,Stanford,21.0,33.8,existing
Cornell Powell,2021,Clemson,21.0,21.1,existing
Frank Darby,2021,Arizona St.,,19.0,existing
Marquez Stevenson,2021,Houston,19.0,37.2,existing
Shi Smith,2021,South Carolina,21.0,33.2,existing
Racey McMath,2021,LSU,,6.2,existing
Jalen Camp,2021,Georgia Tech,,19.7,existing
Seth Williams,2021,Auburn,20.0,30.9,existing
Dazz Newsome,2021,North Carolina,20.0,27.4,existing
Mike Strachan,2021,Charleston (WV),,,calculated
Tre Nixon,2021,Central Florida,20.0,20.2,existing
Ben Skowronek,2021,Notre Dame,,15.4,existing
Kawaan Baker,2021,South Alabama,19.0,30.1,existing
Dax Milne,2021,BYU,21.0,29.8,existing
Drake London,2022,USC,20.0,30.3,existing
Garrett Wilson,2022,Ohio St.,20.0,34.4,existing
Chris Olave,2022,Ohio St.,19.0,34.7,existing
Jameson Williams,2022,Alabama,21.0,31.0,existing
Jahan Dotson,2022,Penn St.,20.0,38.5,existing
Treylon Burks,2022,Arkansas,19.0,39.7,existing
Christian Watson,2022,North Dakota St.,19.0,80.0,calculated
Wan'Dale Robinson,2022,Kentucky,21.0,45.5,existing
John Metchie,2022,Alabama,20.0,22.5,existing
Tyquan Thornton,2022,Baylor,19.0,33.3,existing
George Pickens,2022,Georgia,19.0,23.3,existing
Alec Pierce,2022,Cincinnati,19.0,26.2,existing
Skyy Moore,2022,Western Michigan,19.0,39.2,existing
Velus Jones Jr.,2022,Tennessee,21.0,24.1,existing
Jalen Tolbert,2022,South Alabama,19.0,48.0,existing
David Bell,2022,Purdue,19.0,33.7,existing
Danny Gray,2022,SMU,21.0,22.0,existing
Erik Ezukanma,2022,Texas Tech,20.0,27.9,existing
Romeo Doubs,2022,Nevada,19.0,34.5,existing
Calvin Austin III,2022,Memphis,20.0,32.1,existing
Khalil Shakir,2022,Boise St.,19.0,42.5,existing
Montrell Washington,2022,Samford,18.0,159.8,calculated
Kyle Philips,2022,UCLA,19.0,27.2,existing
Jalen Nailor,2022,Michigan St.,20.0,30.8,existing
Michael Woods II,2022,Oklahoma,,11.7,existing
Bo Melton,2022,Rutgers,19.0,35.8,existing
Dareke Young,2022,Lenoir-Rhyne,19.0,102.13,calculated
Samori Toure,2022,Nebraska,21.0,28.1,existing
Jaxon Smith-Njigba,2023,Ohio St.,20.0,32.4,existing
Quentin Johnston,2023,TCU,19.0,27.2,existing
Zay Flowers,2023,Boston Col.,19.0,36.3,existing
Jordan Addison,2023,USC,21.0,18.6,existing
Jonathan Mingo,2023,Mississippi,21.0,27.6,existing
Jayden Reed,2023,Michigan St.,19.0,31.1,existing
Rashee Rice,2023,SMU,19.0,32.9,existing
Marvin Mims,2023,Oklahoma,20.0,32.7,existing
Tank Dell,2023,Houston,19.0,35.0,existing
Jalin Hyatt,2023,Tennessee,21.0,29.9,existing
Cedric Tillman,2023,Tennessee,20.0,32.3,existing
Josh Downs,2023,North Carolina,20.0,40.2,existing
Michael Wilson,2023,Stanford,18.0,21.5,existing
Tre Tucker,2023,Cincinnati,21.0,21.3,existing
Derius Davis,2023,TCU,,18.3,existing
Charlie Jones,2023,Purdue,21.0,34.9,existing
Tyler Scott,2023,Cincinnati,21.0,28.5,existing
Justin Shorter,2023,Florida,,19.8,existing
Dontayvion Wicks,2023,Virginia,20.0,25.6,existing
Puka Nacua,2023,BYU,20.0,23.4,existing
Parker Washington,2023,Penn St.,19.0,23.5,existing
Kayshon Boutte,2023,LSU,19.0,22.0,existing
Trey Palmer,2023,Nebraska,21.0,39.4,existing
A.T. Perry,2023,Wake Forest,20.0,30.0,existing
Elijah Higgins,2023,Stanford,21.0,23.1,existing
Xavier Hutchinson,2023,Iowa St.,19.0,37.3,existing
Andrei Iosivas,2023,Princeton,22.0,,calculated
DeMario Douglas,2023,Liberty,20.0,35.3,existing
Antoine Green,2023,North Carolina,21.0,18.4,existing
Colton Dowell,2023,UT Martin,22.0,39.62,calculated
Jalen Brooks,2023,South Carolina,,14.9,existing
Ronnie Bell,2023,Michigan,18.0,28.9,existing
Grant Dubose,2023,Charlotte,20.0,29.3,existing
Marvin Harrison Jr.,2024,Ohio St.,20.0,34.6,existing
Malik Nabers,2024,LSU,20.0,35.6,existing
Rome Odunze,2024,Washington,20.0,31.8,existing
Brian Thomas,2024,LSU,21.0,26.7,existing
Xavier Worthy,2024,Texas,19.0,36.3,existing
Ricky Pearsall,2024,Florida,20.0,31.4,existing
Xavier Legette,2024,South Carolina,21.0,37.6,existing
Keon Coleman,2024,Florida St.,,18.8,existing
Ladd McConkey,2024,Georgia,20.0,17.2,existing
Ja'Lynn Polk,2024,Washington,21.0,22.5,existing
Adonai Mitchell,2024,Texas,21.0,20.9,existing
Malachi Corley,2024,Western Kentucky,20.0,26.2,existing
Jermaine Burton,2024,Alabama,21.0,25.9,existing
Roman Wilson,2024,Michigan,21.0,24.6,existing
Jalen McMillan,2024,Washington,20.0,22.8,existing
Luke McCaffrey,2024,Rice,20.0,30.2,existing
Troy Franklin,2024,Oregon,20.0,28.5,existing
Javon Baker,2024,Central Florida,18.0,263.93,calculated
Devontez Walker,2024,North Carolina,,18.0,existing
Jacob Cowing,2024,Arizona,20.0,26.9,existing
Anthony Gould,2024,Oregon St.,21.0,22.8,existing
Ainias Smith,2024,Texas A&M,18.0,22.6,existing
Jamari Thrash,2024,Louisville,21.0,25.9,existing
Bub Means,2024,Pittsburgh,21.0,27.8,existing
Jha'Quan Jackson,2024,Tulane,18.0,20.1,existing
Malik Washington,2024,Virginia,21.0,47.4,existing
Johnny Wilson,2024,Florida St.,20.0,25.5,existing
Casey Washington,2024,Illinois,21.0,21.0,existing
Tejhaun Palmer,2024,Ala-Birmingham,21.0,24.7,existing
Jordan Whittington,2024,Texas,20.0,20.8,existing
Ryan Flournoy,2024,SE Missouri St.,20.0,,existing
Brenden Rice,2024,USC,21.0,18.3,existing
Devaughn Vele,2024,Utah,21.0,27.5,existing
Tahj Washington,2024,USC,20.0,24.5,existing
Cornelius Johnson,2024,Michigan,,19.6,existing
