player_name,position,draft_year,pick,seasons_played,best_rank,best_ppr,hit24,hit12
Jacob Harris,WR,2021,141,1,212.0,1.6,0,0
Kenneth Gainwell,RB,2021,150,3,36.0,139.9000019133091,0,0
Ihmir Smith-Marsette,WR,2021,157,3,141.0,32.5,0,0
Simi Fehoko,WR,2021,179,2,180.0,7.9,0,0
Cornell Powell,WR,2021,181,0,,0.0,0,0
Frank Darby,WR,2021,187,2,206.0,2.5,0,0
Elijah Mitchell,RB,2021,194,3,22.0,200.60000038146973,1,0
Gary Brightwell,RB,2021,196,3,88.0,30.0,0,0
Larry Rountree,RB,2021,198,2,107.0,15.600000001490116,0,0
Chris Evans,RB,2021,202,3,73.0,52.399999268352985,0,0
Marquez Stevenson,WR,2021,203,0,,0.0,0,0
Shi Smith,WR,2021,204,2,106.0,61.6,0,0
Racey McMath,WR,2021,205,2,182.0,6.4,0,0
Jalen Camp,WR,2021,209,1,209.0,1.7000000000000002,0,0
Demetric Felton,RB,2021,211,2,77.0,50.500000193715096,0,0
Khalil Herbert,RB,2021,217,3,42.0,117.80000000000001,0,0
Seth Williams,WR,2021,219,1,202.0,4.400000095367432,0,0
Dazz Newsome,WR,2021,221,1,204.0,4.299999952316284,0,0
Mike Strachan,WR,2021,229,3,175.0,8.9,0,0
Jake Funk,RB,2021,233,2,118.0,3.2,0,0
Tre Nixon,WR,2021,242,0,,0.0,0,0
Gerrid Doaks,RB,2021,244,0,,0.0,0,0
Ben Skowronek,WR,2021,249,3,88.0,84.30000000000001,0,0
Kawaan Baker,WR,2021,255,0,,0.0,0,0
Kylin Hill,RB,2021,256,3,125.0,6.0,0,0
Jermar Jefferson,RB,2021,257,4,1.0,380.28000000000003,1,1
Dax Milne,WR,2021,258,2,157.0,15.7,0,0
Drake London,WR,2022,8,3,7.0,280.8,1,1
Garrett Wilson,WR,2022,10,3,16.0,251.9,1,0
Chris Olave,WR,2022,11,3,21.0,231.3,1,0
Jameson Williams,WR,2022,12,6,6.0,294.1,1,1
Jahan Dotson,WR,2022,16,3,54.0,130.6,0,0
Treylon Burks,WR,2022,18,3,83.0,88.1,0,0
Christian Watson,WR,2022,34,3,43.0,164.10000000000002,0,0
Breece Hall,RB,2022,36,3,5.0,290.5,1,1
Kenneth Walker III,RB,2022,41,3,17.0,216.1,1,0
Wan'Dale Robinson,WR,2022,43,3,39.0,182.70000000000002,0,0
John Metchie,WR,2022,44,2,101.0,65.7,0,0
Tyquan Thornton,WR,2022,50,3,100.0,66.3,0,0
George Pickens,WR,2022,52,3,29.0,218.3,0,0
Alec Pierce,WR,2022,53,3,43.0,161.4,0,0
Skyy Moore,WR,2022,54,3,104.0,62.8,0,0
James Cook,RB,2022,63,3,5.0,324.3,1,1
Velus Jones Jr.,WR,2022,71,3,105.0,38.0,0,0
Jalen Tolbert,WR,2022,88,3,46.0,152.0,0,0
Rachaad White,RB,2022,91,3,3.0,295.5,1,1
Tyrion Davis-Price,RB,2022,93,3,115.0,9.9,0,0
Brian Robinson Jr.,RB,2022,98,3,1.0,532.6,1,1
David Bell,WR,2022,99,3,99.0,62.1,0,0
Danny Gray,WR,2022,105,1,203.0,2.9,0,0
Dameon Pierce,RB,2022,107,3,29.0,166.4,0,0
Zamir White,RB,2022,122,3,56.0,73.9,0,0
Isaiah Spiller,RB,2022,123,2,90.0,19.0,0,0
Erik Ezukanma,WR,2022,125,3,195.0,2.2,0,0
Pierre Strong,RB,2022,127,3,72.0,42.800000000000004,0,0
Hassan Haskins,RB,2022,131,2,78.0,33.3,0,0
Romeo Doubs,WR,2022,132,3,30.0,213.8,0,0
Calvin Austin III,WR,2022,138,2,65.0,124.3,0,0
Khalil Shakir,WR,2022,148,3,27.0,217.9,0,0
Tyler Allgeier,RB,2022,151,3,32.0,159.4,0,0
Snoop Conner,RB,2022,154,1,112.0,10.2,0,0
Jerome Ford,RB,2022,156,3,18.0,220.4,1,0
Montrell Washington,WR,2022,162,2,110.0,56.8,0,0
Kyle Philips,WR,2022,163,2,138.0,33.1,0,0
Kyren Williams,RB,2022,164,3,8.0,299.8,1,1
Ty Chandler,RB,2022,169,3,47.0,101.0,0,0
Kevin Harris,RB,2022,183,2,86.0,21.3,0,0
Jalen Nailor,WR,2022,191,3,74.0,111.30000000000001,0,0
Tyler Badie,RB,2022,196,2,102.0,10.2,0,0
Keaontay Ingram,RB,2022,201,2,98.0,18.099999999999998,0,0
Michael Woods II,WR,2022,202,2,164.0,13.5,0,0
Trestan Ebner,RB,2022,203,1,121.0,8.200000000000001,0,0
Bo Melton,WR,2022,229,2,110.0,56.5,0,0
Dareke Young,WR,2022,233,2,181.0,6.5,0,0
Brittain Brown,RB,2022,250,0,,0.0,0,0
Isiah Pacheco,RB,2022,251,3,7.0,279.2,1,1
Samori Toure,WR,2022,258,2,151.0,19.2,0,0
Zander Horvath,RB,2022,260,1,101.0,18.6,0,0
Bijan Robinson,RB,2023,8,2,1.0,532.6,1,1
Jahmyr Gibbs,RB,2023,12,2,3.0,390.4,1,1
Jaxon Smith-Njigba,WR,2023,20,2,14.0,253.0,1,0
Quentin Johnston,WR,2023,21,2,41.0,174.70000000000002,0,0
Zay Flowers,WR,2023,22,2,19.0,235.4,1,0
Jordan Addison,WR,2023,23,2,24.0,221.3,1,0
Jonathan Mingo,WR,2023,39,2,82.0,84.8,0,0
Jayden Reed,WR,2023,50,2,24.0,225.6,1,0
Zach Charbonnet,RB,2023,52,2,26.0,183.70000000000002,0,0
Rashee Rice,WR,2023,55,2,13.0,271.2,1,0
Marvin Mims,WR,2023,63,2,58.0,132.8,0,0
Tank Dell,WR,2023,69,2,41.0,165.0,0,0
Kendre Miller,RB,2023,71,2,69.0,43.3,0,0
Jalin Hyatt,WR,2023,73,2,104.0,60.3,0,0
Cedric Tillman,WR,2023,74,2,93.0,80.4,0,0
Josh Downs,WR,2023,79,2,40.0,182.2,0,0
Tyjae Spears,RB,2023,81,2,34.0,153.8,0,0
De'Von Achane,RB,2023,84,2,7.0,299.9,1,1
Tank Bigsby,RB,2023,88,2,37.0,129.0,0,0
Michael Wilson,WR,2023,94,2,63.0,124.5,0,0
Tre Tucker,WR,2023,100,2,60.0,129.3,0,0
Roschon Johnson,RB,2023,115,2,46.0,102.1,0,0
Derius Davis,WR,2023,125,2,120.0,41.2,0,0
Charlie Jones,WR,2023,131,2,159.0,20.7,0,0
Tyler Scott,WR,2023,133,2,135.0,35.900000000000006,0,0
Israel Abanikanda,RB,2023,143,1,92.0,18.3,0,0
Justin Shorter,WR,2023,150,0,,0.0,0,0
Dontayvion Wicks,WR,2023,159,2,57.0,130.26,0,0
Chase Brown,RB,2023,163,2,12.0,255.0,1,1
Eric Gray,RB,2023,172,2,96.0,19.3,0,0
Evan Hull,RB,2023,176,1,127.0,1.7000000000000002,0,0
Puka Nacua,WR,2023,177,2,4.0,331.40000000000003,1,1
Parker Washington,WR,2023,185,2,82.0,97.0,0,0
Kayshon Boutte,WR,2023,187,2,67.0,121.9,0,0
Trey Palmer,WR,2023,191,2,64.0,114.4,0,0
Chris Rodriguez,RB,2023,193,2,76.0,37.900000000000006,0,0
A.T. Perry,WR,2023,195,1,102.0,60.6,0,0
Elijah Higgins,WR,2023,197,0,,0.0,0,0
Xavier Hutchinson,WR,2023,205,2,122.0,37.3,0,0
Andrei Iosivas,WR,2023,206,2,71.0,119.9,0,0
DeMario Douglas,WR,2023,210,2,48.0,147.70000000000002,0,0
Deuce Vaughn,RB,2023,212,2,96.0,15.0,0,0
Zach Evans,RB,2023,215,1,126.0,1.9000000000000001,0,0
Antoine Green,WR,2023,219,1,200.0,1.2,0,0
DeWayne McBride,RB,2023,222,0,,0.0,0,0
Colton Dowell,WR,2023,228,1,199.0,1.3,0,0
Lew Nichols,RB,2023,235,0,,0.0,0,0
Kenny McIntosh,RB,2023,237,1,93.0,22.4,0,0
Jalen Brooks,WR,2023,244,3,106.0,35.7,0,0
Ronnie Bell,WR,2023,253,2,143.0,30.8,0,0
Grant Dubose,WR,2023,256,1,199.0,3.0999999999999996,0,0
