,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,BOA,YPR DOM,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
Drake London,1.08,N/A,N/A,23,2.68,19.1,19.4,2,Y,6037,9016,26.0,9.375,33.875,N/A,13.5,,,,Breece Hall,2.04,116.9,4.39,1.52,217,30.3,131.0,83.5,"1,774",36,9.96,3.8,5.5,,
Garrett Wilson,1.10,4.38,1.53,22,3.21,20.1,12.9,2,Y,5116,8076,25.1,9.875,32.000,7.80,15.5,,,,Kenneth Walker,2.09,114.7,4.38,1.50,211,31.2,118.8,53.8,"1,735",13,9.26,20.8,5.8,,
Chris Olave,1.11,4.39,1.45,21,3.24,19.2,12.1,2,N,6006,8077,25.2,9.500,31.125,8.69,15.4,,,,James Cook,2.31,104.3,4.42,1.54,199,27.8,118.1,48.2,"1,012",27,8.78,14.0,6.5,,
Jameson Williams,1.12,N/A,N/A,14,2.75,20.4,49.5,3,Y,6014,8095,23.5,9.250,32.125,N/A,19.9,,,,Rachaad White,3.27,106.3,4.48,1.52,214,29.0,127.1,76.9,"1,456",43,9.88,-0.8,6.3,,
Jahan Dotson,1.16,4.43,1.56,25,2.88,20.5,20.9,3,N,5105,8053,25.3,9.500,30.750,6.34,15.1,0,0,,Tyrion Davis-Price,3.29,104.8,4.48,1.53,211,28.6,109.5,70.7,"1,067",10,6.70,-1.3,4.6,0,0
Treylon Burks,1.18,4.55,1.57,31,3.52,20.5,29.0,2,Y,6020,8114,28.9,9.875,33.500,5.83,16.4,0,0,,Brian Robinson Jr,3.34,107.3,4.53,1.53,226,29.6,110.5,48.9,"1,536",35,6.61,-10.1,5.0,,
Christian Watson,2.02,4.36,1.45,24,3.12,20.3,42.8,2,N,6041,9005,25.7,10.125,32.500,9.96,20.6,,,,Dameon Pierce,4.02,98.2,4.59,1.58,218,31.3,118.2,58.7,790,19,7.14,2.3,5.5,1,27
Wan'Dale Robinson,2.11,4.44,1.49,29,3.64,18.7,3.6,2,Y,5080,7115,27.1,9.000,27.625,7.36,11.5,,,,Zamir White,4.17,114.2,4.40,1.51,214,29.0,121.0,30.7,931,9,9.82,-3.6,5.3,0,0
John Metchie,2.12,N/A,N/A,13,2.16,21.1,-3.2,3,Y,5112,8057,26.1,9.250,30.625,N/A,13.4,0,0,,Isaiah Spiller,4.18,93.6,4.64,1.59,217,29.3,108.0,52.0,"1,229",29,5.73,-4.5,5.5,0,0
Tyquan Thornton,2.18,4.28,1.41,19,2.60,20.1,33.5,2,N,6023,8114,23.2,8.250,33.125,8.56,15.7,0,0,,Pierre Strong,4.22,113.5,4.37,1.51,207,28.9,123.2,N/A,"1,836",22,9.34,2.3,6.6,0,0
George Pickens,2.20,4.47,1.50,17,1.75,18.5,14.2,1,Y,6032,8115,24.4,8.750,32.375,9.37,15.0,,,,Hassan Haskins,4.26,N/A,N/A,N/A,228,29.4,N/A,39.3,"1,458",18,N/A,0.0,5.1,0,0
Alec Pierce,2.21,4.41,1.46,15,2.21,19.3,40.0,2,N,6031,9001,26.3,9.000,33.000,9.82,17.5,0,0,,Tyler Allgeier,5.08,100.1,4.60,1.56,224,31.2,116.1,64.9,"1,805",28,7.40,18.5,6.4,,
Skyy Moore,2.22,4.41,1.46,28,3.48,19.0,-0.7,1,Y,5095,8045,28.0,10.250,31.000,7.59,14.5,0,0,,Snoop Conner,5.11,100.0,4.59,1.56,222,31.9,109.2,27.7,729,14,7.07,-9.1,5.0,0,0
Velus Jones,3.07,4.31,1.46,10,0.98,24.3,-5.5,6,N,5116,8065,27.8,9.75,30.875,7.16,12.0,0,0,,Jerome Ford,5.13,106.1,4.46,1.56,210,29.8,111.7,65.2,"1,535",21,6.95,5.2,6.1,,
Jalen Tolbert,3.24,4.49,1.49,30,3.63,20.5,46.4,3,N,6011,8093,25.7,10.000,32.250,8.62,17.6,0,0,,Kyren Williams,5.21,83.0,4.65,1.57,194,28.6,112.4,73.2,"1,438",42,3.50,-4.7,5.1,,
