,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA
Tez Johnson,7.19,4.51,1.58,21,2.30,7.1,2,N,5097,8032,22.6,9.000,29.375,7.31,12.6,,Donovan Edwards,UDFA,105.5,4.44,1.54,205,28.6,N/A,54.8,"1,191",30,9.78,0.0,5.3
Ricky White III,7.22,4.61,1.65,31,3.67,14.5,3,N,6011,8087,24.3,9.250,31.750,3.37,14.8,,Ja’Quinden Jackson,UDFA,90.0,4.75,1.64,229,30.1,113.9,43.7,929,13,7.25,0.6,5.5
Kaden Prather,7.24,4.46,1.57,15,1.27,1.0,N/A,N,6034,8113,25.5,9.250,31.875,7.68,12.1,,Marcus Yarns,UDFA,98.4,4.45,1.54,193,27.6,124.8,N/A,"1,248",24,7.7,28.0,6.4
Konata Mumpfield,7.26,4.59,1.62,23,2.13,-0.6,2,N,5113,8046,25.9,8.500,29.375,6.35,12.3,,Montrell Johnson Jr.,UDFA,112.1,4.41,1.54,212,29.6,121.9,58.5,"1,053",30,9.63,-1.4,5.4
Dominic Lovett,7.28,4.40,1.55,16,2.16,-0.9,2,N,5100,8053,26.5,9.250,31.375,6.52,11.4,,Phil Mafah,UDFA,N/A,N/A,N/A,234,31.5,N/A,48.1,"1,218",21,N/A,-2.9,5.1
Junior Bergen,7.36,4.53,1.59,N/A,N/A,8.1,N/A,N,5094,8034,27.1,9.000,30.000,5.82,12.4,,Raheim Sanders,UDFA,109.7,4.46,1.61,217,29.4,N/A,63.9,"1,714",28,7.08,0.9,5.4
Andrew Armstrong,UDFA,4.51,1.59,29,2.75,21.5,2,Y,6036,8117,25.1,9.625,32.125,8.47,14.9,,Ulysses Bentley IV,UDFA,88.2,4.62,1.62,201,29.5,113.8,68.8,"1,087",21,2.85,4.2,5.5
Antwane Wells Jr.,UDFA,4.58,1.61,14,2.21,14.0,4,N,6006,8082,27.2,8.875,31.500,5.62,15.7,,,,,,,,,,,,,,,
Beaux Collins,UDFA,4.55,1.59,16,1.10,27.7,N/A,N,6030,8105,25.1,9.500,31.625,9.09,13.5,,,,,,,,,,,,,,,
Bru McCoy,UDFA,N/A,N/A,12,1.58,-0.8,N/A,N,6024,8105,26.8,10.000,32.125,N/A,12.3,,,,,,,,,,,,,,,
Da’Quan Felton,UDFA,4.50,1.60,21,1.87,23.6,3,N,6046,9010,25.8,9.000,32.250,8.19,15.3,,,,,,,,,,,,,,,
Daniel Jackson,UDFA,4.63,1.60,24,2.66,-8.1,3,N,5106,8054,27.6,9.000,30.750,7.12,12.9,,,,,,,,,,,,,,,
Efton Chism lll,UDFA,4.71,1.62,N/A,N/A,-7.6,N/A,N,5100,8044,27.7,9.000,30.500,5.01,11.0,,,,,,,,,,,,,,,
Elijhah Badger,UDFA,4.43,1.54,18,2.38,13.4,3,N,6013,8094,26.4,9.500,32.125,9.32,13.5,,,,,,,,,,,,,,,
Isaiah Bond,UDFA,4.39,1.58,13,2.06,6.2,2,Y,5105,8051,25.7,8.500,30.500,4.23,14.3,,,,,,,,,,,,,,,
Isaiah Neyor,UDFA,4.40,1.56,23,2.96,43.8,2,N,6042,9025,26.5,9.500,34.375,9.90,18.3,,,,,,,,,,,,,,,
Ja'Corey Brooks,UDFA,4.65,1.56,14,2.37,24.0,4,N,6020,8096,23.6,9.000,31.750,4.14,16.2,,,,,,,,,,,,,,,
Jackson Meeks,UDFA,4.64,1.62,0.06,1.71,8.2,4,N,6017,8097,28.4,9.375,32.000,6.65,13.2,,,,,,,,,,,,,,,
Jacolby George,UDFA,4.63,1.62,13,1.98,17.4,3,N,5110,8063,24.0,9.500,31.375,3.74,14.7,,,,,,,,,,,,,,,
Josh Kelly,UDFA,4.70,1.64,14,1.91,13.2,5,N,6005,8074,25.1,10.500,30.875,2.47,13.7,,,,,,,,,,,,,,,
Kobe Hudson,UDFA,4.57,1.62,21,2.48,28.9,3,N,6006,8073,26.1,9.000,30.625,4.92,16.5,,,,,,,,,,,,,,,
Nick Nash,UDFA,4.57,1.60,11,2.51,5.9,6,N,6024,8094,26.1,8.750,31.000,6.00,13.5,,,,,,,,,,,,,,,
Roc Taylor,UDFA,4.49,1.57,14,2.25,18.2,3,N,6017,8101,28.0,9.000,32.250,7.23,14.6,,,,,,,,,,,,,,,
Sam Brown Jr.,UDFA,4.44,1.51,10,1.04,3.8,4,N,6022,8097,25.7,9.375,31.625,9.90,12.8,,,,,,,,,,,,,,,
Theo Wease Jr.,UDFA,4.56,1.63,14,2.19,10.5,5,N,6030,8111,25.0,9.625,32.125,4.27,15.1,,,,,,,,,,,,,,,
Traeshon Holden,UDFA,4.57,1.63,11,1.56,7.9,N/A,N,6021,8096,26.3,9.875,31.625,5.42,13.6,,,,,,,,,,,,,,,
Will Sheppard,UDFA,4.59,1.58,21,2.24,18.3,2,N,6020,8102,25.4,9.875,32.250,8.72,13.4,,,,,,,,,,,,,,,
Xavier Restrepo,UDFA,4.83,1.66,15,2.50,14.2,4,N,5097,8032,30.8,9.125,29.375,3.89,14.3,,,,,,,,,,,,,,,
