player_name,draft_year,breakout_age,breakout_score_new
Jordan Whittington,2024,21.0,60
Ryan Flournoy,2024,,25
Brenden Rice,2024,,25
Devaughn Vele,2024,25.0,10
Tahj Washington,2024,22.0,45
Cornelius Johnson,2024,,25
Travis Hunter,2025,,25
Tetairoa McMillan,2025,,25
Emeka Egbuka,2025,,25
Matthew Golden,2025,,25
Jayden Higgins,2025,,25
Luther Burden,2025,,25
Tre Harris,2025,,25
Jack Bech,2025,,25
Kyle Williams,2025,,25
Isaac TeSlaa,2025,,25
Pat Bryant,2025,,25
Jaylin Noel,2025,,25
Savion Williams,2025,,25
Tai Felton,2025,,25
Chimere Dike,2025,,25
Dont'e Thornton,2025,,25
Arian Smith,2025,,25
Jaylin Lane,2025,,25
Jalen Royals,2025,,25
Elic Ayomanor,2025,,25
Jordan Watkins,2025,,25
KeAndre Lambert-Smith,2025,,25
Tory Horton,2025,,25
LaJohntay Wester,2025,,25
Jimmy Horn,2025,,25
Tez Johnson,2025,,25
Ricky White,2025,,25
Kaden Prather,2025,,25
Konata Mumpfield,2025,,25
Dominic Lovett,2025,,25
Junior Bergen,2025,,25
