method1_final_only,method2_final_age,method3_best_only,method4_best_age,method5_earliest,player_name,draft_year,pick,best_ppg,hit24,num_seasons,final_year,final_yards,best_year,best_yards
0.4751552795031056,0.42763975155279504,0.4751552795031056,0.42763975155279504,0.42763975155279504,Melvin Gordon,2015,15,17.435294117647057,1,1,2014,153,2014,153
0.3991130820399113,0.3991130820399113,0.3991130820399113,0.3991130820399113,0.3991130820399113,T.J. Yeldon,2015,36,10.18235294117647,0,1,2014,180,2014,180
0.7493036211699164,0.6743732590529248,0.7493036211699164,0.6743732590529248,0.6743732590529248,Ameer Abdullah,2015,54,7.364705882352942,0,1,2014,269,2014,269
0.4504792332268371,0.4054313099041534,0.4504792332268371,0.4054313099041534,0.4054313099041534,Tevin Coleman,2015,73,13.758823529411766,1,1,2014,141,2014,141
0.2006172839506173,0.18055555555555555,0.2006172839506173,0.18055555555555555,0.18055555555555555,Matt Jones,2015,95,6.847058823529412,0,1,2014,65,2014,65
0.155,0.124,0.155,0.124,0.124,Jeremy Langford,2015,106,8.68235294117647,0,1,2014,62,2014,62
0.9956521739130435,0.7965217391304349,0.9956521739130435,0.7965217391304349,0.7965217391304349,Javorius Allen,2015,125,9.770588235294117,0,1,2014,458,2014,458
0.7863247863247863,0.7076923076923077,0.7863247863247863,0.7076923076923077,0.7076923076923077,Mike Davis,2015,126,12.147058823529411,1,1,2014,368,2014,368
0.6377952755905512,0.574015748031496,0.6377952755905512,0.574015748031496,0.574015748031496,David Cobb,2015,138,1.258823529411765,0,1,2014,162,2014,162
1.1862527716186253,1.0676274944567627,1.1862527716186253,1.0676274944567627,1.0676274944567627,Jay Ajayi,2015,149,13.105882352941178,1,1,2014,535,2014,535
0.5135658914728682,0.46220930232558144,0.5135658914728682,0.46220930232558144,0.46220930232558144,Karlos Williams,2015,155,7.311764705882353,0,1,2014,265,2014,265
