,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,BOA,YPR DOM,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
Bub Means,5.35,4.43,1.56,19,N/A,22.8,32.1,5,N,6010,8102,28.0,10.125,33.250,9.70,17.2,0,0,,Frank Gore Jr,UDFA,83.1,4.69,1.64,201,30.6,N/A,73.5,"1,601",27,0.60,12.2,5.3,0,0
Jha'Quan Jackson,6.06,4.42,1.54,13,1.46,19.3,22.7,2,N,5091,8040,27.8,8.875,30.875,5.21,16.0,0,0,,George Holani,UDFA,99.7,4.52,1.58,208,29.8,129.8,63.8,"1,308",26,8.24,8.3,5.2,0,0
Malik Washington ,6.08,4.47,1.57,20,3.60,21.7,10.7,3,N,5084,8027,28.9,9.250,30.375,8.51,12.1,,,,Jaden Shirden,UDFA,95.4,4.45,1.56,187,28.4,117.2,N/A,"1,746",20,6.19,25.4,7.4,0,0
Johnny Wilson,6.09,4.52,1.59,14,2.27,21.4,24.6,3,N,6063,9056,26.7,10.000,35.375,9.68,17.2,0,0,,Kendall Milton,UDFA,98.8,4.62,1.59,225,29.6,122.4,23.2,815,5,7.98,9.7,6.2,0,0
Casey Washington,6.11,4.46,1.57,11,1.62,22.3,10.2,5,N,6006,8084,26.7,9.625,31.750,7.15,12.3,0,0,,Michael Wiley,UDFA,101.5,4.51,1.55,210,30.0,116.5,70.1,"1,120",36,7.24,-5.6,5.1,0,0
Tejhaun Palmer,6.15,4.45,1.54,15,2.01,23.1,36.0,5,N,6016,8114,27.6,9.875,33.750,9.57,17.0,0,0,,Miyan Williams,UDFA,N/A,N/A,N/A,229,34.7,N/A,30.6,852,9,N/A,2.1,6.0,0,0
Jordan Whittington,6.37,N/A,N/A,10,1.61,N/A,-2.8,N/A,N,6005,8070,27.7,10.000,30.375,N/A,12.5,,,,Blake Watson,UDFA,106.7,4.40,1.57,200,29.5,N/A,45.0,"1,632",53,8.91,25.5,5.9,0,0
Ryan Flournoy,6.40,4.44,1.52,N/A,N/A,N/A,28.3,N/A,N,6006,8083,27.3,10.125,31.625,9.88,15.2,,,,,,,,,,,,,,,,,,,
Brenden Rice,7.05,4.50,1.59,17,1.72,19.5,26.3,2,N,6023,8113,26.7,9.625,33.000,7.92,16.4,0,0,,,,,,,,,,,,,,,,,
Devaughn Vele,7.15,4.47,1.58,11,1.81,24.0,15.8,5,N,6040,9014,24.7,9.750,33.500,9.52,13.7,0,0,,,,,,,,,,,,,,,,,
Tahj Washington ,7.21,4.57,1.63,15,2.30,19.3,19.0,2,N,5096,8027,25.6,8.375,29.125,5.13,15.4,0,0,,,,,,,,,,,,,,,,,
Cornelius Johnson,7.33,4.44,1.52,15,1.67,N/A,17.6,N/A,N,6026,8105,27.1,8.625,31.875,9.91,14.8,0,0,,,,,,,,,,,,,,,,,
Isaiah Williams,UDFA,4.63,1.6,17,2.55,21.0,-3.0,3,N,5092,8033,26.9,9.125,30.125,6.18,10.8,0,0,,,,,,,,,,,,,,,,,
Jalen Coker,UDFA,4.57,1.60,37,N/A,21.2,75.1,3,N,6013,8102,27.3,9.875,32.875,8.44,16.7,,,,,,,,,,,,,,,,,,,
Lideatrick Griffin,UDFA,4.43,1.54,12,1.89,22.6,21.2,4,N,5100,8045,26.0,9.125,30.625,6.77,11.8,0,0,,,,,,,,,,,,,,,,,
Marcus Rosemy-Jacksaint,UDFA,4.81,1.66,N/A,N/A,N/A,5.9,N/A,N,6011,8101,25.7,10.000,33.000,1.66,13.9,0,0,,,,,,,,,,,,,,,,,
Tayvion Robinson,UDFA,4.75,1.62,20,2.32,20.2,0.3,2,N,5104,8054,27.3,9.250,31.000,1.40,13.4,0,0,,,,,,,,,,,,,,,,,
Xavier Weaver,UDFA,4.47,1.48,20,2.20,20.9,23.9,3,N,6002,8073,22.9,8.875,31.125,8.40,14.4,0,0,,,,,,,,,,,,,,,,,
