player_name,draft_year,college,season,cfbd_name,player_rec_yards,player_rec_tds,player_receptions,team_rec_yards,team_rec_tds,dominator_rating
Collin Johnson,2020,Texas,2017,Collin Johnson,765.0,2.0,54.0,3365.0,18.0,16.9
Collin Johnson,2020,Texas,2018,Collin Johnson,988.0,7.0,68.0,3617.0,28.0,26.2
Collin Johnson,2020,Texas,2019,Collin Johnson,559.0,3.0,38.0,3761.0,32.0,12.1
Quintez Cephus,2020,Wisconsin,2017,Quintez Cephus,501.0,6.0,30.0,2689.0,25.0,21.3
Quintez Cephus,2020,Wisconsin,2019,Quintez Cephus,901.0,7.0,59.0,2802.0,18.0,35.5
John Hightower,2020,Boise State,2018,John Hightower,504.0,6.0,31.0,3796.0,31.0,16.3
John Hightower,2020,Boise State,2019,John Hightower,943.0,8.0,51.0,3664.0,31.0,25.8
Darnell Mooney,2020,Tulane,2017,Darnell Mooney,599.0,4.0,34.0,1920.0,12.0,32.3
Darnell Mooney,2020,Tulane,2018,Darnell Mooney,993.0,8.0,48.0,2380.0,15.0,47.5
Darnell Mooney,2020,Tulane,2019,Darnell Mooney,713.0,5.0,48.0,2679.0,19.0,26.5
K.J. Osborn,2020,Miami,2019,K.J. Osborn,547.0,5.0,50.0,3239.0,27.0,17.7
Donovan Peoples-Jones,2020,Michigan,2017,Donovan Peoples-Jones,277.0,0.0,22.0,2226.0,9.0,6.2
Donovan Peoples-Jones,2020,Michigan,2018,Donovan Peoples-Jones,581.0,8.0,45.0,2761.0,24.0,27.2
Donovan Peoples-Jones,2020,Michigan,2019,Donovan Peoples-Jones,438.0,6.0,34.0,3261.0,25.0,18.7
Quez Watkins,2020,Southern Miss,2017,Quez Watkins,337.0,2.0,23.0,3121.0,24.0,9.6
Quez Watkins,2020,Southern Miss,2018,Quez Watkins,896.0,9.0,73.0,2805.0,19.0,39.7
Quez Watkins,2020,Southern Miss,2019,Quez Watkins,1178.0,6.0,64.0,3764.0,20.0,30.6
James Proche,2020,SMU,2017,James Proche,816.0,6.0,40.0,3823.0,35.0,19.2
James Proche,2020,SMU,2018,James Proche,1199.0,12.0,93.0,3245.0,28.0,39.9
James Proche,2020,SMU,2019,James Proche,1225.0,15.0,111.0,4018.0,35.0,36.7
