player_name,draft_year,college,pick,season_used,player_rec_yards,player_rec_tds,team_rec_yards,team_rec_tds,yards_market_share,td_market_share,dominator_rating,dominator_pct,status
Leonte Carroo,2016,Rutgers,86,2015,809.0,10.0,2485.0,19.0,0.3255533199195171,0.5263157894736842,0.4259345546966006,42.593455469660064,calculated
Chris Moore,2016,Cincinnati,107,2015,870.0,7.0,4679.0,29.0,0.1859371660611241,0.2413793103448276,0.2136582382029759,21.36582382029759,calculated
Malcolm Mitchell,2016,Georgia,112,2015,865.0,5.0,2406.0,14.0,0.3595178719866999,0.3571428571428571,0.3583303645647785,35.83303645647785,calculated
Ricardo Louis,2016,Auburn,114,2015,716.0,3.0,2113.0,10.0,0.3388547089446285,0.3,0.3194273544723142,31.942735447231424,calculated
Pharoh Cooper,2016,South Carolina,117,2015,973.0,8.0,2490.0,17.0,0.3907630522088353,0.4705882352941176,0.4306756437514765,43.06756437514765,calculated
Demarcus Robinson,2016,Florida,126,2015,522.0,2.0,2899.0,20.0,0.1800620903759917,0.1,0.1400310451879958,14.003104518799589,calculated
Tajae Sharpe,2016,Massachusetts,140,2015,1319.0,5.0,3090.0,18.0,0.4268608414239482,0.2777777777777778,0.352319309600863,35.2319309600863,calculated
Jordan Payton,2016,UCLA,154,2015,1106.0,5.0,3483.0,20.0,0.3175423485501005,0.25,0.2837711742750503,28.377117427505027,calculated
Trevor Davis,2016,California,163,2015,672.0,2.0,4233.0,37.0,0.1587526576895818,0.054054054054054,0.1064033558718179,10.640335587181797,calculated
Tyreek Hill,2016,West Alabama,165,2015,,,,,,,,,fcs_school
Rashard Higgins,2016,Colorado St.,172,2015,1062.0,8.0,2965.0,24.0,0.3581787521079258,0.3333333333333333,0.3457560427206295,34.575604272062954,calculated
Moritz Boehringer,2016,,180,2015,,,,,,,,,no_college
Jakeem Grant,2016,Texas Tech,186,2015,1268.0,10.0,5046.0,39.0,0.2512881490289338,0.2564102564102564,0.2538492027195951,25.38492027195951,calculated
Kolby Listenbee,2016,TCU,192,2015,597.0,5.0,4517.0,39.0,0.1321673677219393,0.1282051282051282,0.1301862479635337,13.01862479635338,calculated
Cody Core,2016,Mississippi,199,2015,644.0,4.0,4351.0,35.0,0.1480119512755688,0.1142857142857142,0.1311488327806415,13.114883278064156,calculated
Mike Thomas,2016,Southern Miss,206,2015,1391.0,14.0,4616.0,40.0,0.30134315424610053,0.35,0.3256715771230503,32.567157712305026,fixed_manual
Aaron Burbridge,2016,Michigan St.,213,2015,1258.0,7.0,3279.0,26.0,0.3836535529124733,0.2692307692307692,0.3264421610716213,32.64421610716213,calculated
Devin Lucien,2016,Arizona St.,225,2015,1074.0,8.0,3887.0,30.0,0.2763056341651659,0.2666666666666666,0.2714861504159163,27.14861504159163,calculated
