,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOA,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
Justin Blackmon,1.05,4.53,1.53,28,3.35,16.6,20.7,3,Y,6007,8093,27.3,9.250,32.500,7.29,14.1,0,0,,Trent Richardson,1.03,109.2,4.53,1.56,230,34.0,N/A,74.7,"2,017",29,9.62,-1.7,5.8,1,8
Michael Floyd,1.13,4.47,1.59,28,2.42,15.2,18.8,1,N,6025,8114,27.5,9.375,32.875,7.50,13.6,1,23,,Doug Martin,1.31,104.1,4.55,1.64,223,32.9,121.2,54.2,"1,598",28,8.27,3.7,5.6,2,3
Kendall Wright,1.20,4.61,1.69,29,3.92,6.1,18.8,1,N,5102,8046,28.1,8.625,30.500,3.04,13.3,1,22,,David Wilson,1.32,100.9,4.49,1.57,205,29.4,135.7,80.4,"1,838",22,8.78,13.7,5.8,0,0
A.J. Jenkins,1.30,4.39,1.57,25,3.52,31.2,20.9,3,N,6002,8090,26.0,9.500,32.750,8.96,14.6,0,0,,Isaiah Pead,2.18,98.7,4.47,1.55,197,28.3,114.1,85.7,"1,578",39,6.12,18.5,6.0,0,0
Brian Quick,2.01,4.55,1.63,N/A,2.88,N/A,20.3,3,N,6034,9016,27.5,9.750,34.250,6.02,16.2,0,0,,LaMichael James,2.29,99.5,4.45,1.57,195,29.6,121.0,65.5,"2,015",17,7.26,4.8,6.6,0,0
Stephen Hill,2.11,4.36,1.49,26,4.91,21.4,19.4,2,Y,6040,9013,26.2,9.375,33.375,9.63,25.5,0,0,,Ronnie Hillman,3.04,102.0,4.45,1.58,200,29.5,124.9,67.9,"1,981",24,6.82,8.3,5.7,0,0
Alshon Jeffery,2.13,4.53,1.64,34,3.90,32.3,19.6,1,Y,6027,8117,27.0,10.250,33.000,9.01,16.6,6,29,,Bernard Pierce,3.21,107.3,4.49,1.60,218,29.6,123.6,56.7,"1,533",8,8.37,6.5,5.4,0,0
Ryan Broyles,2.22,4.57,N/A,27,2.56,4.1,21.4,3,N,5101,8043,27.0,9.000,30.250,N/A,13.1,0,0,,Lamar Miller,4.02,116.3,4.40,1.53,218,30.4,116.1,51.7,"1,357",17,9.38,17.5,5.7,5,14
Rueben Randle,2.31,4.55,1.59,24,3.29,40.2,19.3,2,Y,6027,8117,26.0,9.500,33.000,5.76,16.8,0,0,,Robert Turbin,4.11,108.3,4.50,1.60,222,31.9,122.2,67.8,"1,714",30,7.98,16.8,5.9,0,0
DeVier Posey,3.05,4.50,1.55,19,2.62,10.7,19.5,2,N,6015,8092,27.0,9.625,31.625,8.77,14.4,0,0,,Chris Rainey,5.24,89.3,4.45,1.57,175,26.6,122.1,45.3,"1,242",31,7.67,15.8,6.2,0,0
T.J. Graham,3.06,4.41,1.57,10,1.62,21.7,N/A,N/A,N,5113,8081,25.1,9.000,32.750,5.64,14.7,0,0,,Vick Ballard,5.35,93.7,4.65,1.64,219,31.4,113.6,61.6,"1,376",20,4.94,22.8,5.7,0,0
Mohamed Sanu,3.19,4.67,1.63,24,3.72,-18.9,20.0,1,Y,6014,8110,27.8,10.125,33.500,6.47,10.8,0,0,,Alfred Morris,6.03,92.1,4.67,1.63,219,31.4,118.9,67.6,"1,506",15,4.58,21.2,4.8,3,13
T.Y. Hilton,3.29,4.39,1.53,33,2.87,27.6,18.8,1,N,5094,8054,27.0,8.500,32.000,5.29,15.4,7,22,,Cyrus Gray,6.12,99.2,4.47,1.60,198,28.4,112.3,71.4,"1,384",34,5.35,18.2,5.2,0,0
Chris Givens,4.01,4.41,1.57,15,2.91,31.8,20.6,2,Y,5111,8063,27.6,8.250,31.250,7.42,15.2,0,0,,Dan Herron,6.21,91.2,4.66,1.62,215,30.8,118.0,42.5,"1,335",19,6.35,-3.0,4.8,0,0
Travis Benjamin,4.05,4.36,1.59,17,1.80,30.7,20.0,3,N,5097,8055,25.1,8.750,31.750,6.52,16.4,0,0,,Terrance Ganaway,6.32,100.5,4.67,1.66,239,33.3,123.0,76.1,"1,599",6,6.07,10.0,5.5,0,0
Joe Adams,4.09,4.55,1.62,15,1.75,6.7,N/A,N/A,N,5105,8064,25.7,9.375,31.875,3.65,14.7,0,0,,Michael Smith,7.05,111.4,4.38,1.48,205,30.3,131.9,32.6,"1,051",N/A,8.10,25.9,6.5,0,0
Devon Wylie,4.12,4.39,1.52,8,1.97,6.2,N/A,N/A,N,5092,8034,27.5,9.500,30.250,9.00,13.5,0,0,,Bryce Brown,7.22,105.9,4.53,1.56,223,30.2,116.3,29.9,597,10,9.07,-2.1,4.6,0,0
Jarius Wright,4.23,4.42,1.56,19,2.37,27.0,21.8,4,N,5095,8051,25.8,8.500,31.500,7.08,17.5,0,0,,Edwin Baker,7.43,95.0,4.53,1.65,200,30.4,115.0,31.7,"1,223",7,2.97,6.3,5.0,0,0
Keshawn Martin,4.26,4.45,1.58,12,1.72,4.5,21.0,4,N,5114,8070,26.4,9.250,31.500,7.77,13.5,0,0,,Daryl Richardson,7.45,92.8,4.51,1.57,192,27.5,136.4,N/A,950,N/A,7.61,N/A,5.1,0,0
Nick Toon,4.27,4.49,1.60,20,2.82,10.7,20.8,3,N,6017,8103,26.2,9.000,32.500,9.17,14.3,0,0,,Travaris Cadet,UDFA,86.8,4.69,1.65,210,27.7,116.1,N/A,671,N/A,4.50,N/A,N/A,0,0
Greg Childs,4.38,4.55,1.54,13,2.04,12.5,19.4,2,N,6031,9012,27.4,10.125,34.125,9.65,15.5,0,0,,Jonas Gray,UDFA,100.5,4.60,N/A,225,32.3,N/A,24.4,829,6,N/A,28.0,5.8,0,0
Danny Coale,5.17,4.50,1.59,21,2.47,17.3,21.2,3,N,5117,8064,25.8,9.125,30.625,6.69,16.1,0,0,,Brandon Bolden,UDFA,91.2,4.66,1.63,215,30.0,124.1,69.0,"1,320",32,5.86,12.7,5.3,0,0
Marvin Jones,5.31,4.46,1.51,20,2.30,15.1,19.5,2,N,6017,8110,25.7,10.000,33.125,8.86,14.6,5,25,,Lance Dunbar,UDFA,91.5,4.52,1.54,191,29.0,119.5,90.7,"1,885",29,7.51,8.8,5.4,0,0
Juron Criner,5.33,4.68,1.64,21,2.35,27.2,19.7,2,N,6024,8104,28.2,10.500,32.000,4.73,13.7,0,0,,,,,,,,,,,,,,,,,
B.J. Cunningham,6.13,4.59,1.62,23,2.90,9.9,21.3,4,N,6013,8103,28.4,8.125,33.000,3.24,14.2,0,0,,,,,,,,,,,,,,,,,
