nfl_name,position,draft_year,birth_date,college_name
Tevin Coleman,RB,2015.0,1993-04-16,Indiana
Stacy Coley,WR,2017.0,1994-05-13,Miami
Alex Collins,RB,2016.0,1994-08-26,Arkansas
Nico Collins,WR,2021.0,1999-03-19,Michigan
Chris Conley,WR,2015.0,1992-10-25,Georgia
James Conner,RB,2017.0,1995-05-05,Pittsburgh
Snoop Conner,RB,2022.0,2000-08-01,Mississippi
Dalvin Cook,RB,2017.0,1995-08-10,Florida State
James Cook,RB,2022.0,1999-09-25,Georgia
Amari Cooper,WR,2015.0,1994-06-17,Alabama
Pharoh Cooper,WR,2016.0,1995-03-07,South Carolina
Cody Core,WR,2016.0,1994-04-17,Mississippi
Malachi Corley,WR,2024.0,2002-03-21,Western Kentucky
Blake Corum,RB,2024.0,2000-11-25,Michigan
Isaiah Coulter,WR,2020.0,1998-09-18,Rhode Island
Keke Coutee,WR,2018.0,1997-01-14,Texas Tech
Jacob Cowing,WR,2024.0,2001-02-04,Arizona; Texas-El Paso
Jacory Croskey-Merritt,RB,2025.0,2001-04-12,Arizona; New Mexico; Alabama State
Jamison Crowder,WR,2015.0,1993-06-17,Duke
DeeJay Dallas,RB,2020.0,1998-09-16,Miami
Amara Darboh,WR,2017.0,1994-02-01,Michigan
Frank Darby,WR,2021.0,1997-09-08,Arizona State
Jaelon Darden,WR,2021.0,1999-01-14,North Texas
Corey Davis,WR,2017.0,1995-01-11,Western Michigan
Derius Davis,WR,2023.0,2000-09-11,TCU
Gabe Davis,WR,2020.0,1999-03-01,UCF
Geremy Davis,WR,2015.0,1992-01-10,Connecticut
Isaiah Davis,RB,2024.0,2002-02-21,South Dakota State
Mike Davis,RB,2015.0,1993-02-19,South Carolina
Ray Davis,RB,2024.0,1999-11-20,Kentucky; Vanderbilt; Temple
Robert Davis,WR,2017.0,1995-04-02,Georgia State
Trevor Davis,WR,2016.0,1993-07-04,California; Hawaii
Tyrion Davis-Price,RB,2022.0,2000-10-23,LSU
Matt Dayes,RB,2017.0,1994-09-03,N.C. State
Andre Debose,WR,2015.0,1990-09-12,Florida
Tank Dell,WR,2023.0,1999-10-29,Houston; Independence Comm. College; Alabama A&M
Stefon Diggs,WR,2015.0,1993-11-29,Maryland
Chimere Dike,WR,2025.0,2001-12-14,Florida; Wisconsin
AJ Dillon,RB,2020.0,1998-05-02,Boston College
Kenneth Dixon,RB,2016.0,1994-01-21,Louisiana Tech
Gerrid Doaks,RB,2021.0,1998-06-09,Cincinnati
J.K. Dobbins,RB,2020.0,1998-12-17,Ohio State
Josh Doctson,WR,2016.0,1992-12-03,TCU; Wyoming
Phillip Dorsett,WR,2015.0,1993-01-05,Miami
Jahan Dotson,WR,2022.0,2000-03-22,Penn State
Romeo Doubs,WR,2022.0,2000-04-13,Nevada
DeMario Douglas,WR,2023.0,2000-12-08,Liberty
Colton Dowell,WR,2023.0,1999-04-19,Tennessee-Martin
Josh Downs,WR,2023.0,2001-08-12,North Carolina
Kenyan Drake,RB,2016.0,1994-01-26,Alabama
Grant DuBose,WR,2023.0,2001-06-20,Charlotte; Miles College
Malachi Dupre,WR,2017.0,1995-10-12,LSU
Devin Duvernay,WR,2020.0,1997-09-12,Texas
Trestan Ebner,RB,2022.0,1999-01-02,Baylor
Chase Edmonds,RB,2018.0,1996-04-13,Fordham
Bryan Edwards,WR,2020.0,1998-11-13,South Carolina
Clyde Edwards-Helaire,RB,2020.0,1999-04-11,LSU
Emeka Egbuka,WR,2025.0,2002-10-14,Ohio State
Ezekiel Elliott,RB,2016.0,1995-07-22,Ohio State
Tyler Ervin,RB,2016.0,1993-10-07,San Jose State
Dee Eskridge,WR,2021.0,1997-03-23,Western Michigan
Audric Estimé,RB,2024.0,2003-09-06,Notre Dame
Travis Etienne,RB,2021.0,1999-01-26,Clemson
Trevor Etienne,RB,2025.0,2004-07-09,Georgia; Florida
Chris Evans,RB,2021.0,1997-10-05,Michigan
Darrynton Evans,RB,2020.0,1998-07-09,Appalachian State
Zach Evans,RB,2023.0,2001-05-30,Mississippi; TCU
Erik Ezukanma,WR,2022.0,2000-01-25,Texas Tech
Simi Fehoko,WR,2021.0,1997-11-05,Stanford
Demetric Felton,RB,2021.0,1998-07-16,UCLA
Tai Felton,WR,2025.0,2003-03-15,Maryland
Dez Fitzpatrick,WR,2021.0,1997-12-17,Louisville
Ryan Flournoy,WR,2024.0,1999-10-27,Southeast Missouri State; Iowa Western CC
Zay Flowers,WR,2023.0,2000-09-11,Boston College
Isaiah Ford,WR,2017.0,1996-02-09,Virginia Tech
Jerome Ford,RB,2022.0,1999-09-12,Cincinnati; Alabama
D'Onta Foreman,RB,2017.0,1996-04-24,Texas
Daurice Fountain,WR,2018.0,1995-12-22,Northern Iowa
Leonard Fournette,RB,2017.0,1995-01-18,LSU
Jalston Fowler,RB,2015.0,1990-07-26,Alabama
Troy Franklin,WR,2024.0,2003-02-06,Oregon
Royce Freeman,RB,2018.0,1996-02-24,Oregon
Travis Fulgham,WR,2019.0,1995-09-13,Old Dominion
Devin Fuller,WR,2016.0,1994-01-29,UCLA
Will Fuller,WR,2016.0,1994-04-16,Notre Dame
Devin Funchess,WR,2015.0,1994-05-21,Michigan
Jake Funk,RB,2021.0,1998-01-11,Maryland
Russell Gage,WR,2018.0,1996-01-22,LSU
Kenneth Gainwell,RB,2021.0,1999-03-14,Memphis
Wayne Gallman,RB,2017.0,1994-10-01,Clemson
Michael Gallup,WR,2018.0,1996-03-04,Colorado State; Butler County JC
Antonio Gandy-Golden,WR,2020.0,1998-04-11,Liberty
Myles Gaskin,RB,2019.0,1997-02-15,Washington
Jahmyr Gibbs,RB,2023.0,2002-03-20,Alabama; Georgia Tech
Antonio Gibson,RB,2020.0,1998-06-23,Memphis; East Central JC
Shelton Gibson,WR,2017.0,1995-03-20,West Virginia
DJ Giddens,RB,2025.0,2003-08-26,Kansas State
Cullen Gillaspia,RB,2019.0,1995-05-12,Texas A&M
Chris Godwin Jr.,WR,2017.0,1996-02-27,Penn State
Terry Godwin,WR,2019.0,1996-10-23,Georgia
Matthew Golden,WR,2025.0,2003-08-01,Texas; Houston
Kenny Golladay,WR,2017.0,1993-11-03,Northern Illinois; North Dakota
Melvin Gordon,RB,2015.0,1993-04-13,Wisconsin
Ollie Gordon II,RB,2025.0,2004-01-15,Oklahoma State
Anthony Gould,WR,2024.0,2001-04-06,Oregon State
Jakeem Grant,WR,2016.0,1992-10-30,Texas Tech
Danny Gray,WR,2022.0,1999-04-01,SMU
Eric Gray,RB,2023.0,1999-11-04,Oklahoma; Tennessee
Antoine Green,WR,2023.0,1999-11-15,North Carolina
Marcus Green,WR,2019.0,1996-08-13,Louisiana-Monroe
Dorial Green-Beckham,WR,2015.0,1993-04-12,Oklahoma; Missouri
Rashad Greene,WR,2015.0,1992-09-23,Florida State
Isaac Guerendo,RB,2024.0,2000-06-28,Louisville; Wisconsin
Derrius Guice,RB,2018.0,1997-06-21,LSU
Todd Gurley,RB,2015.0,1994-08-03,Georgia
Breece Hall,RB,2022.0,2001-05-31,Iowa State
DaeSean Hamilton,WR,2018.0,1995-03-10,Penn State
KJ Hamler,WR,2020.0,1999-07-08,Penn State
Omarion Hampton,RB,2025.0,2003-03-16,North Carolina
Chad Hansen,WR,2017.0,1995-01-18,California; Idaho State
Mecole Hardman,WR,2019.0,1998-03-12,Georgia
Justin Hardy,WR,2015.0,1991-12-18,East Carolina
Kelvin Harmon,WR,2019.0,1996-12-15,N.C. State
Tre Harris,WR,2025.0,2002-02-28,Mississippi; Louisiana Tech
Damien Harris,RB,2019.0,1997-02-11,Alabama
Jacob Harris,WR,2021.0,1997-04-16,UCF; Western Kentucky
Kevin Harris,RB,2022.0,2000-11-17,South Carolina
Najee Harris,RB,2021.0,1998-03-09,Alabama
Marvin Harrison Jr.,WR,2024.0,2002-08-11,Ohio State
RJ Harvey,RB,2025.0,2001-02-04,UCF; Virginia
Hassan Haskins,RB,2022.0,1999-11-26,Michigan
Darrell Henderson,RB,2019.0,1997-08-19,Memphis
De'Angelo Henderson Sr.,RB,2017.0,1992-11-24,Coastal Carolina
TreVeyon Henderson,RB,2025.0,2002-10-22,Ohio State
Derrick Henry,RB,2016.0,1994-01-04,Alabama
Khalil Herbert,RB,2021.0,1998-04-21,Virginia Tech
Jayden Higgins,WR,2025.0,2002-12-15,Iowa State; Eastern Kentucky
Rashard Higgins,WR,2016.0,1994-10-07,Colorado State
Tee Higgins,WR,2020.0,1999-01-18,Clemson
John Hightower,WR,2020.0,1996-05-31,Boise State
Brian Hill,RB,2017.0,1995-11-09,Wyoming
Justice Hill,RB,2019.0,1997-11-14,Oklahoma State
K.J. Hill,WR,2020.0,1997-09-15,Ohio State
Kylin Hill,RB,2021.0,1998-08-18,Mississippi State
Tyreek Hill,WR,2016.0,1994-03-01,West Alabama; Garden City CC; Oklahoma State
Kenny Hilliard,RB,2015.0,1991-10-03,LSU
Nyheim Hines,RB,2018.0,1996-11-12,N.C. State
Isaiah Hodgins,WR,2020.0,1998-10-21,Oregon State
Mack Hollins,WR,2017.0,1993-09-16,North Carolina
Travis Homer,RB,2019.0,1998-08-07,Miami
Elijah Hood,RB,2017.0,1996-04-22,North Carolina
Jimmy Horn Jr.,WR,2025.0,2002-09-12,Colorado; University of South Florida
Tory Horton,WR,2025.0,2002-11-29,Colorado State; Nevada
Zander Horvath,RB,2022.0,1998-12-10,Purdue
Jordan Howard,RB,2016.0,1994-11-02,Indiana; UAB
Chuba Hubbard,RB,2021.0,1999-06-11,Oklahoma State
Evan Hull,RB,2023.0,2000-10-26,Northwestern
Kareem Hunt,RB,2017.0,1995-08-06,Toledo
Jarquez Hunter,RB,2025.0,2002-12-29,Auburn
Travis Hunter,WR,2025.0,2003-05-18,Colorado; Jackson State University
Jason Huntley,RB,2020.0,1998-04-20,New Mexico State
Jalen Hurd,WR,2019.0,1996-01-23,Baylor
Xavier Hutchinson,WR,2023.0,2000-06-01,Iowa State
Jalin Hyatt,WR,2023.0,2001-09-25,Tennessee
Keaontay Ingram,RB,2022.0,1999-10-26,USC
Andrei Iosivas,WR,2023.0,1999-10-15,Princeton
Bucky Irving,RB,2024.0,2002-08-19,Oregon; Minnesota
Andy Isabella,WR,2019.0,1996-11-18,UMass Amherst
Darius Jackson,RB,2016.0,1993-12-01,Eastern Michigan
Jha'Quan Jackson,WR,2024.0,2000-05-15,Tulane
Justin Jackson,RB,2018.0,1996-04-22,Northwestern
Josh Jacobs,RB,2019.0,1998-02-11,Alabama
Jordan James,RB,2025.0,2004-03-29,Oregon
Richie James,WR,2018.0,1995-09-05,Middle Tennessee State
Ashton Jeanty,RB,2025.0,2003-12-02,Boise State
Jermar Jefferson,RB,2021.0,2000-04-15,Oregon State
Justin Jefferson,WR,2020.0,1999-06-16,LSU
Van Jefferson,WR,2020.0,1996-07-26,Florida; Mississippi
Jauan Jennings,WR,2020.0,1997-07-10,Tennessee
Gary Jennings,WR,2019.0,1997-03-07,West Virginia
Jerry Jeudy,WR,2020.0,1999-04-24,Alabama
Collin Johnson,WR,2020.0,1997-09-23,Texas
David Johnson,RB,2015.0,1991-12-16,Northern Iowa
Diontae Johnson,WR,2019.0,1996-07-05,Toledo
Kaleb Johnson,RB,2025.0,2003-08-14,Iowa
KeeSean Johnson,WR,2019.0,1996-10-09,Fresno State
Kerryon Johnson,RB,2018.0,1997-06-30,Auburn
Tez Johnson,WR,2025.0,2002-05-18,Oregon; Troy
Malcolm Johnson,RB,2015.0,1992-08-11,Mississippi State
Bisi Johnson,WR,2019.0,1997-03-17,Colorado State
Duke Johnson,RB,2015.0,1993-09-23,Miami
Roschon Johnson,RB,2023.0,2001-01-31,Texas
Ty Johnson,RB,2019.0,1997-09-17,Maryland
Tyler Johnson,WR,2020.0,1998-08-25,Minnesota
Quentin Johnston,WR,2023.0,2001-09-06,TCU
Aaron Jones,RB,2017.0,1994-12-02,Texas-El Paso
Charlie Jones,WR,2023.0,1998-10-29,Purdue; Iowa
Zay Jones,WR,2017.0,1995-03-30,East Carolina
Matt Jones,RB,2015.0,1993-03-07,Florida
Ronald Jones,RB,2018.0,1997-08-03,USC
Velus Jones Jr.,RB,2022.0,1997-05-11,Tennessee; USC
Jawhar Jordan,RB,2024.0,1999-08-18,Louisville; Syracuse
Quinshon Judkins,RB,2025.0,2003-10-29,Ohio State; Mississippi
Alvin Kamara,RB,2017.0,1995-07-25,Tennessee; Hutchinson CC; Alabama
Joshua Kelley,RB,2020.0,1997-11-20,UCLA
John Kelly,RB,2018.0,1996-10-04,Tennessee
Christian Kirk,WR,2018.0,1996-11-18,Texas A&M
Cooper Kupp,WR,2017.0,1993-06-15,Eastern Washington
CeeDee Lamb,WR,2020.0,1999-04-08,Oklahoma
KeAndre Lambert-Smith,WR,2025.0,2001-10-16,Auburn; Penn State
Jaylin Lane,WR,2025.0,2002-05-01,Virginia Tech; Middle Tennessee State
Jeremy Langford,RB,2015.0,1991-12-06,Michigan State
Brendan Langley,WR,2017.0,1994-10-16,Lamar; Georgia
Daniel Lasco,RB,2016.0,1992-10-09,California
Jordan Lasley,WR,2018.0,1996-11-13,UCLA
Dylan Laube,RB,2024.0,1999-12-14,New Hampshire
Kenny Lawler,WR,2016.0,1994-06-25,California
Xavier Legette,WR,2024.0,2001-01-29,South Carolina
Dezmin Lewis,WR,2015.0,1992-12-05,Central Arkansas
Kolby Listenbee,WR,2016.0,1994-01-25,TCU
MarShawn Lloyd,RB,2024.0,2001-01-05,USC; South Carolina
Tyler Lockett,WR,2015.0,1992-09-28,Kansas State
T.J. Logan,RB,2017.0,1994-09-03,North Carolina
Drake London,WR,2022.0,2001-07-24,USC
Ricardo Louis,WR,2016.0,1994-03-23,Auburn
Bryce Love,RB,2019.0,1997-07-08,Stanford
Dominic Lovett,WR,2025.0,2002-11-08,Georgia; Missouri
Devin Lucien,WR,2016.0,1993-06-26,Arizona State
Marlon Mack,RB,2017.0,1996-03-07,University of South Florida
Phil Mafah,RB,2025.0,2002-10-24,Clemson
Josh Malone,WR,2017.0,1996-03-21,Tennessee
Woody Marks,RB,2025.0,2000-12-29,USC; Mississippi State
Keith Marshall,RB,2016.0,1994-02-16,Georgia
Terrace Marshall Jr.,WR,2021.0,2000-06-09,LSU
Damien Martinez,RB,2025.0,2004-01-31,Miami; Oregon State
Alexander Mattison,RB,2019.0,1998-06-19,Boise State
Devante Mays,RB,2017.0,1994-05-26,Utah State; Blinn College
DeWayne McBride,RB,2023.0,2001-07-08,UAB
Tre McBride,WR,2015.0,1992-12-01,William & Mary
Christian McCaffrey,RB,2017.0,1996-06-07,Stanford
Luke McCaffrey,WR,2024.0,2001-04-02,Rice; Nebraska
Jase McClellan,RB,2024.0,2002-06-25,Alabama
Ray-Ray McCloud,WR,2018.0,1996-10-15,Clemson
Ladd McConkey,WR,2024.0,2001-11-11,Georgia
Anthony McFarland,RB,2020.0,1999-03-04,Maryland
Elijah McGuire,RB,2017.0,1994-06-01,Louisiana-Lafayette
Kenny McIntosh,RB,2023.0,2000-03-03,Georgia
Isaiah McKenzie,WR,2017.0,1995-04-09,Georgia
Terry McLaurin,WR,2019.0,1995-09-15,Ohio State
Racey McMath,WR,2021.0,1999-06-14,LSU
Jalen McMillan,WR,2024.0,2001-12-07,Washington
Tetairoa McMillan,WR,2025.0,2003-04-05,Arizona
Jeremy McNichols,RB,2017.0,1995-12-26,Boise State
Bub Means,WR,2024.0,2001-01-10,Pittsburgh; Louisiana Tech
Tommy Mellott,WR,2025.0,2001-10-16,Montana State
DK Metcalf,WR,2019.0,1997-12-14,Mississippi
John Metchie III,WR,2022.0,2000-07-18,Alabama
Sony Michel,RB,2018.0,1995-02-17,Georgia
Anthony Miller,WR,2018.0,1994-10-09,Memphis
Braxton Miller,WR,2016.0,1992-11-30,Ohio State
Kendre Miller,RB,2023.0,2002-06-11,TCU
Scott Miller,WR,2019.0,1997-07-31,Bowling Green
Dax Milne,WR,2021.0,1999-06-23,BYU
Denzel Mims,WR,2020.0,1997-10-10,Baylor
Marvin Mims Jr.,WR,2023.0,2002-03-19,Oklahoma
Jonathan Mingo,WR,2023.0,2001-04-20,Mississippi
Adonai Mitchell,WR,2024.0,2002-10-08,Texas; Georgia
Dillon Mitchell,WR,2019.0,1997-05-16,Oregon
Elijah Mitchell,RB,2021.0,1998-05-02,Louisiana-Lafayette
Malcolm Mitchell,WR,2016.0,1992-07-20,Georgia
Joe Mixon,RB,2017.0,1996-07-24,Oklahoma
Kyle Monangai,RB,2025.0,2002-06-06,Rutgers
David Montgomery,RB,2019.0,1997-06-07,Iowa State
Ty Montgomery,WR,2015.0,1993-01-22,Stanford
Darnell Mooney,WR,2020.0,1997-10-29,Tulane
Chris Moore,WR,2016.0,1993-06-16,Cincinnati
David Moore,WR,2017.0,1995-01-15,East Central
DJ Moore,WR,2018.0,1997-04-14,Maryland
Elijah Moore,WR,2021.0,2000-03-27,Mississippi
J'Mon Moore,WR,2018.0,1995-05-23,Missouri
Rondale Moore,WR,2021.0,2000-06-09,Purdue
Skyy Moore,WR,2022.0,2000-09-10,Western Michigan
Zack Moss,RB,2020.0,1997-12-15,Utah
Khalfani Muhammad,RB,2017.0,1994-09-26,California
Kalel Mullings,RB,2025.0,2002-10-04,Michigan
Konata Mumpfield,WR,2025.0,2002-10-24,Pittsburgh; Akron
Keith Mumphery,WR,2015.0,1992-06-05,Michigan State
Marcus Murphy,RB,2015.0,1991-10-03,Missouri
Malik Nabers,WR,2024.0,2003-07-28,LSU
Puka Nacua,WR,2023.0,2001-05-29,BYU; Washington
Jalen Nailor,WR,2022.0,1999-03-02,Michigan State
Devin Neal,RB,2025.0,2003-08-12,Kansas
J.J. Nelson,WR,2015.0,1992-04-24,UAB
Dazz Newsome,WR,2021.0,1999-05-15,North Carolina
Lew Nichols III,RB,2023.0,2001-08-16,Central Michigan
Tre Nixon,WR,2021.0,1998-01-26,UCF; Mississippi
Jaylin Noel,WR,2025.0,2002-09-04,Iowa State
Kene Nwangwu,RB,2021.0,1998-02-09,Iowa State
Rome Odunze,WR,2024.0,2002-06-03,Washington
Chris Olave,WR,2022.0,2000-06-27,Ohio State
Qadree Ollison,RB,2019.0,1996-09-08,Pittsburgh
K.J. Osborn,WR,2020.0,1997-06-10,Miami; Buffalo
Robbie Ouzts,RB,2025.0,2002-09-06,Alabama
Isiah Pacheco,RB,2022.0,1999-03-02,Rutgers
Josh Palmer,WR,2021.0,1999-09-22,Tennessee
Tejhaun Palmer,WR,2024.0,2000-05-19,UAB
Trey Palmer,WR,2023.0,2001-04-02,Nebraska; LSU
Derek Parish,RB,2023.0,1999-01-04,Houston
DeVante Parker,WR,2015.0,1993-01-20,Louisville
Dezmon Patmon,WR,2020.0,1998-08-06,Washington State
Jordan Payton,WR,2016.0,1993-09-01,UCLA
Charone Peake,WR,2016.0,1992-10-16,Clemson
Ricky Pearsall,WR,2024.0,2000-09-09,Florida; Arizona State
Rashaad Penny,RB,2018.0,1996-02-02,San Diego State
Donovan Peoples-Jones,WR,2020.0,1999-02-19,Michigan
La'Mical Perine,RB,2020.0,1998-01-30,Florida
Samaje Perine,RB,2017.0,1995-09-16,Oklahoma
Paul Perkins,RB,2016.0,1994-11-16,UCLA
Breshad Perriman,WR,2015.0,1993-09-10,UCF
A.T. Perry,WR,2023.0,1999-10-26,Wake Forest
Malcolm Perry,RB,2020.0,1997-04-19,Navy
Dante Pettis,WR,2018.0,1995-10-23,Washington
Kyle Philips,WR,2022.0,1999-06-17,UCLA
George Pickens,WR,2022.0,2001-03-04,Georgia
Alec Pierce,WR,2022.0,2000-05-02,Cincinnati
Dameon Pierce,RB,2022.0,2000-02-19,Florida
Michael Pittman,WR,2020.0,1997-10-05,USC
Ja'Lynn Polk,WR,2024.0,2002-04-11,Washington; Texas Tech
Tony Pollard,RB,2019.0,1997-04-30,Memphis
Cornell Powell,WR,2021.0,1997-10-30,Clemson
James Proche,WR,2020.0,1996-09-20,SMU
Austin Proehl,WR,2018.0,1995-10-11,North Carolina
C.J. Prosise,RB,2016.0,1994-05-20,Notre Dame
Donnel Pumphrey,RB,2017.0,1994-12-06,San Diego State
Trey Quinn,WR,2018.0,1995-12-07,SMU; LSU
Damion Ratley,WR,2018.0,1995-04-16,Texas A&M; Blinn College
Jalen Reagor,WR,2020.0,1999-01-02,TCU
Jayden Reed,WR,2023.0,2000-04-28,Michigan State; Western Michigan
Joe Reed,WR,2020.0,1998-01-04,Virginia
Hunter Renfrow,WR,2019.0,1995-12-21,Clemson
Josh Reynolds,WR,2017.0,1995-02-16,Texas A&M; Tyler JC
Keenan Reynolds,WR,2016.0,1993-12-13,Navy
Brenden Rice,WR,2024.0,2002-03-18,USC; Colorado
Rashee Rice,WR,2023.0,2000-04-22,SMU
Calvin Ridley,WR,2018.0,1994-12-20,Alabama
Riley Ridley,WR,2019.0,1996-07-21,Georgia
Bijan Robinson,RB,2023.0,2002-01-30,Texas
Brian Robinson,RB,2022.0,1999-03-22,Alabama
Demarcus Robinson,WR,2016.0,1994-09-21,Florida
Josh Robinson,RB,2015.0,1992-08-24,Mississippi State
Keilan Robinson,RB,2024.0,2000-02-16,Texas; Alabama
Wan'Dale Robinson,WR,2022.0,2001-01-05,Kentucky
Amari Rodgers,WR,2021.0,1999-09-23,Clemson
Chris Rodriguez Jr.,RB,2023.0,1999-09-26,Kentucky
John Ross,WR,2017.0,1995-11-27,Washington
Larry Rountree III,RB,2021.0,1999-02-13,Missouri
Jalen Royals,WR,2025.0,2003-02-18,Utah State
Henry Ruggs III,WR,2020.0,1999-01-24,Alabama
Dylan Sampson,RB,2025.0,2004-09-14,Tennessee
Curtis Samuel,WR,2017.0,1996-08-11,Ohio State
Deebo Samuel Sr.,WR,2019.0,1996-01-15,South Carolina
Jaylen Samuels,RB,2018.0,1996-07-20,N.C. State
Miles Sanders,RB,2019.0,1997-05-01,Penn State
Bo Scarbrough,RB,2018.0,1996-09-29,Alabama
Jordan Scarlett,RB,2019.0,1995-07-08,Florida
Anthony Schwartz,WR,2021.0,2000-09-05,Auburn
Boston Scott,RB,2018.0,1995-04-27,Louisiana Tech
Jaleel Scott,WR,2018.0,1995-02-23,New Mexico State; Ellsworth CC
