draft_year,player_name,position,college,pick,age,rec_yards,team_pass_attempts,weight,forty,weight_source,forty_source,full_athletic_data,draft_capital_score,breakout_score,athletic_score,slap_score,position_convert,tier
2020,K.J. Osborn,WR,Miami,176,23.0,547.0,437.0,203.0,4.48,combine,combine,True,41.4,34.3,54.34782608695652,22.1,False,Below Avg
2020,Donovan Peoples-Jones,WR,Michigan,187,21.0,438.0,410.0,212.0,4.48,combine,combine,True,41.0,34.2,68.47826086956522,29.0,False,Below Avg
2020,Quez Watkins,WR,Southern Miss,200,22.0,1178.0,438.0,185.0,4.35,combine,combine,True,40.6,57.8,63.04347826086957,59.5,False,Below Avg
2020,James Proche,WR,SMU,201,23.0,1225.0,503.0,201.0,4.39,combine,high_school,True,40.5,51.7,80.97826086956522,61.8,False,Below Avg
2020,Isaiah Hodgins,WR,Oregon State,207,21.0,1171.0,420.0,210.0,4.61,combine,combine,True,40.4,74.0,20.65217391304348,56.5,False,Below Avg
2020,Dezmon Patmon,WR,Washington State,212,22.0,762.0,710.0,225.0,4.48,combine,combine,True,40.2,32.0,90.21739130434784,39.7,False,Below Avg
2020,Freddie Swain,WR,Florida,214,22.0,517.0,467.0,197.0,4.46,combine,combine,True,40.2,31.7,45.65217391304348,12.2,False,Below Avg
2020,Jauan Jennings,WR,Tennessee,217,23.0,969.0,360.0,215.0,4.72,combine,combine,True,40.1,55.8,8.695652173913043,22.9,False,Below Avg
2020,K.J. Hill,WR,Ohio State,220,22.0,636.0,406.0,196.0,4.6,combine,combine,True,40.0,37.6,9.782608695652174,4.6,False,Below Avg
2020,Eno Benjamin,RB,Arizona State,222,21.0,347.0,383.0,207.0,4.57,combine,combine,True,40.2,71.5,14.285714285714285,47.267857142857146,False,Below Avg
2020,Raymond Calais,RB,Louisiana,245,22.0,67.0,412.0,188.0,4.42,combine,combine,True,39.3,31.9,25.71428571428571,34.67214285714285,False,Below Avg
2020,Malcolm Perry,RB,Navy,246,23.0,,104.0,186.0,4.63,combine,combine,True,39.3,,0.9523809523809524,,False,
2020,Tyrie Cleveland,WR,Florida,252,22.0,351.0,467.0,209.0,4.46,combine,combine,True,39.2,25.6,69.02173913043478,15.3,False,Below Avg
2021,Ja'Marr Chase,WR,LSU,5,21.0,1780.0,567.0,201.0,4.34,combine,combine,True,100.0,100.0,94.56521739130434,100.0,False,Elite
2021,Jaylen Waddle,WR,Alabama,6,22.0,591.0,425.0,180.0,4.37,pro_day,high_school,True,98.3,31.0,41.30434782608695,94.7,False,Average
2021,DeVonta Smith,WR,Alabama,10,22.0,1856.0,425.0,170.0,4.48,combine,pro_day,True,82.6,70.2,5.434782608695652,96.2,False,Good
2021,Kadarius Toney,WR,Florida,20,22.0,984.0,473.0,193.0,4.39,combine,combine,True,66.7,43.9,64.67391304347827,78.6,False,Average
2021,Najee Harris,RB,Alabama,24,23.0,425.0,425.0,232.0,4.45,combine,training,True,80.0,66.0,95.23809523809524,77.38571428571427,False,Good
2021,Travis Etienne,RB,Clemson,25,22.0,588.0,490.0,215.0,4.45,combine,combine,True,78.8,80.6,80.0,79.61,False,Good
2021,Rashod Bateman,WR,Minnesota,27,21.0,472.0,184.0,190.0,4.39,combine,combine,True,61.4,66.9,59.2391304347826,92.4,False,Average
2021,Elijah Moore,WR,Ole Miss,34,21.0,1193.0,335.0,178.0,4.35,combine,combine,True,57.8,68.1,44.02173913043478,80.2,False,Average
2021,Javonte Williams,RB,North Carolina,35,21.0,305.0,357.0,212.0,4.55,combine,combine,True,69.8,68.8,28.57142857142857,63.26571428571428,False,Average
2021,Rondale Moore,WR,Purdue,49,21.0,270.0,,180.0,4.28,combine,combine,True,52.9,36.0,75.0,61.1,False,
