player_id,player_name,rec_yards,receptions,rec_tds,games_rec,rush_yards,rush_att,rush_tds,games_rush,games,fantasy_ppr,ppg
00-0036894,P.Freiermuth,486.0,41.0,4.0,15.0,0.0,0.0,0.0,0.0,15.0,113.6,7.573333333333333
00-0033555,M.Hollins,550.0,46.0,2.0,14.0,4.0,1.0,0.0,1.0,14.0,113.4,8.1
00-0035229,T.Hockenson,438.0,51.0,3.0,15.0,0.0,1.0,0.0,1.0,15.0,112.8,7.52
00-0039880,M.Washington,317.0,46.0,3.0,17.0,110.0,17.0,1.0,10.0,17.0,112.7,6.629411764705883
00-0039032,T.Spears,264.0,45.0,0.0,12.0,283.0,72.0,2.0,13.0,13.0,111.7,8.592307692307692
00-0039894,X.Worthy,532.0,42.0,1.0,14.0,87.0,11.0,0.0,9.0,14.0,109.9,7.8500000000000005
00-0039065,S.LaPorta,489.0,40.0,3.0,9.0,0.0,0.0,0.0,0.0,9.0,106.9,11.877777777777778
00-0035250,D.Singletary,151.0,18.0,0.0,10.0,437.0,119.0,5.0,17.0,17.0,106.80000000000001,6.282352941176471
00-0033906,A.Kamara,186.0,33.0,0.0,11.0,471.0,131.0,1.0,11.0,11.0,104.7,9.518181818181818
00-0033881,E.Engram,461.0,50.0,1.0,16.0,7.0,1.0,0.0,1.0,16.0,102.80000000000001,6.425000000000001
00-0040691,J.Dart,0.0,0.0,0.0,0.0,487.0,86.0,9.0,14.0,14.0,102.7,7.335714285714286
00-0039901,K.Coleman,404.0,38.0,4.0,12.0,0.0,0.0,0.0,0.0,12.0,102.4,8.533333333333333
00-0035689,D.Knox,417.0,36.0,4.0,16.0,0.0,0.0,0.0,0.0,16.0,101.7,6.35625
00-0037740,G.Wilson,395.0,36.0,4.0,7.0,0.0,0.0,0.0,0.0,7.0,99.5,14.214285714285714
00-0036924,M.Carter,267.0,33.0,0.0,11.0,333.0,92.0,1.0,13.0,13.0,99.0,7.615384615384615
00-0037291,J.Nailor,444.0,29.0,4.0,17.0,13.0,2.0,0.0,2.0,17.0,98.69999999999999,5.805882352941175
00-0038618,X.Hutchinson,428.0,35.0,3.0,15.0,22.0,3.0,0.0,3.0,15.0,98.0,6.533333333333333
00-0035537,Ty.Johnson,231.0,24.0,2.0,13.0,200.0,50.0,3.0,17.0,17.0,97.1,5.711764705882352
00-0035535,D.Slayton,538.0,37.0,1.0,14.0,0.0,0.0,0.0,0.0,14.0,96.8,6.914285714285714
00-0038621,D.Douglas,447.0,31.0,3.0,15.0,21.0,7.0,0.0,6.0,15.0,95.80000000000001,6.386666666666668
00-0037157,Z.Knight,160.0,22.0,1.0,9.0,269.0,83.0,4.0,10.0,10.0,94.9,9.49
00-0037112,J.Tonges,293.0,34.0,5.0,9.0,0.0,0.0,0.0,0.0,9.0,93.3,10.366666666666667
00-0038559,Mi.Wilson,459.0,41.0,1.0,11.0,0.0,0.0,0.0,0.0,11.0,92.9,8.445454545454545
00-0038797,E.Wilson,99.0,15.0,0.0,10.0,496.0,125.0,3.0,16.0,16.0,92.5,5.78125
00-0040237,T.Johnson,322.0,28.0,5.0,15.0,22.0,7.0,0.0,4.0,15.0,92.4,6.16
00-0033307,K.Bourne,551.0,37.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,92.1,6.578571428571428
00-0038611,C.Rodriguez,30.0,3.0,0.0,4.0,500.0,112.0,6.0,12.0,12.0,92.0,7.666666666666667
00-0040584,G.Helm,357.0,44.0,2.0,16.0,0.0,0.0,0.0,0.0,16.0,91.7,5.73125
00-0038951,S.Tucker,34.0,8.0,1.0,6.0,320.0,86.0,7.0,14.0,14.0,91.4,6.528571428571429
00-0040719,B.Tuten,79.0,10.0,2.0,10.0,307.0,84.0,5.0,15.0,15.0,90.6,6.04
00-0039491,J.Coker,394.0,33.0,3.0,11.0,0.0,0.0,0.0,0.0,11.0,90.4,8.218181818181819
00-0036389,J.Hurts,0.0,0.0,0.0,0.0,421.0,105.0,8.0,16.0,16.0,90.1,5.63125
00-0038619,A.Iosivas,435.0,33.0,2.0,15.0,14.0,3.0,0.0,3.0,15.0,89.9,5.993333333333334
00-0039890,A.Mitchell,453.0,33.0,2.0,16.0,-4.0,1.0,0.0,1.0,16.0,89.9,5.61875
00-0036971,T.Lawrence,0.0,0.0,0.0,0.0,359.0,83.0,9.0,17.0,17.0,89.9,5.288235294117648
00-0040162,D.Sampson,271.0,33.0,2.0,13.0,175.0,65.0,0.0,15.0,15.0,89.6,5.973333333333333
00-0039342,X.Legette,363.0,35.0,3.0,15.0,0.0,1.0,0.0,1.0,15.0,89.3,5.953333333333333
00-0038976,M.Mims,322.0,37.0,1.0,14.0,78.0,12.0,1.0,10.0,14.0,89.0,6.357142857142857
00-0031610,D.Waller,283.0,24.0,6.0,8.0,4.0,1.0,0.0,1.0,8.0,88.7,11.0875
00-0039916,R.Pearsall,528.0,36.0,0.0,9.0,-2.0,2.0,0.0,2.0,9.0,88.6,9.844444444444443
00-0034791,N.Chubb,67.0,13.0,0.0,11.0,506.0,122.0,3.0,15.0,15.0,88.30000000000001,5.886666666666668
00-0037197,I.Pacheco,101.0,19.0,1.0,9.0,462.0,118.0,1.0,13.0,13.0,87.30000000000001,6.715384615384616
00-0040736,M.Taylor,369.0,44.0,1.0,13.0,0.0,0.0,0.0,0.0,13.0,86.9,6.684615384615385
00-0037801,K.Turpin,396.0,26.0,2.0,15.0,89.0,17.0,0.0,11.0,15.0,86.5,5.766666666666667
