player_name,draft_year,final_season,college,cfbd_school,cfbd_name,draft_age,rec_yards,receptions,rec_tds,team_pass_att
Demarcus Ayers,2016,2015,Houston,Houston,Demarcus Ayers,22.0,1222.0,98.0,6.0,432.0
Daniel Braverman,2016,2015,Western Michigan,Western Michigan,Daniel Braverman,22.0,1367.0,108.0,13.0,404.0
Devin Fuller,2016,2015,UCLA,UCLA,,22.0,,,,510.0
Charone Peake,2016,2015,Clemson,Clemson,Charone Peake,23.0,716.0,50.0,5.0,528.0
Kenny Lawler,2016,2015,California,California,Kenny Lawler,22.0,658.0,52.0,13.0,550.0
Corey Davis,2017,2016,Western Michigan,Western Michigan,Corey Davis,22.0,1500.0,97.0,19.0,378.0
Mike Williams,2017,2016,Clemson,Clemson,Mike Williams,22.0,1361.0,98.0,11.0,629.0
John Ross,2017,2016,Washington,Washington,John Ross,21.0,1150.0,81.0,17.0,408.0
Zay Jones,2017,2016,East Carolina,East Carolina,Zay Jones,22.0,1731.0,156.0,8.0,554.0
Curtis Samuel,2017,2016,Ohio St.,Ohio State,Curtis Samuel,21.0,865.0,74.0,7.0,409.0
JuJu Smith-Schuster,2017,2016,USC,USC,JuJu Smith-Schuster,20.0,914.0,70.0,10.0,463.0
Cooper Kupp,2017,2016,Eastern Washington,Eastern Washington,Cooper Kupp,24.0,206.0,12.0,3.0,
Taywan Taylor,2017,2016,Western Kentucky,Western Kentucky,Taywan Taylor,22.0,1730.0,98.0,17.0,471.0
ArDarius Stewart,2017,2016,Alabama,Alabama,ArDarius Stewart,23.0,864.0,54.0,8.0,417.0
Carlos Henderson,2017,2016,Louisiana Tech,Louisiana Tech,Carlos Henderson,22.0,1535.0,82.0,19.0,543.0
Chris Godwin,2017,2016,Penn St.,Penn State,Chris Godwin,21.0,982.0,59.0,11.0,391.0
Kenny Golladay,2017,2016,Northern Illinois,Northern Illinois,Kenny Golladay,23.0,1164.0,88.0,8.0,400.0
Chad Williams,2017,2016,Grambling St.,Grambling St.,,22.0,,,,
Amara Darboh,2017,2016,Michigan,Michigan,Amara Darboh,23.0,862.0,57.0,7.0,370.0
Dede Westbrook,2017,2016,Oklahoma,Oklahoma,Dede Westbrook,23.0,1524.0,80.0,17.0,384.0
Josh Reynolds,2017,2016,Texas A&M,Texas A&M,Josh Reynolds,22.0,1039.0,61.0,12.0,469.0
Mack Hollins,2017,2016,North Carolina,North Carolina,Mack Hollins,23.0,309.0,16.0,4.0,458.0
Josh Malone,2017,2016,Tennessee,Tennessee,Josh Malone,21.0,972.0,50.0,11.0,379.0
Ryan Switzer,2017,2016,North Carolina,North Carolina,Ryan Switzer,22.0,1112.0,96.0,6.0,458.0
Jehu Chesson,2017,2016,Michigan,Michigan,Jehu Chesson,23.0,500.0,35.0,2.0,370.0
Chad Hansen,2017,2016,California,California,Chad Hansen,22.0,1249.0,92.0,11.0,621.0
Shelton Gibson,2017,2016,West Virginia,West Virginia,Shelton Gibson,23.0,951.0,43.0,8.0,409.0
Rodney Adams,2017,2016,South Florida,South Florida,Rodney Adams,22.0,822.0,67.0,5.0,358.0
Isaiah McKenzie,2017,2016,Georgia,Georgia,Isaiah McKenzie,22.0,633.0,44.0,7.0,386.0
DeAngelo Yancey,2017,2016,Purdue,Purdue,DeAngelo Yancey,22.0,951.0,49.0,10.0,557.0
Trent Taylor,2017,2016,Louisiana Tech,Louisiana Tech,Trent Taylor,23.0,1803.0,136.0,12.0,543.0
Robert Davis,2017,2016,Georgia St.,Georgia State,Robert Davis,22.0,968.0,67.0,5.0,419.0
Stacy Coley,2017,2016,Miami (FL),Miami,Stacy Coley,23.0,754.0,63.0,9.0,426.0
David Moore,2017,2016,East Central (OK),East Central (OK),,22.0,,,,
Isaiah Ford,2017,2016,Virginia Tech,Virginia Tech,Isaiah Ford,21.0,1094.0,79.0,7.0,449.0
Noah Brown,2017,2016,Ohio St.,Ohio State,Noah Brown,21.0,402.0,32.0,7.0,409.0
Malachi Dupre,2017,2016,LSU,LSU,Malachi Dupre,21.0,593.0,41.0,3.0,298.0
D.J. Moore,2018,2017,Maryland,Maryland,D.J. Moore,21.0,1033.0,80.0,8.0,318.0
Calvin Ridley,2018,2017,Alabama,Alabama,Calvin Ridley,23.0,967.0,63.0,5.0,332.0
Courtland Sutton,2018,2017,SMU,SMU,Courtland Sutton,22.0,1085.0,68.0,12.0,487.0
Dante Pettis,2018,2017,Washington,Washington,Dante Pettis,22.0,761.0,63.0,7.0,348.0
Christian Kirk,2018,2017,Texas A&M,Texas A&M,Christian Kirk,21.0,919.0,71.0,10.0,449.0
Anthony Miller,2018,2017,Memphis,Memphis,Anthony Miller,23.0,1462.0,96.0,18.0,488.0
