player_name,draft_year,pick,round,college,teammate_count,best_teammate_pick,total_teammate_dc,avg_teammate_dc,teammate_names
Rondale Moore,2021,49,2,Purdue,2,99.0,112.9,56.4,"Brycen Hopkins (Rd4 #136, 2020); David Bell (Rd3 #99, 2022)"
D'Wayne Eskridge,2021,56,2,Western Michigan,1,54.0,73.9,73.9,"Skyy Moore (Rd2 #54, 2022)"
Tutu Atwell,2021,57,2,Louisville,1,109.0,58.4,58.4,"Dez Fitzpatrick (Rd4 #109, 2021)"
Terrace Marshall Jr.,2021,59,2,LSU,4,5.0,247.9,62.0,"Justin Jefferson (Rd1 #22, 2020); Stephen Sullivan (Rd7 #251, 2020); Ja'Marr Chase (Rd1 #5, 2021); Racey McMath (Rd6 #205, 2021)"
Josh Palmer,2021,77,3,Tennessee,2,71.0,103.6,51.8,"Jauan Jennings (Rd7 #217, 2020); Velus Jones Jr. (Rd3 #71, 2022)"
Dyami Brown,2021,82,3,North Carolina,1,221.0,34.2,34.2,"Dazz Newsome (Rd6 #221, 2021)"
Amari Rodgers,2021,85,3,Clemson,2,33.0,123.6,61.8,"Tee Higgins (Rd2 #33, 2020); Cornell Powell (Rd5 #181, 2021)"
Nico Collins,2021,89,3,Michigan,1,187.0,40.9,40.9,"Donovan Peoples-Jones (Rd6 #187, 2020)"
Anthony Schwartz,2021,91,3,Auburn,1,219.0,34.6,34.6,"Seth Williams (Rd6 #219, 2021)"
Dez Fitzpatrick,2021,109,4,Louisville,1,57.0,73.0,73.0,"Tutu Atwell (Rd2 #57, 2021)"
Amon-Ra St. Brown,2021,112,4,USC,2,8.0,174.7,87.4,"Michael Pittman Jr. (Rd2 #34, 2020); Drake London (Rd1 #8, 2022)"
Jaelon Darden,2021,129,4,North Texas,0,,0.0,0.0,
Tylan Wallace,2021,131,4,Oklahoma St.,0,,0.0,0.0,
Jacob Harris,2021,141,4,Central Florida,2,128.0,84.1,42.0,"Gabriel Davis (Rd4 #128, 2020); Tre Nixon (Rd7 #242, 2021)"
Ihmir Smith-Marsette,2021,157,5,Iowa,0,,0.0,0.0,
Simi Fehoko,2021,179,5,Stanford,1,133.0,52.6,52.6,"Colby Parkinson (Rd4 #133, 2020)"
Cornell Powell,2021,181,5,Clemson,2,33.0,146.1,73.1,"Tee Higgins (Rd2 #33, 2020); Amari Rodgers (Rd3 #85, 2021)"
Frank Darby,2021,187,6,Arizona St.,1,25.0,84.7,84.7,"Brandon Aiyuk (Rd1 #25, 2020)"
Marquez Stevenson,2021,203,6,Houston,0,,0.0,0.0,
Shi Smith,2021,204,6,South Carolina,2,81.0,98.9,49.4,"Bryan Edwards (Rd3 #81, 2020); Nick Muse (Rd7 #227, 2022)"
Racey McMath,2021,205,6,LSU,4,5.0,282.9,70.7,"Justin Jefferson (Rd1 #22, 2020); Stephen Sullivan (Rd7 #251, 2020); Ja'Marr Chase (Rd1 #5, 2021); Terrace Marshall Jr. (Rd2 #59, 2021)"
Jalen Camp,2021,209,6,Georgia Tech,1,206.0,37.1,37.1,"Tyler Davis (Rd6 #206, 2020)"
Seth Williams,2021,219,6,Auburn,1,91.0,63.1,63.1,"Anthony Schwartz (Rd3 #91, 2021)"
Dazz Newsome,2021,221,6,North Carolina,1,82.0,65.5,65.5,"Dyami Brown (Rd3 #82, 2021)"
Mike Strachan,2021,229,7,Charleston (WV),0,,0.0,0.0,
Tre Nixon,2021,242,7,Central Florida,2,128.0,104.6,52.3,"Gabriel Davis (Rd4 #128, 2020); Jacob Harris (Rd4 #141, 2021)"
Ben Skowronek,2021,249,7,Notre Dame,3,43.0,218.5,72.8,"Cole Kmet (Rd2 #43, 2020); Chase Claypool (Rd2 #49, 2020); Tommy Tremble (Rd3 #83, 2021)"
Kawaan Baker,2021,255,7,South Alabama,1,88.0,63.9,63.9,"Jalen Tolbert (Rd3 #88, 2022)"
Dax Milne,2021,258,7,BYU,0,,0.0,0.0,
Drake London,2022,8,1,USC,2,23.0,143.3,71.6,"Amon-Ra St. Brown (Rd4 #112, 2021); Jordan Addison (Rd1 #23, 2023)"
Garrett Wilson,2022,10,1,Ohio St.,4,11.0,289.1,72.3,"Luke Farrell (Rd5 #145, 2021); Chris Olave (Rd1 #11, 2022); Jeremy Ruckert (Rd3 #101, 2022); Jaxon Smith-Njigba (Rd1 #20, 2023)"
Chris Olave,2022,11,1,Ohio St.,4,10.0,289.7,72.4,"Luke Farrell (Rd5 #145, 2021); Garrett Wilson (Rd1 #10, 2022); Jeremy Ruckert (Rd3 #101, 2022); Jaxon Smith-Njigba (Rd1 #20, 2023)"
Jameson Williams,2022,12,1,Alabama,4,6.0,325.3,81.3,"Jaylen Waddle (Rd1 #6, 2021); DeVonta Smith (Rd1 #10, 2021); John Metchie (Rd2 #44, 2022); Cameron Latu (Rd3 #101, 2023)"
Jahan Dotson,2022,16,1,Penn St.,3,55.0,186.6,62.2,"Pat Freiermuth (Rd2 #55, 2021); Brenton Strange (Rd2 #61, 2023); Parker Washington (Rd6 #185, 2023)"
Treylon Burks,2022,18,1,Arkansas,0,,0.0,0.0,
Christian Watson,2022,34,2,North Dakota St.,0,,0.0,0.0,
Wan'Dale Robinson,2022,43,2,Kentucky,0,,0.0,0.0,
John Metchie,2022,44,2,Alabama,4,6.0,339.1,84.8,"Jaylen Waddle (Rd1 #6, 2021); DeVonta Smith (Rd1 #10, 2021); Jameson Williams (Rd1 #12, 2022); Cameron Latu (Rd3 #101, 2023)"
Tyquan Thornton,2022,50,2,Baylor,0,,0.0,0.0,
George Pickens,2022,52,2,Georgia,3,93.0,159.7,53.2,"Tre' McKitty (Rd3 #97, 2021); John FitzPatrick (Rd6 #213, 2022); Darnell Washington (Rd3 #93, 2023)"
Alec Pierce,2022,53,2,Cincinnati,3,100.0,162.8,54.3,"Tre Tucker (Rd3 #100, 2023); Tyler Scott (Rd4 #133, 2023); Josh Whyle (Rd5 #147, 2023)"
Skyy Moore,2022,54,2,Western Michigan,1,56.0,73.3,73.3,"D'Wayne Eskridge (Rd2 #56, 2021)"
Velus Jones Jr.,2022,71,3,Tennessee,3,73.0,202.8,67.6,"Josh Palmer (Rd3 #77, 2021); Jalin Hyatt (Rd3 #73, 2023); Cedric Tillman (Rd3 #74, 2023)"
Jalen Tolbert,2022,88,3,South Alabama,1,255.0,27.9,27.9,"Kawaan Baker (Rd7 #255, 2021)"
David Bell,2022,99,3,Purdue,3,49.0,172.9,57.6,"Rondale Moore (Rd2 #49, 2021); Charlie Jones (Rd4 #131, 2023); Payne Durham (Rd5 #171, 2023)"
Danny Gray,2022,105,3,SMU,3,55.0,166.3,55.4,"Kylen Granson (Rd4 #127, 2021); Grant Calcaterra (Rd6 #198, 2022); Rashee Rice (Rd2 #55, 2023)"
Erik Ezukanma,2022,125,4,Texas Tech,0,,0.0,0.0,
Romeo Doubs,2022,132,4,Nevada,1,149.0,49.0,49.0,"Cole Turner (Rd5 #149, 2022)"
Calvin Austin III,2022,138,4,Memphis,0,,0.0,0.0,
Khalil Shakir,2022,148,5,Boise St.,1,124.0,54.7,54.7,"John Bates (Rd4 #124, 2021)"
Montrell Washington,2022,162,5,Samford,0,,0.0,0.0,
Kyle Philips,2022,163,5,UCLA,1,80.0,66.1,66.1,"Greg Dulcich (Rd3 #80, 2022)"
Jalen Nailor,2022,191,6,Michigan St.,2,50.0,112.0,56.0,"Connor Heyward (Rd6 #208, 2022); Jayden Reed (Rd2 #50, 2023)"
Michael Woods II,2022,202,6,Oklahoma,2,63.0,100.4,50.2,"Marvin Mims (Rd2 #63, 2023); Brayden Willis (Rd7 #247, 2023)"
Bo Melton,2022,229,7,Rutgers,0,,0.0,0.0,
Dareke Young,2022,233,7,Lenoir-Rhyne,0,,0.0,0.0,
Samori Toure,2022,258,7,Nebraska,1,191.0,40.1,40.1,"Trey Palmer (Rd6 #191, 2023)"
Jaxon Smith-Njigba,2023,20,1,Ohio St.,5,4.0,396.3,79.3,"Garrett Wilson (Rd1 #10, 2022); Chris Olave (Rd1 #11, 2022); Jeremy Ruckert (Rd3 #101, 2022); Marvin Harrison Jr. (Rd1 #4, 2024); Cade Stover (Rd4 #123, 2024)"
Quentin Johnston,2023,21,1,TCU,2,125.0,107.6,53.8,"Derius Davis (Rd4 #125, 2023); Jared Wiley (Rd4 #131, 2024)"
Zay Flowers,2023,22,1,Boston Col.,0,,0.0,0.0,
Jordan Addison,2023,23,1,USC,3,8.0,157.6,52.5,"Drake London (Rd1 #8, 2022); Brenden Rice (Rd7 #225, 2024); Tahj Washington (Rd7 #241, 2024)"
Jonathan Mingo,2023,39,2,Mississippi,0,,0.0,0.0,
Jayden Reed,2023,50,2,Michigan St.,2,191.0,76.8,38.4,"Jalen Nailor (Rd6 #191, 2022); Connor Heyward (Rd6 #208, 2022)"
Rashee Rice,2023,55,2,SMU,2,105.0,98.1,49.1,"Danny Gray (Rd3 #105, 2022); Grant Calcaterra (Rd6 #198, 2022)"
Marvin Mims,2023,63,2,Oklahoma,2,202.0,67.2,33.6,"Michael Woods II (Rd6 #202, 2022); Brayden Willis (Rd7 #247, 2023)"
Tank Dell,2023,69,3,Houston,0,,0.0,0.0,
Jalin Hyatt,2023,73,3,Tennessee,2,71.0,136.5,68.2,"Velus Jones Jr. (Rd3 #71, 2022); Cedric Tillman (Rd3 #74, 2023)"
Cedric Tillman,2023,74,3,Tennessee,2,71.0,136.8,68.4,"Velus Jones Jr. (Rd3 #71, 2022); Jalin Hyatt (Rd3 #73, 2023)"
Josh Downs,2023,79,3,North Carolina,2,113.0,92.0,46.0,"Antoine Green (Rd7 #219, 2023); Devontez Walker (Rd4 #113, 2024)"
Michael Wilson,2023,94,3,Stanford,1,197.0,38.9,38.9,"Elijah Higgins (Rd6 #197, 2023)"
Tre Tucker,2023,100,3,Cincinnati,3,53.0,176.3,58.8,"Alec Pierce (Rd2 #53, 2022); Tyler Scott (Rd4 #133, 2023); Josh Whyle (Rd5 #147, 2023)"
Derius Davis,2023,125,4,TCU,2,21.0,139.6,69.8,"Quentin Johnston (Rd1 #21, 2023); Jared Wiley (Rd4 #131, 2024)"
Charlie Jones,2023,131,4,Purdue,2,99.0,105.2,52.6,"David Bell (Rd3 #99, 2022); Payne Durham (Rd5 #171, 2023)"
Tyler Scott,2023,133,4,Cincinnati,3,53.0,184.4,61.5,"Alec Pierce (Rd2 #53, 2022); Tre Tucker (Rd3 #100, 2023); Josh Whyle (Rd5 #147, 2023)"
Justin Shorter,2023,150,5,Florida,1,31.0,82.2,82.2,"Ricky Pearsall (Rd1 #31, 2024)"
Dontayvion Wicks,2023,159,5,Virginia,2,73.0,109.6,54.8,"Jelani Woods (Rd3 #73, 2022); Malik Washington (Rd6 #184, 2024)"
Puka Nacua,2023,177,5,BYU,0,,0.0,0.0,
Parker Washington,2023,185,6,Penn St.,3,16.0,219.6,73.2,"Jahan Dotson (Rd1 #16, 2022); Brenton Strange (Rd2 #61, 2023); Theo Johnson (Rd4 #107, 2024)"
Kayshon Boutte,2023,187,6,LSU,2,6.0,180.7,90.4,"Malik Nabers (Rd1 #6, 2024); Brian Thomas (Rd1 #23, 2024)"
Trey Palmer,2023,191,6,Nebraska,1,258.0,27.3,27.3,"Samori Toure (Rd7 #258, 2022)"
A.T. Perry,2023,195,6,Wake Forest,0,,0.0,0.0,
Elijah Higgins,2023,197,6,Stanford,1,94.0,62.3,62.3,"Michael Wilson (Rd3 #94, 2023)"
Xavier Hutchinson,2023,205,6,Iowa St.,1,128.0,53.8,53.8,"Charlie Kolar (Rd4 #128, 2022)"
Andrei Iosivas,2023,206,6,Princeton,0,,0.0,0.0,
DeMario Douglas,2023,210,6,Liberty,0,,0.0,0.0,
Antoine Green,2023,219,7,North Carolina,2,79.0,123.8,61.9,"Josh Downs (Rd3 #79, 2023); Devontez Walker (Rd4 #113, 2024)"
Colton Dowell,2023,228,7,UT Martin,0,,0.0,0.0,
Jalen Brooks,2023,244,7,South Carolina,2,32.0,114.9,57.4,"Nick Muse (Rd7 #227, 2022); Xavier Legette (Rd1 #32, 2024)"
Ronnie Bell,2023,253,7,Michigan,4,58.0,221.3,55.3,"Luke Schoonmaker (Rd2 #58, 2023); Roman Wilson (Rd3 #84, 2024); AJ Barner (Rd4 #121, 2024); Cornelius Johnson (Rd7 #253, 2024)"
Grant Dubose,2023,256,7,Charlotte,0,,0.0,0.0,
Marvin Harrison Jr.,2024,4,1,Ohio St.,3,19.0,229.5,76.5,"Jaxon Smith-Njigba (Rd1 #20, 2023); Cade Stover (Rd4 #123, 2024); Emeka Egbuka (Rd1 #19, 2025)"
Malik Nabers,2024,6,1,LSU,3,23.0,204.6,68.2,"Kayshon Boutte (Rd6 #187, 2023); Brian Thomas (Rd1 #23, 2024); Mason Taylor (Rd2 #42, 2025)"
Rome Odunze,2024,9,1,Washington,3,37.0,172.2,57.4,"Ja'Lynn Polk (Rd2 #37, 2024); Jalen McMillan (Rd3 #92, 2024); Devin Culp (Rd7 #246, 2024)"
Brian Thomas,2024,23,1,LSU,3,6.0,214.1,71.4,"Kayshon Boutte (Rd6 #187, 2023); Malik Nabers (Rd1 #6, 2024); Mason Taylor (Rd2 #42, 2025)"
Xavier Worthy,2024,28,1,Texas,5,23.0,312.1,62.4,"Adonai Mitchell (Rd2 #52, 2024); Ja'Tavion Sanders (Rd4 #101, 2024); Jordan Whittington (Rd6 #213, 2024); Matthew Golden (Rd1 #23, 2025); Gunnar Helm (Rd4 #120, 2025)"
Ricky Pearsall,2024,31,1,Florida,2,103.0,108.7,54.3,"Justin Shorter (Rd5 #150, 2023); Chimere Dike (Rd4 #103, 2025)"
Xavier Legette,2024,32,1,South Carolina,1,244.0,29.9,29.9,"Jalen Brooks (Rd7 #244, 2023)"
Keon Coleman,2024,33,2,Florida St.,2,185.0,73.6,36.8,"Johnny Wilson (Rd6 #185, 2024); Jaheim Bell (Rd7 #231, 2024)"
Ladd McConkey,2024,34,2,Georgia,4,13.0,241.2,60.3,"Darnell Washington (Rd3 #93, 2023); Brock Bowers (Rd1 #13, 2024); Arian Smith (Rd4 #110, 2025); Dominic Lovett (Rd7 #244, 2025)"
Ja'Lynn Polk,2024,37,2,Washington,3,9.0,185.3,61.8,"Rome Odunze (Rd1 #9, 2024); Jalen McMillan (Rd3 #92, 2024); Devin Culp (Rd7 #246, 2024)"
Adonai Mitchell,2024,52,2,Texas,5,23.0,321.0,64.2,"Xavier Worthy (Rd1 #28, 2024); Ja'Tavion Sanders (Rd4 #101, 2024); Jordan Whittington (Rd6 #213, 2024); Matthew Golden (Rd1 #23, 2025); Gunnar Helm (Rd4 #120, 2025)"
Malachi Corley,2024,65,3,Western Kentucky,0,,0.0,0.0,
Jermaine Burton,2024,80,3,Alabama,2,101.0,103.8,51.9,"Cameron Latu (Rd3 #101, 2023); Robbie Ouzts (Rd5 #175, 2025)"
Roman Wilson,2024,84,3,Michigan,5,10.0,277.0,55.4,"Luke Schoonmaker (Rd2 #58, 2023); Ronnie Bell (Rd7 #253, 2023); AJ Barner (Rd4 #121, 2024); Cornelius Johnson (Rd7 #253, 2024); Colston Loveland (Rd1 #10, 2025)"
Jalen McMillan,2024,92,3,Washington,3,9.0,202.4,67.5,"Rome Odunze (Rd1 #9, 2024); Ja'Lynn Polk (Rd2 #37, 2024); Devin Culp (Rd7 #246, 2024)"
Luke McCaffrey,2024,100,3,Rice,0,,0.0,0.0,
Troy Franklin,2024,102,4,Oregon,2,46.0,108.2,54.1,"Terrance Ferguson (Rd2 #46, 2025); Tez Johnson (Rd7 #235, 2025)"
Javon Baker,2024,110,4,Central Florida,0,,0.0,0.0,
Devontez Walker,2024,113,4,North Carolina,2,79.0,101.0,50.5,"Josh Downs (Rd3 #79, 2023); Antoine Green (Rd7 #219, 2023)"
Jacob Cowing,2024,135,4,Arizona,2,8.0,133.2,66.6,"Tanner McLachlan (Rd6 #194, 2024); Tetairoa McMillan (Rd1 #8, 2025)"
Anthony Gould,2024,142,5,Oregon St.,1,42.0,78.0,78.0,"Luke Musgrave (Rd2 #42, 2023)"
Ainias Smith,2024,152,5,Texas A&M,0,,0.0,0.0,
Jamari Thrash,2024,156,5,Louisville,0,,0.0,0.0,
Bub Means,2024,170,5,Pittsburgh,2,202.0,68.2,34.1,"Gavin Bartholomew (Rd6 #202, 2025); Konata Mumpfield (Rd7 #242, 2025)"
Jha'Quan Jackson,2024,182,6,Tulane,0,,0.0,0.0,
Malik Washington,2024,184,6,Virginia,1,159.0,46.8,46.8,"Dontayvion Wicks (Rd5 #159, 2023)"
Johnny Wilson,2024,185,6,Florida St.,2,33.0,113.7,56.9,"Keon Coleman (Rd2 #33, 2024); Jaheim Bell (Rd7 #231, 2024)"
Casey Washington,2024,187,6,Illinois,2,74.0,133.3,66.7,"Tip Reiman (Rd3 #82, 2024); Pat Bryant (Rd3 #74, 2025)"
Tejhaun Palmer,2024,191,6,Ala-Birmingham,0,,0.0,0.0,
Jordan Whittington,2024,213,6,Texas,5,23.0,359.8,72.0,"Xavier Worthy (Rd1 #28, 2024); Adonai Mitchell (Rd2 #52, 2024); Ja'Tavion Sanders (Rd4 #101, 2024); Matthew Golden (Rd1 #23, 2025); Gunnar Helm (Rd4 #120, 2025)"
Ryan Flournoy,2024,216,6,SE Missouri St.,0,,0.0,0.0,
Brenden Rice,2024,225,7,USC,2,23.0,116.1,58.0,"Jordan Addison (Rd1 #23, 2023); Tahj Washington (Rd7 #241, 2024)"
Devaughn Vele,2024,235,7,Utah,2,25.0,115.2,57.6,"Dalton Kincaid (Rd1 #25, 2023); Caleb Lohner (Rd7 #241, 2025)"
Tahj Washington,2024,241,7,USC,2,23.0,119.1,59.5,"Jordan Addison (Rd1 #23, 2023); Brenden Rice (Rd7 #225, 2024)"
Cornelius Johnson,2024,253,7,Michigan,5,10.0,313.7,62.7,"Luke Schoonmaker (Rd2 #58, 2023); Ronnie Bell (Rd7 #253, 2023); Roman Wilson (Rd3 #84, 2024); AJ Barner (Rd4 #121, 2024); Colston Loveland (Rd1 #10, 2025)"
Travis Hunter,2025,2,1,Colorado,2,203.0,74.4,37.2,"LaJohntay Wester (Rd6 #203, 2025); Jimmy Horn (Rd6 #208, 2025)"
Tetairoa McMillan,2025,8,1,Arizona,2,135.0,91.7,45.8,"Jacob Cowing (Rd4 #135, 2024); Tanner McLachlan (Rd6 #194, 2024)"
Emeka Egbuka,2025,19,1,Ohio State,2,4.0,151.7,75.9,"Marvin Harrison Jr. (Rd1 #4, 2024); Cade Stover (Rd4 #123, 2024)"
Matthew Golden,2025,23,1,Texas,5,28.0,309.9,62.0,"Xavier Worthy (Rd1 #28, 2024); Adonai Mitchell (Rd2 #52, 2024); Ja'Tavion Sanders (Rd4 #101, 2024); Jordan Whittington (Rd6 #213, 2024); Gunnar Helm (Rd4 #120, 2025)"
Jayden Higgins,2025,34,2,Iowa State,1,79.0,66.4,66.4,"Jaylin Noel (Rd3 #79, 2025)"
Luther Burden III,2025,39,2,Missouri,1,39.0,79.1,79.1,"Luther Burden (Rd2 #39, 2025)"
Tre Harris,2025,55,2,Ole Miss,1,138.0,51.5,51.5,"Jordan Watkins (Rd4 #138, 2025)"
Kyle Williams,2025,69,3,Washington State,0,,0.0,0.0,
Isaac TeSlaa,2025,70,3,Arkansas,0,,0.0,0.0,
Pat Bryant,2025,74,3,Illinois,2,82.0,106.4,53.2,"Tip Reiman (Rd3 #82, 2024); Casey Washington (Rd6 #187, 2024)"
Chimere Dike,2025,103,4,Florida,1,31.0,82.2,82.2,"Ricky Pearsall (Rd1 #31, 2024)"
Elic Ayomanor,2025,136,4,Stanford,0,,0.0,0.0,
Tez Johnson,2025,235,7,Oregon,2,46.0,136.8,68.4,"Troy Franklin (Rd4 #102, 2024); Terrance Ferguson (Rd2 #46, 2025)"
