player_name,draft_year,pick,round,college,teammate_count,best_teammate_pick,total_teammate_dc,avg_teammate_dc,teammate_names
Pharoh Cooper,2016,117,4,South Carolina,2,184.0,69.6,34.8,"Rory Anderson (Rd7 #254, 2015); Jerell Adams (Rd6 #184, 2016)"
Demarcus Robinson,2016,126,4,Florida,1,221.0,34.2,34.2,"Andre Debose (Rd7 #221, 2015)"
Tajae Sharpe,2016,140,5,Massachusetts,0,,0.0,0.0,
Jordan Payton,2016,154,5,UCLA,2,231.0,63.3,31.7,"Thomas Duarte (Rd7 #231, 2016); Devin Fuller (Rd7 #238, 2016)"
Trevor Davis,2016,163,5,California,2,141.0,80.9,40.4,"Kenny Lawler (Rd7 #243, 2016); Chad Hansen (Rd4 #141, 2017)"
Tyreek Hill,2016,165,5,West Alabama,0,,0.0,0.0,
Rashard Higgins,2016,172,5,Colorado St.,0,,0.0,0.0,
Moritz Boehringer,2016,180,6,,0,,0.0,0.0,
Jakeem Grant,2016,186,6,Texas Tech,0,,0.0,0.0,
Kolby Listenbee,2016,192,6,TCU,1,22.0,86.1,86.1,"Josh Doctson (Rd1 #22, 2016)"
Cody Core,2016,199,6,Mississippi,2,23.0,171.3,85.6,"Laquon Treadwell (Rd1 #23, 2016); Evan Engram (Rd1 #23, 2017)"
Mike Thomas,2016,206,6,Southern Miss,0,,0.0,0.0,
Aaron Burbridge,2016,213,6,Michigan St.,2,156.0,90.8,45.4,"Tony Lippett (Rd5 #156, 2015); Keith Mumphery (Rd5 #175, 2015)"
Devin Lucien,2016,225,7,Arizona St.,1,70.0,69.0,69.0,"Jaelen Strong (Rd3 #70, 2015)"
Demarcus Ayers,2016,229,7,Houston,0,,0.0,0.0,
Daniel Braverman,2016,230,7,Western Michigan,1,5.0,95.9,95.9,"Corey Davis (Rd1 #5, 2017)"
Devin Fuller,2016,238,7,UCLA,2,154.0,80.2,40.1,"Jordan Payton (Rd5 #154, 2016); Thomas Duarte (Rd7 #231, 2016)"
Charone Peake,2016,241,7,Clemson,2,7.0,143.2,71.6,"Mike Williams (Rd1 #7, 2017); Jordan Leggett (Rd5 #150, 2017)"
Kenny Lawler,2016,243,7,California,2,141.0,96.7,48.4,"Trevor Davis (Rd5 #163, 2016); Chad Hansen (Rd4 #141, 2017)"
Corey Davis,2017,5,1,Western Michigan,1,230.0,32.5,32.5,"Daniel Braverman (Rd7 #230, 2016)"
Mike Williams,2017,7,1,Clemson,4,150.0,161.5,40.4,"Charone Peake (Rd7 #241, 2016); Jordan Leggett (Rd5 #150, 2017); Deon Cain (Rd6 #185, 2018); Ray-Ray McCloud (Rd6 #187, 2018)"
John Ross,2017,9,1,Washington,2,44.0,133.0,66.5,"Dante Pettis (Rd2 #44, 2018); Will Dissly (Rd4 #120, 2018)"
Zay Jones,2017,37,2,East Carolina,0,,0.0,0.0,
Curtis Samuel,2017,40,2,Ohio St.,4,47.0,234.1,58.5,"Michael Thomas (Rd2 #47, 2016); Braxton Miller (Rd3 #85, 2016); Nick Vannett (Rd3 #94, 2016); Noah Brown (Rd7 #239, 2017)"
