player_name,draft_year,pick,round,college,best_ppr,hit24,yprr,yards,receptions,grades_offense,pff_file
Courtland Sutton,2018,40,2,SMU,247.6,1,2.21,1085,68,78.0,data/receiving_summary (4).csv
Dante Pettis,2018,44,2,Washington,103.5,0,2.57,757,62,81.4,data/receiving_summary (4).csv
Christian Kirk,2018,47,2,Texas A&M,285.7,1,2.3,919,71,78.1,data/receiving_summary (4).csv
Anthony Miller,2018,51,2,Memphis,127.5,0,3.47,1459,96,86.2,data/receiving_summary (4).csv
James Washington,2018,60,2,Oklahoma St.,133.5,0,3.48,1546,74,85.7,data/receiving_summary (4).csv
DJ Chark,2018,61,2,LSU,115.5,0,2.92,873,40,76.8,data/receiving_summary (4).csv
Michael Gallup,2018,81,3,Colorado St.,212.7,0,3.18,1413,100,91.3,data/receiving_summary (4).csv
Tre'Quan Smith,2018,91,3,Central Florida,126.6,0,2.81,1171,59,83.7,data/receiving_summary (4).csv
Keke Coutee,2018,103,4,Texas Tech,90.7,0,3.09,1429,93,83.3,data/receiving_summary (4).csv
DaeSean Hamilton,2018,113,4,Penn St.,66.3,0,2.02,864,53,80.8,data/receiving_summary (4).csv
Jaleel Scott,2018,132,4,New Mexico St.,2.6,0,1.86,1078,76,75.9,data/receiving_summary (4).csv
J'Mon Moore,2018,133,4,Missouri,3.5,0,2.85,1082,65,77.2,data/receiving_summary (4).csv
Jordan Lasley,2018,162,5,UCLA,0.0,0,3.15,1264,69,82.1,data/receiving_summary (4).csv
Marquez Valdes-Scantling,2018,174,5,South Florida,166.1,0,2.31,875,53,71.1,data/receiving_summary (4).csv
Damion Ratley,2018,175,6,Texas A&M,38.0,0,1.91,694,30,68.0,data/receiving_summary (4).csv
Deon Cain,2018,185,6,Clemson,21.4,0,2.07,734,58,73.1,data/receiving_summary (4).csv
Ray-Ray McCloud,2018,187,6,Clemson,142.5,0,1.44,490,50,62.1,data/receiving_summary (4).csv
Dylan Cantrell,2018,191,6,Texas Tech,0.0,0,1.49,815,71,71.1,data/receiving_summary (4).csv
Russell Gage,2018,194,6,LSU,175.5,0,1.47,285,21,67.9,data/receiving_summary (4).csv
Equanimeous St. Brown,2018,207,6,Notre Dame,62.7,0,1.7,515,33,71.1,data/receiving_summary (4).csv
Cedrick Wilson Jr.,2018,208,6,Boise St.,76.3,0,3.45,1511,83,88.9,data/receiving_summary (4).csv
Braxton Berrios,2018,210,6,Miami (FL),115.1,0,1.69,680,55,71.8,data/receiving_summary (4).csv
Javon Wims,2018,224,7,Georgia,42.6,0,2.57,724,46,79.9,data/receiving_summary (4).csv
Marcell Ateman,2018,228,7,Oklahoma St.,36.4,0,3.52,1160,60,89.3,data/receiving_summary (4).csv
