,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA
Aaron Anderson ,,,,11,1.64,14.0,3,N,,,,,,,12.6,,Adam Randall,,113.2,4.50,,232,29.0,124.9,82.5,"1,059",36,,11.1,5.0
Antonio Williams,,4.41,,17,1.71,3.2,3,N,5114,,26.1,9.250,30.750,,11.3,,Chip Trayanum,,#DIV/0!,,,,,,61.2,"1,227",21,,-7.0,5.3
Brenen Thompson ,,4.26,,12,2.70,63.7,4,N,,,,,,,18.5,,CJ Donaldson,,#DIV/0!,,,230,29.5,,50.2,854,15,,-10.9,4.7
Bryce Lance,,4.34,,34,4.15,15.6,3,N,6030,,25.5,9.250,32.125,,17.0,,Daniel Hishaw,,#DIV/0!,,,,,,30.2,613,6,,-6.7,5.0
Caleb Douglas,,4.39,,14,1.71,28.3,3,N,6034,,25.7,10.125,32.500,,15.2,,Darius Taylor,,#DIV/0!,,,,,,68.7,"1,336",54,,15.1,5.1
Carnell Tate,,4.54,,16,2.14,24.0,3,Y,6022,,24.6,10.250,31.750,,15.5,,Dean Connors,,#DIV/0!,,,,,,75.8,"1,233",61,,10.6,5.2
Chase Roberts,,4.64,,22,2.12,22.6,2,N,6030,,26.1,9.750,31.500,,15.2,,Demond Claiborne,,103.1,4.37,,188,27.0,,68.3,"1,303",28,,1.5,4.7
Chris Bell,,,,17,2.19,20.2,3,N,6017,,29.2,10.000,31.750,,14.3,,Desmond Reid,,#DIV/0!,,,174,28.1,,71.0,"1,548",51,,9.6,6.0
Chris Brazzell,,4.37,,16,2.33,19.9,2,N,6040,,24.1,9.000,32.375,,15.3,,Eli Heidenreich,,101.9,4.44,,198,26.9,120.4,,"1,440",51,,24.5,6.8
Chris Hilton Jr,,4.41,,4,0.55,52.0,N/A,N,6000,,25.5,9.250,32.000,,19.0,,Emmett Johnson,,93.4,4.56,,202,29.0,120.4,81.1,"1,821",46,,10.2,5.4
CJ Daniels,,,,15,3.52,11.6,4,N,,,,,,,15.1,,J'Mari Taylor,,#DIV/0!,,,199,28.6,116.2,79.1,"1,413",43,,-7.7,5.1
Colbie Young,,,,12,1.29,11.8,N/A,N,,,,,,,12.8,,Jadarian Price,,99.9,4.49,,203,29.0,121.5,30.6,761,6,,-0.5,6.0
Cooper Barkate,,,,26,2.19,17.4,3,N,,,,,,,15.3,,Jam Miller,,109.5,4.42,,209,29.1,109.4,57.3,831,19,,-3.2,4.6
Cyrus Allen,,,,19,1.84,30.4,2,N,,,,,,,16.3,,Jamal Haynes,,#DIV/0!,,,,,,78.9,"1,212",34,,-2.9,5.4
Dane Key,,,,22,2.29,12.9,1,N,,,,,,,14.0,,Jaydn Ott,,#DIV/0!,,,,,,86.8,"1,507",46,,-3.2,4.8
De'Zhaun Stribling,,4.36,,17,1.98,14.9,4,N,6020,,26.6,10.000,31.625,,13.7,,Jeremiah Cobb,,#DIV/0!,,,,,,63.3,"1,052",11,,-6.9,5.4
Deion Burks,,4.3,,13,1.60,2.3,3,N,5096,,26.5,9.500,29.375,,10.9,,Jeremiyah Love,,117.3,4.36,,212,28.7,,66.7,"1,652",28,,9.5,6.6
Denzel Boston,,,,15,2.38,13.9,3,N,6035,,26.5,9.750,32.000,,13.5,,Jonah Coleman,,#DIV/0!,,,220,33.4,,74.3,"1,237",31,,0.9,5.5
Elijah Sarratt,,,,27,2.78,14.2,2,N,6024,,27.0,10.000,31.250,,15.3,,Kaelon Black,,#DIV/0!,,,,,,47.7,"1,076",25,,6.0,5.3
Emmanuel Henderson,,4.44,,7,2.22,34.9,4,N,6010,,24.4,8.325,31.000,,17.0,,Kaytron Allen,,#DIV/0!,,,216,30.1,,43.5,"1,371",20,,0.9,5.4
Eric McAlister,,,,22,2.59,40.8,2,N,,,,,,,18.3,,Kevon King,,#DIV/0!,,,,,,48.3,,,,,
Eric Rivers,,4.35,,19,3.51,21.9,4,N,5110,,24.5,9.000,30.500,,15.6,,Le'Veon Moss,,#DIV/0!,,,203,28.3,,49.3,905,11,,9.3,5.5
Germie Bernard,,4.48,,14,2.24,10.1,3,N,6012,,27.2,9.875,30.375,,14.2,,Mark Fletcher ,,#DIV/0!,,,,,,39.6,,,,,
Griffin Wilde,,,,35,2.33,18.1,2,Y,,,,,,,15.0,,Mike Washington Jr,,126.9,4.33,,223,29.4,130.3,79.6,"1,292",28,,-0.4,4.9
J. Michael Sturdivant,,4.4,,14,1.62,22.7,2,N,6030,,25.9,9.500,32.875,,13.9,,Nicholas Singleton,,#DIV/0!,,,219,29.7,,62.2,"1,481",41,,2.8,5.5
Ja'Kobi Lane,,4.47,,14,1.77,10.4,N/A,Y,6040,,24.3,10.500,32.625,,13.8,,Noah Whittington ,,#DIV/0!,,,205,31.2,,38.1,946,24,,5.6,5.7
Jeff Caldwell,,4.31,,38,3.71,35.8,2,N,6050,,25.3,9.750,32.625,,18.1,,Rahsul Faison,,#DIV/0!,,,208,29.8,,55.3,"1,206",22,,1.3,5.6
Jordyn Tyson,,,,30,2.88,17.2,1,N,6021,,26.1,9.125,30.250,,14.3,,Robert Henry Jr,,93.9,4.52,,196,28.9,124.9,58.9,1.163,21,,14.2,5.9
Josh Cameron,,,,16,1.83,5.0,3,N,,,,,,,13.1,,Roman Hemby,,#DIV/0!,,,207,28.1,,73.6,"1,284",40,,-1.5,4.9
KC Concepcion,,,,28,2.25,-1.9,1,Y,5115,,27.2,9.250,30.250,,12.0,,Seth McGowan,,109.7,4.49,,223,30.2,137.8,47.4,"1,104",24,,1.4,5.1
Kendrick Law,,4.45,,8,1.47,-3.7,4,N,5110,,28.3,9.625,31.125,,10.3,,Terion Stewart,,#DIV/0!,,,,,,53.9,929,4,,15.7,5.9
Kevin Coleman Jr,,4.49,,21,2.30,7.0,3,N,5100,,25.7,9.500,30.000,,12.6,,,,,,,,,,,,,,,
