,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA
Makai Lemon,,,,17,2.75,17.6,3,Y,5111,,26.8,8.750,30.500,,14.7,,,,,,,,,,,,,,,
Malachi Fields,,4.61,,17,2.05,21.8,3,N,6044,,26.5,9.000,32.125,,15.1,,,,,,,,,,,,,,,
Malik Benson,,4.37,,12,1.65,21.5,N/A,N,6000,,25.6,8.625,31.875,,14.7,,,,,,,,,,,,,,,
Noah Thomas,,,,13,1.59,15.3,3,N,,,,,,,13.9,,,,,,,,,,,,,,,
Nyziah Hunter,,,,21,1.63,28.6,2,Y,,,,,,,14.4,,,,,,,,,,,,,,,
Omar Cooper Jr,,4.47,,14,2.48,5.2,4,N,6001,,26.6,9.625,30.250,,13.6,,,,,,,,,,,,,,,
Reggie Virgil,,,,13,2.05,22.5,3,N,,,,,,,15.8,,,,,,,,,,,,,,,
Skyler Bell,,4.4,,19,2.83,13.8,4,N,6000,,26.0,10.000,31.125,,13.2,,,,,,,,,,,,,,,
Ted Hurst,,4.42,,33,2.14,40.6,2,Y,,,,,,,15.4,,,,,,,,,,,,,,,
Tyren Montgomery ,,,,38,4.62,28.9,6,N,,,,,,,15.8,,,,,,,,,,,,,,,
Zachariah Branch ,,4.35,,15,1.94,-14.5,4,N,5085,,26.8,9.000,29.375,,10.2,,,,,,,,,,,,,,,
Zavion Thomas,,4.28,,11,1.45,4.9,N/A,N,5110,,26.4,9.000,30.500,,11.5,,,,,,,,,,,,,,,
