,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOA,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
Tavon Austin,1.08,4.34,1.55,22,2.40,0.4,19.5,2,N,5084,8024,26.5,9.125,30.000,6.45,11.9,1,25,,Giovani Bernard,2.05,95.9,4.53,1.56,202,30.7,118.0,82.6,"1,718",47,7.40,11.3,5.9,3,23
DeAndre Hopkins,1.27,4.57,1.62,27,2.96,18.4,18.2,1,Y,6010,8103,28.2,10.000,33.375,4.94,14.7,9,16,,Le'Veon Bell,2.16,102.7,4.60,1.57,230,30.3,112.6,77.4,"1,960",35,8.88,2.6,5.0,5,7
Cordarrell Patterson,1.29,4.42,1.60,19,1.63,27.4,N/A,N/A,Y,6017,8094,27.7,9.000,31.625,7.68,16.9,2,20,,Montee Ball,2.26,94.8,4.61,1.62,214,30.7,113.4,72.3,"2,229",24,3.86,-6.7,5.6,0,0
Justin Hunter,2.02,4.44,1.58,18,2.27,13.4,21.3,3,Y,6040,9012,23.9,9.375,33.250,8.68,17.1,0,0,,Eddie Lacy,2.29,101.4,4.62,1.65,231,32.2,112.8,54.2,"1,511",22,4.58,17.2,6.8,2,7
Robert Woods,2.09,4.51,1.62,28,2.89,-2.1,18.4,1,Y,6003,8073,27.3,9.250,31.000,3.55,11.6,4,18,,Christine Michael,2.30,103.6,4.54,1.56,220,31.6,135.6,32.9,934,15,9.79,1.0,5.3,0,0
Aaron Dobson,2.27,4.42,1.51,21,1.64,32.7,19.1,2,N,6026,8116,26.2,9.000,33.000,8.52,14.5,0,0,,Knile Davis,3.34,124.5,4.37,1.54,227,32.6,117.5,46.6,"1,458",19,9.45,5.0,5.3,0,0
Terrance Williams,3.12,4.52,1.61,19,3.86,19.2,22.0,4,N,6020,8092,26.7,8.750,31.250,4.76,16.5,0,0,,Johnathan Franklin,4.28,100.9,4.49,1.56,205,29.4,111.1,63.7,"2,057",33,6.06,19.7,5.6,0,0
Keenan Allen,3.14,4.76,N/A,32,3.05,3.2,18.4,1,Y,6020,8106,26.4,10.000,32.750,N/A,12.5,9,17,,Marcus Lattimore,4.34,101.3,4.57,N/A,221,30.8,N/A,84.2,"1,609",29,N/A,5.2,4.8,0,0
Marquise Goodwin,3.16,4.27,1.51,11,1.18,0.1,N/A,N/A,N,5087,8043,27.0,8.625,31.500,9.27,11.4,0,0,,Denard Robinson,5.02,103.3,4.43,1.58,199,28.6,123.6,N/A,"1,702",N/A,7.02,N/A,6.2,0,0
Markus Wheaton,3.17,4.45,1.60,20,2.47,14.2,19.6,2,N,5110,8076,26.4,9.125,32.750,8.38,13.2,0,0,,Stepfan Taylor,5.07,83.4,4.76,1.65,214,31.6,106.0,80.8,"1,817",41,0.47,-3.2,5.1,0,0
Stedman Bailey,3.30,4.52,1.59,28,3.02,29.1,20.8,3,N,5102,8070,27.7,9.875,32.750,5.64,15.3,0,0,,Joseph Randle,5.18,91.4,4.63,1.63,210,28.5,121.0,75.2,"1,641",43,6.27,-7.7,5.5,0,0
Ace Sanders,4.04,4.58,1.60,14,1.45,-6.2,N/A,N/A,Y,5070,8004,27.1,8.875,29.500,1.89,12.4,0,0,,Chris Thompson,5.21,96.2,4.47,N/A,192,30.1,118.5,39.5,"1,000",21,N/A,26.0,6.3,1,27
Josh Boyce,4.05,4.38,1.54,27,2.85,18.8,19.3,2,Y,5111,8063,28.7,9.250,31.250,9.60,15.7,0,0,,Zac Stacy,5.27,104.5,4.55,1.57,224,34.1,117.1,57.7,"1,346",20,8.16,13.1,5.4,1,20
Chris Harper,4.26,4.53,1.59,24,2.69,12.4,21.9,3,N,6006,8085,30.2,9.250,31.875,7.16,14.1,0,0,,Mike Gillislee,5.31,102.2,4.55,1.62,219,30.5,111.4,57.2,"1,311",16,3.91,3.3,5.3,0,0
Quinton Patton,4.31,4.53,1.59,37,2.61,22.8,21.1,3,N,6000,8087,27.7,9.375,32.875,5.64,14.2,0,0,,Latavius Murray,6.13,115.8,4.43,1.48,223,28.6,123.2,74.5,"1,337",27,9.83,10.2,5.4,3,19
Kenny Stills,5.11,4.38,1.54,20,1.68,4.3,19.4,2,Y,6004,8070,26.3,9.000,30.500,7.13,12.4,0,0,,Kenjon Barner,6.14,93.9,4.52,1.64,196,28.9,121.4,37.6,"2,023",20,6.33,-0.8,6.2,0,0
Tavarres King,5.28,4.47,1.57,14,2.38,33.3,22.1,5,N,6002,8092,25.6,9.500,33.000,6.31,19.1,0,0,,Andre Ellington,6.19,92.0,4.56,1.57,199,29.4,118.8,76.4,"1,313",22,5.70,14.6,5.5,1,19
Corey Fuller,6.03,4.43,1.55,14,1.86,37.8,21.2,3,N,6022,8114,26.2,9.500,33.250,5.83,18.5,0,0,,Mike James,6.21,105.9,4.53,1.60,223,32.0,117.0,51.5,965,30,7.70,-15.7,4.4,0,0
Ryan Swope,6.06,4.34,1.50,20,2.25,4.7,19.9,3,N,6001,8074,27.8,8.500,31.375,9.54,12.4,0,0,,Rex Burkhead,6.22,85.5,4.73,1.63,214,30.7,128.8,74.4,"1,534",21,7.43,0.0,5.2,1,38
Justin Brown,6.18,4.65,1.55,14,1.54,8.3,20.5,3,N,6031,8106,26.1,9.500,31.626,4.63,13.2,0,0,,Spencer Ware,6.26,96.3,4.67,N/A,229,32.9,119.9,45.7,780,18,6.30,-20.8,4.2,1,16
Alan Bonner,6.27,4.59,1.63,N/A,2.80,N/A,20.8,3,N,5102,8044,27.7,9.375,30.250,2.70,17.2,0,0,,Theo Riddick,6.31,81.7,4.71,1.59,201,28.8,113.4,65.0,"1,287",40,3.31,-12.7,4.8,1,27
