player_name,position,draft_year,pick,college,rec_yards,team_pass_attempts,age,weight,forty,draft_capital_score,breakout_score,athletic_score,slap_score,tier
Pierre Strong,RB,2022,127,South Dakota St.,8.0,406.0,23.0,207.0,4.37,46.5,25.1,68.4,28.2,Below Avg
Hassan Haskins,RB,2022,131,Michigan,131.0,395.0,22.0,228.0,,46.1,39.8,,27.9,Below Avg
Joshua Kelley,RB,2020,112,UCLA,71.0,426.0,22.0,212.0,4.49,48.2,32.1,51.8,27.6,Below Avg
Josh Downs,WR,2023,79,North Carolina,1029.0,525.0,22.0,171.0,4.48,47.7,48.1,24.9,27.3,Below Avg
Jauan Jennings,WR,2020,217,Tennessee,969.0,360.0,23.0,215.0,4.72,40.1,56.1,27.7,26.9,Below Avg
Quintez Cephus,WR,2020,166,Wisconsin,901.0,351.0,22.0,202.0,4.73,41.7,59.2,18.2,26.6,Below Avg
Arian Smith,WR,2025,110,Georgia,817.0,513.0,23.0,179.0,4.36,44.8,38.2,47.6,26.3,Below Avg
Bo Melton,WR,2022,229,Rutgers,618.0,394.0,23.0,189.0,4.34,39.8,37.8,59.5,26.0,Below Avg
Lynn Bowden Jr.,WR,2020,80,Kentucky,348.0,257.0,22.0,204.0,,47.6,37.1,,25.6,Below Avg
Demetric Felton,RB,2021,211,UCLA,159.0,200.0,23.0,189.0,4.55,40.7,57.4,22.6,25.3,Below Avg
Van Jefferson,WR,2020,57,Florida,657.0,467.0,24.0,200.0,,51.1,32.3,,24.7,Below Avg
Jase McClellan,RB,2024,186,Alabama,137.0,325.0,22.0,221.0,,42.0,44.0,,24.7,Below Avg
DeeJay Dallas,RB,2020,144,Miami,140.0,437.0,21.0,217.0,4.58,44.9,41.0,41.5,24.4,Below Avg
Chris Evans,RB,2021,202,Michigan,87.0,213.0,23.0,211.0,4.5,41.2,41.3,49.2,24.0,Below Avg
Dezmon Patmon,WR,2020,212,Washington State,762.0,710.0,22.0,225.0,4.48,40.2,31.9,67.8,23.7,Below Avg
Keaontay Ingram,RB,2022,201,USC,156.0,500.0,22.0,221.0,4.53,41.2,38.9,53.0,23.4,Below Avg
Shi Smith,WR,2021,204,South Carolina,621.0,295.0,22.0,237.0,4.79,40.4,50.8,33.1,23.1,Below Avg
Isiah Pacheco,RB,2022,251,Rutgers,25.0,394.0,23.0,216.0,4.37,39.1,26.9,77.4,22.7,Below Avg
Ainias Smith,WR,2024,152,Texas A&M,795.0,426.0,23.0,190.0,,42.3,42.6,,22.4,Below Avg
Tyrone Tracy Jr.,RB,2024,166,Purdue,132.0,392.0,24.0,209.0,4.48,43.3,36.5,50.8,22.1,Below Avg
Charlie Jones,WR,2023,131,Purdue,1361.0,581.0,24.0,175.0,4.43,43.4,45.6,34.5,21.8,Below Avg
Chuba Hubbard,RB,2021,126,Oklahoma State,52.0,340.0,22.0,210.0,4.48,46.6,31.4,51.7,21.4,Below Avg
Kylin Hill,RB,2021,256,Mississippi State,237.0,557.0,23.0,214.0,4.51,38.9,42.0,50.2,21.1,Below Avg
Ronnie Bell,WR,2023,253,Michigan,889.0,370.0,23.0,191.0,4.54,39.2,51.4,32.9,20.8,Below Avg
Anthony Gould,WR,2024,142,Oregon State,718.0,380.0,23.0,174.0,4.39,42.8,43.0,39.0,20.5,Below Avg
Tahj Brooks,RB,2025,193,Texas Tech,185.0,536.0,23.0,214.0,4.52,41.6,38.7,48.6,20.1,Below Avg
Cornell Powell,WR,2021,181,Clemson,882.0,490.0,23.0,204.0,4.53,41.2,41.6,44.1,19.8,Below Avg
Donovan Peoples-Jones,WR,2020,187,Michigan,438.0,410.0,21.0,212.0,4.48,41.0,34.0,57.4,19.5,Below Avg
Racey McMath,WR,2021,205,LSU,195.0,421.0,22.0,217.0,4.36,40.4,20.8,81.2,19.2,Below Avg
Jake Funk,RB,2021,233,Maryland,68.0,157.0,23.0,204.0,4.49,39.8,42.3,44.7,18.8,Below Avg
Cedric Tillman,WR,2023,74,Tennessee,417.0,422.0,23.0,213.0,4.54,48.3,28.4,49.5,18.5,Below Avg
Puka Nacua,WR,2023,177,BYU,625.0,392.0,22.0,201.0,,41.3,41.5,,18.2,Below Avg
Parker Washington,WR,2023,185,Penn State,611.0,422.0,21.0,204.0,,41.0,41.7,,17.9,Below Avg
Grant Dubose,WR,2023,256,Charlotte,792.0,429.0,22.0,201.0,4.57,39.2,46.1,36.5,17.5,Below Avg
Jacob Cowing,WR,2024,135,Arizona,839.0,464.0,23.0,168.0,4.38,43.2,41.7,35.1,17.2,Below Avg
Kyle Philips,WR,2022,163,UCLA,739.0,335.0,23.0,189.0,4.58,41.9,48.2,26.5,16.9,Below Avg
Tejhaun Palmer,WR,2024,191,Ala-Birmingham,858.0,427.0,24.0,,,40.8,40.9,,16.6,Below Avg
Jalen McMillan,WR,2024,92,Washington,559.0,575.0,22.0,197.0,4.47,46.3,30.1,46.9,16.2,Below Avg
Antoine Green,WR,2023,219,North Carolina,798.0,525.0,23.0,199.0,4.47,40.0,37.0,48.6,15.9,Below Avg
Snoop Conner,RB,2022,154,Mississippi,82.0,429.0,22.0,222.0,4.59,44.1,33.2,44.0,15.6,Below Avg
K.J. Osborn,WR,2020,176,Miami,547.0,437.0,23.0,203.0,4.48,41.4,32.6,50.3,15.3,Below Avg
Kaden Prather,WR,2025,240,Maryland,624.0,493.0,23.0,204.0,4.46,39.5,32.9,54.0,14.9,Below Avg
Ihmir Smith-Marsette,WR,2021,157,Iowa,345.0,248.0,22.0,181.0,4.43,42.1,37.7,39.4,14.6,Below Avg
Kevin Harris,RB,2022,183,South Carolina,89.0,360.0,21.0,221.0,,42.2,37.2,,14.3,Below Avg
Casey Washington,WR,2024,187,Illinois,670.0,414.0,23.0,,,41.0,38.6,,14.0,Below Avg
Dazz Newsome,WR,2021,221,North Carolina,684.0,357.0,22.0,190.0,4.59,40.0,47.3,26.1,13.6,Below Avg
Zach Evans,RB,2023,215,Mississippi,119.0,386.0,22.0,202.0,,40.6,38.7,,13.3,Below Avg
Lew Nichols,RB,2023,235,Central Michigan,128.0,389.0,22.0,,,39.7,39.7,,13.0,Below Avg
Larry Rountree,RB,2021,198,Missouri,100.0,363.0,22.0,,4.62,41.4,37.2,,12.7,Below Avg
Tory Horton,WR,2025,166,Colorado State,331.0,388.0,22.0,196.0,4.41,41.7,27.9,54.9,12.3,Below Avg
Gary Brightwell,RB,2021,196,Arizona,58.0,188.0,22.0,218.0,4.62,41.5,38.7,36.2,12.0,Below Avg
Jalen Nailor,WR,2022,191,Michigan State,695.0,400.0,23.0,186.0,4.5,40.8,40.5,34.2,11.7,Below Avg
Michael Wilson,WR,2023,94,Stanford,418.0,448.0,23.0,213.0,4.58,46.1,27.5,44.0,11.4,Below Avg
Freddie Swain,WR,2020,214,Florida,517.0,467.0,22.0,197.0,4.46,40.2,32.5,48.4,11.0,Below Avg
Dominic Lovett,WR,2025,244,Georgia,607.0,513.0,22.0,185.0,4.4,39.4,33.9,47.0,10.7,Below Avg
Kayshon Boutte,WR,2023,187,LSU,538.0,480.0,21.0,195.0,4.5,41.0,35.1,41.2,10.4,Below Avg
Devaughn Vele,WR,2024,235,Utah,593.0,328.0,26.0,203.0,4.47,39.6,30.7,51.8,10.1,Below Avg
Brittain Brown,RB,2022,250,UCLA,129.0,335.0,24.0,,,39.1,38.3,,9.7,Below Avg
George Pickens,WR,2022,52,Georgia,107.0,407.0,21.0,195.0,4.47,52.2,17.6,45.3,9.4,Below Avg
Derius Davis,WR,2023,125,TCU,531.0,454.0,22.0,165.0,4.36,43.8,33.7,35.2,9.1,Below Avg
Jawhar Jordan,RB,2024,205,Louisville,246.0,408.0,25.0,193.0,4.56,41.0,43.1,24.6,8.8,Below Avg
Collin Johnson,WR,2020,165,Texas,559.0,470.0,22.0,222.0,,41.8,34.0,,8.4,Below Avg
Tyrie Cleveland,WR,2020,252,Florida,351.0,467.0,22.0,209.0,4.46,39.2,26.0,58.1,8.1,Below Avg
Kene Nwangwu,RB,2021,119,Iowa State,22.0,372.0,23.0,,,47.4,26.7,,7.8,Below Avg
Keilan Robinson,RB,2024,167,Texas,56.0,475.0,24.0,191.0,4.42,43.2,28.6,44.1,7.5,Below Avg
K.J. Hill,WR,2020,220,Ohio State,636.0,406.0,22.0,196.0,4.6,40.0,40.9,29.2,7.1,Below Avg
Jha'Quan Jackson,WR,2024,182,Tulane,439.0,368.0,24.0,188.0,4.42,41.1,29.3,46.7,6.8,Below Avg
Jermar Jefferson,RB,2021,257,Oregon State,67.0,233.0,21.0,206.0,4.57,38.9,39.3,33.9,6.5,Below Avg
Dontayvion Wicks,WR,2023,159,Virginia,430.0,342.0,22.0,206.0,4.62,42.0,35.3,33.8,6.2,Below Avg
LaJohntay Wester,WR,2025,203,Colorado,931.0,481.0,23.0,163.0,4.46,40.5,43.8,20.9,5.8,Below Avg
Konata Mumpfield,WR,2025,242,Pittsburgh,813.0,499.0,22.0,186.0,4.59,39.5,42.1,23.2,5.5,Below Avg
Michael Woods II,WR,2022,202,Oklahoma,400.0,403.0,22.0,204.0,4.55,40.5,30.4,41.4,5.2,Below Avg
Raymond Calais,RB,2020,245,Louisiana,67.0,412.0,22.0,188.0,4.42,39.3,31.9,41.3,4.9,Below Avg
Phil Mafah,RB,2025,239,Clemson,103.0,529.0,22.0,234.0,,39.5,33.4,,4.5,Below Avg
Kalel Mullings,RB,2025,188,Michigan,35.0,308.0,22.0,226.0,,41.9,29.6,,4.2,Below Avg
Chris Rodriguez,RB,2023,193,Kentucky,41.0,349.0,22.0,217.0,,41.6,29.8,,3.9,Below Avg
Kyle Monangai,RB,2025,233,Rutgers,75.0,395.0,23.0,211.0,4.6,39.8,32.2,33.6,3.6,Below Avg
Zander Horvath,RB,2022,260,Purdue,108.0,576.0,23.0,,,38.8,32.1,,3.2,Below Avg
Jordan Whittington,WR,2024,213,Texas,505.0,475.0,23.0,205.0,,40.2,29.6,,2.9,Below Avg
Ben Skowronek,WR,2021,249,Notre Dame,439.0,362.0,24.0,220.0,,39.3,29.5,,2.6,Below Avg
Tez Johnson,WR,2025,235,Oregon,898.0,460.0,23.0,154.0,4.51,39.6,44.0,8.2,2.3,Below Avg
Marquez Stevenson,WR,2021,203,Houston,307.0,297.0,23.0,180.0,4.48,40.5,29.1,32.1,1.9,Below Avg
Tre Nixon,WR,2021,242,UCF,258.0,408.0,23.0,187.0,4.44,39.5,22.6,43.0,1.6,Below Avg
Jimmy Horn,WR,2025,208,Colorado,441.0,481.0,22.0,174.0,4.46,40.3,29.1,29.8,1.3,Below Avg
DeWayne McBride,RB,2023,222,Ala-Birmingham,10.0,321.0,22.0,209.0,,40.2,25.7,,1.0,Below Avg
Frank Darby,WR,2021,187,Arizona State,46.0,87.0,23.0,201.0,4.56,41.0,20.9,37.8,0.6,Below Avg
Jalen Brooks,WR,2023,244,South Carolina,504.0,419.0,23.0,201.0,4.69,39.4,31.8,22.0,0.3,Below Avg
Bryan Edwards,WR,2020,81,South Carolina,816.0,,21.0,212.0,,47.5,,,,No Score
Darrynton Evans,RB,2020,93,Appalachian State,,,22.0,203.0,4.41,50.9,,57.3,,No Score
John Hightower,WR,2020,168,Boise State,943.0,,24.0,189.0,4.43,41.7,,46.1,,No Score
Isaiah Coulter,WR,2020,171,Rhode Island,205.0,,21.0,198.0,4.45,41.5,,50.6,,No Score
Malcolm Perry,RB,2020,246,Navy,,104.0,23.0,186.0,4.63,39.3,,9.5,,No Score
Rondale Moore,WR,2021,49,Purdue,270.0,,21.0,180.0,4.28,52.9,,60.7,,No Score
Mike Strachan,WR,2021,229,Charleston (WV),,,24.0,,,39.8,,,,No Score
Montrell Washington,WR,2022,162,Samford,124.0,,23.0,,,41.9,,,,No Score
Dareke Young,WR,2022,233,Lenoir-Rhyne,303.0,,23.0,,,39.7,,,,No Score
Jacory Croskey-Merritt,RB,2025,245,Arizona,,437.0,24.0,,,39.3,,,,No Score
Junior Bergen,WR,2025,252,Montana,542.0,,,,,39.2,,,,No Score
