player_name,college,draft_year,season,cfbd_school,status,cfbd_name,rush_yards,rush_attempts,rush_tds,rec_tds
Devante Mays,Utah St.,2017,2016,Utah State,found,Devante Mays,259.0,37.0,3.0,0.0
Khalfani Muhammad,California,2017,2016,California,found,Khalfani Muhammad,827.0,152.0,2.0,0.0
Elijah Hood,North Carolina,2017,2016,North Carolina,found,Elijah Hood,858.0,145.0,8.0,0.0
Chris Carson,Oklahoma St.,2017,2016,Oklahoma State,found,Chris Carson,559.0,82.0,9.0,1.0
Matthew Dayes,North Carolina St.,2017,2016,NC State,found,Matthew Dayes,1166.0,249.0,10.0,0.0
Saquon Barkley,Penn St.,2018,2017,Penn State,found,Saquon Barkley,1271.0,217.0,18.0,3.0
Rashaad Penny,San Diego St.,2018,2017,San Diego State,found,Rashaad Penny,2248.0,289.0,23.0,2.0
Sony Michel,Georgia,2018,2017,Georgia,found,Sony Michel,1227.0,156.0,16.0,1.0
Nick Chubb,Georgia,2018,2017,Georgia,found,Nick Chubb,1345.0,223.0,15.0,0.0
Ronald Jones II,USC,2018,2017,USC,found,Ronald Jones II,1550.0,261.0,19.0,1.0
Kerryon Johnson,Auburn,2018,2017,Auburn,found,Kerryon Johnson,1391.0,285.0,18.0,2.0
Derrius Guice,LSU,2018,2017,LSU,found,Derrius Guice,1251.0,237.0,11.0,2.0
Royce Freeman,Oregon,2018,2017,Oregon,found,Royce Freeman,1475.0,244.0,16.0,0.0
Nyheim Hines,North Carolina St.,2018,2017,NC State,found,Nyheim Hines,1112.0,197.0,12.0,0.0
Mark Walton,Miami (FL),2018,2017,Miami,found,Mark Walton,428.0,56.0,3.0,0.0
Ito Smith,Southern Miss,2018,2017,Southern Miss,found,Ito Smith,1413.0,248.0,13.0,
Kalen Ballage,Arizona St.,2018,2017,Arizona State,found,Kalen Ballage,669.0,157.0,6.0,0.0
Chase Edmonds,Fordham,2018,2017,,skipped,,,,,
Jordan Wilkins,Mississippi,2018,2017,Ole Miss,found,Jordan Wilkins,1011.0,155.0,9.0,1.0
John Kelly,Tennessee,2018,2017,Tennessee,found,John Kelly,778.0,189.0,9.0,0.0
Boston Scott,Louisiana Tech,2018,2017,Louisiana Tech,found,Boston Scott,1040.0,182.0,8.0,1.0
Trenton Cannon,Virginia St.,2018,2017,,skipped,,,,,
David Williams,Arkansas,2018,2017,Arkansas,found,David Williams,656.0,117.0,8.0,2.0
Bo Scarbrough,Alabama,2018,2017,Alabama,found,Bo Scarbrough,596.0,124.0,8.0,0.0
Nick Bawden,San Diego St.,2018,2017,San Diego State,found,Nick Bawden,4.0,1.0,0.0,1.0
Justin Jackson,Northwestern,2018,2017,Northwestern,found,Justin Jackson,1311.0,287.0,11.0,0.0
Josh Jacobs,Alabama,2019,2018,Alabama,found,Josh Jacobs,640.0,120.0,11.0,3.0
Miles Sanders,Penn St.,2019,2018,Penn State,found,Miles Sanders,1271.0,219.0,9.0,0.0
Darrell Henderson,Memphis,2019,2018,Memphis,found,Darrell Henderson,1909.0,214.0,22.0,3.0
David Montgomery,Iowa St.,2019,2018,Iowa State,found,David Montgomery,1185.0,255.0,13.0,0.0
Devin Singletary,Florida Atlantic,2019,2018,Florida Atlantic,found,Devin Singletary,1348.0,261.0,22.0,0.0
Damien Harris,Alabama,2019,2018,Alabama,found,Damien Harris,876.0,150.0,9.0,0.0
Alexander Mattison,Boise St.,2019,2018,Boise State,found,Alexander Mattison,1412.0,302.0,17.0,0.0
Bryce Love,Stanford,2019,2018,Stanford,found,Bryce Love,736.0,165.0,6.0,0.0
Justice Hill,Oklahoma St.,2019,2018,Oklahoma State,found,Justice Hill,930.0,158.0,9.0,0.0
Benny Snell Jr.,Kentucky,2019,2018,Kentucky,found,Benny Snell Jr.,1434.0,288.0,16.0,0.0
Tony Pollard,Memphis,2019,2018,Memphis,found,Tony Pollard,553.0,79.0,6.0,3.0
Ryquell Armstead,Temple,2019,2018,Temple,found,Ryquell Armstead,1098.0,210.0,13.0,0.0
Qadree Ollison,Pittsburgh,2019,2018,Pittsburgh,found,Qadree Ollison,1213.0,194.0,11.0,0.0
Jordan Scarlett,Florida,2019,2018,Florida,found,Jordan Scarlett,776.0,131.0,5.0,0.0
Trayveon Williams,Texas A&M,2019,2018,Texas A&M,found,Trayveon Williams,1760.0,271.0,18.0,1.0
Ty Johnson,Maryland,2019,2018,Maryland,found,Ty Johnson,506.0,66.0,3.0,0.0
Dexter Williams,Notre Dame,2019,2018,Notre Dame,found,Dexter Williams,995.0,158.0,12.0,1.0
Travis Homer,Miami (FL),2019,2018,Miami,found,Travis Homer,985.0,164.0,4.0,0.0
Rodney Anderson,Oklahoma,2019,2018,Oklahoma,found,Rodney Anderson,119.0,11.0,3.0,5.0
Darwin Thompson,Utah St.,2019,2018,Utah State,found,Darwin Thompson,1044.0,153.0,14.0,2.0
Mike Weber,Ohio St.,2019,2018,Ohio State,found,Mike Weber,954.0,171.0,5.0,1.0
Cullen Gillaspia,Texas A&M,2019,2018,Texas A&M,found,Cullen Gillaspia,33.0,5.0,1.0,0.0
Kerrith Whyte Jr,Florida Atlantic,2019,2018,Florida Atlantic,found,Kerrith Whyte Jr.,866.0,134.0,8.0,2.0
Chandler Cox,Auburn,2019,2018,Auburn,found,Chandler Cox,3.0,3.0,2.0,1.0
Myles Gaskin,Washington,2019,2018,Washington,found,Myles Gaskin,1269.0,257.0,12.0,1.0
Clyde Edwards-Helaire,LSU,2020,2019,LSU,found,Clyde Edwards-Helaire,1414.0,215.0,16.0,1.0
D'Andre Swift,Georgia,2020,2019,Georgia,found,D'Andre Swift,1218.0,196.0,7.0,1.0
Jonathan Taylor,Wisconsin,2020,2019,Wisconsin,found,Jonathan Taylor,2003.0,320.0,21.0,5.0
Cam Akers,Florida St.,2020,2019,Florida State,found,Cam Akers,1144.0,231.0,14.0,4.0
J.K. Dobbins,Ohio St.,2020,2019,Ohio State,found,J.K. Dobbins,2003.0,301.0,21.0,2.0
AJ Dillon,Boston Col.,2020,2019,Boston College,found,AJ Dillon,1685.0,318.0,14.0,1.0
Antonio Gibson,Memphis,2020,2019,Memphis,found,Antonio Gibson,369.0,33.0,4.0,8.0
Ke'Shawn Vaughn,Illinois,2019,2018,Vanderbilt,found,Ke'Shawn Vaughn,1244.0,157.0,12.0,2.0
Zack Moss,Utah,2020,2019,Utah,found,Zack Moss,1416.0,235.0,15.0,2.0
Darrynton Evans,Appalachian St.,2020,2019,Appalachian State,not_found,,,,,
