,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOA,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
A.J. Green,1.04,4.50,1.56,28,2.41,10.1,20.1,1,Y,6035,9020,25.7,9.250,34.375,9.34,15.8,7,14,,Mark Ingram,1.28,94.4,4.62,1.62,215,31.7,110.1,61.1,"1,992",32,2.57,1.4,5.7,6,13
Julio Jones,1.06,4.39,1.50,30,3.13,15.7,19.6,1,Y,6026,9004,27.5,9.750,33.750,9.92,14.8,8,8,,Ryan Williams,2.06,91.7,4.61,1.65,207,30.6,129.5,84.8,"1,835",16,6.49,2.9,5.3,0,0
Jonathan Baldwin,1.26,4.50,1.59,28,2.92,51.2,19.1,2,Y,6043,9020,28.0,10.125,33.625,9.08,18.3,0,0,,Shane Vereen,2.24,99.0,4.50,1.62,203,29.1,115.3,81.1,"1,376",27,6.76,-5.3,5.1,1,22
Titus Young,2.12,4.49,1.59,19,2.87,16.8,19.9,3,N,5113,8062,24.3,9.000,30.875,5.30,15.0,0,0,,Mikel Leshoure,2.25,105.0,4.59,1.64,233,31.6,125.6,79.4,"1,893",17,7.52,15.4,6.0,1,21
Torrey Smith,2.26,4.43,1.54,27,2.71,22.6,20.6,3,Y,6007,8094,27.8,8.625,32.625,9.85,14.6,2,29,,Daniel Thomas,2.30,98.0,4.67,1.54,233,31.6,119.3,75.6,"1,756",27,8.82,7.8,5.2,0,0
Greg Little,2.27,4.53,1.57,13,1.97,13.1,20.3,3,N,6024,8116,28.2,9.125,33.250,9.56,11.7,0,0,,DeMarco Murray,3.07,113.7,4.41,1.55,215,29.2,123.7,81.1,"1,808",71,9.18,2.1,4.9,7,16
Randall Cobb,2.32,4.46,1.60,21,2.22,7.2,20.0,2,Y,5102,8052,27.5,9.375,31.000,3.65,11.5,3,16,,Stevan Ridley,3.09,95.4,4.66,1.66,225,31.4,120.2,41.3,"1,208",11,5.85,-2.1,4.6,1,11
Austin Pettis,3.14,4.61,1.60,20,2.24,-2.9,20.6,3,N,6025,8103,26.1,9.750,31.750,7.99,12.4,0,0,,Alex Green,3.32,105.0,4.55,1.58,225,30.5,112.0,77.9,"1,562",27,8.37,34.6,7.1,0,0
Leonard Hankerson,3.15,4.43,1.59,18,2.61,20.3,20.6,3,N,6014,8096,27.6,10.625,32.250,7.35,16.1,0,0,,Roy Helu,4.08,114.8,4.42,1.50,219,30.5,121.6,44.7,"1,296",25,9.38,17.5,5.9,0,0
Vincent Brown,3.18,4.68,1.66,23,3.17,17.4,19.6,2,N,5112,8082,26.5,10.250,33.000,2.71,14.9,0,0,,Kendall Hunter,4.18,94.5,4.53,1.60,199,31.2,120.5,70.8,"1,753",22,7.20,9.3,5.9,0,0
Jerrel Jernigan,3.19,4.46,1.56,20,2.08,6.0,19.2,2,N,5087,8047,27.9,9.250,32.000,5.55,11.9,0,0,,Delone Carter,4.22,104.1,4.56,1.57,225,33.2,122.9,69.1,"1,278",11,9.06,2.1,4.8,0,0
Kris Durham,4.10,4.51,1.66,8,1.84,19.9,N/A,N/A,N,6052,9005,25.5,N/A,31.375,8.24,17.3,0,0,,Taiwan Jones,4.28,106.0,4.38,1.58,195,26.4,133.2,N/A,"1,742",N/A,9.30,N/A,N/A,0,0
Clyde Gates,4.14,4.37,1.62,N/A,1.87,N/A,23.2,5,N,5116,8064,25.8,9.375,30.750,8.07,17.9,0,0,,Bilal Powell,4.29,94.4,4.56,1.53,204,29.3,N/A,74.4,"1,563",18,7.76,11.3,5.4,0,0
Greg Salas,4.15,4.56,1.58,22,3.32,15.8,21.0,3,N,6011,8091,27.7,9.250,32.000,8.85,15.2,0,0,,Jamie Harper,4.33,101.4,4.63,1.64,233,32.5,120.7,53.9,"1,088",35,5.82,-9.5,4.2,0,0
Cecil Shorts,4.17,4.59,1.55,N/A,4.11,N/A,20.7,3,N,5116,8073,27.8,9.250,31.625,8.23,17.1,1,22,,Johnny White,5.02,89.4,4.65,1.71,209,30.0,110.0,35.0,"1,008",15,2.06,13.3,5.1,0,0
Tandon Doss,4.26,4.67,N/A,20,2.19,9.0,20.0,2,Y,6020,8092,26.6,10.125,31.250,4.85,12.0,0,0,,Jacquizz Rodgers,5.14,84.6,4.64,1.67,196,31.6,112.6,99.2,"1,962",78,0.41,2.7,4.9,0,0
Kealoha Pilares,5.01,4.47,1.50,13,2.11,-7.8,22.5,4,N,5097,8043,28.8,8.750,30.500,9.55,11.9,0,0,,Dion Lewis,5.18,88.5,4.57,1.60,193,30.2,114.7,70.4,"1,988",27,4.19,1.0,5.3,1,13
