,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOA,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
Amari Cooper,1.04,4.42,1.61,33,3.83,12.5,18.2,1,Y,6007,8083,27.8,10.000,31.500,8.57,15.2,8,17,,Todd Gurley,1.10,110.7,4.50,N/A,227,29.9,N/A,67.5,"1,502",37,N/A,10.0,6.4,6,11
Kevin White,1.07,4.35,1.53,27,2.71,10.6,21.2,4,N,6025,8112,26.9,9.250,32.625,9.72,13.6,0,0,,Melvin Gordon,1.15,103.0,4.52,1.62,215,28.4,122.5,61.6,"2,740",19,8.74,8.3,7.8,6,12
DeVante Parker,1.14,4.45,1.51,22,2.02,39.9,19.6,2,N,6025,8117,26.1,9.250,33.250,9.75,17.8,1,7,,T.J. Yeldon,2.04,100.1,4.61,1.63,226,29.8,119.7,36.5,"1,418",20,7.05,-2.7,5.8,2,26
Nelson Agholor,1.20,4.42,1.59,24,2.85,14.7,20.3,2,Y,6001,8083,26.9,9.250,32.250,7.38,14.4,2,26,,Ameer Abdullah,2.22,91.6,4.60,1.60,205,30.3,137.3,79.8,"1,922",26,8.66,3.7,5.6,0,0
Breshad Perriman,1.26,4.30,1.51,23,2.51,49.7,20.0,3,Y,6020,8100,27.2,9.250,32.000,9.95,19.5,0,0,,Tevin Coleman,3.09,105.1,4.45,1.52,206,28.7,N/A,68.5,"2,177",25,9.72,32.5,7.1,3,20
Phillip Dorsett,1.29,4.33,1.54,16,2.23,27.5,19.7,2,N,5093,8035,26.5,9.375,30.250,8.47,17.6,0,0,,Duke Johnson,3.13,97.4,4.54,1.60,207,30.6,117.5,71.6,"2,073",38,6.98,20.6,6.7,1,15
Devin Smith,2.05,4.42,1.56,24,2.28,56.3,20.5,2,N,6003,8073,26.6,9.000,31.000,8.61,20.7,0,0,,David Johnson,3.22,109.3,4.50,1.57,224,29.6,134.1,N/A,"2,089",38,9.84,N/A,5.4,4,10
Dorial Green-Beckham,2.08,4.49,1.60,23,1.94,19.0,20.4,2,Y,6051,9015,28.1,9.000,32.500,6.30,14.7,0,0,,Matt Jones,3.31,102.3,4.61,1.64,231,29.7,109.6,46.5,882,11,5.23,4.3,4.8,0,0
Tyler Lockett,3.05,4.40,1.55,31,4.02,6.9,19.9,2,N,5097,8037,26.1,8.375,30.000,7.71,14.9,5,13,,Jeremy Langford,4.07,109.0,4.42,1.55,208,28.2,117.7,81.6,"1,584",28,7.52,-2.7,5.1,0,0
Jaelen Strong,3.06,4.44,1.57,31,2.49,18.3,19.6,3,Y,6023,8107,27.9,9.000,32.500,9.14,14.6,0,0,,Javorious Allen,4.26,105.0,4.53,1.58,221,30.0,120.9,65.4,"1,947",41,8.02,N/A,5.5,0,0
Chris Conley,3.12,4.35,1.52,15,2.04,20.7,21.9,4,N,6017,8115,27.3,9.875,33.750,9.68,16.6,0,0,,Mike Davis,4.27,96.1,4.61,1.53,217,32.0,115.8,82.2,"1,535",34,6.09,14.9,5.4,1,15
Sammie Coates,3.23,4.43,1.55,23,3.16,51.0,20.4,3,Y,6013,8106,28.0,9.375,33.375,9.86,21.4,0,0,,David Cobb,5.02,87.7,4.78,1.64,229,31.9,126.0,77.3,"1,791",17,4.55,6.3,5.1,0,0
