,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,BOA,YPR DOM,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
Jaxon Smith-Njigba,1.20,4.53,1.65,11,3.25,19.6,8.4,2,Y,6005,8071,26.6,9.000,30.500,8.26,15.4,,,,Bijan Robinson,1.08,108.7,4.46,1.54,215,30.0,124.9,68.1,"1,894",26,9.84,6.2,6.3,,
Quentin Johnson,1.21,4.58,1.56,24,2.35,19.0,43.4,1,Y,6026,9003,26.5,9.625,33.625,8.65,19.0,,,,Jahmyr Gibbs,1.12,110.1,4.36,1.52,199,29.4,N/A,57.8,"1,370",44,8.06,-2.9,5.6,,
Zay Flowers,1.22,4.42,1.49,30,2.45,20.0,20.6,2,N,5092,8024,26.9,9.250,29.250,8.30,15.3,,,,Zach Charbonnet,2.21,101.6,4.53,1.54,214,29.0,123.9,45.7,"1,680",37,8.71,7.8,5.9,,
Jordan Addison,1.23,4.49,1.57,26,2.93,18.6,12.1,1,Y,5111,8054,24.1,8.750,30.375,5.92,14.3,,,,Kendre Miller,3.08,N/A,N/A,N/A,215,30.0,N/A,40.7,"1,515",16,N/A,13.6,6.7,,
Jonathan Mingo,2.08,4.46,1.52,14,2.22,20.4,17.3,4,N,6016,8097,28.2,10.375,32.125,9.86,15.7,0,0,,Tyjae Spears,3.18,98.0,4.50,1.57,201,29.0,128.8,85.3,"1,837",22,7.43,19.3,6.8,,
Jayden Reed,2.19,4.45,1.53,27,2.57,18.4,12.9,1,N,5107,8053,27.3,9.125,30.500,6.74,14.1,,,,De'Von Achane,3.21,108.0,4.32,1.51,188,28.4,111.6,83.3,"1,298",36,7.04,13.7,6.4,,
Rashee Rice,2.24,4.51,1.49,20,2.64,20.4,7.8,2,N,6005,8093,27.0,9.500,32.750,9.53,13.4,,,,Tank Bigsby,3.25,97.1,4.56,1.56,210,28.6,114.8,54.2,"1,283",30,8.33,-2.4,5.4,,
Marvin Mims,2.32,4.38,1.50,23,2.66,18.5,48.4,1,Y,5107,8064,25.5,9.000,31.625,9.40,19.5,,,,Roschon Johnson,4.13,99.5,4.58,1.54,219,29.7,114.6,37.2,807,23,8.67,-4.3,5.6,,
Nathaniel Dell,3.06,4.49,1.50,30,2.90,20.9,13.0,3,N,5083,8027,25.1,8.625,30.500,5.82,13.8,,,,Israel Abanikanda,5.09,105.8,4.50,1.50,217,30.1,133.7,67.2,"1,577",24,9.61,18.4,5.6,,
Jalin Hyatt,3.10,4.40,1.50,17,3.00,20.9,22.6,3,Y,6001,8085,23.9,9.000,32.500,8.75,16.4,,,,Chase Brown,5.29,108.5,4.43,1.53,209,30.7,131.5,86.1,"1,883",27,9.80,6.5,5.3,,
Cedric Tillman,3.11,4.54,1.57,10,2.89,21.4,4.7,4,N,6033,8115,26.6,10.000,32.250,8.66,14.9,,,,Eric Gray,5.38,90.1,4.63,1.62,207,30.4,122.8,67.9,"1,595",33,4.72,6.2,5.6,,
Josh Downs,3.16,4.48,1.51,23,3.52,19.1,-6.8,2,Y,5086,8031,25.2,9.250,30.375,8.99,12.3,,,,Evan Hull,5.42,104.7,4.47,1.53,209,30.0,124.4,78.3,"1,459",55,9.32,16.3,5.0,,
Michael Wilson,3.31,4.58,1.53,12,1.51,19.5,9.5,2,N,6017,8087,28.4,9.750,31.000,9.51,12.4,,,,Chris Rodriguez Jr,6.16,99.5,4.57,1.58,217,29.4,113.1,43.8,"1,439",13,7.68,8.8,6.2,,
Tre Tucker,3.37,4.40,1.47,11,1.62,N/A,1.3,N/A,N,5085,8014,27.8,8.625,28.875,7.17,12.8,,,,Deuce Vaughn,6.35,82.1,4.57,1.59,179,29.8,118.4,91.4,"1,936",49,4.32,3.8,5.5,0,0
Derius Davis,4.23,4.36,1.46,10,1.67,N/A,-2.5,N/A,N,5083,8015,25.4,8.000,29.250,5.89,13.5,0,0,,Zach Evans,6.38,91.8,4.58,1.57,202,28.2,117.5,40.7,"1,055",12,8.72,17.6,6.9,0,0
Charlie Jones,4.29,4.43,1.54,16,2.33,23.9,17.4,6,N,5113,8070,24.4,9.000,31.625,8.49,12.4,0,0,,DeWayne Mcbride,7.05,N/A,N/A,N/A,209,30.0,N/A,44.5,"1,723",3,N/A,30.4,7.3,0,0
Tyler Scott,4.31,4.44,1.51,16,2.17,20.9,27.9,3,Y,5097,8046,26.0,9.000,30.875,8.61,16.5,0,0,,Lew Nicholls lll,7.18,N/A,N/A,N/A,220,31.6,N/A,87.6,"2,186",40,N/A,-6.1,5.0,0,0
Justin Shorter,5.16,4.55,1.57,9,1.58,N/A,2.9,N/A,N,6042,9020,27.9,10.000,33.750,7.94,14.1,0,0,,Kenny McIntosh,7.20,89.6,4.62,1.51,204,27.7,111.8,51.6,"1,334",43,3.97,2.2,5.7,0,0
Dontayvion Wicks,5.25,4.62,1.59,17,2.17,20.2,46.1,3,N,6015,8103,28.5,10.000,32.750,9.14,18.8,,,,Deneric Prince,UDFA,114.2,4.41,1.53,216,30.0,122.4,40.0,813,9,9.56,10.0,5.5,0,0
