player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Josiah Basten,205385,HB,SO MISS,1,1,0,0,0.0,0,0,5,0,0,0,2,0.0,0,0,296,0,0,62.5,65.2,63.5,,,,63.2,,5,0,0,0,0,1,0,0,0,1,0,5,2,2.0,5.0,,1
Sam Huard,146463,QB,USC,2,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,326,0,0,63.7,72.7,71.1,71.5,,,60.0,60.0,-1,0,0,0,0,6,0,0,0,1,0,-1,0,0.0,-1.0,,0
Darien Williams,204310,WR,SYRACUSE,7,1,0,0,0.0,0,0,-5,2,2,0,0,0.0,0,0,304,0,1,68.2,58.9,8.7,,,59.6,59.7,63.7,-5,1,101,8,72,61,0,0,12,9,0,-5,0,0.0,-5.0,1.4,0
Joseph Manjack IV,146413,WR,TCU,12,1,0,0,0.0,0,1,6,4,15,0,0,0.0,0,0,305,3,0,28.1,69.8,6.6,70.7,,73.3,,39.1,6,4,577,44,263,159,0,0,60,45,0,6,0,0.0,6.0,2.19,0
Taylor Tatum,188782,HB,OKLAHOMA,1,1,0,0,0.0,0,0,-1,0,0,0,1,0.0,0,0,261,0,0,62.5,59.4,66.8,,,,59.8,60.0,-1,0,0,0,0,2,0,0,0,1,0,-1,1,1.0,-1.0,,1
Isaiah Carlson,173968,HB,UCLA,1,1,0,0,,0,0,0,0,0,0,1,0.0,0,0,324,0,0,62.5,59.2,62.7,,,,59.6,,0,0,0,0,0,1,0,0,0,1,0,0,1,1.0,0.0,,1
Parker Threatt,188826,WR,S DIEGO ST,4,1,0,0,0.0,0,0,5,0,0,0,4,0.0,0,1,284,0,1,62.5,56.0,76.8,,,52.5,64.2,57.5,5,0,0,0,14,26,0,0,0,1,1,5,4,4.0,5.0,0.0,0
Chase Farrell,188864,WR,NWESTERN,7,1,0,0,0.0,0,0,1,0,0,0,1,0.0,0,1,256,1,0,19.9,49.4,77.2,,,45.9,62.7,72.4,1,0,12,3,28,24,0,0,7,4,0,1,1,1.0,1.0,0.43,0
Connor Weselman,146385,P,MISSOURI,2,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,229,1,0,,60.0,73.2,,,,60.0,60.0,0,0,0,0,0,3,0,0,0,1,0,0,0,0.0,0.0,,0
J.T. Byrne,146347,TE,GA TECH,13,1,0,0,0.0,0,1,-1,0,0,0,0,0.0,0,0,176,1,0,65.7,52.2,64.1,,53.4,59.1,60.0,51.4,-1,2,38,5,62,232,0,0,6,6,0,-1,0,0.0,-1.0,0.61,0
J. Michael Sturdivant,146288,WR,FLORIDA,12,1,0,0,0.0,0,0,1,2,4,0,2,28.6,0,0,163,0,0,72.1,62.6,87.0,,,62.0,57.5,64.2,1,0,411,27,312,226,0,0,50,28,0,1,2,2.0,1.0,1.32,0
Andrew Nelms,189423,K,FAU,3,1,0,0,0.0,0,0,-8,0,0,0,0,0.0,0,0,165,1,0,11.1,24.3,62.2,,60.9,59.1,60.0,,-8,0,0,0,0,1,0,0,0,1,0,-8,0,0.0,-8.0,,0
Anthony Simpson,146244,WR,MICHIGAN,4,1,1,0,0.0,0,0,10,0,0,1,7,700.0,1,1,222,0,0,62.5,60.1,74.4,,,57.3,63.2,53.0,10,0,0,0,3,21,0,0,1,1,0,10,7,7.0,10.0,0.0,0
Dylan Joyce,170087,P,MIAMI FL,1,1,1,0,0.0,0,0,-8,0,0,1,4,400.0,0,0,220,0,0,62.5,60.0,60.0,,,,60.0,,-8,0,0,0,0,1,0,0,0,1,0,-8,4,4.0,-8.0,,0
Michael Henderson III,204358,HB,TEXAS TECH,1,1,0,0,0.0,0,0,-2,0,0,0,1,0.0,0,0,315,0,0,62.5,59.2,62.7,,,,59.6,,-2,0,0,0,0,1,0,0,0,1,0,-2,1,1.0,-2.0,,1
Patrick Durkin,189571,K,TULANE,2,1,0,0,0.0,0,0,5,0,0,0,1,0.0,0,0,319,0,0,62.5,53.4,62.1,,,,57.7,60.0,5,0,0,0,0,2,0,0,0,1,0,5,1,1.0,5.0,,0
Luke Wysong,146110,WR,ARIZONA,12,1,0,0,0.0,0,0,-1,2,2,0,1,9.1,0,0,109,0,1,82.6,63.1,82.4,,,65.5,54.0,41.2,-1,0,274,21,135,69,0,0,25,22,0,-1,1,1.0,-1.0,2.03,0
Raphael Williams Jr.,149997,WR,PITTSBURGH,13,1,0,0,0.0,0,0,4,4,5,0,2,19.6,0,0,268,0,0,76.3,61.6,69.1,,,62.3,,54.1,4,3,699,50,476,259,0,0,81,51,0,4,2,2.0,4.0,1.47,0
Isaiah Spencer,172908,WR,VA TECH,12,1,0,0,0.0,0,1,3,0,1,0,2,13.3,0,0,337,0,0,80.0,59.1,52.8,,,59.2,,59.8,3,1,206,14,195,173,0,0,24,15,0,3,2,2.0,3.0,1.06,0
John Henderson,184148,P,BOWL GREEN,1,1,0,0,,0,0,0,0,0,0,2,0.0,0,0,122,0,0,62.5,58.1,70.3,,,,59.3,,0,0,0,0,0,1,0,0,0,1,0,0,2,2.0,0.0,,0
