player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Cale Hellums,170981,QB,ARMY,13,305,40,7,15.4,187,0,1024,0,0,33,532,23.4,25,99,114,6,101,79.5,76.9,88.0,66.7,,51.1,72.7,60.0,50,0,7,0,3,516,194,31,0,274,18,1218,603,1.98,4.0,2.33,110
Kewan Lacy,190221,HB,OLE MISS,14,296,88,22,39.8,581,0,1461,4,9,88,986,99.7,37,95,226,3,143,85.0,86.6,89.0,,60.3,53.4,90.7,58.5,59,0,173,28,281,400,0,0,33,324,23,1461,986,3.33,4.9,0.62,152
Cam Cook,173133,HB,JVILLE ST,13,295,100,24,40.5,669,0,1650,3,12,100,1142,133.4,53,92,196,4,71,72.3,85.7,88.7,,75.9,59.0,89.3,59.8,73,0,291,30,298,471,0,0,41,325,16,1650,1142,3.87,5.6,0.98,222
Ahmad Hardy,190013,HB,MISSOURI,13,257,96,25,47.8,787,0,1648,1,5,96,1186,177.2,43,79,229,3,87,74.0,91.6,51.7,,77.2,48.3,92.2,49.3,72,1,22,6,128,298,0,0,7,263,16,1648,1186,4.61,6.4,0.17,170
Lucky Sutton,158807,HB,S DIEGO ST,13,254,53,8,16.0,207,0,1297,4,1,53,846,69.2,32,73,284,0,101,91.8,86.3,55.3,,79.0,32.7,89.8,55.2,50,1,6,6,143,333,0,0,11,260,10,1297,846,3.33,5.1,0.04,153
Emmett Johnson,156473,HB,NEBRASKA,12,251,68,13,27.8,404,0,1451,1,20,68,741,87.5,36,78,238,1,109,88.6,85.5,61.0,,43.5,69.0,87.8,77.6,70,1,370,46,291,282,0,0,54,297,12,1451,741,2.95,5.8,1.27,139
Anthony Hankerson,157691,HB,OREGON ST,12,246,57,13,28.6,311,0,1087,3,8,57,726,71.6,30,65,265,1,79,88.5,73.2,62.4,,87.1,47.0,76.1,60.2,65,2,123,22,273,294,0,0,33,268,9,1087,726,2.95,4.4,0.45,167
Antwan Raymond,190489,HB,RUTGERS,12,244,76,19,33.4,414,0,1238,1,8,76,884,116.2,36,78,278,2,58,80.4,89.1,86.2,,77.0,69.5,87.9,59.7,51,0,225,18,174,272,0,0,24,262,13,1238,884,3.62,5.1,1.29,186
Sieh Bangura,145886,HB,OHIO,13,241,59,22,38.5,537,0,1393,1,3,59,1010,102.3,37,71,259,2,157,87.8,84.8,60.4,,42.3,55.4,88.7,59.6,49,1,76,13,189,324,0,0,17,254,15,1393,1010,4.19,5.8,0.4,84
LJ Martin,175035,HB,BYU,13,238,55,14,30.2,392,0,1294,1,8,55,893,86.3,36,85,128,1,53,87.9,84.0,88.4,,54.4,69.8,86.0,57.7,49,1,251,36,219,360,0,0,40,274,12,1299,893,3.75,5.5,1.15,181
Kendrick Raphael,170378,HB,CAL,13,231,50,8,18.9,177,0,935,4,12,50,706,71.5,21,55,130,4,64,58.8,73.6,88.6,,53.3,59.1,78.1,40.1,33,0,245,34,328,266,0,0,44,265,13,935,706,3.06,4.0,0.75,165
Caleb Hawkins,199001,HB,N TEXAS,13,231,86,20,35.4,507,0,1431,1,17,86,1049,177.8,43,89,251,2,78,79.9,91.9,86.0,,52.3,69.7,93.2,66.4,51,0,370,32,228,258,0,0,35,263,25,1431,1049,4.54,6.2,1.62,151
Evan Dickens,170066,HB,LIBERTY,11,229,34,17,41.3,552,0,1336,0,0,34,840,53.3,32,67,206,1,132,86.8,83.6,56.1,,47.6,57.9,85.7,50.1,95,1,61,5,137,310,0,0,6,234,16,1336,840,3.67,5.8,0.45,97
J'Mari Taylor,150482,HB,VIRGINIA,13,222,54,11,33.9,361,0,1064,5,16,54,753,89.6,21,61,335,1,48,79.7,75.8,60.2,74.4,45.6,57.7,80.0,58.3,78,1,253,43,277,252,0,0,54,265,14,1064,753,3.39,4.8,0.91,169
Jadan Baugh,184417,HB,FLORIDA,12,221,66,17,27.0,315,0,1168,0,11,66,767,105.2,35,65,163,0,73,91.4,88.1,88.5,,72.5,69.9,89.8,65.5,26,0,210,33,265,255,0,0,40,254,8,1168,767,3.47,5.3,0.79,147
Blake Horvath,162555,QB,NAVY,11,219,40,16,36.9,441,0,1015,0,0,30,546,41.4,35,69,237,16,126,28.2,81.5,68.8,73.2,62.2,49.4,76.1,60.0,59,4,0,0,3,471,181,20,0,199,15,1196,649,2.96,5.5,0.0,30
Kentrel Bullock,124129,HB,S ALABAMA,12,218,49,8,18.9,205,0,1082,0,2,49,702,70.8,26,64,288,1,137,86.2,89.2,84.6,,42.5,61.0,89.5,71.0,64,0,66,14,128,267,0,0,19,232,14,1082,702,3.22,5.0,0.52,79
Dominic Richardson,122985,HB,TULSA,12,213,65,16,34.2,362,0,1060,2,3,65,799,109.9,29,53,320,1,85,85.9,80.9,56.3,,29.0,52.3,87.2,62.6,57,1,130,19,204,268,0,0,30,232,5,1060,799,3.75,5.0,0.64,128
Jordan Gant,159654,HB,AKRON,12,212,29,17,32.4,333,0,1029,0,1,29,695,44.5,33,55,102,1,32,85.5,75.3,86.6,,42.6,52.5,80.0,51.0,36,0,48,9,197,253,0,0,16,221,6,1029,695,3.28,4.9,0.24,180
Kejon Owens,123640,HB,FIU,13,211,39,24,54.1,718,0,1328,0,1,39,836,69.5,34,60,166,1,95,85.9,81.5,51.8,,37.8,64.6,83.4,61.1,84,1,63,17,175,241,0,0,21,228,11,1328,836,3.96,6.3,0.36,116
Kaytron Allen,164158,HB,PENN STATE,12,210,57,17,40.4,527,0,1303,1,5,57,792,102.6,30,70,266,1,141,85.5,89.9,50.8,,66.8,51.0,91.5,57.4,67,1,68,18,143,236,0,0,23,228,15,1303,792,3.77,6.2,0.48,63
Cam Edwards,158615,HB,UCONN,13,209,50,15,40.0,490,0,1215,1,5,49,747,85.4,28,67,146,0,39,91.2,86.3,88.3,,72.5,65.2,87.5,58.5,73,0,187,19,213,250,11,1,22,227,15,1226,763,3.65,5.9,0.88,169
Cameron Dickey,184897,HB,TEXAS TECH,14,209,50,18,40.5,460,0,1135,3,5,50,722,81.5,30,74,315,4,97,61.5,74.8,86.5,,30.2,56.5,80.2,47.0,71,0,217,24,213,258,0,0,33,233,14,1135,722,3.45,5.4,1.02,110
Wayne Knight,156712,HB,JAMES MAD,14,206,47,22,52.2,714,1,1368,3,11,47,782,89.5,32,60,197,1,71,90.2,81.4,57.2,,61.9,73.9,82.3,51.9,73,1,391,40,211,283,0,0,52,246,9,1368,782,3.8,6.6,1.85,135
Broc Lowry,173383,QB,W MICHIGAN,14,202,32,11,23.2,246,0,852,0,0,20,496,32.4,30,67,347,8,102,72.3,88.6,81.7,75.9,,55.7,83.7,60.2,37,1,0,0,3,519,208,27,0,175,14,1060,628,3.11,5.2,0.0,43
Dean Connors,156624,HB,HOUSTON,13,200,35,11,34.2,335,0,961,1,7,34,630,55.7,24,39,182,1,58,85.2,76.3,87.3,,39.6,74.4,79.1,49.3,54,0,254,34,216,338,18,1,38,233,6,979,649,3.25,4.9,1.18,141
Lincoln Pare,121537,HB,TEXAS ST,12,199,29,12,35.6,364,1,1022,2,6,29,668,50.0,21,67,314,1,78,91.0,78.5,27.8,,49.1,62.5,83.3,50.2,62,2,277,36,221,272,0,0,40,235,11,1022,668,3.36,5.1,1.25,117
Nate Sheppard,198337,HB,DUKE,14,199,60,13,33.4,373,0,1117,2,14,60,730,115.0,34,52,154,0,49,91.2,89.0,86.8,,53.1,72.4,91.0,60.6,60,0,286,37,240,222,0,0,43,236,11,1117,730,3.67,5.6,1.19,142
Jeremiyah Love,171090,HB,NOTRE DAME,12,199,56,23,52.9,726,0,1372,1,6,56,896,123.5,39,63,258,1,69,85.0,92.9,86.1,,55.2,72.6,93.4,80.2,94,1,280,27,153,222,0,0,34,226,18,1372,896,4.5,6.9,1.83,128
Shomari Lawrence,141839,HB,MO STATE,13,199,47,13,42.7,436,0,1022,3,3,47,827,95.3,31,48,230,2,102,68.3,75.2,88.3,,66.0,51.1,79.0,47.9,70,0,118,19,207,239,0,0,25,218,7,1022,827,4.16,5.1,0.57,94
Chavon Wright,205258,HB,N ILLINOIS,12,195,57,7,21.4,187,0,873,0,4,57,734,113.1,22,53,254,1,83,84.3,84.2,86.7,55.6,82.3,54.5,84.7,51.0,45,0,16,8,100,269,0,0,9,203,5,873,734,3.76,4.5,0.16,111
Roman Hemby,144891,HB,INDIANA,14,194,37,13,30.0,302,0,1005,0,9,37,702,80.0,22,53,190,1,86,84.8,81.7,85.8,,27.1,67.7,83.6,56.9,82,0,160,14,154,229,0,0,15,208,7,1005,702,3.62,5.2,1.04,100
Dylan Riley,190996,HB,BOISE ST,14,193,45,13,43.8,491,0,1120,2,6,45,803,102.0,22,38,120,0,110,91.0,78.2,45.1,,70.4,55.0,79.8,58.0,77,1,149,15,132,205,0,0,20,208,10,1120,803,4.16,5.8,1.13,82
Caleb Komolafe,176513,HB,NWESTERN,12,190,30,9,32.0,301,0,941,1,4,30,557,49.6,18,51,256,3,73,66.2,75.0,86.5,,60.2,55.5,76.4,49.9,56,0,60,11,130,210,0,0,15,201,11,941,557,2.93,5.0,0.46,116
Carson Hansen,174669,HB,IOWA STATE,11,188,19,10,27.0,257,0,952,2,7,19,565,37.7,23,54,193,1,96,84.1,75.1,49.4,,42.3,56.5,78.6,52.9,65,1,134,19,180,228,0,0,27,207,6,952,565,3.01,5.1,0.74,88
Raleek Brown,158458,HB,ARIZONA ST,12,185,53,16,45.8,519,0,1134,4,12,53,607,97.8,31,45,110,2,105,76.8,79.8,89.0,,47.0,58.0,87.0,60.7,88,0,239,33,275,265,0,0,46,218,4,1134,607,3.28,6.1,0.87,79
Liam Szarka,197814,QB,AIR FORCE,10,183,25,7,27.3,263,0,911,0,0,24,375,28.7,20,56,101,5,94,68.7,81.8,87.2,73.3,,57.8,74.9,60.0,64,1,0,0,1,430,53,6,0,177,13,964,387,2.11,5.3,0.0,43
DeSean Bishop,174717,HB,TENNESSEE,13,182,32,21,48.4,521,1,1076,3,4,32,649,65.2,27,68,307,1,94,83.6,86.2,85.4,,38.4,52.2,90.5,64.1,50,1,135,15,157,201,0,0,19,197,16,1076,649,3.57,5.9,0.86,88
Chip Trayanum,131631,HB,TOLEDO,11,182,24,17,45.7,464,1,1015,2,3,24,560,40.9,35,55,316,2,83,74.9,76.8,53.3,,54.6,57.5,80.6,54.4,75,1,212,21,187,227,0,0,30,203,12,1015,560,3.08,5.6,1.13,99
Al-Jay Henderson,145676,HB,BUFFALO,12,180,34,7,24.8,185,2,745,3,6,34,501,54.3,16,45,126,4,41,65.5,65.6,52.5,,42.2,58.1,68.6,56.0,41,2,181,25,182,223,0,0,30,205,6,745,501,2.78,4.1,0.99,139
Haynes King,124329,QB,GA TECH,12,180,26,14,32.1,327,1,907,0,0,21,407,32.6,31,73,176,7,119,68.0,86.3,89.3,81.2,,53.6,75.3,60.1,45,1,0,0,0,405,112,18,0,162,15,1019,483,2.68,5.7,,21
Demond Claiborne,157523,HB,WAKE,12,179,36,12,42.5,386,0,909,6,7,36,544,63.1,23,38,339,5,94,47.8,68.7,52.2,,29.3,41.1,76.8,64.1,85,1,137,28,208,227,0,0,38,207,10,909,544,3.04,5.1,0.66,83
Jalen Buckley,163158,HB,W MICHIGAN,13,178,31,9,37.1,366,0,986,3,1,31,745,70.1,20,51,347,3,94,73.3,80.1,85.8,,41.5,55.8,83.0,56.8,67,0,87,13,104,283,0,0,16,191,9,986,745,4.19,5.5,0.84,84
Dontae McMillan,103994,HB,E MICHIGAN,12,178,50,14,33.9,344,0,1016,3,13,50,663,111.2,32,45,160,1,35,83.7,78.8,86.4,,68.6,69.1,80.9,49.9,54,0,375,33,228,269,0,0,38,211,4,1016,663,3.72,5.7,1.64,143
Bo Jackson,199864,HB,OHIO STATE,13,178,35,15,36.9,400,0,1085,0,3,35,724,78.5,36,53,260,1,96,83.3,87.4,39.9,,40.8,76.8,86.9,58.4,64,1,200,19,143,185,0,0,20,197,6,1085,724,4.07,6.1,1.4,81
Mark Fletcher Jr.,175374,HB,MIAMI FL,12,177,51,13,30.3,287,0,947,3,5,51,664,108.8,29,60,220,1,98,82.9,85.4,0.0,56.8,58.1,51.8,91.4,54.6,56,3,132,16,184,211,0,0,20,193,10,947,664,3.75,5.4,0.72,78
Jeremiah Cobb,172443,HB,AUBURN,12,175,28,13,35.4,343,1,969,2,2,28,546,50.3,24,49,115,0,73,90.6,73.0,87.1,,28.2,44.0,84.2,48.7,46,1,83,11,248,254,0,0,18,186,5,969,546,3.12,5.5,0.33,102
Nate Frazier,191146,HB,GEORGIA,14,173,37,9,26.0,246,0,947,2,1,37,595,69.2,21,44,173,2,83,73.2,90.1,85.4,,60.6,62.0,90.6,62.0,59,0,116,16,122,204,0,0,19,189,6,947,595,3.44,5.5,0.95,89
Rashod Dubinion,157020,HB,APP STATE,12,173,43,9,23.5,202,0,859,3,9,43,562,84.5,22,43,108,4,87,64.9,76.0,86.6,,46.8,57.8,80.6,64.6,39,0,170,27,242,190,0,0,36,200,4,859,562,3.25,5.0,0.7,83
Kamari Moulton,170168,HB,IOWA,11,171,23,11,25.5,224,0,880,0,2,23,567,44.3,23,45,192,0,36,90.6,82.3,86.2,,37.4,66.8,82.8,55.3,34,0,97,16,118,202,0,0,19,187,5,880,567,3.32,5.1,0.82,135
Joe Jackson,173106,HB,KANSAS ST,12,169,23,12,41.7,377,0,905,1,0,23,676,48.2,22,39,199,1,93,82.5,67.0,87.0,,28.2,56.1,72.0,52.7,80,0,119,22,216,254,0,0,26,191,8,905,676,4.0,5.4,0.55,75
Adam Randall,156252,HB,CLEMSON,13,168,32,8,26.8,217,0,809,6,8,32,526,61.4,23,48,140,2,91,74.4,72.0,86.9,,33.2,49.0,82.6,48.7,46,0,250,36,278,241,0,0,49,204,10,809,526,3.13,4.8,0.9,74
Caden Creel,170414,QB,JVILLE ST,14,168,51,11,25.6,295,0,668,0,0,25,413,83.1,35,54,196,8,61,41.0,69.4,69.1,60.9,81.4,53.3,71.8,60.5,73,5,4,1,6,389,484,57,2,112,7,1152,734,4.37,6.9,0.67,38
Mike Washington Jr.,145672,HB,ARKANSAS,12,167,34,17,48.3,515,0,1066,1,3,34,644,73.2,30,52,111,3,90,64.2,78.2,87.9,,27.5,65.4,84.3,54.4,57,0,226,28,231,249,0,0,36,195,8,1066,644,3.86,6.4,0.98,72
Jevon Jackson,149110,HB,UAB,12,167,31,14,45.7,410,0,897,0,2,31,639,67.9,24,47,321,0,59,90.5,79.2,85.6,,25.0,69.3,80.5,70.6,58,0,115,19,137,201,0,0,23,186,5,897,639,3.83,5.4,0.84,107
Kiael Kelly,145634,QB,BALL ST,12,166,67,8,25.3,229,0,520,0,1,33,345,82.1,25,42,117,14,98,27.7,58.8,71.5,46.8,,90.5,71.3,60.0,56,3,19,1,4,349,385,47,2,120,5,905,612,3.69,5.5,4.75,12
Seth McGowan,122936,HB,KENTUCKY,11,166,34,6,14.7,107,2,730,5,0,34,452,50.3,13,40,202,2,94,72.2,70.1,44.8,,27.0,43.5,77.2,53.8,20,2,121,18,172,176,0,0,26,184,12,730,452,2.72,4.4,0.7,69
Jordan Brunson,123342,HB,MIAMI OH,12,166,33,6,25.5,196,0,770,1,0,33,554,65.9,17,38,221,2,12,71.4,73.8,82.4,,71.2,39.2,72.5,64.6,60,0,5,1,33,208,0,0,2,167,4,770,554,3.34,4.6,0.15,154
Conner Weigman,158683,QB,HOUSTON,13,163,29,7,29.0,232,1,601,0,0,23,373,43.2,19,52,182,10,96,39.2,73.5,82.1,62.2,,60.0,80.5,60.0,50,2,0,0,1,467,198,22,0,141,11,799,525,3.22,4.9,0.0,6
Quinton Jackson,163001,HB,RICE,12,163,33,11,38.7,315,0,813,0,2,33,501,65.2,19,44,275,0,106,90.5,72.0,86.1,60.0,47.6,55.6,75.4,48.3,73,0,74,4,62,273,2,1,5,166,6,815,507,3.11,5.0,1.19,56
Sire Gaines,184229,HB,BOISE ST,14,162,46,9,26.2,213,0,812,1,2,46,573,98.1,19,58,120,4,101,52.4,85.1,43.0,,51.5,56.1,87.7,59.2,46,2,72,11,109,191,0,0,14,173,8,812,573,3.54,5.0,0.66,60
Tae Meadows,156865,HB,TROY,12,160,21,8,27.5,192,0,699,2,1,21,452,36.3,16,34,318,2,63,71.3,72.3,85.7,,79.0,50.6,74.2,56.8,47,0,64,11,168,207,0,0,16,171,6,699,452,2.83,4.4,0.38,96
TJ Harden,162457,HB,SMU,12,160,35,6,26.9,200,0,744,2,5,35,450,62.8,15,51,287,1,56,81.8,76.0,84.8,,44.8,59.6,79.2,62.5,53,0,99,19,173,184,0,0,21,179,7,744,450,2.81,4.7,0.57,103
Hollywood Smothers,173719,HB,NC STATE,11,160,48,14,52.3,491,0,939,0,16,48,614,124.7,24,27,248,0,66,90.4,78.3,85.6,60.4,37.5,77.0,79.2,62.5,65,0,189,37,193,196,0,0,40,197,6,939,614,3.84,5.9,0.98,86
Byrum Brown,156206,QB,USF,12,159,59,11,26.9,298,0,759,0,0,34,419,111.6,35,60,327,7,55,57.0,91.3,89.1,85.5,,47.9,85.0,60.0,60,2,0,0,3,356,348,46,0,113,14,1107,702,4.42,7.0,0.0,33
Bill Davis,176332,HB,LA LAFAYET,13,158,29,8,36.6,281,0,767,1,0,29,558,61.0,21,36,207,0,49,90.3,76.0,85.4,,64.6,52.8,79.5,47.7,76,0,79,10,113,219,0,0,14,168,6,767,558,3.53,4.9,0.7,109
Coleman Bennett,142986,HB,KENNESAW,14,158,46,12,35.3,266,0,754,1,13,46,550,111.6,22,48,200,0,82,90.4,83.0,86.5,,80.0,78.3,82.9,52.5,30,0,310,26,178,248,0,0,33,184,4,754,550,3.48,4.8,1.74,73
Kaelon Black,138448,HB,INDIANA,14,157,27,14,42.4,378,0,892,0,2,27,562,64.5,22,44,190,2,76,70.0,79.2,84.1,,43.2,54.9,81.1,58.7,40,1,36,4,121,189,0,0,6,161,8,892,562,3.58,5.7,0.3,79
London Montgomery,170288,HB,E CAROLINA,12,157,22,7,25.4,187,0,737,1,3,22,437,40.7,12,43,156,0,43,90.4,72.1,85.1,,22.3,56.3,76.8,59.1,51,0,81,14,151,187,0,0,17,171,7,737,437,2.78,4.7,0.54,112
Jonah Coleman,158717,HB,WASHINGTON,12,157,35,11,33.3,253,0,759,0,8,35,563,82.0,20,55,340,2,41,81.7,81.7,86.9,,53.9,71.8,83.8,63.1,38,0,346,31,200,186,0,0,34,188,15,759,563,3.59,4.8,1.73,111
Jay Ducker,130550,HB,TEMPLE,12,157,25,13,42.8,346,0,809,0,2,25,454,43.1,19,46,306,0,23,90.3,83.7,85.8,74.3,53.2,64.7,85.9,58.7,55,0,106,24,154,214,0,0,30,181,7,809,454,2.89,5.2,0.69,134
King Miller,197654,HB,USC,13,156,31,14,45.8,443,0,967,2,2,31,610,75.0,26,40,326,1,91,81.1,81.2,85.4,,73.7,57.7,84.9,59.3,75,0,111,16,178,187,0,0,20,172,8,967,610,3.91,6.2,0.62,64
Jeffery Pittman,172552,HB,SO MISS,11,156,38,5,14.1,96,0,680,0,5,38,513,78.1,16,45,296,2,53,72.1,78.7,43.4,46.8,66.9,68.4,80.2,54.6,25,1,104,25,131,198,0,0,27,181,8,680,513,3.29,4.4,0.79,100
Carlos Del Rio-Wilson,146687,QB,MARSHALL,11,155,40,7,17.9,129,0,587,0,0,31,372,72.1,23,40,214,4,55,76.2,75.9,88.1,70.7,,51.6,70.6,60.0,24,1,-6,1,1,352,132,29,1,127,6,719,490,3.16,4.6,-6.0,43
J'Koby Williams,191359,HB,TEXAS TECH,14,155,48,13,40.6,349,0,859,2,21,48,597,139.9,24,45,315,1,66,83.0,88.5,85.2,,18.9,87.3,88.4,75.8,50,1,388,35,166,177,0,0,44,190,6,859,597,3.85,5.5,2.34,83
Bryson Washington,174649,HB,BAYLOR,12,154,30,13,37.3,293,0,785,1,4,30,543,69.7,21,45,118,4,68,50.1,70.3,47.7,,44.0,56.0,74.5,57.8,41,1,93,18,182,163,0,0,25,172,6,785,543,3.53,5.1,0.51,83
Bryson Barnes,131845,QB,UTAH ST,13,154,34,9,25.5,244,0,586,0,0,16,397,56.5,34,51,329,8,64,53.6,79.4,89.5,73.8,62.2,66.0,73.5,60.7,58,2,7,2,5,334,370,49,2,107,10,956,603,3.92,6.2,1.4,22
Robert Henry Jr.,174094,HB,UTSA,11,153,33,16,60.8,639,0,1051,2,4,33,646,91.9,24,37,331,2,67,70.9,74.5,48.8,,45.4,57.7,78.3,73.1,76,2,112,17,198,178,0,0,24,170,9,1051,646,4.22,6.9,0.57,78
Parker Navarro,123758,QB,OHIO,13,153,63,13,29.6,288,0,547,0,0,32,390,120.0,42,55,259,11,41,29.8,70.5,42.2,63.7,,,73.3,60.1,44,9,0,0,0,450,426,51,0,102,9,973,719,4.7,6.4,,26
Diego Pavia,156927,QB,VANDERBILT,13,152,22,5,13.4,132,1,437,0,0,11,262,28.3,37,59,333,3,73,69.9,92.4,54.5,90.9,62.2,,82.1,60.1,41,7,0,0,0,290,546,51,0,101,10,983,525,3.45,6.5,,8
Jordan Marshall,190837,HB,MICHIGAN,11,150,30,10,39.5,368,0,932,2,4,30,589,84.0,20,44,222,0,67,90.2,86.6,85.0,,59.8,55.6,87.7,56.5,65,0,92,9,92,172,0,0,12,159,10,932,589,3.93,6.2,1.0,78
Kyron Drones,144506,QB,VA TECH,12,148,22,10,29.0,237,0,575,0,0,14,311,38.8,23,55,337,6,55,55.6,70.8,89.1,62.4,,,73.4,60.0,33,1,0,0,0,372,241,42,0,106,9,816,431,2.91,5.5,,35
Jai'Den Thomas,174080,HB,UNLV,13,148,49,16,52.7,546,0,1036,2,13,49,684,153.2,26,47,325,0,100,90.1,90.8,85.8,,29.9,80.4,92.7,68.4,70,0,237,39,172,183,0,0,47,187,12,1036,684,4.62,7.0,1.38,44
Wayshawn Parker,184224,HB,UTAH,13,146,47,16,49.0,486,0,992,1,7,47,489,113.8,24,39,328,3,106,58.8,80.3,24.4,,67.8,59.6,84.1,63.8,64,2,185,13,153,242,0,0,15,159,6,992,489,3.35,6.8,1.21,38
Turbo Richard,190199,HB,BOSTON COL,11,145,26,8,40.1,300,0,748,2,12,26,547,81.9,15,47,121,2,96,70.2,72.5,52.2,,37.1,55.0,80.1,54.5,71,1,212,30,250,163,0,0,40,175,9,748,547,3.77,5.2,0.85,48
OJ Arnold,158336,HB,GA SOUTHRN,12,145,27,12,42.8,439,0,1025,3,4,27,540,70.0,24,38,174,2,104,69.5,89.5,86.0,91.9,77.5,62.6,90.9,70.6,62,0,207,20,182,196,0,0,25,165,5,1025,540,3.72,7.1,1.14,38
Gavin Garcia,156916,HB,KENT STATE,12,145,34,6,26.7,172,0,645,0,0,34,426,67.0,12,28,201,1,74,79.7,77.1,82.9,,46.0,55.5,78.8,52.9,45,1,43,4,107,172,0,0,9,149,3,645,426,2.94,4.4,0.4,71
Colton Joseph,172283,QB,DOMINION,12,145,27,22,56.0,614,0,920,0,1,21,444,68.4,37,52,263,12,63,37.3,79.0,89.0,71.0,,62.0,76.6,60.1,78,2,5,1,1,403,177,26,1,120,13,1097,529,3.65,7.6,5.0,45
Myles Montgomery,144232,HB,UCF,11,144,30,12,46.5,328,0,705,1,3,30,489,69.6,18,38,323,1,50,90.1,76.6,86.0,,28.0,56.6,82.6,60.4,45,0,182,17,185,205,0,0,23,161,4,705,489,3.4,4.9,0.98,91
Darius Taylor,173422,HB,MINNESOTA,10,143,24,8,38.5,258,0,670,3,11,24,534,73.8,13,37,225,0,41,90.1,78.2,87.1,,72.3,78.9,76.1,56.7,71,0,245,34,157,165,0,0,42,177,4,670,534,3.73,4.7,1.56,98
Brad Jackson,184354,QB,TEXAS ST,12,143,40,8,24.4,196,0,473,0,0,21,276,71.6,25,54,314,8,32,50.1,78.6,89.6,74.0,,60.0,71.2,60.2,63,0,0,0,0,426,329,53,0,90,16,802,406,2.84,5.6,,32
Micah Ford,188865,HB,STANFORD,9,143,32,5,26.5,168,0,635,1,6,32,560,96.6,12,40,300,1,66,68.9,79.8,84.7,33.8,68.9,59.6,81.7,59.5,75,0,119,11,99,149,0,0,15,154,4,635,560,3.92,4.4,1.2,74
Alex Tecza,162587,HB,NAVY,12,142,19,10,40.6,334,0,822,1,5,19,466,51.1,16,48,237,1,66,79.4,75.5,89.5,,40.8,80.7,79.4,54.3,76,2,123,12,83,441,0,0,16,154,9,822,466,3.28,5.8,1.48,16
Devon Dampier,171556,QB,UTAH,12,142,33,9,27.2,239,0,670,0,0,26,349,65.2,25,53,328,7,88,65.0,82.4,81.3,75.5,,57.8,78.4,61.9,59,4,0,0,2,426,208,24,0,118,10,878,447,3.15,6.2,0.0,16
Lunch Winfield,176367,QB,LA LAFAYET,12,142,27,8,28.8,214,0,541,0,0,21,361,60.4,21,42,207,7,35,45.2,63.7,77.2,58.1,,50.0,66.6,60.0,42,4,0,0,2,321,202,30,0,112,9,743,468,3.3,5.2,0.0,65
Jekail Middlebrook,170487,HB,MIDDLE TN,11,140,36,9,35.9,269,0,748,2,5,36,575,93.6,20,40,224,2,45,75.3,78.5,28.8,,58.5,64.3,85.4,88.7,72,2,412,40,334,166,0,0,60,180,4,750,575,4.11,5.4,1.23,92
Chase Jenkins,173242,QB,RICE,12,141,31,9,32.0,197,0,490,0,0,25,269,45.9,21,31,275,8,75,42.1,67.3,88.5,68.3,,60.0,60.0,60.0,34,0,0,0,2,496,125,20,0,121,5,615,327,2.32,4.4,0.0,40
Bryson Donelson,191080,HB,FRESNO ST,13,140,14,5,24.9,149,0,599,2,3,14,383,29.6,11,26,169,2,99,68.6,70.5,84.7,,65.0,54.6,71.3,84.7,57,0,107,17,131,152,0,0,21,157,5,599,383,2.74,4.3,0.82,41
Caleb Ramseur,172143,HB,NEVADA,12,140,27,9,29.5,201,0,682,0,6,27,472,70.4,21,36,239,1,52,79.6,72.2,86.7,,50.9,63.9,74.3,59.1,32,0,191,18,148,202,0,0,21,158,5,682,472,3.37,4.9,1.29,87
Jaquari Lewis,198096,HB,APP STATE,13,140,16,9,27.7,171,0,618,1,6,16,321,29.3,20,32,108,0,75,89.9,73.3,47.8,,45.1,71.7,74.4,70.0,27,1,192,32,212,165,0,0,36,172,6,618,321,2.29,4.4,0.91,63
Abu Sama III,174686,HB,IOWA STATE,12,140,48,12,44.0,325,0,738,2,0,48,491,116.1,19,33,193,1,66,79.1,77.1,84.0,,40.3,41.0,80.9,64.5,44,0,19,5,89,168,0,0,8,145,5,738,491,3.51,5.3,0.21,72
Bear Bachmeier,203434,QB,BYU,14,138,30,3,8.8,55,0,455,0,1,23,288,57.6,22,42,128,9,52,41.8,78.2,89.9,71.3,,40.4,76.8,60.1,22,0,3,1,8,451,170,29,1,110,11,625,378,2.74,4.5,0.38,28
Kenyon Clay,156837,HB,ARK STATE,13,138,16,3,14.0,72,0,513,0,4,16,371,30.7,11,31,113,4,11,49.3,64.0,54.2,60.0,71.0,67.6,63.2,55.9,30,1,207,37,239,206,0,0,40,175,3,513,371,2.69,3.7,0.87,126
Zylan Perry,156734,HB,LA LAFAYET,12,138,32,11,45.4,313,0,689,0,2,32,392,62.7,18,31,207,2,41,68.5,74.6,86.4,,62.3,66.6,75.0,60.5,84,0,106,16,155,192,0,0,19,154,8,689,392,2.84,5.0,0.68,97
