,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOA,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
Devin Street,5.06,4.55,1.58,23,2.47,21.3,20.4,3,N,6027,9002,24.7,9.250,33.375,8.96,14.4,0,0,,Damien Williams,UDFA,113.2,4.45,1.56,222,31.0,120.9,58.3,"1,266",34,8.03,N/A,5.2,1,35
Jared Abbrederis,5.36,4.50,1.62,29,3.05,19.8,20.7,3,N,6010,8083,25.7,9.625,31.375,4.66,15.5,0,0,,,,,,,,,,,,,,,,,
Robert Herron,6.09,4.48,1.59,17,1.97,15.6,20.3,3,N,5091,8035,28.5,9.750,30.500,6.70,13.3,0,0,,,,,,,,,,,,,,,,,
T.J. Jones,6.13,4.48,1.54,6,2.58,8.9,N/A,N/A,N,5115,8062,25.5,10.000,30.625,6.44,13.4,0,0,,,,,,,,,,,,,,,,,
Matt Hazel,6.14,4.50,1.58,N/A,2.49,N/A,19.6,2,N,6010,8083,26.1,9.125,31.375,6.97,14.2,0,0,,,,,,,,,,,,,,,,,
Walt Powell,6.20,4.63,1.63,N/A,2.28,N/A,20.7,3,N,5113,8070,26.4,9.500,31.625,2.93,12.8,0,0,,,,,,,,,,,,,,,,,
Quincy Enunwa,6.33,4.45,1.57,15,1.99,7.9,21.3,4,N,6020,8105,28.9,9.500,32.625,9.85,13.3,0,0,,,,,,,,,,,,,,,,,
Michael Campanaro,7.03,4.46,1.56,24,1.94,-0.1,20.6,3,N,5093,8033,27.5,9.750,30.000,9.03,10.9,0,0,,,,,,,,,,,,,,,,,
Jeff Janis,7.21,4.42,1.55,N/A,4.53,N/A,20.2,3,N,6027,8113,27.4,9.000,32.500,9.93,17.5,0,0,,,,,,,,,,,,,,,,,
James Wright,7.24,4.50,1.57,3,0.68,N/A,N/A,N/A,N,6005,8090,26.5,9.625,32.375,8.28,12.2,0,0,,,,,,,,,,,,,,,,,
Tevin Reese,7.25,4.46,1.52,17,2.07,14.2,21.7,3,N,5104,8061,23.4,8.625,31.625,8.99,16.6,0,0,,,,,,,,,,,,,,,,,
Jeremy Gallon,7.29,4.49,1.60,23,3.48,6.7,22.6,4,N,5074,8010,29.0,9.375,29.500,5.49,15.6,0,0,,,,,,,,,,,,,,,,,
Brandon Coleman,UDFA,4.56,1.66,22,1.83,55.2,20.2,3,Y,6060,9040,26.0,9.250,34.000,4.08,19.2,0,0,,,,,,,,,,,,,,,,,
Willie Snead,UDFA,4.62,1.60,28,2.98,20.5,19.9,2,Y,5110,8080,27.2,10.250,33.000,1.84,13.4,1,31,,,,,,,,,,,,,,,,,
Bennie Fowler,UDFA,4.52,1.65,12,1.45,24.7,21.2,4,N,6012,8092,28.6,9.500,32.000,7.02,14.4,0,0,,,,,,,,,,,,,,,,,
Albert Wilson,UDFA,4.43,1.54,40,2.74,19.4,20.2,4,N,5093,8036,29.8,9.125,30.375,7.18,16.6,0,0,,,,,,,,,,,,,,,,,
Allen Hurns,UDFA,4.55,1.59,19,3.03,13.9,19.8,4,N,6012,8092,27.0,9.25,32.000,3.64,15.6,1,16,,,,,,,,,,,,,,,,,
