player_name,draft_year,pick,round,college,breakout_age,RAS,best_ppr,hit24,dc_score,match_status,college_season,pff_file_source,yprr,yards,receptions,routes,grades_offense,grades_pass_route,team_name
ArDarius Stewart,2017,79,3,Alabama,22.0,,16.900000000000002,0,,MATCHED,2016,receiving_summary (3).csv,2.6,845.0,54.0,325.0,76.3,73.3,ALABAMA
Carlos Henderson,2017,82,3,Louisiana Tech,20.0,5.75,0.0,0,,MATCHED,2016,receiving_summary (3).csv,3.55,1530.0,82.0,431.0,90.7,90.4,LA TECH
Chris Godwin,2017,84,3,Penn St.,20.0,9.66,276.1,1,,MATCHED,2016,receiving_summary (3).csv,2.31,982.0,59.0,425.0,78.7,76.6,PENN STATE
Kenny Golladay,2017,96,3,Northern Illinois,22.0,8.94,248.0,1,,MATCHED,2016,receiving_summary (3).csv,2.93,1156.0,87.0,394.0,87.2,85.2,N ILLINOIS
Amara Darboh,2017,106,3,Michigan,22.0,9.6,15.1,0,,MATCHED,2016,receiving_summary (3).csv,2.45,862.0,57.0,352.0,81.0,78.9,MICHIGAN
Dede Westbrook,2017,110,4,Oklahoma,22.0,4.84,175.5,0,,MATCHED,2016,receiving_summary (3).csv,4.07,1518.0,80.0,373.0,91.2,91.3,OKLAHOMA
Josh Reynolds,2017,117,4,Texas A&M,21.0,9.1,156.0,0,,MATCHED,2016,receiving_summary (3).csv,2.33,1039.0,61.0,445.0,82.2,83.4,TEXAS A&M
Mack Hollins,2017,118,4,North Carolina,23.0,,154.0,0,,MATCHED,2016,receiving_summary (3).csv,2.13,309.0,16.0,145.0,65.2,65.7,N CAROLINA
Josh Malone,2017,128,4,Tennessee,20.0,7.03,18.5,0,,MATCHED,2016,receiving_summary (3).csv,2.44,972.0,50.0,399.0,75.0,75.7,TENNESSEE
Ryan Switzer,2017,133,4,North Carolina,21.0,4.83,69.4,0,,MATCHED,2016,receiving_summary (3).csv,2.76,1114.0,97.0,404.0,79.8,81.1,N CAROLINA
Jehu Chesson,2017,139,4,Michigan,22.0,7.94,3.8,0,,MATCHED,2016,receiving_summary (3).csv,1.77,500.0,35.0,283.0,65.0,65.2,MICHIGAN
Chad Hansen,2017,141,4,California,21.0,7.39,46.6,0,,MATCHED,2016,receiving_summary (3).csv,3.13,1248.0,92.0,399.0,85.8,85.5,CAL
Shelton Gibson,2017,166,5,West Virginia,21.0,3.98,5.800000000000001,0,,MATCHED,2016,receiving_summary (3).csv,2.58,951.0,43.0,369.0,70.6,73.2,W VIRGINIA
Rodney Adams,2017,170,5,South Florida,22.0,6.02,0.0,0,,MATCHED,2016,receiving_summary (3).csv,2.56,831.0,70.0,324.0,76.2,72.7,USF
Isaiah McKenzie,2017,172,5,Georgia,21.0,,122.8,0,,MATCHED,2016,receiving_summary (3).csv,2.89,633.0,44.0,219.0,79.5,80.2,GEORGIA
DeAngelo Yancey,2017,175,5,Purdue,21.0,9.08,0.0,0,,MATCHED,2016,receiving_summary (3).csv,1.74,951.0,49.0,545.0,64.1,64.5,PURDUE
Trent Taylor,2017,177,5,Louisiana Tech,22.0,4.0,98.0,0,,MATCHED,2016,receiving_summary (3).csv,3.27,1816.0,137.0,556.0,87.1,87.5,LA TECH
Robert Davis,2017,209,6,Georgia St.,21.0,9.79,3.7,0,,MATCHED,2016,receiving_summary (3).csv,2.39,968.0,67.0,405.0,74.5,73.1,GA STATE
Stacy Coley,2017,219,7,Miami (FL),22.0,4.46,0.0,0,,MATCHED,2016,receiving_summary (3).csv,1.96,754.0,63.0,384.0,69.9,72.6,MIAMI FL
Isaiah Ford,2017,237,7,Virginia Tech,20.0,5.05,55.6,0,,MATCHED,2016,receiving_summary (3).csv,2.25,1094.0,79.0,486.0,79.5,80.5,VA TECH
Noah Brown,2017,239,7,Ohio St.,20.0,6.88,122.4,0,,MATCHED,2016,receiving_summary (3).csv,1.66,402.0,32.0,242.0,76.3,74.1,OHIO STATE
Malachi Dupre,2017,247,7,LSU,21.0,7.2,0.0,0,,MATCHED,2016,receiving_summary (3).csv,2.56,593.0,41.0,232.0,79.2,80.1,LSU
D.J. Moore,2018,24,1,Maryland,20.0,9.65,238.1,1,,MATCHED,2017,receiving_summary (4).csv,2.83,1033.0,80.0,365.0,83.2,81.4,MARYLAND
Calvin Ridley,2018,26,1,Alabama,22.0,5.12,281.5,1,,MATCHED,2017,receiving_summary (4).csv,2.78,967.0,63.0,348.0,77.9,79.2,ALABAMA
Courtland Sutton,2018,40,2,SMU,22.0,9.81,247.6,1,,MATCHED,2017,receiving_summary (4).csv,2.21,1085.0,68.0,490.0,78.0,77.9,SMU
Dante Pettis,2018,44,2,Washington,21.0,,103.5,0,,MATCHED,2017,receiving_summary (4).csv,2.57,757.0,62.0,295.0,81.4,80.5,WASHINGTON
Christian Kirk,2018,47,2,Texas A&M,20.0,6.23,285.7,1,,MATCHED,2017,receiving_summary (4).csv,2.3,919.0,71.0,400.0,78.1,79.2,TEXAS A&M
Anthony Miller,2018,51,2,Memphis,23.0,9.27,127.5,0,,MATCHED,2017,receiving_summary (4).csv,3.47,1459.0,96.0,421.0,86.2,88.6,MEMPHIS
James Washington,2018,60,2,Oklahoma St.,21.0,5.55,133.5,0,,MATCHED,2017,receiving_summary (4).csv,3.48,1546.0,74.0,444.0,85.7,86.7,OKLA STATE
DJ Chark,2018,61,2,LSU,21.0,,115.5,0,,MATCHED,2017,receiving_summary (4).csv,2.92,873.0,40.0,299.0,76.8,80.1,LSU
Michael Gallup,2018,81,3,Colorado St.,21.0,5.87,212.7,0,,MATCHED,2017,receiving_summary (4).csv,3.18,1413.0,100.0,444.0,91.3,91.5,COLO STATE
Tre'Quan Smith,2018,91,3,Central Florida,21.0,6.85,126.6,0,,MATCHED,2017,receiving_summary (4).csv,2.81,1171.0,59.0,417.0,83.7,81.0,UCF
Keke Coutee,2018,103,4,Texas Tech,20.0,5.64,90.7,0,,MATCHED,2017,receiving_summary (4).csv,3.09,1429.0,93.0,462.0,83.3,85.8,TEXAS TECH
DaeSean Hamilton,2018,113,4,Penn St.,22.0,8.09,66.3,0,,MATCHED,2017,receiving_summary (4).csv,2.02,864.0,53.0,428.0,80.8,78.8,PENN STATE
Jaleel Scott,2018,132,4,New Mexico St.,22.0,7.6,2.6,0,,MATCHED,2017,receiving_summary (4).csv,1.86,1078.0,76.0,579.0,75.9,75.4,NEW MEX ST
J'Mon Moore,2018,133,4,Missouri,22.0,8.43,3.5,0,,MATCHED,2017,receiving_summary (4).csv,2.85,1082.0,65.0,380.0,77.2,79.5,MISSOURI
Jordan Lasley,2018,162,5,UCLA,20.0,4.47,0.0,0,,MATCHED,2017,receiving_summary (4).csv,3.15,1264.0,69.0,401.0,82.1,83.4,UCLA
Marquez Valdes-Scantling,2018,174,5,South Florida,23.0,9.26,166.1,0,,MATCHED,2017,receiving_summary (4).csv,2.31,875.0,53.0,379.0,71.1,69.7,USF
Damion Ratley,2018,175,6,Texas A&M,22.0,9.02,38.0,0,,MATCHED,2017,receiving_summary (4).csv,1.91,694.0,30.0,363.0,68.0,67.3,TEXAS A&M
Deon Cain,2018,185,6,Clemson,21.0,6.47,21.4,0,,MATCHED,2017,receiving_summary (4).csv,2.07,734.0,58.0,354.0,73.1,74.7,CLEMSON
Ray-Ray McCloud,2018,187,6,Clemson,20.0,3.71,142.5,0,,MATCHED,2017,receiving_summary (4).csv,1.44,490.0,50.0,341.0,62.1,62.2,CLEMSON
Dylan Cantrell,2018,191,6,Texas Tech,23.0,9.86,0.0,0,,MATCHED,2017,receiving_summary (4).csv,1.49,815.0,71.0,546.0,71.1,72.2,TEXAS TECH
Russell Gage,2018,194,6,LSU,21.0,8.0,175.5,0,,MATCHED,2017,receiving_summary (4).csv,1.47,285.0,21.0,194.0,67.9,68.6,LSU
Equanimeous St. Brown,2018,207,6,Notre Dame,21.0,9.85,62.7,0,,MATCHED,2017,receiving_summary (4).csv,1.7,515.0,33.0,303.0,71.1,69.6,NOTRE DAME
Cedrick Wilson Jr.,2018,208,6,Boise St.,21.0,,76.3,0,,MATCHED,2017,receiving_summary (4).csv,3.45,1511.0,83.0,438.0,88.9,89.3,BOISE ST
Braxton Berrios,2018,210,6,Miami (FL),22.0,5.68,115.1,0,,MATCHED,2017,receiving_summary (4).csv,1.69,680.0,55.0,403.0,71.8,71.2,MIAMI FL
Javon Wims,2018,224,7,Georgia,23.0,5.44,42.6,0,,MATCHED,2017,receiving_summary (4).csv,2.57,724.0,46.0,282.0,79.9,78.2,GEORGIA
Marcell Ateman,2018,228,7,Oklahoma St.,23.0,5.18,36.4,0,,MATCHED,2017,receiving_summary (4).csv,3.52,1160.0,60.0,330.0,89.3,87.9,OKLA STATE
Richie James,2018,240,7,Middle Tenn. St.,22.0,5.99,157.70000000000002,0,,MATCHED,2017,receiving_summary (4).csv,1.93,290.0,31.0,150.0,66.7,66.6,MIDDLE TN
Auden Tate,2018,253,7,Florida St.,20.0,1.82,101.5,0,,MATCHED,2017,receiving_summary (4).csv,1.79,548.0,40.0,306.0,75.7,75.2,FLORIDA ST
Austin Proehl,2018,255,7,North Carolina,22.0,3.62,0.0,0,,MATCHED,2017,receiving_summary (4).csv,2.32,337.0,21.0,145.0,71.4,73.4,N CAROLINA
Trey Quinn,2018,256,7,SMU,21.0,7.01,51.8,0,,MATCHED,2017,receiving_summary (4).csv,2.62,1236.0,114.0,472.0,89.8,89.8,SMU
Marquise Brown,2019,25,1,Oklahoma,19.0,,226.3,1,,MATCHED,2018,receiving_summary (5).csv,3.56,1318.0,75.0,370.0,85.0,87.0,OKLAHOMA
N'Keal Harry,2019,32,1,Arizona St.,21.0,8.44,30.4,0,,MATCHED,2018,receiving_summary (5).csv,2.71,1088.0,73.0,402.0,86.0,87.3,ARIZONA ST
Deebo Samuel,2019,36,2,South Carolina,19.0,7.91,385.1,1,,MATCHED,2018,receiving_summary (5).csv,2.46,882.0,62.0,358.0,83.3,82.3,S CAROLINA
A.J. Brown,2019,51,2,Mississippi,19.0,8.59,333.2,1,,MATCHED,2018,receiving_summary (5).csv,3.01,1307.0,84.0,434.0,79.3,80.4,OLE MISS
Mecole Hardman,2019,56,2,Georgia,22.0,8.3,178.5,0,,MATCHED,2018,receiving_summary (5).csv,2.41,543.0,35.0,225.0,70.4,72.2,GEORGIA
JJ Arcega-Whiteside,2019,57,2,Stanford,21.0,,0.0,0,,MATCHED,2018,receiving_summary (5).csv,3.03,1059.0,63.0,350.0,90.3,89.8,STANFORD
Parris Campbell,2019,59,2,Ohio St.,19.0,9.76,149.1,0,,MATCHED,2018,receiving_summary (5).csv,3.47,1071.0,91.0,309.0,86.0,87.6,OHIO STATE
Andy Isabella,2019,62,2,Massachusetts,21.0,7.26,54.8,0,,MATCHED,2018,receiving_summary (5).csv,4.15,1696.0,101.0,409.0,93.2,93.8,UMASS
D.K. Metcalf,2019,64,2,Mississippi,22.0,,0.0,0,,MATCHED,2018,receiving_summary (5).csv,2.83,569.0,26.0,201.0,71.9,73.8,OLE MISS
Diontae Johnson,2019,66,3,Toledo,19.0,4.18,288.8,1,,MATCHED,2018,receiving_summary (5).csv,2.3,761.0,49.0,331.0,72.4,71.8,TOLEDO
Jalen Hurd,2019,67,3,Baylor,19.0,8.21,0.0,0,,MATCHED,2018,receiving_summary (5).csv,2.1,946.0,69.0,451.0,76.8,76.9,BAYLOR
Terry McLaurin,2019,76,3,Ohio St.,22.0,9.56,322.5,1,,MATCHED,2018,receiving_summary (5).csv,2.19,701.0,35.0,320.0,73.7,72.3,OHIO STATE
Miles Boykin,2019,93,3,Notre Dame,22.0,9.94,74.6,0,,MATCHED,2018,receiving_summary (5).csv,1.99,867.0,59.0,435.0,79.0,77.7,NOTRE DAME
Hakeem Butler,2019,103,4,Iowa St.,22.0,9.47,0.0,0,,MATCHED,2018,receiving_summary (5).csv,3.27,1318.0,60.0,403.0,82.4,82.9,IOWA STATE
Gary Jennings Jr,2019,120,4,West Virginia,19.0,,0.0,0,,MATCHED,2018,receiving_summary (5).csv,2.69,917.0,54.0,341.0,81.4,83.4,W VIRGINIA
Riley Ridley,2019,126,4,Georgia,19.0,4.53,13.5,0,,MATCHED,2018,receiving_summary (5).csv,1.81,559.0,43.0,309.0,75.5,76.3,GEORGIA
Hunter Renfrow,2019,149,5,Clemson,19.0,2.91,272.9,1,,MATCHED,2018,receiving_summary (5).csv,1.71,545.0,49.0,318.0,71.9,72.7,CLEMSON
Darius Slayton,2019,171,5,Auburn,22.0,8.91,170.0,0,,MATCHED,2018,receiving_summary (5).csv,1.82,670.0,35.0,368.0,64.4,64.2,AUBURN
KeeSean Johnson,2019,174,6,Fresno St.,19.0,3.18,46.0,0,,MATCHED,2018,receiving_summary (5).csv,3.06,1345.0,96.0,439.0,83.8,84.9,FRESNO ST
Travis Fulgham,2019,184,6,Old Dominion,19.0,8.01,115.9,0,,MATCHED,2018,receiving_summary (5).csv,2.2,1083.0,63.0,492.0,80.1,79.3,DOMINION
Juwann Winfree,2019,187,6,Colorado,22.0,7.14,11.8,0,,MATCHED,2018,receiving_summary (5).csv,1.22,324.0,28.0,266.0,67.7,65.9,COLORADO
Marcus Green,2019,203,6,La-Monroe,19.0,7.22,0.0,0,,MATCHED,2018,receiving_summary (5).csv,2.84,851.0,50.0,300.0,71.4,71.9,LA MONROE
Kelvin Harmon,2019,206,6,North Carolina St.,21.0,4.88,66.5,0,,MATCHED,2018,receiving_summary (5).csv,2.83,1186.0,81.0,419.0,83.5,84.4,NC STATE
Scott Miller,2019,208,6,Bowling Green,19.0,7.76,121.0,0,,MATCHED,2018,receiving_summary (5).csv,3.06,1137.0,70.0,372.0,82.7,83.9,BOWL GREEN
John Ursua,2019,236,7,Hawaii,22.0,6.44,2.1,0,,MATCHED,2018,receiving_summary (5).csv,2.33,1343.0,89.0,577.0,71.5,71.7,HAWAII
Terry Godwin,2019,237,7,Georgia,19.0,5.26,6.5,0,,MATCHED,2018,receiving_summary (5).csv,2.26,373.0,22.0,165.0,73.8,72.0,GEORGIA
Dillon Mitchell,2019,239,7,Oregon,19.0,7.96,0.0,0,,MATCHED,2018,receiving_summary (5).csv,2.9,1184.0,75.0,408.0,80.8,82.5,OREGON
Olabisi Johnson,2019,247,7,Colorado St.,19.0,,82.7,0,,MATCHED,2018,receiving_summary (5).csv,1.99,796.0,54.0,399.0,74.8,75.8,COLO STATE
