player_name,position,college,cfbd_school,cfbd_name,height_in,weight,status
Jameson Geers,TE,Minnesota,Minnesota,Jameson Geers,77.0,250.0,found
Jack Velling,TE,Michigan State,Michigan State,Jack Velling,77.0,245.0,found
Davin Stoffel,TE,Illinois,Illinois,Davin Stoffel,78.0,260.0,found
Amari Niblack,TE,Texas A&M,Texas A&M,Amari Niblack,75.0,235.0,found
Holden Staes,TE,Indiana,Indiana,Holden Staes,76.0,248.0,found
Josh Kattus,TE,Kentucky,Kentucky,Josh Kattus,76.0,247.0,found
Ty Thompson,TE,Tulane,Tulane,Ty Thompson,76.0,224.0,found
Jerand Bradley,TE,Kansas State,Kansas State,Jerand Bradley,77.0,223.0,found
Chamon Metayer,TE,Arizona State,Arizona State,Chamon Metayer,76.0,255.0,found
Nate Rutchena,TE,UC Davis,UC Davis,Nate Rutchena,75.0,230.0,found
Carnell Tate,WR,Ohio State,Ohio State,Carnell Tate,75.0,195.0,found
Jordyn Tyson,WR,Arizona State,Arizona State,Jordyn Tyson,74.0,200.0,found
Makai Lemon,WR,USC,USC,Makai Lemon,71.0,195.0,found
Denzel Boston,WR,Washington,Washington,Denzel Boston,76.0,209.0,found
KC Concepcion,WR,Texas A&M,Texas A&M,KC Concepcion,71.0,190.0,found
Chris Bell,WR,Louisville,Louisville,Chris Bell,74.0,220.0,found
Chris Brazzell,WR,Tennessee,Tennessee,Chris Brazzell II,77.0,200.0,found
Elijah Sarratt,WR,Indiana,Indiana,Elijah Sarratt,74.0,209.0,found
Brenen Thompson,WR,Mississippi State,Mississippi State,Brenen Thompson,69.0,170.0,found
Josh Cameron,WR,Baylor,Baylor,Josh Cameron,73.0,224.0,found
C.J. Daniels,WR,Miami (FL),Miami,CJ Daniels,74.0,205.0,found
Eric McAlister,WR,TCU,TCU,Eric McAlister,75.0,205.0,found
Lewis Bond,WR,Boston College,Boston College,Lewis Bond,71.0,190.0,found
Barion Brown,WR,LSU,LSU,Barion Brown,71.0,185.0,found
Tyren Montgomery,WR,John Carroll,,,,,skipped
Aaron Anderson,WR,LSU,LSU,Aaron Anderson,68.0,188.0,found
Cyrus Allen,WR,Cincinnati,Cincinnati,Cyrus Allen,71.0,180.0,found
Amare Thomas,WR,Houston,Houston,Amare Thomas,72.0,205.0,found
Shelton Sampson Jr.,WR,Louisiana-Lafayette,Louisiana,Shelton Sampson Jr.,76.0,195.0,found
Anthony Evans III,WR,Mississippi State,Mississippi State,Anthony Evans III,71.0,180.0,found
Cody Jackson,WR,Tarleton State,,,,,skipped
Donaven McCulley,WR,Michigan,Michigan,Donaven McCulley,77.0,215.0,found
Mikey Matthews,WR,UCLA,UCLA,Mikey Matthews,69.0,180.0,found
Anthony Smith,WR,East Carolina,East Carolina,Anthony Smith,75.0,189.0,found
London Humphreys,WR,Georgia,Georgia,London Humphreys,74.0,200.0,found
Cordale Russell,WR,Miami (OH),Miami (OH),Cordale Russell,76.0,210.0,found
Brandon Inniss,WR,Ohio State,Ohio State,Brandon Inniss,72.0,199.0,found
Jalen Brown,WR,Arkansas,Arkansas,Jalen Brown,73.0,174.0,found
Hykeem Williams,WR,Colorado,Colorado,Hykeem Williams,74.0,220.0,found
Jaquaize Pettaway,WR,East Carolina,East Carolina,Jaquaize Pettaway,72.0,194.0,found
Tyler Brown,WR,Clemson,Clemson,Tyler Brown,71.0,185.0,found
Jordan Dwyer,WR,TCU,TCU,Jordan Dwyer,72.0,195.0,found
Griffin Wilde,WR,Northwestern,Northwestern,Griffin Wilde,74.0,200.0,found
Jaron Glover,WR,Mississippi State,Mississippi State,Jaron Glover,73.0,205.0,found
Talyn Shettron,WR,Oklahoma State,Oklahoma State,Talyn Shettron,74.0,195.0,found
Jaden Bray,WR,West Virginia,West Virginia,Jaden Bray,74.0,209.0,found
Andre Greene Jr.,WR,Virginia,Virginia,Andre Greene Jr.,74.0,202.0,found
Jayden McGowan,WR,Charlotte,Charlotte,Jayden McGowan,67.0,180.0,found
Kris Hutson,WR,Arizona,Arizona,Kris Hutson,71.0,174.0,found
Nick DeGennaro,WR,James Madison,James Madison,Nick DeGennaro,73.0,196.0,found
Dane Key,WR,Nebraska,Nebraska,Dane Key,75.0,210.0,found
Devin Voisin,WR,South Alabama,South Alabama,Devin Voisin,70.0,187.0,found
Hank Beatty,WR,Illinois,Illinois,Hank Beatty,71.0,185.0,found
Romello Brinson,WR,SMU,SMU,Romello Brinson,74.0,190.0,found
Jordan Hudson,WR,SMU,SMU,Jordan Hudson,73.0,200.0,found
Michael Wortham,WR,Montana,Montana,Michael Wortham,69.0,177.0,found
Colbie Young,WR,Georgia,Georgia,Colbie Young,75.0,215.0,found
Keelan Marion,WR,Miami (FL),Miami,Keelan Marion,72.0,195.0,found
Noah Thomas,WR,Georgia,Georgia,Noah Thomas,77.0,205.0,found
Harrison Wallace III,WR,Mississippi,Ole Miss,Harrison Wallace III,73.0,195.0,found
Squirrel White,WR,Florida State,Florida State,Squirrel White,70.0,170.0,found
Jalil Farooq,WR,Maryland,Maryland,Jalil Farooq,74.0,213.0,found
Trebor Pena,WR,Penn State,Penn State,Trebor Pena,70.0,186.0,found
Raymond Cottrell,WR,West Alabama,,,,,skipped
Ryan Niblett,WR,Texas,Texas,Ryan Niblett,70.0,187.0,found
Ayden Williams,WR,Mississippi State,Mississippi State,Ayden Williams,75.0,205.0,found
Braylon James,WR,TCU,TCU,Braylon James,74.0,190.0,found
Nathan Leacock,WR,North Carolina,North Carolina,Nathan Leacock,75.0,217.0,found
Tobias Merriweather,WR,Utah,Utah,Tobias Merriweather,77.0,195.0,found
Kyion Grayes,WR,California,California,Kyion Grayes,72.0,190.0,found
Kobe Prentice,WR,Baylor,Baylor,Kobe Prentice,71.0,190.0,found
C.J. Williams,WR,Stanford,Stanford,C.J. Williams,73.0,205.0,found
Antonio Gates Jr.,WR,Delaware State,,,,,skipped
Braylin Presley,WR,Tulsa,Tulsa,Braylin Presley,66.0,170.0,found
Kaleb Brown,WR,UAB,UAB,Kaleb Brown,70.0,200.0,found
Justus Ross-Simmons,WR,Syracuse,Syracuse,Justus Ross-Simmons,75.0,210.0,found
Christian Leary,WR,Western Michigan,Western Michigan,Christian Leary,70.0,180.0,found
Kyron Ware-Hudson,WR,Penn State,Penn State,Kyron Hudson,73.0,215.0,found
Deion Colzie,WR,Miami (OH),Miami (OH),Deion Colzie,76.0,211.0,found
Dacari Collins,WR,Louisville,Louisville,Dacari Collins,76.0,215.0,found
Malik McClain,WR,Arizona State,Arizona State,Malik McClain,77.0,205.0,found
JoJo Earle,WR,UNLV,UNLV,JoJo Earle,70.0,185.0,found
Jayden Ballard,WR,Wisconsin,Wisconsin,Jayden Ballard,74.0,205.0,found
Andrel Anthony,WR,Duke,Duke,Andrel Anthony,73.0,186.0,found
Joseph Manjack IV,WR,TCU,TCU,Joseph Manjack IV,75.0,205.0,found
Jayden Thomas,WR,Virginia,Virginia,Jayden Thomas,74.0,220.0,found
Rara Thomas,WR,Troy,Troy,Rara Thomas,74.0,208.0,found
Jared Brown,WR,South Carolina,South Carolina,Jared Brown,72.0,195.0,found
Max Tomczak,WR,Youngstown State,Youngstown State,Max Tomczak,72.0,195.0,found
E.J. Williams,WR,Indiana,Indiana,E.J. Williams Jr.,76.0,203.0,found
Ja'Mori Maclin,WR,Kentucky,Kentucky,Ja'Mori Maclin,71.0,191.0,found
Ja'Varrius Johnson,WR,UCF,UCF,Ja'Varrius Johnson,70.0,180.0,found
Donavon Greene,WR,Virginia Tech,Virginia Tech,Donavon Greene,74.0,196.0,found
