season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks,name_clean,best_ppr,best_ppg,best_season,hit24,hit12,games_fantasy
2015,2,40,TEN,00-0032218,GreeDo00,dorial-green-beckham-1,Dorial Green-Beckham,False,WR,WR,O,Oklahoma,22.0,2016.0,0,0,0,7.0,,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,941.0,6.0,,,,dorial green beckham,0.0,0.0,,0,0,
2015,2,41,CAR,00-0032055,FuncDe00,devin-funchess-1,Devin Funchess,False,WR,WR,O,Michigan,21.0,2019.0,0,0,2,20.0,,20.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,2265.0,21.0,,,,devin funchess,0.0,0.0,,0,0,
2015,2,54,DET,00-0032104,AbduAm00,ameer-abdullah-1,Ameer Abdullah,False,RB,RB,O,Nebraska,22.0,2025.0,0,0,2,22.0,,10.0,154.0,0.0,0.0,0.0,0.0,0.0,508.0,2054.0,9.0,219.0,1567.0,11.0,30.0,,,ameer abdullah,26.8,13.399999618530273,2016.0,0,1,2.0
2015,3,69,SEA,00-0032211,LockTy00,tyler-lockett-1,Tyler Lockett,False,WR,WR,O,Kansas St.,22.0,2025.0,1,1,10,68.0,,67.0,178.0,0.0,0.0,0.0,0.0,0.0,40.0,265.0,1.0,693.0,8885.0,62.0,3.0,,,tyler lockett,271.7,15.982353659237132,2020.0,0,1,17.0
2015,3,70,HOU,00-0031560,StroJa01,jaelen-strong-1,Jaelen Strong,False,WR,WR,O,Arizona St.,21.0,2017.0,0,0,0,2.0,,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,330.0,4.0,,,,jaelen strong,12.8,12.800000190734863,2017.0,0,1,1.0
2015,3,73,ATL,00-0032058,ColeTe01,tevin-coleman-1,Tevin Coleman,False,RB,RB,O,Indiana,22.0,2022.0,0,0,2,33.0,,25.0,94.0,0.0,0.0,0.0,0.0,0.0,789.0,3319.0,25.0,131.0,1317.0,13.0,3.0,,,tevin coleman,233.9,14.618749618530273,2016.0,0,1,16.0
2015,3,76,KAN,00-0032128,ConlCh00,chris-conley-1,Chris Conley,False,WR,WR,O,Georgia,22.0,2024.0,0,0,3,23.0,,11.0,132.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,226.0,2998.0,15.0,6.0,,,chris conley,156.5,9.78125,2019.0,0,0,16.0
2015,3,77,CLE,00-0032257,JohnDu00,duke-johnson-1,Duke Johnson,False,RB,RB,O,Miami (FL),21.0,2022.0,0,0,0,28.0,,18.0,97.0,0.0,1.0,0.0,0.0,0.0,532.0,2265.0,11.0,311.0,2870.0,12.0,2.0,,,duke johnson,216.1,13.506250381469727,2017.0,0,1,16.0
2015,3,86,ARI,00-0032187,JohnDa08,,David Johnson,False,RB,RB,O,Northern Iowa,23.0,2022.0,1,1,3,42.0,,33.0,92.0,0.0,0.0,0.0,0.0,0.0,1007.0,4071.0,39.0,277.0,2805.0,18.0,3.0,,,david johnson,407.8,25.487499237060547,2016.0,1,1,16.0
2015,3,87,PIT,00-0032166,CoatSa00,sammie-coates-1,Sammie Coates,False,WR,WR,O,Auburn,22.0,2018.0,0,0,0,4.0,,4.0,44.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,29.0,528.0,2.0,8.0,,,sammie coates,83.3,6.941666920979817,2016.0,0,0,12.0
2015,3,94,GNB,00-0032200,MontTy01,ty-montgomery-1,Ty Montgomery,False,WR,WR,O,Stanford,22.0,2023.0,0,0,1,17.0,,13.0,92.0,0.0,0.0,0.0,0.0,0.0,263.0,1187.0,7.0,147.0,1159.0,4.0,15.0,,,ty montgomery,91.6,11.449999809265137,2017.0,0,0,8.0
2015,3,95,WAS,00-0031939,JoneMa04,matt-jones-3,Matt Jones,False,RB,RB,O,Florida,22.0,2017.0,0,0,0,9.0,,9.0,25.0,0.0,0.0,0.0,0.0,0.0,248.0,964.0,6.0,27.0,377.0,1.0,,,,matt jones,75.3,10.757143293108259,2016.0,0,0,7.0
2015,4,105,WAS,00-0031941,CrowJa00,jamison-crowder-1,Jamison Crowder,False,WR,WR,O,Duke,22.0,2024.0,0,0,4,33.0,,22.0,123.0,1.0,2.0,43.0,1.0,0.0,17.0,82.0,0.0,440.0,4898.0,31.0,3.0,,,jamison crowder,172.02,14.335000356038412,2020.0,0,1,12.0
2015,4,106,CHI,00-0031569,LangJe00,jeremy-langford-1,Jeremy Langford,False,RB,RB,O,Michigan St.,23.0,2018.0,0,0,0,7.0,,7.0,29.0,0.0,0.0,0.0,0.0,0.0,219.0,762.0,10.0,41.0,421.0,1.0,2.0,,,jeremy langford,147.6,9.840000406901042,2015.0,0,0,15.0
2015,4,107,ATL,00-0031570,HardJu00,justin-hardy-1,Justin Hardy,False,WR,WR,O,East Carolina,23.0,2019.0,0,0,0,8.0,,8.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,946.0,9.0,5.0,,,justin hardy,69.1,5.758333206176758,2016.0,0,0,12.0
2015,4,123,CLE,00-0032188,MaylVi00,vince-mayle-1,Vince Mayle,False,WR,WR,O,Washington St.,24.0,2017.0,0,0,0,0.0,,,23.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,,,vince mayle,6.2,2.066666603088379,2017.0,0,0,3.0
2015,4,125,BAL,00-0031577,AlleJa01,javorius-allen-1,Javorius Allen,False,RB,RB,O,USC,24.0,2019.0,0,0,0,14.0,,14.0,64.0,0.0,0.0,0.0,0.0,0.0,350.0,1285.0,9.0,130.0,823.0,6.0,11.0,,,javorius allen,166.1,10.381250381469727,2017.0,0,0,16.0
2015,4,126,SFO,00-0032063,DaviMi01,mike-davis-9,Mike Davis,False,RB,RB,O,South Carolina,22.0,2022.0,0,0,2,20.0,,1.0,87.0,0.0,0.0,0.0,0.0,0.0,558.0,2052.0,14.0,171.0,1066.0,4.0,3.0,,,mike davis,206.5,14.75,2020.0,0,1,14.0
2015,4,132,SFO,00-0032064,SmelDe00,deandre-smelter-1,DeAndre Smelter,False,WR,WR,O,Georgia Tech,23.0,2016.0,0,0,0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,,,,deandre smelter,3.3,3.299999952316284,2016.0,0,0,1.0
2015,5,138,TEN,00-0032133,CobbDa00,david-cobb-1,David Cobb,False,RB,RB,O,Minnesota,22.0,2015.0,0,0,0,1.0,,1.0,7.0,0.0,0.0,0.0,0.0,0.0,52.0,146.0,1.0,1.0,-2.0,0.0,,,,david cobb,0.0,0.0,,0,0,
2015,5,139,JAX,00-0032170,GreeRa00,rashad-greene-1,Rashad Greene,False,WR,WR,O,Florida St.,22.0,2018.0,0,0,0,2.0,,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,185.0,2.0,,,,rashad greene,46.3,5.144444359673394,2015.0,0,0,9.0
2015,5,146,MIN,00-0031588,DiggSt00,stefon-diggs-1,Stefon Diggs,False,WR,WR,O,Maryland,21.0,2025.0,1,4,10,90.0,,32.0,161.0,1.0,2.0,13.0,0.0,0.0,35.0,170.0,1.0,942.0,11504.0,74.0,2.0,,,stefon diggs,391.7,20.61579011615954,2020.0,0,1,19.0
2015,5,149,MIA,00-0031590,AjayJa00,jay-ajayi-1,Jay Ajayi,False,RB,RB,O,Boise St.,22.0,2019.0,0,1,2,19.0,,14.0,45.0,0.0,0.0,0.0,0.0,0.0,572.0,2546.0,13.0,63.0,419.0,1.0,,,,jay ajayi,222.8,13.925000190734863,2016.0,0,1,16.0
2015,5,155,BUF,00-0032152,WillKa01,karlos-williams-1,Karlos Williams,False,RB,RB,O,Florida St.,22.0,2015.0,0,0,0,4.0,,4.0,11.0,0.0,0.0,0.0,0.0,0.0,93.0,517.0,7.0,11.0,96.0,2.0,,,,karlos williams,0.0,0.0,,0,0,
2015,5,156,MIA,00-0031594,LippTo00,tony-lippett-1,Tony Lippett,False,WR,WR,O,Michigan St.,23.0,2018.0,0,0,1,6.0,,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,4.0,,tony lippett,0.0,0.0,,0,0,
2015,5,159,ARI,00-0032112,NelsJJ00,,JJ Nelson,False,WR,WR,O,Ala-Birmingham,23.0,2019.0,0,0,0,12.0,,12.0,58.0,0.0,0.0,0.0,0.0,0.0,12.0,120.0,1.0,85.0,1475.0,11.0,1.0,,,jj nelson,13.6,13.600000381469727,2019.0,0,1,1.0
2015,5,162,TAM,00-0032113,BellKe02,kenny-bell-2,Kenny Bell,False,WR,WR,O,Nebraska,23.0,,0,0,0,,,,,,,,,,,,,,,,,,,kenny bell,0.0,0.0,,0,0,
2015,5,174,CAR,00-0031599,ArtiCa00,cameron-artis-payne-1,Cameron Artis-Payne,False,RB,RB,O,Auburn,25.0,2018.0,0,0,0,5.0,,5.0,32.0,0.0,0.0,0.0,0.0,0.0,118.0,491.0,5.0,10.0,86.0,0.0,2.0,,,cameron artis payne,28.5,9.5,2016.0,0,0,3.0
2015,5,175,HOU,00-0031600,MumpKe00,keith-mumphery-1,Keith Mumphery,False,WR,WR,O,Michigan St.,23.0,2016.0,0,0,0,2.0,,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,198.0,0.0,5.0,,,keith mumphery,0.0,0.0,,0,0,
2015,6,184,TAM,00-0032115,ClayKa00,kaelin-clay-1,Kaelin Clay,False,WR,WR,O,Utah,23.0,2018.0,0,0,0,3.0,,,22.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,0.0,6.0,85.0,0.0,1.0,,,kaelin clay,6.0,6.0,2015.0,0,0,1.0
2015,6,186,NYG,00-0031953,DaviGe00,geremy-davis-1,Geremy Davis,False,WR,WR,O,Connecticut,23.0,2019.0,0,0,0,0.0,,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,59.0,0.0,11.0,,,geremy davis,6.8,3.4000000953674316,2019.0,0,0,2.0
