player_name,draft_year,college,peak_dominator,breakout_age,age_multiplier,breakout_raw,seasons_found
Samori Toure,2022,Nebraska,28.1,21.0,0.9,25.3,1
Jaxon Smith-Njigba,2023,Ohio State,32.4,20.0,1.15,37.3,3
Quentin Johnston,2023,TCU,27.2,19.0,1.15,31.3,3
Zay Flowers,2023,Boston Col.,36.3,19.0,1.15,41.7,4
Jordan Addison,2023,USC,18.6,21.0,0.8,14.9,1
Jonathan Mingo,2023,Mississippi,27.6,21.0,1.0,27.6,4
Jayden Reed,2023,Michigan State,31.1,19.0,1.05,32.7,3
Rashee Rice,2023,SMU,32.9,19.0,1.05,34.5,4
Marvin Mims,2023,Oklahoma,32.7,20.0,1.15,37.6,3
Jalin Hyatt,2023,Tennessee,29.9,21.0,1.05,31.4,3
Cedric Tillman,2023,Tennessee,32.3,20.0,1.0,32.3,5
Josh Downs,2023,North Carolina,40.2,20.0,1.05,42.2,3
Michael Wilson,2023,Stanford,21.5,18.0,1.15,24.7,5
Tre Tucker,2023,Cincinnati,21.3,21.0,1.0,21.3,4
Derius Davis,2023,TCU,18.3,,0.8,14.6,5
Charlie Jones,2023,Purdue,34.9,21.0,0.9,31.4,1
Tyler Scott,2023,Cincinnati,28.5,21.0,1.05,29.9,3
Justin Shorter,2023,Florida,19.8,,0.8,15.8,3
Dontayvion Wicks,2023,Virginia,25.6,20.0,1.05,26.9,3
Puka Nacua,2023,BYU,23.4,20.0,1.05,24.6,2
Parker Washington,2023,Penn State,23.5,19.0,1.25,29.4,3
Kayshon Boutte,2023,LSU,22.0,19.0,1.25,27.5,3
Trey Palmer,2023,Nebraska,39.4,21.0,1.0,39.4,1
A.T. Perry,2023,Wake Forest,30.0,20.0,1.0,30.0,4
Elijah Higgins,2023,Stanford,23.1,21.0,1.0,23.1,3
Xavier Hutchinson,2023,Iowa State,37.3,19.0,1.05,39.2,3
DeMario Douglas,2023,Liberty,35.3,20.0,1.05,37.1,4
Antoine Green,2023,North Carolina,18.4,21.0,0.8,14.7,5
Jalen Brooks,2023,South Carolina,14.9,,0.8,11.9,3
Ronnie Bell,2023,Michigan,28.9,18.0,1.15,33.2,5
Grant Dubose,2023,Charlotte,29.3,20.0,1.05,30.8,2
Marvin Harrison Jr.,2024,Ohio State,34.6,20.0,1.05,36.3,3
Malik Nabers,2024,LSU,35.6,20.0,1.15,40.9,3
Rome Odunze,2024,Washington,31.8,20.0,1.05,33.4,4
Xavier Worthy,2024,Texas,36.3,19.0,1.25,45.4,3
Ricky Pearsall,2024,Florida,31.4,20.0,1.0,31.4,2
Xavier Legette,2024,South Carolina,37.6,21.0,0.95,35.7,5
Keon Coleman,2024,Florida State,18.8,,0.8,15.0,1
Ladd McConkey,2024,Georgia,17.2,20.0,0.8,13.8,3
Ja'Lynn Polk,2024,Washington,22.5,21.0,1.0,22.5,3
Adonai Mitchell,2024,Texas,20.9,21.0,1.05,21.9,1
Malachi Corley,2024,Western Kentucky,26.2,20.0,1.05,27.5,4
Jermaine Burton,2024,Alabama,25.9,21.0,0.95,24.6,2
Roman Wilson,2024,Michigan,24.6,21.0,0.95,23.4,4
Jalen McMillan,2024,Washington,22.8,20.0,1.05,23.9,4
Luke McCaffrey,2024,Rice,30.2,20.0,1.0,30.2,2
Troy Franklin,2024,Oregon,28.5,20.0,1.15,32.8,3
Devontez Walker,2024,North Carolina,18.0,,0.8,14.4,1
Jacob Cowing,2024,Arizona,26.9,20.0,1.0,26.9,2
Anthony Gould,2024,Oregon State,22.8,21.0,0.95,21.7,3
Ainias Smith,2024,Texas A&M,22.6,18.0,1.15,26.0,5
Jamari Thrash,2024,Louisville,25.9,21.0,0.95,24.6,1
Jha'Quan Jackson,2024,Tulane,20.1,18.0,1.05,21.1,5
Malik Washington,2024,Virginia,47.4,21.0,0.95,45.0,1
Johnny Wilson,2024,Florida State,25.5,20.0,1.0,25.5,3
Casey Washington,2024,Illinois,21.0,21.0,0.95,19.9,5
Tejhaun Palmer,2024,Ala-Birmingham,24.7,21.0,0.9,22.2,3
Jordan Whittington,2024,Texas,20.8,20.0,1.0,20.8,5
Ryan Flournoy,2024,SE Missouri St.,,20.0,0.8,,2
Brenden Rice,2024,USC,18.3,21.0,0.8,14.6,2
Devaughn Vele,2024,Utah,27.5,21.0,0.9,24.8,4
Tahj Washington,2024,USC,24.5,20.0,0.95,23.3,3
Cornelius Johnson,2024,Michigan,19.6,,0.8,15.7,5
Tutu Atwell,2021,Louisville,41.9,20.0,1.15,48.2,3
Tank Dell,2023,Houston,35.0,19.0,1.05,36.8,3
Brian Thomas,2024,LSU,26.7,21.0,1.05,28.0,3
Michael Woods II,2022,Oklahoma,11.7,,0.8,9.4,1
Bub Means,2024,Pittsburgh,27.8,21.0,0.95,26.4,2
