player_name,draft_year,final_season,college,cfbd_school,cfbd_name,draft_age,rec_yards,receptions,rec_tds,team_pass_att
Marquise Brown,2019,2018,Oklahoma,Oklahoma,Marquise Brown,22.0,1318.0,75.0,10.0,400.0
N'Keal Harry,2019,2018,Arizona St.,Arizona State,N'Keal Harry,21.0,1088.0,73.0,9.0,395.0
Deebo Samuel,2019,2018,South Carolina,South Carolina,Deebo Samuel,23.0,882.0,62.0,11.0,443.0
A.J. Brown,2019,2018,Mississippi,Ole Miss,A.J. Brown,22.0,1355.0,85.0,6.0,440.0
Mecole Hardman,2019,2018,Georgia,Georgia,Mecole Hardman,21.0,532.0,34.0,7.0,356.0
JJ Arcega-Whiteside,2019,2018,Stanford,Stanford,JJ Arcega-Whiteside,22.0,1040.0,62.0,14.0,423.0
Parris Campbell,2019,2018,Ohio St.,Ohio State,Parris Campbell,22.0,983.0,88.0,11.0,559.0
Andy Isabella,2019,2018,Massachusetts,Massachusetts,Andy Isabella,22.0,1697.0,101.0,13.0,411.0
D.K. Metcalf,2019,2018,Mississippi,Ole Miss,D.K. Metcalf,21.0,569.0,26.0,5.0,440.0
Diontae Johnson,2019,2018,Toledo,Toledo,Diontae Johnson,23.0,761.0,49.0,8.0,394.0
Jalen Hurd,2019,2018,Baylor,Baylor,Jalen Hurd,23.0,946.0,69.0,4.0,486.0
Terry McLaurin,2019,2018,Ohio St.,Ohio State,Terry McLaurin,23.0,701.0,35.0,11.0,559.0
Miles Boykin,2019,2018,Notre Dame,Notre Dame,Miles Boykin,22.0,872.0,59.0,8.0,418.0
Hakeem Butler,2019,2018,Iowa St.,Iowa State,Hakeem Butler,23.0,1318.0,60.0,9.0,363.0
Gary Jennings Jr,2019,2018,West Virginia,West Virginia,Gary Jennings,22.0,917.0,54.0,13.0,445.0
Riley Ridley,2019,2018,Georgia,Georgia,Riley Ridley,23.0,570.0,44.0,9.0,356.0
Hunter Renfrow,2019,2018,Clemson,Clemson,Hunter Renfrow,23.0,544.0,49.0,1.0,508.0
Darius Slayton,2019,2018,Auburn,Auburn,Darius Slayton,22.0,670.0,35.0,5.0,382.0
KeeSean Johnson,2019,2018,Fresno St.,Fresno State,KeeSean Johnson,22.0,1340.0,95.0,8.0,440.0
Travis Fulgham,2019,2018,Old Dominion,Old Dominion,Travis Fulgham,23.0,1083.0,63.0,9.0,479.0
Juwann Winfree,2019,2018,Colorado,Colorado,Juwann Winfree,23.0,324.0,28.0,2.0,419.0
Marcus Green,2019,2018,La-Monroe,La-Monroe,,23.0,,,,
Kelvin Harmon,2019,2018,North Carolina St.,NC State,Kelvin Harmon,22.0,1086.0,74.0,6.0,453.0
Scott Miller,2019,2018,Bowling Green,Bowling Green,Scott Miller,22.0,1106.0,70.0,9.0,405.0
John Ursua,2019,2018,Hawaii,Hawaii,,25.0,,,,
Terry Godwin,2019,2018,Georgia,Georgia,Terry Godwin,22.0,373.0,22.0,3.0,356.0
Dillon Mitchell,2019,2018,Oregon,Oregon,Dillon Mitchell,22.0,1184.0,75.0,10.0,418.0
Olabisi Johnson,2019,2018,Colorado St.,Colorado State,Olabisi Johnson,22.0,796.0,54.0,4.0,502.0
Marvin Harrison Jr.,2024,2023,Ohio St.,Ohio State,Marvin Harrison Jr.,22.0,1211.0,67.0,14.0,400.0
Malik Nabers,2024,2023,LSU,LSU,Malik Nabers,21.0,1569.0,89.0,14.0,411.0
Rome Odunze,2024,2023,Washington,Washington,Rome Odunze,22.0,1640.0,92.0,13.0,575.0
Brian Thomas,2024,2023,LSU,LSU,Brian Thomas Jr.,21.0,1177.0,68.0,17.0,411.0
Xavier Worthy,2024,2023,Texas,Texas,Xavier Worthy,21.0,1014.0,75.0,5.0,475.0
Ricky Pearsall,2024,2023,Florida,Florida,Ricky Pearsall,23.0,970.0,64.0,4.0,389.0
Xavier Legette,2024,2023,South Carolina,South Carolina,Xavier Legette,23.0,1255.0,71.0,7.0,412.0
Keon Coleman,2024,2023,Florida St.,Florida State,Keon Coleman,21.0,658.0,50.0,11.0,433.0
Ladd McConkey,2024,2023,Georgia,Georgia,Ladd McConkey,22.0,478.0,30.0,2.0,456.0
Ja'Lynn Polk,2024,2023,Washington,Washington,Ja'Lynn Polk,22.0,1159.0,69.0,9.0,575.0
Adonai Mitchell,2024,2023,Texas,Texas,Adonai Mitchell,21.0,845.0,55.0,11.0,475.0
Malachi Corley,2024,2023,Western Kentucky,Western Kentucky,Malachi Corley,22.0,984.0,79.0,11.0,539.0
Jermaine Burton,2024,2023,Alabama,Alabama,Jermaine Burton,23.0,798.0,39.0,8.0,325.0
Roman Wilson,2024,2023,Michigan,Michigan,Roman Wilson,23.0,789.0,48.0,12.0,361.0
Jalen McMillan,2024,2023,Washington,Washington,Jalen McMillan,22.0,559.0,45.0,5.0,575.0
Luke McCaffrey,2024,2023,Rice,Rice,Luke McCaffrey,23.0,992.0,71.0,13.0,431.0
Troy Franklin,2024,2023,Oregon,Oregon,Troy Franklin,21.0,1383.0,81.0,14.0,514.0
Javon Baker,2024,2023,Central Florida,UCF,Javon Baker,22.0,1139.0,52.0,7.0,366.0
Devontez Walker,2024,2023,North Carolina,North Carolina,Devontez Walker,23.0,699.0,41.0,7.0,460.0
Jacob Cowing,2024,2023,Arizona,Arizona,Jacob Cowing,23.0,839.0,89.0,13.0,464.0
Anthony Gould,2024,2023,Oregon St.,Oregon State,Anthony Gould,23.0,718.0,44.0,2.0,380.0
Ainias Smith,2024,2023,Texas A&M,Texas A&M,Ainias Smith,23.0,795.0,53.0,2.0,426.0
Jamari Thrash,2024,2023,Louisville,Louisville,Jamari Thrash,23.0,858.0,63.0,6.0,408.0
Bub Means,2024,2023,Pittsburgh,Pittsburgh,,23.0,,,,360.0
Jha'Quan Jackson,2024,2023,Tulane,Tulane,Jha'Quan Jackson,24.0,439.0,26.0,4.0,368.0
Malik Washington,2024,2023,Virginia,Virginia,Malik Washington,23.0,1426.0,110.0,9.0,396.0
Johnny Wilson,2024,2023,Florida St.,Florida State,Johnny Wilson,23.0,617.0,41.0,2.0,433.0
Casey Washington,2024,2023,Illinois,Illinois,Casey Washington,23.0,670.0,49.0,4.0,414.0
Tejhaun Palmer,2024,2023,Ala-Birmingham,UAB,Tejhaun Palmer,24.0,858.0,47.0,7.0,427.0
Jordan Whittington,2024,2023,Texas,Texas,Jordan Whittington,23.0,505.0,42.0,1.0,475.0
Ryan Flournoy,2024,2023,SE Missouri St.,SE Missouri St.,,24.0,,,,
Brenden Rice,2024,2023,USC,USC,Brenden Rice,22.0,791.0,45.0,12.0,461.0
Devaughn Vele,2024,2023,Utah,Utah,Devaughn Vele,26.0,593.0,43.0,3.0,328.0
Tahj Washington,2024,2023,USC,USC,Tahj Washington,23.0,1062.0,59.0,8.0,461.0
Cornelius Johnson,2024,2023,Michigan,Michigan,Cornelius Johnson,23.0,604.0,47.0,1.0,361.0
