,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOA,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
Corey Coleman,1.15,4.42,1.51,24,3.50,9.2,20.2,3,Y,5110,8052,27.1,9.000,30.250,9.66,17.4,0,0,,Ezekiel Elliot,1.04,112.7,4.47,1.58,225,30.5,114.3,88.4,"2,098",28,8.65,7.0,6.7,7,8
Will Fuller,1.21,4.32,1.51,26,3.28,27.3,20.4,2,Y,6001,8067,25.2,8.250,30.750,7.17,17.4,2,41,,Derrick Henry,2.14,116.3,4.54,1.60,247,30.9,127.9,47.6,"2,310",11,8.77,6.6,6.0,8,7
Josh Doctson,1.22,4.50,1.58,23,2.57,20.4,18.8,4,N,6020,8097,25.9,9.875,31.875,9.41,14.8,0,0,,Kenyan Drake,3.10,107.1,4.45,1.64,210,27.7,120.2,46.6,829,29,6.98,11.1,6.4,3,16
Laquon Treadwell,1.23,4.69,1.62,21,2.36,-8.8,19.2,3,Y,6020,8113,28.4,9.500,33.375,3.34,11.8,0,0,,C.J. Prosise,3.27,109.2,4.48,1.57,220,29.8,120.9,47.4,"1,337",29,8.07,13.8,6.6,0,0
Sterling Shepard,2.09,4.48,1.55,26,2.93,20.8,20.6,2,N,5102,8045,27.8,9.750,30.375,7.62,14.9,3,46,,Tyler Ervin,4.21,101.5,4.41,1.56,192,27.5,131.3,79.2,"1,935",45,7.70,20.5,5.3,0,0
Micahel Thomas,2.16,4.57,1.55,19,2.41,7.2,21.5,3,Y,6026,8107,26.5,10.500,32.125,9.12,14.2,4,5,,Kenneth Dixon,4.36,97.7,4.58,1.57,215,30.8,124.3,74.3,"1,685",33,6.86,6.2,5.6,0,0
Tyler Boyd,2.24,4.58,1.59,41,4.09,6.2,18.8,1,Y,6014,8094,26.0,9.750,32.000,4.27,13.2,3,25,,Devontae Booker,4.38,99.5,4.58,N/A,219,30.5,N/A,93.5,"1,818",43,N/A,8.7,5.0,0,0
Braxton Miller,3.22,4.50,1.61,4,1.05,12.4,N/A,N/A,N,6013,8091,26.5,9.125,31.750,8.59,13.6,0,0,,DeAndre Washington,5.04,100.4,4.49,1.55,204,31.0,117.7,56.3,"1,877",41,7.31,10.1,5.6,0,0
Leonte Carroo,3.23,4.50,1.59,32,3.04,47.2,19.6,2,N,5117,8072,28.6,9.625,31.375,6.97,19.5,0,0,,Paul Perkins,5.10,97.9,4.54,1.62,208,29.8,116.4,77.9,"1,773",30,5.39,7.9,5.6,0,0
Chris Moore,4.09,4.53,1.58,15,1.59,45.1,N/A,N/A,N,6010,8103,27.2,9.375,33.375,7.95,19.3,0,0,,Jordan Howard,5.11,99.2,4.64,1.66,230,31.2,118.8,56.7,"1,659",11,5.41,17.8,5.7,4,21
Malcolm Mitchell,4.14,4.45,1.54,19,2.65,1.1,22.1,5,N,5115,8082,26.9,10.500,32.625,8.08,13.5,0,0,,Wendell Smallwood,5.14,104.2,4.47,1.57,208,29.8,117.0,58.1,"1,679",31,7.09,18.4,5.8,0,0
Ricardo Louis,4.16,4.43,1.57,14,2.34,0.4,21.5,4,N,6020,8103,27.6,9.500,32.375,9.23,13.7,0,0,,Jonathan Williams,5.18,91.7,4.68,1.57,220,30.7,N/A,61.4,"1,255",11,6.40,9.6,5.7,0,0
Pharoh Cooper,4.19,4.70,1.66,25,2.77,19.2,19.5,2,Y,5110,8072,28.3,9.125,32.250,2.06,15.7,0,0,,Alex Collins,5.34,97.8,4.59,1.62,217,31.1,105.0,72.9,"1,672",13,2.96,0.2,5.6,2,31
Demarcus Robinson,4.28,4.59,1.59,18,2.50,1.4,20.0,2,Y,6013,8103,26.8,9.500,33.000,5.86,12.9,0,0,,Keenan Reynolds,6.07,83.4,4.62,1.62,190,28.1,122.9,N/A,"1,420",N/A,4.55,-17.9,4.7,0,0
Tajae Sharpe,5.01,4.55,1.55,29,2.66,11.0,18.7,2,N,6020,8102,24.9,8.375,32.250,5.31,12.6,0,0,,Kelvin Taylor,6.36,92.5,4.60,1.59,207,29.7,110.9,52.9,"1,185",17,2.66,1.7,4.3,0,0
Jordan Payton,5.15,4.47,1.57,18,2.19,11.6,21.0,3,N,6011,8095,27.3,10.125,32.500,6.85,13.4,0,0,,Darius Jackson,6.41,112.2,4.45,1.56,220,29.8,136.2,46.4,"1,289",21,9.85,8.0,5.0,0,0
Trevor Davis,5.26,4.42,1.51,11,1.22,24.5,N/A,N/A,N,6011,8081,24.8,10.000,31.000,9.14,15.3,0,0,,Dwayne Washington,7.15,105.9,4.53,1.58,223,30.2,127.3,43.6,788,25,9.82,10.7,5.8,0,0
Tyreek Hill,5.28,4.34,1.50,8,0.70,N/A,N/A,N/A,N,5081,8025,26.5,8.000,30.500,9.39,12.5,9,9,,Daniel Lasco,7.16,105.6,4.46,1.54,209,28.3,138.1,78.3,"1,471",33,9.61,13.4,5.4,0,0
Rashard Higgins,5.35,4.64,1.63,34,3.91,14.5,18.9,1,Y,6013,8095,25.9,9.750,32.250,1.66,15.3,0,0,,Keith Marshall,7.21,126.9,4.31,1.49,219,30.5,N/A,14.8,850,11,9.35,-4.5,5.5,0,0
Jakeem Grant,6.11,4.42,1.54,17,2.05,8.0,22.9,4,N,5057,7115,26.6,8.625,29.750,6.39,12.9,0,0,,Zac Brooks,7.26,94.2,4.54,1.52,200,26.4,125.7,31.1,347,8,7.94,9.9,5.2,0,0
Kolby Listenbee,6.17,4.39,1.60,8,1.42,44.0,N/A,N/A,N,6000,8073,26.7,8.250,31.375,7.92,19.4,0,0,,Tra Carson,UDFA,93.8,4.69,1.65,227,31.7,120.4,N/A,"1,348",29,6.25,-12.5,4.9,0,0
Cody Core,6.24,4.47,1.54,9,1.32,15.5,N/A,N/A,N,6025,8105,25.6,10.375,32.000,7.39,15.6,0,0,,Peyton Barber,UDFA,98.4,4.64,1.64,228,32.7,110.8,28.4,"1,129",11,4.34,-5.3,4.3,0,0
Mike Thomas,6.31,4.59,1.59,28,2.62,N/A,20.1,1,Y,6012,8105,26.4,10.500,33.375,7.66,14.4,0,0,,J.D. Mckissick,UDFA,83.5,4.60,1.59,187,26.8,123.9,39.7,"1,035",103,4.31,N/A,8.1,0,0
Aaron Burbridge,6.38,4.56,1.63,16,2.86,3.3,21.7,4,N,6000,8075,27.9,8.250,31.625,2.78,13.2,0,0,,,,,,,,,,,,,,,,,
Devin Lucien,7.04,4.54,1.53,12,2.02,23.3,22.2,5,N,6004,8083,29.3,10.125,31.875,6.69,14.7,0,0,,,,,,,,,,,,,,,,,
Demarcus Ayers,7.08,4.72,1.63,16,2.83,11.6,21.2,3,Y,5093,8045,26.9,9.250,31.250,0.89,12.0,0,0,,,,,,,,,,,,,,,,,
Daniel Braverman,7.09,4.58,1.59,23,3.38,-13.8,19.9,3,Y,5097,8025,25.1,9.125,28.750,2.55,11.8,0,0,,,,,,,,,,,,,,,,,
Devin Fuller,7.17,4.44,1.59,10,1.20,-18.8,N/A,N/A,N,6000,8066,26.3,9.250,30.750,8.34,9.1,0,0,,,,,,,,,,,,,,,,,
Charone Peake,7.20,4.45,1.63,6,1.36,-7.3,N/A,N/A,N,6023,9003,26.8,9.250,34.000,5.76,11.8,0,0,,,,,,,,,,,,,,,,,
Kenny Lawler,7.22,4.64,1.65,16,1.31,-3.8,N/A,N/A,Y,6024,8117,26.1,10.500,33.375,2.08,11.9,0,0,,,,,,,,,,,,,,,,,
Geronimo Allison,UDFA,4.67,1.65,23,1.70,30.3,20.6,4,N,6032,9001,24.5,9.500,32.875,2.72,14.0,0,0,,,,,,,,,,,,,,,,,
Alex Erickson,UDFA,4.59,1.57,23,2.40,12.9,21.8,3,N,5117,8057,26.4,9.000,30.000,6.94,13.3,0,0,,,,,,,,,,,,,,,,,
Johnny Holton,UDFA,4.54,1.62,11,N/A,42.7,N/A,N/A,N,6005,8094,25.1,9.875,32.875,3.79,19.4,0,0,,,,,,,,,,,,,,,,,
Jaydon Mickens,UDFA,4.59,1.57,17,1.75,-7.3,19.4,2,N,5097,8025,25.0,9.125,28.750,6.79,10.8,0,0,,,,,,,,,,,,,,,,,
