,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,BOA,YPR DOM,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA ,10+ PPG Seasons,AVG Top Finish
John Hightower,5.23,4.43,1.54,20,2.03,22.3,40.8,5,N,6014,8090,24.3,9.750,31.500,8.02,17.6,0,0,,Javon Leake,UDFA,92.0,4.65,1.70,215,29.2,120.3,23.5,791,8,5.08,33.2,7.9,0,0
Isaiah Coulter,5.26,4.45,1.55,N/A,2.06,20.8,N/A,3,Y,6017,8095,25.4,9.000,31.750,6.70,14.4,0,0,,Patrick Taylor Jr,UDFA,99.5,4.57,1.59,217,27.9,119.3,27.5,"1,319",19,7.14,-9.2,5.4,0,0
Darnell Mooney,5.28,4.38,1.54,30,3.31,18.9,19.2,2,N,5101,8050,25.3,9.625,30.875,7.03,16.7,2,28,,Salvon Ahmed,UDFA,86.5,4.62,1.61,197,27.5,118.7,33.1,"1,104",21,5.05,12.6,5.7,0,0
K.J. Osborn,5.31,4.48,1.58,16,2.13,21.2,1.5,4,N,5114,8066,27.5,9.125,31.250,8.00,14,0,0,,Darius Bradwell,UDFA,N/A,N/A,N/A,230,30.3,N/A,43.3,"1,147",3,N/A,-4.2,5.3,0,0
Donavan Peoples-Jones,6.08,4.48,1.59,16,1.76,19.5,-1.1,2,Y,6015,8111,27.2,10.125,33.500,9.63,12.9,0,0,,Darius Anderson,UDFA,92.1,4.61,1.57,208,29.0,125.2,27.0,951,22,7.69,6.7,5.6,0,0
Quez Watkins,6.21,4.35,1.52,25,2.69,21.2,26.6,3,Y,6001,8090,25.1,9.000,32.875,7.41,15.1,0,0,,Adrian Killins Jr,UDFA,N/A,N/A,N/A,164,24.9,N/A,39.3,"1,092",25,N/A,9.6,6.0,0,0
James Proche,6.22,N/A,N/A,29,2.56,20.0,2.3,2,N,5105,8043,28,9.625,29.750,4.07,13.1,0,0,,Levante Bellamy,UDFA,93.6,4.50,1.58,192,28.4,129.7,36.3,"1,527",30,6.51,11.1,6.0,0,0
Isaiah Hodgins,6.28,4.61,1.58,27,2.79,19.9,15.2,2,Y,6035,9006,25.6,9.875,33.125,7.56,13.2,0,0,,JaMycal Hasty,UDFA,95.7,4.55,1.61,205,31.2,127.8,30.5,811,26,6.71,1.0,5.2,0,0
Dezmon Patmon,6.33,4.48,1.57,9,1.21,N/A,22.0,N/A,N,6040,9006,27.4,10.250,32.750,8.47,12.7,0,0,,Rico Dowdle,UDFA,100.3,4.54,1.62,213,29.7,128.1,41.8,805,22,8.58,1.0,5.0,2,19
Freddie Swain,6.36,4.46,1.57,9,1.11,N/A,16.7,N/A,N,6002,8067,26,9.000,30.625,8.29,14.6,0,0,,,,,,,,,,,,,,,,,
Jauan Jennings,7.03,4.72,1.65,16,2.69,21.2,12.3,5,N,6031,8106,26.9,9.000,31.625,2.73,14.7,,,,,,,,,,,,,,,,,,,
K.J. Hill,7.06,4.60,1.59,14,1.58,N/A,-7.4,N/A,N,5117,8050,26.6,9.250,29.125,3.92,11.6,0,0,,,,,,,,,,,,,,,,,
Jeff Thomas,UDFA,4.45,1.56,16,1.58,20.2,23.3,2,Y,5087,8032,25.1,8.375,30.375,6.69,15.9,0,0,,,,,,,,,,,,,,,,,
Kendrick Rogers,UDFA,4.51,1.59,9,0.78,N/A,-5.8,N/A,Y,6042,9013,25.3,9.125,33.125,7.35,11.6,0,0,,,,,,,,,,,,,,,,,
Kalija Lipscomb,UDFA,4.57,1.61,23,2.20,19.9,0.9,2,N,5117,8086,28.1,9.375,32.875,5.83,11.9,0,0,,,,,,,,,,,,,,,,,
Binjimen Victor,UDFA,4.60,1.64,9,1.41,N/A,24.0,N/A,N,6036,9017,24.1,9.625,34.125,5.23,16.1,0,0,,,,,,,,,,,,,,,,,
Marquez Callaway,UDFA,4.55,1.58,18,1.99,19.4,36.5,2,N,6012,8095,27,9.375,32.375,8.90,17.9,0,0,,,,,,,,,,,,,,,,,
