,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,BOA,YPR DOM,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA ,10+ PPG Seasons,AVG Top Finish
Marquise Brown,1.25,N/A,N/A,24,3.29,21.3,11.5,2,Y,5093,8037,24.5,9.000,30.500,N/A,18.3,2,35,,Josh Jacobs,1.24,90.9,4.69,1.60,220,31.6,115.5,55.1,887,20,5.70,-2.6,5.9,,
N'Keal Harry,1.32,4.53,1.62,32,2.75,18.7,10.4,1,Y,6027,8117,29.3,9.500,33.000,8.45,13.6,0,0,,Miles Sanders,2.21,103.8,4.49,1.57,211,29.4,123.2,64.9,"1,413",24,9.49,8.5,6.0,3,17
Deebo Samuel,2.04,4.48,1.60,17,1.99,20.6,15.1,3,N,5112,8065,29.8,10.000,31.375,7.92,14.0,4,20,,Darrell Henderson,3.06,102.4,4.49,1.42,208,31.6,117.5,37.7,"2,204",24,7.71,33.8,8.2,1,27
A.J. Brown,2.19,4.49,1.6,25,2.99,20.2,14.8,2,Y,6004,8093,30.6,9.750,32.875,8.60,15.8,,,,David Montgomery,3.09,96.6,4.63,1.61,222,31.9,109.0,83.5,"1,442",36,5.21,5.4,4.7,5,16
Mecole Hardman,2.24,4.33,1.54,11,1.51,N/A,17.7,N/A,Y,5102,8044,26.8,9.000,30.250,8.30,16.0,0,0,,Devin Singletary,3.10,86.1,4.66,1.64,203,31.8,118.0,62.0,"2,116",26,1.73,4.7,6.0,2,26
JJ Arcega-Whiteside,2.25,4.54,1.58,29,2.29,19.7,31.4,2,N,6020,8112,28.9,9.500,33.250,6.16,16.4,0,0,,Damien Harris,3.23,99.0,4.57,1.61,216,31.0,123.4,45.3,"1,136",22,6.40,9.4,6.4,1,13
Parris Campbell,2.27,4.31,1.52,13,1.77,21.1,1.4,5,N,5117,8081,27.8,9.500,32.250,9.76,12.4,0,0,,Alexander Mattison,3.38,92.9,4.67,1.61,221,30.8,123.0,78.8,"1,588",28,6.85,3.6,4.9,0,0
Andy Isabella,2.30,4.31,1.58,26,4.13,19.8,17.8,2,N,5086,8024,27.8,8.375,29.750,7.27,15.3,0,0,,Bryce Love,4.10,N/A,N/A,N/A,200,29.5,N/A,54.9,"2,151",20,N/A,22.5,6.8,0,0
D.K. Metcalf,2.32,4.33,1.48,12,1.49,N/A,27.2,N/A,Y,6033,9022,28.5,9.875,34.875,9.66,18.3,,,,Justice Hill,4.11,105.7,4.40,1.56,198,28.4,133.0,66.1,"1,657",31,9.34,4.5,5.6,0,0
Diontae Johnson,3.02,4.53,1.59,23,3.02,20.8,17.9,3,Y,5104,8052,26.3,9.000,30.750,4.21,16.6,2,16,,Benny Snell,4.20,95.0,4.66,1.65,224,32.1,109.7,70.8,"1,554",17,3.48,-4.2,5.3,0,0
Jalen Hurd,3.03,4.69,1.62,11,2.31,22.6,7.7,5,N,6045,9005,26.8,10.250,32.000,8.22,13.7,0,0,,Tony Pollard,4.26,100.6,4.52,1.58,210,28.5,120.0,29.6,"1,010",39,7.21,10.9,6.8,4,17
Terry McLaurin,3.12,4.35,1.54,11,1.19,N/A,36.5,N/A,N,6001,8075,28.2,9.125,31.500,9.57,16.7,,,,Ryquell Armstead,5.02,112.2,4.45,1.57,220,30.7,108.0,65.4,"1,150",14,7.74,5.4,4.9,0,0
Miles Boykin,3.29,4.42,1.54,14,2.09,21.9,21.1,4,N,6036,9012,26.8,9.875,33.500,9.94,15.7,0,0,,Qadree Ollison,5.14,103.6,4.58,1.63,228,30.1,107.2,71.5,"1,279",23,4.49,-3.1,5.4,0,0
Hakeem Butler,4.01,4.48,1.59,23,3.65,21.3,53.7,3,Y,6055,9047,26.9,10.750,35.250,9.47,19.5,0,0,,Jordan Scarlett,5.16,104.2,4.47,1.58,208,29.0,109.0,29.1,912,10,4.74,10.2,5.4,0,0
Gary Jennings,4.18,4.42,1.55,14,2.28,20.5,-1.7,3,N,6010,8094,28.2,9.625,32.500,9.04,13.7,0,0,,Trayveon Williams,6.09,99.6,4.51,1.58,206,31.3,116.6,81.1,"2,038",27,4.66,5.3,6.0,0,0
Riley Ridley,4.24,4.58,1.57,13,1.39,N/A,13.0,N/A,Y,6012,8097,26.3,10.250,32.625,4.57,14.7,0,0,,Ty Johnson,6.13,107.1,4.45,1.56,210,29.3,120.2,49.0,"1,210",16,9.75,26.1,7.6,0,0
