,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,BOA,YPR DOM,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA ,10+ PPG Seasons,AVG Top Finish
Kyle Pitts,1.04,4.53*,1.55,12,1.63,N/A,12.3,N/A,Y,6055,9031,27.7,10.625,33.500,9.66,14.9,,,,Najee Harris,1.24,N/A,N/A,N/A,232,31.5,N/A,70.1,"1,891",43,N/A,5.3,6.0,,
Ja'Marr Chase,1.05,4.40*,1.59,21,3.14,19.5,41.8,2,Y,6003,8071,27.3,9.625,30.750,9.81,19.6,,,,Travis Etienne,1.25,114.7,4.40*,1.56,215,30.8,121.0,72.9,"2,046",48,9.13,17.6,7.2,,
Jaylen Waddle,1.06,N/A,N/A,14,1.94,21.8,23.8,3,Y,5094,8037,26.6,9.125,30.375,N/A,18.9,,,,Javonte Williams,2.03,100.7,4.53*,1.60,212,31.3,122.7,55.2,"1,445",25,8.79,6.2,6.3,,
Devonta Smith,1.10,N/A,N/A,23,4.37,20.8,10.7,3,N,6002,8081,22.4,9.250,31.875,N/A,16.9,,,,Trey Sermon,3.25,92.8,4.64,1.49,215,29.2,125.4,50.0,"1,128",16,9.66,-2.6,6.5,0,0
Kadarius Toney,1.20,4.42,1.54,10,2.08,21.6,3.8,4,N,5115,8067,26.4,9.500,31.250,9.00,13.3,0,0,,Michael Carter,4.02,93.8,4.55,1.65,201,31.6,117.3,61.0,"1,512",25,6.23,14.8,6.6,0,0
Rashod Bateman,1.27,4.52*,1.55,32,3.77,18.8,13.9,1,Y,6003,8093,25.8,9.500,33.000,8.05,16.3,0,0,,Kene Nwangwu ,4.14,116.2,4.36,1.45,210,28.5,127.1,10.5,361,3,9.89,6.1,5.2,0,0
Elijah Moore,2.02,4.47*,1.57,28,3.56,19.4,-8.5,2,Y,5094,8035,26.3,9.375,30.125,8.68,12.9,1,48,,Rhamondre Stevenson,4.15,94.6,4.68,1.67,227,31.7,109.6,29.7,876,18,4.02,21.0,7.2,,
Rondale Moore,2.17,4.35*,1.58,18,2.47,18.2,-4.9,1,Y,5070,7112,28.2,8.750,28.250,9.33,10.8,0,0,,Chuba Hubbard,4.21,99.7,4.53*,1.56,210,28.5,121.2,85.7,"2,292",23,8.44,10.0,5.9,,
D'Wayne Eskridge,2.24,4.44,1.51,19,4.92,20.5,34.3,2,N,5086,8027,28.1,9.000,30.125,6.73,18.5,0,0,,Kenneth Gainwell,5.06,98.9,4.49,1.62,201,30.6,120.0,42.5,"2,069",51,5.70,22.2,6.6,,
"Chatarius ""Tutu"" Atwell",2.25,4.40,1.49,28,4.23,18.9,19.2,1,Y,5081,8013,22.9,8.875,29.250,6.26,16.6,0,0,,Elijah Mitchell,6.10,109.2,4.38,1.51,201,28.8,127.8,47.5,"1,334",20,9.50,1.2,6.2,1,25
Terrace Marshall Jr,2.27,4.42*,1.60,15,1.74,20.2,11.9,3,Y,6024,8112,26.3,9.500,32.750,9.77,15,0,0,,Gary Brightwell,6.12,94.9,4.63,1.62,218,31.3,117.7,44.7,534,13,4.62,-3.0,5.3,0,0
Josh Palmer,3.14,4.56,1.59,15,1.67,21.0,21.1,4,N,6010,8100,27.7,9.375,33.000,7.60,15.3,0,0,,Larry Rountree,6.14,84.3,4.73,1.73,211,29.4,105.0,43.7,"1,278",15,2.08,2.0,5.0,0,0
Dyami Brown,3.19,4.47*,1.57,21,3.08,19.8,40.6,2,Y,6012,8100,25.6,9.625,32.750,8.38,18.7,0,0,,Chris Evans,6.18,97.6,4.56,1.51,211,29.4,132.4,52.8,842,18,9.85,6.7,5.6,0,0
Amari Rodgers,3.22,4.56,1.65,13,2.08,21.0,-4.9,4,N,5094,8037,31.2,9.500,30.375,5.37,11.8,0,0,,Khalil Herbert,6.33,98.9,4.54,1.62,210,31.5,113.6,71.2,"1,362",10,6.18,19.6,6.1,0,0
Nico Collins,3.26,4.50,1.55,16,1.82,19.5,32.4,2,N,6041,9022,26.2,9.375,34.125,9.57,17.8,,,,Jake Funk,7.05,96.9,4.53,1.50,204,29.3,125.6,79.7,584,10,9.76,22.0,7.2,0,0
Anthony Schwartz,3.28,4.30,1.51,18,1.76,20.0,3.3,3,Y,6000,8074,25.2,9.375,31.500,6.91,12.2,0,0,,Gerrid Doaks,7.17,100.1,4.62,1.57,228,31.8,127.2,65.2,875,14,8.32,-6.0,5.2,0,0
Dez Fitzpatrick,4.04,4.52,1.54,22,2.65,19.7,20.2,2,N,6016,8104,26.7,9.625,32.750,8.82,16.8,0,0,,Kylin Hill,7.29,95.6,4.60,1.60,214,30.7,122.2,75.2,"1,610",23,7.31,0.9,5.6,0,0
Amon-ra St. Brown,4.07,4.60*,1.63,25,2.56,18.9,10.7,1,Y,5114,8057,27.5,9.125,30.375,7.14,12.8,,,,Jermar Jefferson,7.30,91.2,4.61,1.59,206,29.6,110.2,72.1,"1,527",25,2.28,3.1,5.7,0,0
Jaelon Darden,4.24,4.49,1.54,23,3.54,20.6,-6.3,3,N,5075,8022,26.5,8.750,30.625,7.15,12.1,0,0,,Spencer Brown,UDFA,N/A,N/A,1.60,208,29.8,N/A,53.4,"1,371",8,4.89,-3.6,4.7,0,0
Tylan Wallace,4.26,4.52*,1.53,26,3.03,19.3,27.8,2,N,5113,8056,27.1,9.500,30.375,4.72,16.7,0,0,,Deon Jackson,UDFA,116.3,4.40*,1.51,218,30.4,122.7,68.3,"1,100",26,8.94,-8.5,4.3,0,0
Ihmir Smith-Marsette,5.13,4.52,1.55,18,1.76,20.0,22.4,3,N,6006,8074,23.9,9.750,30.750,6.81,14.7,0,0,,Stevie Scott,UDFA,97.1,4.64,1.65,225,30.5,112.2,64.5,"1,223",26,3.49,4.7,4.5,0,0
Simi Fehoko,5.35,4.48,1.59,19,2.64,19.7,59.2,4,Y,6037,8114,27.0,10.250,31.625,9.17,18.6,0,0,,JaQuan Hardy,UDFA,95.9,4.58,1.58,211,32.1,115.6,N/A,"1,661",N/A,7.46,N/A,6.4,0,0
Cornell Powell,5.37,4.57,1.60,6,1.80,22.9,5.8,5,N,6002,8090,27.8,10.000,32.750,7.58,13,0,0,,Trey Ragas,UDFA,93.3,4.65,1.65,218,31.3,115.5,44.2,"1,410",25,4.93,-2.0,6.0,0,0
Frank Darby,6.03,4.64,1.59,13,N/A,22.0,48.0,4,N,6000,8073,26.3,9.625,31.375,5.92,19.7,0,0,,Josh Johnson,UDFA,91.0,4.63,1.63,209,30.9,117.9,62.9,"1,420",18,5.09,6.6,5.5,0,0
Marquez Stevenson,6.19,N/A,1.60,21,2.91,20.4,17.6,3,N,5101,8051,26.1,8.500,31.000,5.39,15.4,0,0,,Javian Hawkins,UDFA,89.3,4.50,1.53,183,27.0,119.2,69.6,"1,583",16,7.01,-1.7,5.9,0,0
Shi Smith,6.20,4.48,1.60,22,2.15,20.9,12.5,4,N,5094,8053,26.7,9.750,31.875,6.79,12.7,0,0,,Pooka Williams,UDFA,87.7,4.47,1.54,175,25.8,112.6,74.3,"1,414",33,5.36,14.0,5.7,0,0
Racey McMath,6.21,4.32,1.59,4,0.50,N/A,17.5,N/A,N,6024,8104,27.9,8.875,32.000,7.44,15.8,0,0,,"Torrance ""C.J."" Marable",UDFA,85.6,4.62,1.64,195,30.9,119.2,67.7,"1,380",38,3.20,5.2,5.5,0,0
Jalen Camp,6.25,4.53,1.56,11,1.48,22.2,22.2,5,N,6017,8115,29,9.625,33.750,9.75,17.1,0,0,,Rakeem Boyd,UDFA,85.1,4.73,1.60,213,29.7,104.3,63.2,"1,293",23,2.17,12.9,5.6,0,0
Demetric Felton,6.27,4.64,1.62,9,N/A,N/A,-18.7,N/A,N,5085,8040,28.7,9.375,31.375,0.91,9.7,0,0,,Jaret Patterson,UDFA,84.9,4.63,1.58,195,31.5,109.5,60.5,"2,008",13,4.46,10.3,6.1,0,0
Seth Williams,6.35,4.50*,1.63,28,2.10,19.4,36.4,2,Y,6030,9004,26.4,9.875,33.500,6.88,16.1,0,0,,Caleb Huntley,UDFA,81.1,4.77,1.63,210,30.9,115.4,39.0,"1,300",7,1.83,0.0,5.0,0,0
Dazz Newsome,6.37,4.62,1.65,18,2.36,20.3,-0.5,3,N,5101,8040,26.5,9.000,29.875,2.18,13,0,0,,,,,,,,,,,,,,,,,
Mike Strachan,7.01,4.55,1.55,N/A,N/A,21.1,N/A,JR,N,6053,9035,26.8,10.000,34.250,9.22,18.4,0,0,,,,,,,,,,,,,,,,,
Tre Nixon,7.15,4.49,1.57,11,1.82,21.6,3.27,4,N,6001,8077,25.4,9.125,31.750,8.98,15.3,0,0,,,,,,,,,,,,,,,,,
Ben Skowronek,7.22,N/A,N/A,14,1.40,20.2,19.4,2,N,6027,9001,27.5,10.125,33.250,N/A,13.4,0,0,,,,,,,,8.2,,,,,,,,,
Kawaan Baker,7.28,4.48,1.49,20,2.04,20.0,16.58,2,N,6004,8087,28.5,10.500,32.375,9.08,14.5,0,0,,,,,,,,,,,,,,,,,
Dax Milne,7.31,4.61,1.57,13,N/A,21.0,13.1,3,Y,6005,8060,25.5,9.375,29.375,4.59,15.3,0,0,,,,,,,,,,,,,,,,,
Tamorrion Terry,UDFA,4.49,1.58,25,2.75,20.5,55.8,2,Y,6026,9001,25.9,9.500,33.375,7.30,18.8,0,0,,,,,,,,,,,,,,,,,
Trevon Grimes,UDFA,4.54,1.57,10,1.25,N/A,11.8,N/A,N,6040,8113,27.1,9.625,31.375,8.45,14.7,0,0,,,,,,,,,,,,,,,,,
Cade Johnson,UDFA,4.56,1.59,N/A,4.16,20.4,N/A,SO,N,5105,8037,26.7,9.375,29.250,3.04,N/A,0,0,,,,,,,,,,,,,,,,,
Josh Imatorbhebhe,UDFA,4.57,1.57,19,1.74,21.4,29.8,4,N,6020,8103,28.8,9.250,32.375,8.97,16.5,0,0,,,,,,,,,,,,,,,,,
Brennan Eagles,UDFA,4.58,1.59,11,1.36,N/A,34.8,N/A,Y,6035,9011,27.9,10.000,33.500,8.97,16.8,0,0,,,,,,,,,,,,,,,,,
Jonathan Adams Jr,UDFA,4.59,1.56,14,2.40,21.6,3.3,4,N,6020,8101,27.0,9.875,32.125,7.53,13.9,0,0,,,,,,,,,,,,,,,,,
Tyler Vaughns,UDFA,4.69,1.64,21,2.17,20.3,5.0,3,N,6020,8107,23.6,9.500,32.875,1.34,12.6,0,0,,,,,,,,,,,,,,,,,
Terrell Jana,UDFA,4.69,1.63,10,1.69,N/A,4.1,3,N,5111,8067,26.4,9.125,31.750,2.51,12.1,0,0,,,,,,,,,,,,,,,,,
Branden Mack,UDFA,4.71,1.68,17,1.92,22.5,19.9,4,N,6050,9011,25.7,9.250,32.125,2.39,13.9,0,0,,,,,,,,,,,,,,,,,
Marlon Williams,UDFA,4.71,1.61,15,N/A,21.1,-3.1,4,N,5112,8062,29.1,8.875,31.000,3.29,14.4,0,0,,,,,,,,,,,,,,,,,
Sage Surratt,UDFA,4.74,1.63,23,2.13,20.4,15.3,3,N,6024,8104,26.8,9.000,32.000,5.66,14.8,0,0,,,,,,,,,,,,,,,,,
Jhamon Ausbon,UDFA,4.75,1.66,18,1.93,20.0,0.6,3,N,6023,8106,27.9,9.875,32.375,4.67,12.4,0,0,,,,,,,,,,,,,,,,,
Damonte Coxie,UDFA,4.81,1.68,19,2.89,21.8,12.4,3,N,6021,8113,25.4,8.750,33.250,1.74,15.9,0,0,,,,,,,,,,,,,,,,,
Austin Watkins Jr.,UDFA,4.60,1.71,20,N/A,N/A,20.2,4,N,6014,8092,27.3,9.500,31.750,2.63,16.8,0,0,,,,,,,,,,,,,,,,,
Warren Jackson,UDFA,4.76,1.65,17,2.51,20.2,12.3,3,N,6060,9034,25.3,9.375,33.500,2.63,14.4,0,0,,,,,,,,,,,,,,,,,
