player_name,draft_year,pick,round,college,games_played,games_source
Malachi Dupre,2017,247,7,LSU,12.0,PFF
D.J. Moore,2018,24,1,Maryland,12.0,PFF
Calvin Ridley,2018,26,1,Alabama,14.0,PFF
Courtland Sutton,2018,40,2,SMU,13.0,PFF
Dante Pettis,2018,44,2,Washington,13.0,PFF
Christian Kirk,2018,47,2,Texas A&M,13.0,PFF
Anthony Miller,2018,51,2,Memphis,13.0,PFF
James Washington,2018,60,2,Oklahoma St.,13.0,PFF
DJ Chark,2018,61,2,LSU,13.0,PFF
Michael Gallup,2018,81,3,Colorado St.,13.0,PFF
Tre'Quan Smith,2018,91,3,Central Florida,13.0,PFF
Keke Coutee,2018,103,4,Texas Tech,13.0,PFF
Antonio Callaway,2018,105,4,Florida,12.0,PFF
DaeSean Hamilton,2018,113,4,Penn St.,13.0,PFF
Jaleel Scott,2018,132,4,New Mexico St.,13.0,PFF
J'Mon Moore,2018,133,4,Missouri,13.0,PFF
Justin Watson,2018,144,5,Pennsylvania,9.0,CFBD (team games)
Daurice Fountain,2018,159,5,Northern Iowa,1.0,"CFBD (FCS, likely incomplete)"
Jordan Lasley,2018,162,5,UCLA,9.0,PFF
Marquez Valdes-Scantling,2018,174,5,South Florida,12.0,PFF
Damion Ratley,2018,175,6,Texas A&M,13.0,PFF
Deon Cain,2018,185,6,Clemson,14.0,PFF
Ray-Ray McCloud,2018,187,6,Clemson,14.0,PFF
Dylan Cantrell,2018,191,6,Texas Tech,13.0,PFF
Russell Gage,2018,194,6,LSU,13.0,PFF
Tremon Smith,2018,196,6,Central Arkansas,12.0,CFBD (team games)
Equanimeous St. Brown,2018,207,6,Notre Dame,13.0,PFF
Cedrick Wilson Jr.,2018,208,6,Boise St.,14.0,PFF
Braxton Berrios,2018,210,6,Miami (FL),13.0,PFF
Javon Wims,2018,224,7,Georgia,15.0,PFF
Marcell Ateman,2018,228,7,Oklahoma St.,13.0,PFF
Richie James,2018,240,7,Middle Tenn. St.,5.0,PFF
