player_name,position,school,projected_pick,rec_yards,team_pass_attempts,age,weight
Robert Henry Jr.,RB,,250,,,,
Max Bredeson,RB,Michigan,250,24,308,,250
Kentrel Bullock,RB,Ole Miss,250,,434,22,205
Chip Trayanum,RB,,250,,,,
Seth McGowan,RB,Kentucky,250,,312,22,215
Le'Veon Moss,RB,Texas A&M,250,141,361,20,210
Dean Connors,RB,Houston,250,,280,,206
Rahsul Faison,RB,South Carolina,250,,342,,218
Desmond Reid,RB,Pittsburgh,250,579,499,,175
Kaelon Black,RB,Indiana,250,6,361,22,210
Jaydn Ott,RB,,250,,,,
Terion Stewart,RB,Bowling Green,250,12,419,22,222
Jamal Haynes,RB,Georgia Tech,250,154,410,21,190
Rueben Owens,RB,Texas A&M,250,6,361,19,215
Kedrick Reescano,RB,Arizona,250,47,437,19,213
Djay Braswell,RB,Georgia State,250,,449,19,215
Quinten Joyner,RB,Texas Tech,250,,536,19,205
Samuel Singleton Jr.,RB,,250,,,,
Sedrick Alexander,RB,Vanderbilt,250,238,304,19,200
Kaden Feagin,RB,Illinois,250,37,353,19,250
TreVonte Citizen,RB,,250,,,,
Branson Robinson,RB,Georgia,250,33,513,20,211
Jaylon Glover,RB,UNLV,250,,309,20,205
Savion Red,RB,Nevada,250,74,366,20,233
Andrew Paul,RB,Georgia,250,,513,20,215
Richard Reese,RB,Baylor,250,41,413,20,175
Armoni Goodwin,RB,LSU,250,,533,21,195
L.J. Johnson Jr.,RB,Texas State,250,,428,18,180
Trevion Cooley,RB,Georgia Tech,250,4,410,,208
Derrick Davis Jr.,RB,LSU,250,,533,,210
Kadarius Calloway,RB,California,250,,464,21,220
Byron Cardwell,RB,California,250,31,464,21,215
Barika Kpeenu,RB,North Dakota State,250,122,,,199
Alton McCaskill IV,RB,,250,,,,
Logan Diggs,RB,LSU,250,,533,21,215
E.J. Smith,RB,Houston,250,,280,,
Roydell Williams,RB,Alabama,250,,354,22,221
Dominic Richardson,RB,Baylor,250,19,413,22,210
Jalen Berger,RB,Michigan State,250,,354,22,215
Cam Porter,RB,Northwestern,250,174,392,,215
