player_name,position,draft_year,pick,round,college,pff_team,match_method,player_game_count,yprr,yards,receptions,targets,touchdowns,routes,grades_offense,grades_pass_route,drop_rate,contested_catch_rate,contested_targets,contested_receptions,avg_depth_of_target,yards_after_catch,yards_after_catch_per_reception,slot_rate,wide_rate,caught_percent,drops,first_downs,avoided_tackles,rush_attempts,rush_yards,rush_touchdowns,rush_ypa,rush_breakaway_pct,rush_elusive_rating,rush_grades_offense
Chase Claypool,WR,2020,49,2,Notre Dame,NOTRE DAME,name+school,13,2.48,1037,66,108,13,418,83.3,82.3,9.6,57.7,26,15,13.0,358,5.4,15.5,84.5,61.1,7,51,14,0,0,0,0.0,0.0,0.0,
Van Jefferson,WR,2020,57,2,Florida,FLORIDA,name+school,13,2.0,657,49,69,6,329,70.4,71.1,7.5,50.0,10,5,10.3,266,5.4,30.1,69.9,71.0,4,32,3,1,7,0,7.0,0.0,30.0,70.4
Denzel Mims,WR,2020,59,2,Baylor,BAYLOR,name+school,14,2.36,1015,66,113,12,430,81.9,82.8,9.6,48.8,41,20,14.9,185,2.8,4.6,95.2,58.4,7,51,7,0,0,0,0.0,0.0,0.0,
Lynn Bowden Jr.,WR,2020,80,3,Kentucky,KENTUCKY,name+school (PFF position=QB),13,1.99,345,30,57,1,173,73.0,63.7,16.7,28.6,7,2,11.6,177,5.9,48.5,14.3,52.6,6,16,11,181,1496,13,8.3,50.9,125.4,73.0
Bryan Edwards,WR,2020,81,3,South Carolina,S CAROLINA,name+school,10,2.58,816,71,107,6,316,77.9,79.1,4.1,46.2,13,6,8.5,540,7.6,32.3,67.4,66.4,3,36,15,2,22,0,11.0,68.2,109.6,77.9
Devin Duvernay,WR,2020,92,3,Texas,TEXAS,name+school,13,3.0,1392,105,129,9,464,89.4,89.5,2.8,60.0,20,12,7.9,719,6.8,98.6,1.0,81.4,3,68,23,9,31,1,3.4,0.0,58.1,89.4
Gabriel Davis,WR,2020,128,4,Central Florida,UCF,initial+last+school,12,2.95,1241,72,128,12,420,79.4,80.1,6.5,36.7,30,11,16.5,334,4.6,6.7,93.0,56.3,5,49,10,0,0,0,0.0,0.0,0.0,
Joe Reed,WR,2020,151,5,Virginia,VIRGINIA,name+school,13,1.54,683,78,110,7,443,71.4,72.0,2.5,44.4,18,8,8.0,444,5.7,69.4,24.8,70.9,2,37,15,7,38,0,5.4,57.9,68.6,71.4
Tyler Johnson,WR,2020,161,5,Minnesota,MINNESOTA,name+school,13,3.64,1317,87,119,13,362,91.5,92.2,6.5,66.7,24,16,11.0,464,5.3,86.2,13.8,73.1,6,60,10,0,0,0,0.0,0.0,0.0,
Collin Johnson,WR,2020,165,5,Texas,TEXAS,name+school,7,2.06,555,38,57,3,269,78.1,76.4,5.0,35.7,14,5,16.2,92,2.4,12.2,87.4,66.7,2,31,3,0,0,0,0.0,0.0,0.0,
Quintez Cephus,WR,2020,166,5,Wisconsin,WISCONSIN,name+school,14,3.1,901,59,91,7,291,82.5,84.1,7.8,66.7,24,16,13.2,278,4.7,29.4,70.6,64.8,5,42,9,0,0,0,0.0,0.0,0.0,
John Hightower,WR,2020,168,5,Boise St.,BOISE ST,name+school,14,2.48,943,51,89,8,380,73.4,73.2,7.3,37.5,16,6,17.3,340,6.7,9.3,90.5,57.3,4,30,5,16,154,0,9.6,78.6,38.7,73.4
Darnell Mooney,WR,2020,173,5,Tulane,TULANE,name+school,13,1.98,716,47,88,5,362,72.5,70.8,14.5,57.9,19,11,14.6,149,3.2,10.4,89.3,53.4,8,33,9,0,0,0,0.0,0.0,0.0,
K.J. Osborn,WR,2020,176,5,Miami (FL),MIAMI FL,name+school,13,1.31,547,50,81,5,418,64.5,64.4,7.4,43.5,23,10,11.1,143,2.9,8.9,91.1,61.7,4,32,6,5,15,0,3.0,0.0,43.3,64.5
Donovan Peoples-Jones,WR,2020,187,6,Michigan,MICHIGAN,name+school,11,1.73,443,33,57,6,256,70.0,70.2,10.8,36.4,11,4,11.9,176,5.3,48.4,51.3,57.9,4,24,4,2,-3,0,-1.5,0.0,5.7,70.0
Quez Watkins,WR,2020,200,6,Southern Miss,SO MISS,name+school,11,3.03,1172,63,102,6,387,75.7,76.1,10.0,50.0,30,15,14.3,560,8.9,28.7,71.3,61.8,7,39,9,0,0,0,0.0,0.0,0.0,
James Proche,WR,2020,201,6,SMU,SMU,name+school,13,2.54,1219,110,163,15,479,86.3,87.6,2.7,46.5,43,20,10.1,475,4.3,50.5,49.5,67.5,3,62,11,5,22,0,4.4,0.0,68.2,86.3
Isaiah Hodgins,WR,2020,207,6,Oregon St.,OREGON ST,name+school,12,2.67,1158,86,118,13,433,90.1,89.8,1.1,59.1,22,13,12.8,293,3.4,4.5,95.5,72.9,1,63,7,0,0,0,0.0,0.0,0.0,
Dezmon Patmon,WR,2020,212,6,Washington St.,WASH STATE,name+school,13,2.18,757,59,90,8,347,72.7,72.6,10.6,40.0,20,8,10.1,302,5.1,2.5,97.5,65.6,7,40,7,0,0,0,0.0,0.0,0.0,
Freddie Swain,WR,2020,214,6,Florida,FLORIDA,name+school,12,2.33,517,38,54,7,222,76.8,76.3,2.6,25.0,8,2,8.7,286,7.5,92.9,6.7,70.4,1,28,7,4,27,0,6.8,0.0,33.3,76.8
Jauan Jennings,WR,2020,217,7,Tennessee,TENNESSEE,name+school,13,3.09,969,59,92,8,314,88.9,89.4,6.3,48.0,25,12,11.4,474,8.0,86.7,11.4,64.1,4,43,30,13,51,1,3.9,0.0,109.9,88.9
K.J. Hill,WR,2020,220,7,Ohio St.,OHIO STATE,name+school,14,1.77,636,57,75,10,359,72.0,72.6,3.4,28.6,7,2,9.1,243,4.3,96.3,3.4,76.0,2,34,10,1,1,0,1.0,0.0,0.0,72.0
Tyrie Cleveland,WR,2020,252,7,Florida,FLORIDA,name+school,13,1.83,351,25,34,1,192,64.3,64.4,7.4,37.5,8,3,11.0,123,4.9,26.9,73.1,73.5,2,15,4,0,0,0,0.0,0.0,0.0,
Ja'Marr Chase,WR,2021,5,1,LSU,LSU,"name+school (opt-out, used 2019 season)",14,3.52,1780,84,121,20,505,91.1,91.3,5.6,50.0,32,16,14.3,684,8.1,17.2,81.2,69.4,5,65,22,1,5,0,5.0,0.0,103.5,91.1
Jaylen Waddle,WR,2021,6,1,Alabama,ALABAMA,name+school,5,4.38,591,28,32,4,135,82.6,84.7,3.4,100.0,4,4,11.7,282,10.1,68.1,29.8,87.5,1,22,2,3,12,0,4.0,0.0,25.8,82.6
DeVonta Smith,WR,2021,10,1,Alabama,ALABAMA,name+school,13,4.39,1856,117,145,23,423,94.9,95.6,2.5,47.8,23,11,10.7,953,8.1,36.9,63.1,80.7,3,84,10,4,6,1,1.5,0.0,9.1,94.9
Kadarius Toney,WR,2021,20,1,Florida,FLORIDA,name+school,11,2.62,977,70,84,10,373,84.2,84.8,2.8,42.9,7,3,7.7,477,6.8,86.4,10.3,83.3,2,45,20,19,161,1,8.5,76.4,194.8,84.2
Rashod Bateman,WR,2021,27,1,Minnesota,MINNESOTA,name+school,5,3.45,472,36,55,2,137,81.1,81.9,14.3,40.0,10,4,10.4,192,5.3,67.1,32.9,65.5,6,25,9,0,0,0,0.0,0.0,0.0,
Elijah Moore,WR,2021,34,2,Mississippi,OLE MISS,name+school,8,3.85,1193,86,101,8,310,91.2,92.4,2.3,73.3,15,11,10.9,505,5.9,79.8,15.7,85.1,2,55,18,14,64,0,4.6,0.0,51.4,91.2
Rondale Moore,WR,2021,49,2,Purdue,PURDUE,name+school,3,2.25,270,35,44,0,120,80.9,79.7,0.0,25.0,4,1,2.6,241,6.9,82.8,16.4,79.5,0,14,3,6,32,1,5.3,0.0,6.1,80.9
D'Wayne Eskridge,WR,2021,56,2,Western Michigan,W MICHIGAN,name+school,6,4.94,786,34,48,8,159,86.9,85.9,8.1,45.5,11,5,12.7,489,14.4,16.9,83.1,70.8,3,26,4,1,27,0,27.0,100.0,157.1,86.9
Tutu Atwell,WR,2021,57,2,Louisville,LOUISVILLE,last+school,9,2.44,625,46,71,7,256,77.1,76.6,4.2,45.5,11,5,11.6,287,6.2,81.7,17.9,64.8,2,27,4,3,7,1,2.3,0.0,5.4,77.1
Terrace Marshall Jr.,WR,2021,59,2,LSU,LSU,name+school,7,2.91,731,48,67,10,251,78.9,81.1,12.7,81.8,11,9,9.5,309,6.4,82.2,17.4,71.6,7,33,7,0,0,0,0.0,0.0,0.0,
Josh Palmer,WR,2021,77,3,Tennessee,TENNESSEE,initial+last+school,10,1.77,475,32,60,4,269,70.7,71.9,5.9,42.1,19,8,17.1,62,1.9,23.5,76.1,53.3,2,23,2,1,0,0,0.0,,18.2,70.7
Dyami Brown,WR,2021,82,3,North Carolina,N CAROLINA,name+school,11,3.11,1099,55,82,8,353,82.8,82.9,5.2,36.4,22,8,18.4,269,4.9,1.1,98.9,67.1,3,46,9,0,0,0,0.0,0.0,0.0,
Amari Rodgers,WR,2021,85,3,Clemson,CLEMSON,name+school,12,2.61,1020,77,99,7,391,79.1,80.0,7.2,14.3,7,1,7.6,613,8.0,86.3,13.2,77.8,6,42,17,0,0,0,0.0,0.0,0.0,
Nico Collins,WR,2021,89,3,Michigan,MICHIGAN,"name+school (opt-out, used 2019 season)",12,2.31,729,37,66,7,316,70.9,71.1,9.8,52.2,23,12,14.8,234,6.3,1.4,98.6,56.1,4,31,5,0,0,0,0.0,0.0,0.0,
Anthony Schwartz,WR,2021,91,3,Auburn,AUBURN,name+school,10,2.31,635,54,85,3,275,70.9,71.6,10.0,33.3,3,1,8.0,488,9.0,51.6,47.8,63.5,6,29,4,4,-6,0,-1.5,0.0,8.6,70.9
Dez Fitzpatrick,WR,2021,109,4,Louisville,LOUISVILLE,name+school,11,2.49,831,43,73,3,334,74.7,76.0,10.4,41.7,12,5,14.1,379,8.8,5.4,94.6,58.9,5,33,9,1,-12,0,-12.0,0.0,-40.9,74.7
Amon-Ra St. Brown,WR,2021,112,4,USC,USC,name+school,6,1.85,478,41,57,7,258,71.7,73.0,8.9,57.1,14,8,10.9,163,4.0,34.8,64.5,71.9,4,28,3,0,0,0,0.0,0.0,0.0,
Jaelon Darden,WR,2021,129,4,North Texas,N TEXAS,name+school,9,4.31,1190,74,112,19,276,89.8,89.9,8.6,0.0,9,0,12.9,571,7.7,85.9,14.1,66.1,7,46,23,1,-3,0,-3.0,0.0,0.0,89.8
Tylan Wallace,WR,2021,131,4,Oklahoma St.,OKLA STATE,name+school,9,3.26,922,59,92,6,283,86.1,86.2,6.3,56.5,23,13,14.8,296,5.0,12.8,87.2,64.1,4,44,9,1,7,0,7.0,0.0,45.0,86.1
Jacob Harris,WR,2021,141,4,Central Florida,UCF,name+school,10,1.52,539,30,55,8,355,60.7,59.5,23.1,43.8,16,7,16.6,120,4.0,34.2,65.0,54.5,9,22,1,0,0,0,0.0,0.0,0.0,
Ihmir Smith-Marsette,WR,2021,157,5,Iowa,IOWA,name+school,7,1.84,345,25,40,4,187,61.0,63.4,10.7,50.0,4,2,13.9,128,5.1,22.2,77.8,62.5,3,19,6,7,54,1,7.7,85.2,37.5,61.0
Simi Fehoko,WR,2021,179,5,Stanford,STANFORD,name+school,6,2.73,574,37,59,3,210,75.8,75.6,14.0,53.8,13,7,12.6,198,5.4,30.3,69.7,62.7,6,26,4,1,-1,0,-1.0,0.0,0.0,75.8
Cornell Powell,WR,2021,181,5,Clemson,CLEMSON,name+school,12,2.22,882,53,78,7,397,75.1,74.1,3.6,41.2,17,7,13.2,315,5.9,6.8,93.2,67.9,2,35,8,0,0,0,0.0,0.0,0.0,
Frank Darby,WR,2021,187,6,Arizona St.,ARIZONA ST,name+school,3,0.84,46,6,12,1,55,56.3,57.3,14.3,100.0,1,1,13.3,14,2.3,3.3,96.7,50.0,1,3,3,0,0,0,0.0,0.0,0.0,
Marquez Stevenson,WR,2021,203,6,Houston,HOUSTON,name+school,5,2.41,301,20,28,4,125,69.9,70.0,4.8,66.7,3,2,11.6,130,6.5,88.6,11.4,71.4,1,12,3,3,16,0,5.3,0.0,113.0,69.9
Shi Smith,WR,2021,204,6,South Carolina,S CAROLINA,name+school,9,2.59,633,57,84,4,244,78.0,80.8,9.5,21.4,14,3,7.5,353,6.2,71.3,26.7,67.9,6,35,8,6,6,0,1.0,0.0,47.6,78.0
Racey McMath,WR,2021,205,6,LSU,LSU,name+school,6,1.28,195,14,25,1,152,61.2,59.4,12.5,80.0,5,4,16.5,46,3.3,12.7,87.3,56.0,2,9,3,0,0,0,0.0,0.0,0.0,
Jalen Camp,WR,2021,209,6,Georgia Tech,GA TECH,name+school,10,1.57,439,29,47,4,279,65.0,64.0,9.4,58.3,12,7,13.0,123,4.2,25.6,74.1,61.7,3,20,0,0,0,0,0.0,0.0,0.0,
Seth Williams,WR,2021,219,6,Auburn,AUBURN,name+school,11,2.05,759,47,100,4,370,69.8,69.6,14.5,30.0,30,9,13.8,258,5.5,26.5,73.5,47.0,8,34,14,0,0,0,0.0,0.0,0.0,
Dazz Newsome,WR,2021,221,6,North Carolina,N CAROLINA,name+school,12,1.86,684,54,69,6,368,73.2,73.2,6.9,80.0,5,4,9.0,359,6.6,98.5,0.8,78.3,4,32,14,2,21,1,10.5,71.4,25.0,73.2
Tre Nixon,WR,2021,242,7,Central Florida,UCF,name+school,4,1.78,260,19,33,2,146,63.9,64.1,20.8,50.0,2,1,13.8,54,2.8,4.5,95.5,57.6,5,13,1,0,0,0,0.0,0.0,0.0,
Ben Skowronek,WR,2021,249,7,Notre Dame,NOTRE DAME,name+school,10,1.46,438,29,44,5,300,65.2,62.2,6.5,66.7,9,6,11.9,181,6.2,7.9,92.1,65.9,2,19,5,2,17,1,8.5,0.0,90.3,65.2
Kawaan Baker,WR,2021,255,7,South Alabama,S ALABAMA,name+school,10,1.92,659,51,70,8,343,75.0,74.6,7.3,50.0,18,9,8.1,355,7.0,73.1,26.9,72.9,4,25,16,13,42,0,3.2,0.0,76.9,75.0
Drake London,WR,2022,8,1,USC,USC,name+school,8,3.52,1084,88,119,7,308,91.3,91.8,8.3,65.4,26,17,9.2,460,5.2,12.6,86.2,73.9,8,54,22,1,2,0,2.0,0.0,49.4,91.3
Garrett Wilson,WR,2022,10,1,Ohio St.,OHIO STATE,name+school,11,3.0,1058,70,102,12,353,84.1,84.5,7.9,61.5,13,8,11.6,417,6.0,17.1,82.9,68.6,6,49,19,4,76,1,19.0,67.1,295.3,84.1
Chris Olave,WR,2022,11,1,Ohio St.,OHIO STATE,name+school,12,2.29,936,65,101,13,408,79.3,79.9,7.1,62.5,16,10,14.7,276,4.2,18.5,81.3,64.4,5,43,1,1,-6,0,-6.0,0.0,0.0,79.3
Jameson Williams,WR,2022,12,1,Alabama,ALABAMA,name+school,15,3.12,1561,78,115,15,500,81.6,85.1,7.1,33.3,9,3,14.5,722,9.3,27.9,71.9,67.8,6,54,12,4,32,0,8.0,56.3,68.3,81.6
Jahan Dotson,WR,2022,16,1,Penn St.,PENN STATE,name+school,12,2.56,1182,91,137,12,461,87.5,87.2,2.2,41.7,12,5,11.3,482,5.3,23.7,76.3,66.4,2,58,9,6,18,1,3.0,0.0,18.9,87.5
Treylon Burks,WR,2022,18,1,Arkansas,ARKANSAS,name+school,12,3.57,1100,65,88,11,308,85.8,91.0,4.4,43.8,16,7,9.7,607,9.3,67.7,24.1,73.9,3,42,14,14,124,1,8.9,74.2,53.8,85.8
Wan'Dale Robinson,WR,2022,43,2,Kentucky,KENTUCKY,name+school,13,3.56,1342,104,140,7,377,91.3,90.9,6.3,52.9,17,9,10.4,599,5.8,71.9,27.8,74.3,7,61,22,8,110,0,13.8,79.1,103.2,91.3
John Metchie,WR,2022,44,2,Alabama,ALABAMA,name+school,13,2.41,1142,96,128,8,473,78.2,79.5,7.7,61.1,18,11,8.8,640,6.7,33.4,66.0,75.0,8,49,20,1,8,0,8.0,0.0,82.5,78.2
Tyquan Thornton,WR,2022,50,2,Baylor,BAYLOR,name+school,14,2.5,941,62,98,10,377,82.9,82.4,4.6,55.6,18,10,15.4,194,3.1,5.1,94.9,63.3,3,47,5,0,0,0,0.0,0.0,0.0,
George Pickens,WR,2022,52,2,Georgia,GEORGIA,name+school,4,3.34,107,5,9,0,32,73.5,72.9,0.0,100.0,2,2,15.0,14,2.8,2.9,97.1,55.6,0,3,0,0,0,0,0.0,0.0,0.0,
Alec Pierce,WR,2022,53,2,Cincinnati,CINCINNATI,name+school,14,2.38,873,52,82,8,367,76.5,76.0,7.1,46.7,30,14,17.1,190,3.7,14.0,84.7,63.4,4,36,4,0,0,0,0.0,0.0,0.0,
Skyy Moore,WR,2022,54,2,Western Michigan,W MICHIGAN,name+school,12,3.4,1291,94,125,10,380,91.8,91.8,3.1,61.5,13,8,10.8,534,5.7,34.5,65.3,75.2,3,60,26,2,11,0,5.5,0.0,27.4,91.8
