player_name,position,school,height_in,weight,hand_size,arm_length,wingspan,forty,ten_yard_split,vertical_jump,broad_jump_inches,bench_press,three_cone,twenty_yard_shuttle,ras_unofficial,ras_source
Jack Endries,TE,Texas,76.625,245.0,9.63,31.13,,4.62,1.59,36.0,119.0,,,,8.65,DynastyNerds
Bauer Sharp,TE,LSU,76.625,249.0,9.75,31.75,,4.63,1.59,35.0,120.0,20.0,,,9.09,DynastyNerds
Josh Cuevas,TE,Alabama,75.375,245.0,9.63,30.63,,4.65,1.62,34.0,118.0,,7.37,4.38,7.56,DynastyNerds
Riley Nowakowski,TE,Indiana,74.25,250.0,8.75,31.5,,4.66,1.62,33.5,119.0,,,,7.97,DynastyNerds
Sam Roush,TE,Stanford,78.0,267.0,10.0,30.63,76.38,4.7,1.61,38.5,126.0,25.0,7.08,4.37,9.93,DynastyNerds
Tanner Koziol,TE,Houston,78.5,247.0,9.75,33.75,,4.7,1.62,36.5,122.0,,,,9.72,DynastyNerds
Khalil Dinkins,TE,Penn State,,,,,,4.72,1.7,32.5,119.0,25.0,7.28,4.33,,
Will Kacmarek,TE,Ohio State,77.5,261.0,9.75,32.25,,4.74,1.64,36.0,119.0,,,,9.14,DynastyNerds
Miles Kitselman,TE,Tennessee,77.1,251.0,9.88,31.88,,4.9,1.66,34.5,116.0,,,,5.83,DynastyNerds
Lake McRee,TE,USC,,,,,,,,,,22.0,,,,
Nate Boerkircher,TE,Texas A&M,,,,,,,,,,,,4.4,,
