player_name,college,draft_year,season,cfbd_school,cfbd_name,rec_yards,receptions,rec_tds,team_pass_att,status
Daniel Braverman,Western Michigan,2016,2015,Western Michigan,Daniel Braverman,1367.0,108.0,13.0,404.0,found
Devin Fuller,UCLA,2016,2015,UCLA,,,,,510.0,not_found
Charone Peake,Clemson,2016,2015,Clemson,Charone Peake,716.0,50.0,5.0,528.0,found
Kenny Lawler,California,2016,2015,California,Kenny Lawler,658.0,52.0,13.0,550.0,found
Corey Davis,Western Michigan,2017,2016,Western Michigan,Corey Davis,1500.0,97.0,19.0,378.0,found
Mike Williams,Clemson,2017,2016,Clemson,Mike Williams,1361.0,98.0,11.0,629.0,found
John Ross,Washington,2017,2016,Washington,John Ross,1150.0,81.0,17.0,408.0,found
Zay Jones,East Carolina,2017,2016,East Carolina,Zay Jones,1731.0,156.0,8.0,554.0,found
Curtis Samuel,Ohio St.,2017,2016,Ohio State,Curtis Samuel,865.0,74.0,7.0,409.0,found
JuJu Smith-Schuster,USC,2017,2016,USC,JuJu Smith-Schuster,914.0,70.0,10.0,463.0,found
Cooper Kupp,Eastern Washington,2017,2016,,,,,,,skipped
Taywan Taylor,Western Kentucky,2017,2016,Western Kentucky,Taywan Taylor,1730.0,98.0,17.0,471.0,found
ArDarius Stewart,Alabama,2017,2016,Alabama,ArDarius Stewart,864.0,54.0,8.0,417.0,found
Carlos Henderson,Louisiana Tech,2017,2016,Louisiana Tech,Carlos Henderson,1535.0,82.0,19.0,543.0,found
Chris Godwin,Penn St.,2017,2016,Penn State,Chris Godwin,982.0,59.0,11.0,391.0,found
Kenny Golladay,Northern Illinois,2017,2016,Northern Illinois,Kenny Golladay,1164.0,88.0,8.0,400.0,found
Chad Williams,Grambling St.,2017,2016,,,,,,,skipped
Amara Darboh,Michigan,2017,2016,Michigan,Amara Darboh,862.0,57.0,7.0,370.0,found
Dede Westbrook,Oklahoma,2017,2016,Oklahoma,Dede Westbrook,1524.0,80.0,17.0,384.0,found
Josh Reynolds,Texas A&M,2017,2016,Texas A&M,Josh Reynolds,1039.0,61.0,12.0,469.0,found
Mack Hollins,North Carolina,2017,2016,North Carolina,Mack Hollins,309.0,16.0,4.0,458.0,found
Josh Malone,Tennessee,2017,2016,Tennessee,Josh Malone,972.0,50.0,11.0,379.0,found
Ryan Switzer,North Carolina,2017,2016,North Carolina,Ryan Switzer,1112.0,96.0,6.0,458.0,found
Jehu Chesson,Michigan,2017,2016,Michigan,Jehu Chesson,500.0,35.0,2.0,370.0,found
Chad Hansen,California,2017,2016,California,Chad Hansen,1249.0,92.0,11.0,621.0,found
Shelton Gibson,West Virginia,2017,2016,West Virginia,Shelton Gibson,951.0,43.0,8.0,409.0,found
Rodney Adams,South Florida,2017,2016,South Florida,Rodney Adams,822.0,67.0,5.0,358.0,found
Isaiah McKenzie,Georgia,2017,2016,Georgia,Isaiah McKenzie,633.0,44.0,7.0,386.0,found
DeAngelo Yancey,Purdue,2017,2016,Purdue,DeAngelo Yancey,951.0,49.0,10.0,557.0,found
Trent Taylor,Louisiana Tech,2017,2016,Louisiana Tech,Trent Taylor,1803.0,136.0,12.0,543.0,found
Robert Davis,Georgia St.,2017,2016,Georgia State,Robert Davis,968.0,67.0,5.0,419.0,found
Stacy Coley,Miami (FL),2017,2016,Miami,Stacy Coley,754.0,63.0,9.0,426.0,found
David Moore,East Central (OK),2017,2016,,,,,,,skipped
Isaiah Ford,Virginia Tech,2017,2016,Virginia Tech,Isaiah Ford,1094.0,79.0,7.0,449.0,found
Noah Brown,Ohio St.,2017,2016,Ohio State,Noah Brown,402.0,32.0,7.0,409.0,found
Malachi Dupre,LSU,2017,2016,LSU,Malachi Dupre,593.0,41.0,3.0,298.0,found
D.J. Moore,Maryland,2018,2017,Maryland,D.J. Moore,1033.0,80.0,8.0,318.0,found
Calvin Ridley,Alabama,2018,2017,Alabama,Calvin Ridley,967.0,63.0,5.0,332.0,found
Courtland Sutton,SMU,2018,2017,SMU,Courtland Sutton,1085.0,68.0,12.0,487.0,found
Dante Pettis,Washington,2018,2017,Washington,Dante Pettis,761.0,63.0,7.0,348.0,found
Christian Kirk,Texas A&M,2018,2017,Texas A&M,Christian Kirk,919.0,71.0,10.0,449.0,found
Anthony Miller,Memphis,2018,2017,Memphis,Anthony Miller,1462.0,96.0,18.0,488.0,found
James Washington,Oklahoma St.,2018,2017,Oklahoma State,James Washington,1549.0,74.0,13.0,503.0,found
DJ Chark,LSU,2018,2017,LSU,D.J. Chark,874.0,40.0,3.0,300.0,found
Michael Gallup,Colorado St.,2018,2017,Colorado State,Michael Gallup,1413.0,100.0,7.0,459.0,found
Tre'Quan Smith,Central Florida,2018,2017,UCF,Tre'Quan Smith,1171.0,59.0,13.0,424.0,found
Keke Coutee,Texas Tech,2018,2017,Texas Tech,Keke Coutee,1429.0,93.0,10.0,541.0,found
Antonio Callaway,Florida,2018,2017,Florida,Antonio Callaway,721.0,54.0,3.0,312.0,found
DaeSean Hamilton,Penn St.,2018,2017,Penn State,DaeSean Hamilton,857.0,53.0,9.0,458.0,found
Jaleel Scott,New Mexico St.,2018,2017,New Mexico State,Jaleel Scott,1079.0,76.0,9.0,641.0,found
J'Mon Moore,Missouri,2018,2017,Missouri,J'Mon Moore,1082.0,65.0,10.0,430.0,found
Justin Watson,Pennsylvania,2018,2017,,,,,,,skipped
Daurice Fountain,Northern Iowa,2018,2017,,,,,,,skipped
Jordan Lasley,UCLA,2018,2017,UCLA,Jordan Lasley,1264.0,69.0,9.0,535.0,found
Marquez Valdes-Scantling,South Florida,2018,2017,South Florida,Marquez Valdes-Scantling,879.0,53.0,6.0,367.0,found
