,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOA,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
Corey Davis,1.05,4.53,N/A,42,3.97,20.6,18.7,1,N,6026,8116,26.1,9.125,33.000,N/A,15.9,1,31,,Leonard Fournette,1.04,110.2,4.51,1.59,228,30.9,N/A,82.6,"2,206",19,8.04,0.0,6.2,4,10
Mike Williams,1.07,4.59,1.66,16,2.28,27.3,19.9,2,Y,6036,9011,26.5,9.375,33.375,7.24,15.4,2,21,,Christian McCaffery,1.08,100.3,4.48,1.55,202,28.2,124.3,73.6,"2,664",45,8.52,12.7,6.2,,
John Ross,1.09,4.22,1.49,18,2.82,20.6,18.8,4,Y,5106,8062,26.2,8.750,31.500,9.51,15.2,0,0,,Dalvin Cook,2.09,103.3,4.49,1.59,210,30.1,109.9,88.9,"2,253",33,4.65,12.7,6.5,5,13
Zay Jones,2.05,4.45,1.55,26,3.15,-3.9,20.4,3,N,6021,8105,25.8,9.000,32.500,9.71,10.7,0,0,,Joe Mixon,2.16,111.2,4.50,1.51,228,30.1,118.5,63.9,"1,812",37,9.46,15.3,6.8,6,9
Curtis Samuel,2.08,4.31,1.55,15,2.11,2.3,20.1,3,Y,5105,8057,27.3,9.500,31.250,7.46,11.7,1,25,,Alvin Kamara,3.03,99.0,4.56,1.55,214,30.7,132.7,55.6,989,40,8.08,11.7,6.2,,
Juju Smith-Schuster,2.30,4.54,1.55,27,3.14,20.4,18.8,2,Y,6013,8102,28.4,10.500,32.875,7.33,14.5,3,14,,Kareem Hunt,3.22,94.8,4.62,1.59,216,31.0,121.6,60.8,"1,878",41,5.15,11.3,6.3,4,14
Cooper Kupp,3.05,4.62,1.62,31,3.55,N/A,20.2,1,N,6016,8092,26.2,9.500,31.500,5.00,15.2,5,22,,D'Onta Foreman,3.25,112.6,4.51,1.63,233,31.6,116.1,83.1,"2,103",7,7.82,11.3,6.4,0,0
Taywan Taylor,3.08,4.50,1.52,22,3.67,26.0,20.5,3,N,5110,8075,28.3,9.250,32.625,8.70,16.7,0,0,,James Conner,3.41,99.7,4.65,1.63,233,30.7,105.8,60.3,"1,835",21,4.33,-1.8,5.6,7,17
ArDarius Stewart,3.15,4.49,1.59,17,2.07,14.9,22.7,3,Y,5111,8075,28.4,9.375,32.500,5.89,13.3,0,0,,Samaje Perine,4.07,99.7,4.65,1.62,233,32.5,114.1,40.9,"1,821",15,4.94,-0.5,6.0,0,0
Carlos Henderson,3.18,4.46,1.61,22,2.83,41.9,20.7,4,Y,5110,8063,27.8,9.125,31.375,5.75,19.6,0,0,,Tarik Cohen,4.13,93.8,4.42,1.54,179,28.9,112.6,N/A,"1,927",N/A,3.92,N/A,6.5,1,13
Chris Godwin,3.20,4.42,1.54,26,2.73,19.2,19.5,2,Y,6010,8085,27.6,9.125,31.625,9.66,15.7,4,18,,Joe Williams,4.15,111.0,4.41,1.58,210,29.3,122.0,52.9,"1,514",11,7.78,20.0,6.0,0,0
Kenny Golladay,3.32,4.50,1.58,41,2.89,20.4,19.8,4,N,6036,8116,26.5,9.750,32.000,8.95,14.3,2,14,,Donnel Pumphrey,4.26,87.4,4.48,1.54,176,26.8,115.5,67.3,"2,364",27,4.01,2.4,6.0,0,0
Chad Williams,3.34,4.45,1.57,N/A,3.51,N/A,20.9,3,N,6004,8084,28.1,9.750,32.000,9.01,14.1,0,0,,Jamaal Williams,4.28,95.5,4.59,1.60,212,28.7,112.5,61.2,"1,455",27,4.55,5.9,5.4,1,8
Amara Darboh,3.42,4.45,1.52,26,2.33,17.4,20.6,3,N,6015,8102,27.5,9.875,32.625,9.60,13.7,0,0,,Wayne Gallman,4.34,96.0,4.60,1.60,215,29.2,110.2,58.1,"1,740",24,6.28,7.1,5.1,0,0
Dede Westbrook,4.03,4.44,1.54,27,3.97,24.5,22.8,4,N,5115,8062,24.1,9.000,30.625,4.84,18.0,0,0,,Marlon Mack,4.37,103.9,4.50,1.55,213,29.7,122.9,57.0,"1,492",28,8.78,9.5,6.2,2,21
Josh Reynolds,4.10,4.52,1.56,28,2.22,37.2,19.6,2,N,6027,8103,24.2,9.375,31.500,9.10,17.0,0,0,,Brian Hill,5.12,103.1,4.54,1.62,219,28.9,120.3,79.3,"1,927",20,7.40,5.2,5.5,0,0
Mack Hollins,4.12,4.53,1.53,17,1.83,65.4,21.0,4,N,6040,9012,26.9,9.750,33.250,N/A,20.6,0,0,,Jeremy McNichols,5.18,105.3,4.49,1.55,214,31.6,120.9,88.1,"2,183",51,8.39,7.1,5.6,0,0
Josh Malone,4.22,4.40,1.56,18,2.56,33.1,20.5,3,Y,6026,8101,26.0,9.625,31.375,7.03,15.5,0,0,,T.J. Logan,5.36,107.5,4.37,1.57,196,28.9,117.5,59.7,894,29,7.56,-2.9,5.4,0,0
Ryan Switzer,4.27,4.51,1.56,19,2.42,-5.0,21.8,4,N,5084,8004,27.5,9.250,28.000,4.83,11.9,0,0,,Aaron Jones,5.39,96.2,4.56,1.51,208,30.7,127.3,75.3,"2,006",30,9.21,20.5,6.3,7,15
Jehu Chesson,4.33,4.47,1.66,14,1.84,19.4,21.7,4,N,6027,9001,25.5,9.130,33.250,7.95,14.4,0,0,,Elijah McGuire,6.04,101.6,4.53,1.61,214,30.7,121.2,82.0,"1,732",45,4.62,15.1,6.1,0,0
Chad Hansen,4.35,4.53,1.59,17,2.01,8.4,21.6,4,Y,6017,8100,25.9,10.130,32.125,7.39,13.5,0,0,,De'Angelo Henderson,6.19,103.3,4.48,1.53,208,32.6,117.8,N/A,"1,823",N/A,5.66,N/A,6.6,0,0
Shelton Gibson,5.22,4.50,1.61,20,2.33,64.4,21.5,3,Y,5106,8066,26.6,8.875,32.000,3.98,22.6,0,0,,Devante Mays,7.20,105.5,4.57,1.62,230,33.0,133.4,31.5,975,1,7.66,10.9,6.1,0,0
Rodney Adams,5.27,4.44,1.53,19,2.73,7.5,21.0,3,N,6012,8092,24.9,9.000,32.000,6.02,14.5,0,0,,Khalfani Muhammad,7.23,88.3,4.43,1.55,170,26.6,128.5,40.3,959,17,7.52,13.7,5.8,0,0
Isaiah McKenzie,5.29,4.42,1.52,12,1.64,15.4,21.4,3,Y,5074,8003,27.1,8.875,28.875,6.37,13.7,0,0,,Elijah Hood,7.24,101.0,4.63,1.54,232,31.5,110.1,43.0,"1,534",25,5.69,7.9,6.0,0,0
DeAngelo Yancey,5.32,4.58,1.57,21,N/A,54.9,20.8,3,N,6015,8104,28.2,9.750,32.875,9.08,16.6,0,0,,Chris Carson,7.31,99.1,4.58,1.60,218,29.6,127.9,53.3,687,17,7.91,5.2,5.1,3,14
Trent Taylor,5.34,4.63,1.58,26,3.32,-0.3,20.4,2,N,5080,8006,27.5,8.250,28.750,4.00,12.8,0,0,,Matthew Dayes,7.34,83.3,4.71,1.59,205,30.3,102.1,58.5,"1,437",32,1.74,-3.7,5.2,0,0
Robert Davis,6.25,4.44,1.58,24,2.73,14.2,18.4,1,N,6025,8115,27.4,9.625,33.000,9.79,15.3,0,0,,Corey Clement,UDFA,91.7,4.68,1.62,220,31.6,106.0,35.7,"1,507",14,4.84,0.0,5.4,0,0
Stacy Coley,7.01,4.45,1.58,17,1.77,-4.9,21.3,4,N,5117,8081,26.4,9.750,32.250,4.46,13.4,0,0,,Dare Ogunbowale,UDFA,91.1,4.65,1.62,213,29.7,119.5,57.1,"1,118",36,4.47,-11.1,4.8,0,0
