player_name,position,draft_year,pick,seasons_played,hit24,hit12,best_ppr,best_rank,first_3yr_ppg,career_ppg,nfl_seasons_in_data,first_3yr_seasons_in_data,career_games_in_data,first_3yr_complete,limited_sample,data_coverage
Laquon Treadwell,WR,2016,23,9,0,0,82.4,88.0,,5.90500015258789,4,0,20,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Sterling Shepard,WR,2016,40,9,0,0,184.4,30.0,,7.95172408531452,6,0,58,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Derrick Henry,RB,2016,45,9,1,1,336.4,3.0,,18.656263836871137,6,0,91,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Michael Thomas,WR,2016,47,9,1,1,374.6,1.0,,11.240000076293944,3,0,20,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Tyler Boyd,WR,2016,55,9,1,0,222.9,17.0,,9.705063237057457,5,0,79,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Kenyan Drake,RB,2016,73,9,1,0,217.0,14.0,,9.802438949957129,4,0,41,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Braxton Miller,WR,2016,85,9,0,0,41.3,117.0,,,0,0,0,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Leonte Carroo,WR,2016,86,9,0,0,18.8,156.0,,,0,0,0,False,False,no_data_before_2020 (first 3 years were 2016-2018)
C.J. Prosise,RB,2016,90,9,0,0,61.0,66.0,,2.540000152587891,1,0,5,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Chris Moore,WR,2016,107,9,0,0,115.1,60.0,,6.0369565383247705,4,0,46,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Ricardo Louis,WR,2016,114,9,0,0,62.7,93.0,,,0,0,0,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Pharoh Cooper,WR,2016,117,9,0,0,55.5,104.0,,1.8461537801302397,3,0,13,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Tyler Ervin,RB,2016,119,9,0,0,26.1,95.0,,3.728571210588728,1,0,7,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Demarcus Robinson,WR,2016,126,9,0,0,123.5,62.0,,6.522619047619049,6,0,84,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Kenneth Dixon,RB,2016,134,9,0,0,102.4,47.0,,,0,0,0,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Devontae Booker,RB,2016,136,9,0,0,144.1,32.0,,7.4129033242502524,2,0,31,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Tajae Sharpe,WR,2016,140,9,0,0,105.3,72.0,,2.823529411764706,2,0,17,False,False,no_data_before_2020 (first 3 years were 2016-2018)
DeAndre Washington,RB,2016,143,9,0,0,121.9,40.0,,4.275000095367432,1,0,4,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Paul Perkins,RB,2016,149,9,0,0,76.8,57.0,,,0,0,0,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Jordan Howard,RB,2016,150,9,1,1,230.1,10.0,,6.220000050862629,3,0,15,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Wendell Smallwood,RB,2016,153,9,0,0,117.4,42.0,,4.349999904632568,1,0,2,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Jonathan Williams,RB,2016,156,9,0,0,40.4,80.0,,3.6642857619694302,4,0,14,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Trevor Davis,WR,2016,163,9,0,0,30.4,136.0,,,0,0,0,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Tyreek Hill,WR,2016,165,9,1,1,376.4,1.0,,18.775581324377725,6,0,86,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Alex Collins,RB,2016,171,9,1,0,171.0,21.0,,6.421428135463169,2,0,14,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Rashard Higgins,WR,2016,172,9,0,0,120.9,60.0,,7.433333396911621,2,0,24,False,False,no_data_before_2020 (first 3 years were 2016-2018)
Leonard Fournette,RB,2017,4,8,1,1,259.4,6.0,,14.03863650235263,4,0,44,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Corey Davis,WR,2017,5,8,0,0,191.4,28.0,,10.94999974568685,3,0,36,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Mike Williams,WR,2017,7,8,1,0,246.6,13.0,,11.589830560199285,5,0,59,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Christian McCaffrey,RB,2017,8,8,1,1,471.2,1.0,,22.311874904632568,6,0,64,False,False,no_data_before_2020 (first 3 years were 2017-2019)
John Ross,WR,2017,9,8,0,0,95.0,75.0,,3.8583333373069766,3,0,12,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Zay Jones,WR,2017,37,8,0,0,198.1,26.0,,7.386666652134487,6,0,63,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Curtis Samuel,WR,2017,40,8,1,0,212.1,24.0,,8.891666542159188,6,0,72,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Dalvin Cook,RB,2017,41,8,1,1,337.8,2.0,,13.768333180745442,5,0,60,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Joe Mixon,RB,2017,48,8,1,1,287.9,4.0,,16.932835707023962,5,0,67,False,False,no_data_before_2020 (first 3 years were 2017-2019)
JuJu Smith-Schuster,WR,2017,62,8,1,1,296.9,8.0,,8.557333404541016,6,0,75,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Alvin Kamara,RB,2017,67,8,1,1,377.8,1.0,,17.619752898039643,6,0,81,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Cooper Kupp,WR,2017,69,8,1,1,439.5,1.0,,16.164197493188173,6,0,81,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Taywan Taylor,WR,2017,72,8,0,0,87.6,80.0,,0.0,1,0,1,False,False,no_data_before_2020 (first 3 years were 2017-2019)
ArDarius Stewart,WR,2017,79,8,0,0,16.9,146.0,,,0,0,0,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Chris Godwin,WR,2017,84,8,1,1,276.1,2.0,,15.433846294696513,5,0,65,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Kareem Hunt,RB,2017,86,8,1,1,295.2,4.0,,10.193023255813953,6,0,86,False,False,no_data_before_2020 (first 3 years were 2017-2019)
D'Onta Foreman,RB,2017,89,8,0,0,131.0,38.0,,7.463265337262835,5,0,49,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Kenny Golladay,WR,2017,96,8,1,1,248.0,9.0,,7.000000061035156,3,0,25,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Chad Williams,WR,2017,98,8,0,0,41.0,125.0,,,0,0,0,False,False,no_data_before_2020 (first 3 years were 2017-2019)
James Conner,RB,2017,105,8,1,1,280.0,5.0,,15.220548196034889,6,0,73,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Amara Darboh,WR,2017,106,8,0,0,15.1,152.0,,,0,0,0,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Dede Westbrook,WR,2017,110,8,0,0,181.5,32.0,,2.0222223467297025,2,0,9,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Samaje Perine,RB,2017,114,8,0,0,142.1,34.0,,6.395555487738716,6,0,90,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Josh Reynolds,WR,2017,117,8,0,0,128.8,55.0,,7.449253640246035,6,0,67,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Mack Hollins,WR,2017,118,8,0,0,154.16,46.0,,6.504615404177935,6,0,78,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Tarik Cohen,RB,2017,119,8,1,1,233.94,11.0,,5.833333333333333,1,0,3,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Josh Malone,WR,2017,128,8,0,0,18.5,139.0,,6.800000190734863,1,0,1,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Donnel Pumphrey,RB,2017,132,8,0,0,0.0,999.0,,,0,0,0,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Ryan Switzer,WR,2017,133,8,0,0,69.4,96.0,,,0,0,0,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Jamaal Williams,RB,2017,134,8,1,0,225.9,13.0,,8.152857164655412,5,0,70,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Jehu Chesson,WR,2017,139,8,0,0,3.8,182.0,,,0,0,0,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Wayne Gallman,RB,2017,140,8,0,0,136.6,33.0,,7.505000305175781,2,0,20,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Chad Hansen,WR,2017,141,8,0,0,46.6,121.0,,9.320000457763673,1,0,5,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Marlon Mack,RB,2017,143,8,1,0,181.3,21.0,,5.4363636363636365,3,0,11,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Brian Hill,RB,2017,156,8,0,0,95.4,51.0,,5.962500095367432,1,0,16,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Jeremy McNichols,RB,2017,162,8,0,0,73.6,58.0,,4.379310279056944,4,0,58,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Shelton Gibson,WR,2017,166,8,0,0,5.8,178.0,,,0,0,0,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Rodney Adams,WR,2017,170,8,0,0,0.0,227.0,,0.0,1,0,1,False,False,no_data_before_2020 (first 3 years were 2017-2019)
Isaiah McKenzie,WR,2017,172,8,0,0,119.8,55.0,,5.889600036621094,4,0,50,False,False,no_data_before_2020 (first 3 years were 2017-2019)
DeAngelo Yancey,WR,2017,175,8,0,0,0.0,999.0,,,0,0,0,False,False,no_data_before_2020 (first 3 years were 2017-2019)
