player_name,draft_year,pick,round,college,age,best_season,season_rank,RAS,rec_yards,receptions,team_pass_att,cfbd_name,best_ppr,best_ppg,hit24,hit12
Ray Davis,2024,128,4,Kentucky,24.0,2024.0,39.0,,,,,,125.7,6.615789313065378,0,0
Isaac Guerendo,2024,129,4,Louisville,24.0,2024.0,50.0,9.9,234.0,22.0,408.0,isaac guerendo,96.2,7.399999765249399,0,0
Braelon Allen,2024,134,4,Wisconsin,20.0,2024.0,51.0,,131.0,28.0,469.0,braelon allen,85.200005,5.011764975155101,0,0
Audric Estime,2024,147,5,Notre Dame,21.0,2024.0,67.0,6.57,142.0,17.0,351.0,audric estime,48.7,3.746153904841497,0,0
Rasheen Ali,2024,165,5,Marshall,23.0,2024.0,119.0,,213.0,28.0,425.0,rasheen ali,3.1,0.7749999761581421,0,0
Tyrone Tracy Jr.,2024,166,5,Purdue,24.0,,,9.78,132.0,19.0,392.0,tyrone tracy jr.,0.0,0.0,0,0
Keilan Robinson,2024,167,5,Texas,24.0,,,7.32,56.0,8.0,475.0,keilan robinson,0.0,0.0,0,0
Isaiah Davis,2024,173,5,South Dakota St.,22.0,2024.0,71.0,8.86,190.0,22.0,,isaiah davis,45.9,5.100000169542101,0,0
Kimani Vidal,2024,181,6,Troy,23.0,2024.0,81.0,8.88,201.0,18.0,456.0,kimani vidal,32.7,3.633333418104384,0,0
Jase McClellan,2024,186,6,Alabama,22.0,2024.0,118.0,,137.0,15.0,325.0,jase mcclellan,3.2,1.600000023841858,0,0
Jawhar Jordan,2024,205,6,Louisville,25.0,,,4.6,246.0,21.0,408.0,jawhar jordan,0.0,0.0,0,0
Dylan Laube,2024,208,6,New Hampshire,24.0,2024.0,135.0,8.78,699.0,68.0,,dylan laube,-2.0,-2.0,0,0
Ashton Jeanty,2025,6,1,Boise St.,,,,,,,,ashton jeanty,0.0,0.0,0,0
Omarion Hampton,2025,22,1,North Carolina,,,,,,,,omarion hampton,0.0,0.0,0,0
Quinshon Judkins,2025,36,2,Ohio St.,,,,,,,,quinshon judkins,0.0,0.0,0,0
TreVeyon Henderson,2025,38,2,Ohio St.,,,,,,,,treveyon henderson,0.0,0.0,0,0
RJ Harvey,2025,60,2,Central Florida,,,,,,,,rj harvey,0.0,0.0,0,0
Kaleb Johnson,2025,83,3,Iowa,,,,,,,,kaleb johnson,0.0,0.0,0,0
Bhayshul Tuten,2025,104,4,Virginia Tech,,,,,,,,bhayshul tuten,0.0,0.0,0,0
Cam Skattebo,2025,105,4,Arizona St.,,,,,,,,cam skattebo,0.0,0.0,0,0
Trevor Etienne,2025,114,4,Georgia,,,,,,,,trevor etienne,0.0,0.0,0,0
Woody Marks,2025,116,4,USC,,,,,,,,woody marks,0.0,0.0,0,0
Jarquez Hunter,2025,117,4,Auburn,,,,,,,,jarquez hunter,0.0,0.0,0,0
Dylan Sampson,2025,126,4,Tennessee,,,,,,,,dylan sampson,0.0,0.0,0,0
Jordan James,2025,147,5,Oregon,,,,,,,,jordan james,0.0,0.0,0,0
Jaydon Blue,2025,149,5,Texas,,,,,,,,jaydon blue,0.0,0.0,0,0
DJ Giddens,2025,151,5,Kansas St.,,,,,,,,dj giddens,0.0,0.0,0,0
Ollie Gordon,2025,179,6,Oklahoma St.,,,,,,,,ollie gordon,0.0,0.0,0,0
Devin Neal,2025,184,6,Kansas,,,,,,,,devin neal,0.0,0.0,0,0
Kalel Mullings,2025,188,6,Michigan,,,,,,,,kalel mullings,0.0,0.0,0,0
Tahj Brooks,2025,193,6,Texas Tech,,,,,,,,tahj brooks,0.0,0.0,0,0
Damien Martinez,2025,223,7,Miami (FL),,,,,,,,damien martinez,0.0,0.0,0,0
Brashard Smith,2025,228,7,SMU,,,,,,,,brashard smith,0.0,0.0,0,0
Kyle Monangai,2025,233,7,Rutgers,,,,,,,,kyle monangai,0.0,0.0,0,0
LeQuint Allen,2025,236,7,Syracuse,,,,,,,,lequint allen,0.0,0.0,0,0
Phil Mafah,2025,239,7,Clemson,,,,,,,,phil mafah,0.0,0.0,0,0
Jacory Croskey-Merritt,2025,245,7,Arizona,,,,,,,,jacory croskey-merritt,0.0,0.0,0,0
