player_name,draft_year,pick,round,college,age,best_season,season_rank,RAS,rec_yards,receptions,team_pass_att,cfbd_name,best_ppr,best_ppg,hit24,hit12
Tarik Cohen,2017,119,4,North Carolina A&T,22.0,2018.0,11.0,3.92,,,,,239.64,14.096470552332262,0,1
Joe Williams,2017,121,4,Utah,24.0,,,7.78,107.0,9.0,399.0,joe williams,0.0,0.0,0,0
Donnel Pumphrey,2017,132,4,San Diego St.,22.0,,,4.01,231.0,27.0,256.0,donnel pumphrey,0.0,0.0,0,0
Jamaal Williams,2017,134,4,BYU,22.0,2022.0,15.0,4.55,80.0,7.0,412.0,jamaal williams,225.9,13.288234935087315,0,1
Wayne Gallman,2017,140,4,Clemson,22.0,2020.0,37.0,6.28,152.0,20.0,629.0,wayne gallman,136.6,9.75714329310826,0,0
Marlon Mack,2017,143,4,South Florida,21.0,2018.0,17.0,8.78,227.0,28.0,358.0,marlon mack,206.09999,14.721427917480469,0,1
Brian Hill,2017,156,5,Wyoming,21.0,2020.0,51.0,7.4,67.0,8.0,379.0,brian hill,67.2,6.719999694824219,0,0
Jeremy McNichols,2017,162,5,Boise St.,21.0,2021.0,58.0,,474.0,37.0,406.0,jeremy mcnichols,73.6,5.661538344163161,0,0
T.J. Logan,2017,179,5,North Carolina,23.0,2018.0,107.0,7.56,244.0,29.0,458.0,t.j. logan,10.9,2.7249999046325684,0,0
Aaron Jones,2017,182,5,Texas-El Paso,22.0,2019.0,2.0,9.21,233.0,28.0,327.0,aaron jones,359.7,19.983334011501736,0,1
Elijah McGuire,2017,188,6,Louisiana,23.0,2018.0,62.0,,238.0,29.0,342.0,elijah mcguire,85.9,10.737500190734863,0,0
De'Angelo Henderson,2017,203,6,Coastal Carolina,24.0,,,5.66,,,,,0.0,0.0,0,0
Brandon Wilson,2017,207,6,Houston,23.0,,,,52.0,5.0,523.0,brandon wilson,0.0,0.0,0,0
Devante Mays,2017,238,7,Utah St.,23.0,2017.0,131.0,7.66,,,,,1.1000001,0.5500000715255737,0,0
Khalfani Muhammad,2017,241,7,California,22.0,,,7.52,132.0,17.0,621.0,khalfani muhammad,0.0,0.0,0,0
Elijah Hood,2017,242,7,North Carolina,21.0,,,5.69,142.0,25.0,458.0,elijah hood,0.0,0.0,0,0
Chris Carson,2017,249,7,Oklahoma St.,22.0,2019.0,13.0,7.91,128.0,13.0,465.0,chris carson,232.6,15.506667073567709,0,1
Matthew Dayes,2017,252,7,North Carolina St.,23.0,,,,267.0,32.0,438.0,matthew dayes,0.0,0.0,0,0
Saquon Barkley,2018,2,1,Penn St.,21.0,2024.0,1.0,9.97,632.0,54.0,458.0,saquon barkley,385.8,24.112499237060547,1,1
Rashaad Penny,2018,27,1,San Diego St.,22.0,2021.0,45.0,7.26,135.0,19.0,252.0,rashaad penny,121.7,12.169999694824218,0,1
Sony Michel,2018,31,1,Georgia,23.0,2018.0,14.0,8.95,96.0,9.0,305.0,sony michel,210.6,13.162500381469728,0,1
Nick Chubb,2018,35,2,Georgia,22.0,2022.0,6.0,9.15,30.0,4.0,305.0,nick chubb,241.5,17.25,0,1
Ronald Jones II,2018,38,2,USC,21.0,,,,187.0,14.0,491.0,ronald jones ii,0.0,0.0,0,0
Kerryon Johnson,2018,43,2,Auburn,21.0,2018.0,37.0,7.09,194.0,24.0,382.0,kerryon johnson,139.4,13.939999389648438,0,1
Derrius Guice,2018,59,2,LSU,21.0,2019.0,69.0,7.37,124.0,18.0,300.0,derrius guice,57.4,11.480000305175782,0,0
Royce Freeman,2018,71,3,Oregon,22.0,2019.0,38.0,8.26,164.0,14.0,311.0,royce freeman,142.2,8.887499809265137,0,0
Nyheim Hines,2018,104,4,North Carolina St.,21.0,2018.0,27.0,5.68,152.0,26.0,484.0,nyheim hines,0.0,0.0,0,0
Mark Walton,2018,112,4,Miami (FL),21.0,,,4.55,91.0,7.0,425.0,mark walton,0.0,0.0,0,0
Ito Smith,2018,126,4,Southern Miss,22.0,2018.0,53.0,6.26,,,,,97.7,7.515384380634014,0,0
Kalen Ballage,2018,131,4,Arizona St.,22.0,2020.0,52.0,9.12,91.0,20.0,416.0,kalen ballage,93.9,8.5363637750799,0,0
Chase Edmonds,2018,134,4,Fordham,22.0,2020.0,27.0,7.89,21.0,2.0,,chase edmonds,146.1,11.23846200796274,0,0
Jordan Wilkins,2018,169,5,Mississippi,24.0,2020.0,71.0,7.74,241.0,26.0,434.0,jordan wilkins,61.3,5.108333269755046,0,0
John Kelly,2018,176,6,Tennessee,21.0,2018.0,103.0,4.43,299.0,37.0,319.0,john kelly,12.1,4.033333460489909,0,0
Boston Scott,2018,201,6,Louisiana Tech,23.0,2021.0,45.0,8.85,181.0,20.0,420.0,boston scott,106.7,11.855555216471354,0,0
Trenton Cannon,2018,204,6,Virginia St.,24.0,2018.0,79.0,9.07,,,,,48.7,4.427272796630859,0,0
David Williams,2018,226,7,Arkansas,24.0,,,4.76,171.0,10.0,340.0,david williams,0.0,0.0,0,0
Bo Scarbrough,2018,236,7,Alabama,23.0,2019.0,79.0,9.25,109.0,17.0,332.0,bo scarbrough,43.2,7.200000127156575,0,0
Nick Bawden,2018,237,7,San Diego St.,22.0,,,,103.0,15.0,252.0,nick bawden,0.0,0.0,0,0
Justin Jackson,2018,251,7,Northwestern,22.0,2021.0,61.0,8.84,276.0,44.0,461.0,justin jackson,65.3,8.162500381469727,0,0
Josh Jacobs,2019,24,1,Alabama,21.0,2022.0,3.0,5.65,247.0,20.0,438.0,josh jacobs,328.3,19.31176398782169,0,1
Miles Sanders,2019,53,2,Penn St.,22.0,2022.0,12.0,9.48,139.0,24.0,379.0,miles sanders,170.4,14.199999491373696,0,1
Darrell Henderson,2019,70,3,Memphis,22.0,2021.0,27.0,7.68,295.0,19.0,413.0,darrell henderson,171.4,13.184614915114183,0,1
David Montgomery,2019,73,3,Iowa St.,22.0,2020.0,6.0,5.15,157.0,22.0,363.0,david montgomery,267.9,16.743749618530273,0,1
Devin Singletary,2019,74,3,Florida Atlantic,22.0,2021.0,10.0,1.65,36.0,6.0,364.0,devin singletary,167.3,12.86923100398137,0,1
Damien Harris,2019,87,3,Alabama,22.0,2021.0,15.0,6.36,204.0,22.0,438.0,damien harris,214.8,13.425000190734863,0,1
Alexander Mattison,2019,102,3,Boise St.,21.0,2024.0,34.0,6.81,173.0,27.0,460.0,alexander mattison,137.4,9.814285278320312,0,0
Bryce Love,2019,112,4,Stanford,22.0,,,,99.0,20.0,423.0,bryce love,0.0,0.0,0,0
Justice Hill,2019,113,4,Oklahoma St.,21.0,2024.0,33.0,9.33,68.0,13.0,491.0,justice hill,147.3,8.664706061868106,0,0
Benny Snell Jr.,2019,122,4,Kentucky,21.0,,,,105.0,17.0,295.0,benny snell jr.,0.0,0.0,0,0
Tony Pollard,2019,128,4,Memphis,22.0,2022.0,8.0,7.17,444.0,38.0,413.0,tony pollard,266.0,14.77777777777778,0,1
Ryquell Armstead,2019,140,5,Temple,22.0,2019.0,73.0,7.71,52.0,8.0,443.0,ryquell armstead,12.6,6.300000190734863,0,0
Qadree Ollison,2019,152,5,Pittsburgh,22.0,2019.0,89.0,4.43,66.0,11.0,315.0,qadree ollison,30.7,5.116666793823242,0,0
Jordan Scarlett,2019,154,5,Florida,23.0,2019.0,128.0,4.71,84.0,10.0,364.0,jordan scarlett,0.9,0.8999999761581421,0,0
Trayveon Williams,2019,182,6,Texas A&M,21.0,2020.0,99.0,4.6,277.0,27.0,439.0,trayveon williams,21.7,3.616666793823242,0,0
Ty Johnson,2019,186,6,Maryland,21.0,2021.0,42.0,9.74,22.0,6.0,241.0,ty johnson,117.0,7.8,0,0
Dexter Williams,2019,194,6,Notre Dame,22.0,2019.0,126.0,8.13,133.0,16.0,418.0,dexter williams,0.8,0.800000011920929,0,0
Travis Homer,2019,204,6,Miami (FL),21.0,2021.0,75.0,8.34,186.0,19.0,355.0,travis homer,36.7,6.116666793823242,0,0
Rodney Anderson,2019,211,6,Oklahoma,22.0,,,,281.0,17.0,433.0,rodney anderson,0.0,0.0,0,0
Darwin Thompson,2019,214,6,Utah St.,22.0,2020.0,86.0,7.99,,,,,33.2,6.64000015258789,0,0
Mike Weber,2019,218,7,Ohio St.,22.0,,,7.01,112.0,21.0,559.0,mike weber,0.0,0.0,0,0
Cullen Gillaspia,2019,220,7,Texas A&M,24.0,,,,52.0,5.0,439.0,cullen gillaspia,0.0,0.0,0,0
Kerrith Whyte Jr,2019,222,7,Florida Atlantic,22.0,,,,160.0,10.0,364.0,kerrith whyte jr.,0.0,0.0,0,0
Chandler Cox,2019,233,7,Auburn,23.0,,,,81.0,10.0,382.0,chandler cox,0.0,0.0,0,0
Myles Gaskin,2019,234,7,Washington,22.0,2021.0,26.0,5.93,77.0,21.0,405.0,myles gaskin,164.20001,16.420001220703124,0,1
Clyde Edwards-Helaire,2020,32,1,LSU,21.0,2020.0,20.0,5.41,453.0,55.0,567.0,clyde edwards-helaire,194.4,12.959999593098958,0,1
D'Andre Swift,2020,35,2,Georgia,21.0,2024.0,16.0,7.55,216.0,24.0,415.0,d'andre swift,208.90001,16.06923147348257,0,1
Jonathan Taylor,2020,41,2,Wisconsin,21.0,2021.0,1.0,9.53,252.0,26.0,351.0,jonathan taylor,373.1,21.94705918255974,0,1
Cam Akers,2020,52,2,Florida St.,21.0,2020.0,34.0,8.79,225.0,30.0,432.0,cam akers,146.0,11.23076923076923,0,0
J.K. Dobbins,2020,55,2,Ohio St.,21.0,2024.0,22.0,,247.0,23.0,406.0,j.k. dobbins,194.4,13.885713849748884,0,1
