,"Rounds 1-3 
 Draft Capital","4.59 
 or better",10 Yard Split of 1.56 or better,WDOM,YPTPA,YPR DOM,BOA of 18-19,BOY in year 1 or 2,Early Declare,6'+,BMI,Hand Size,Arm Length,,,Standing Vert,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,"Rounds 1-2
 Draft Capital","100+
 Speed score","4.59
 or better",10 Yard Split of 1.56 or better,Weight,BMI,121+ Burst Score,BDR,"A 1500+ 
 Scrimmage
 yard season",30+ Recption Season,RAS,YPA DOM,6+ College YPA,10+ PPG Seasons,AVG Top Finish,Drop %,Y/RR,TGT/YR,RORE
Antonio Calloway,4.05,4.41,1.52,23,1.76,29.3,18.7,1,Y,5105,27.9,9.500,31.500,70.625,102.125,8061,6.20,15.7,0,0,,Kalen Ballage,4.31,115.2,4.46,1.54,228,29.3,118.0,73.1,"1,005",44,9.12,-9.3,4.4,0,0,7.41%,1.12,27,28
DaeSean Hamilton,4.13,4.57,1.57,21,1.87,-1.4,19.5,2,N,6005,26.8,9.375,31.000,72.625,103.625,8075,8.10,13.3,0,0,,Chase Edmonds,4.34,95.7,4.55,1.58,205,30.3,118.8,N/A,"2,071",N/A,7.91,N/A,6.2,1,35,N/A,N/A,N/A,N/A
Jaleel Scott,4.32,4.56,1.56,19,1.69,21.7,22.5,4,N,6046,25.8,10.500,33.500,76.750,110.250,9022,7.60,13.8,0,0,,Jordan Wilkins,5.32,98.2,4.58,1.56,216,28.5,119.7,75.7,"1,252",26,7.78,13.9,6.3,0,0,7.50%,1.05,13,13
J'Mon Moore,4.33,4.60,1.64,19,2.52,16.5,20.3,3,N,6025,25.9,9.375,32.875,74.625,107.500,8114,8.40,15.7,0,0,,John Kelly,6.02,89.3,4.69,1.58,216,31.0,119.5,62.3,"1,077",37,4.45,-7.0,4.8,0,0,7.40%,1.28,18,21
Justin Watson,5.07,4.49,1.53,N/A,4.03,N/A,19.4,1,Y,6023,27.6,9.250,33.750,74.375,108.125,9001,9.60,13.4,0,0,,Boston Scott,6.27,99.5,4.45,1.58,195,30.5,126.0,40.9,"1,228",20,8.85,17.2,6.4,0,0,5.13%,1.12,20,21
Daurice Fountain,5.22,4.56,1.65,N/A,2.31,N/A,19.7,2,N,6014,27.2,10.125,34.000,73.500,107.500,8114,8.00,14.3,0,0,,Trenton Cannon,6.30,94.4,4.45,1.49,185,26.5,130.0,N/A,"1,863",N/A,9.07,N/A,7.2,0,0,N/A,N/A,N/A,N/A
Jordan Lasley,5.25,4.50,1.58,16,2.36,30.0,21.8,4,Y,6010,26.8,9.625,32.750,73.000,105.750,8096,4.50,16.8,0,0,,David Williams,7.08,104.5,4.55,1.62,224,30.4,108.9,45.2,827,11,4.76,-3.5,4.8,0,0,8.70%,1.34,12,14
Marquez Valdes-Scantling,5.37,4.37,1.55,15,2.40,19.9,22.9,5,N,6040,25.1,10.250,32.250,76.000,108.250,9002,9.30,15.4,0,0,,Bo Scarbrough,7.18,109.2,4.52,1.56,228,30.1,132.5,23.8,834,17,9.25,-9.5,5.7,0,0,8.00%,0.79,8,6
Damion Ratley,6.01,4.44,1.54,10,1.55,54.0,22.4,5,N,6016,25.2,9.500,31.000,73.750,104.750,8086,9.00,19.6,0,0,,Justin Jackson,7.33,92.5,4.52,1.57,193,26.2,126.5,81.8,"1,743",44,8.84,3.2,4.8,0,0,10.26%,0.84,39,29
Deon Cain,6.11,4.43,1.57,18,1.57,34.8,21.1,3,Y,6017,25.9,8.750,33.000,73.875,106.875,8107,6.50,15.7,0,0,,Josh Adams,UDFA,98.5,4.56,1.59,213,27.3,118.8,70.9,"1,531",21,9.52,8.1,6.7,0,0,14.55%,0.61,18,10
Ray-Ray McCloud,6.13,4.53,1.60,9,N/A,-16.7,N/A,N/A,Y,5094,27.3,9.250,30.250,69.500,99.750,8036,3.70,9.7,0,0,,Akrum Wadley,UDFA,91.3,4.54,1.56,194,27.8,N/A,68.8,"1,462",36,3.43,11.3,5.4,0,0,7.14%,1.98,21,39
Dylan Cantrell,6.17,4.59,1.55,10,N/A,-3.1,N/A,N/A,N,6027,28.2,9.250,31.375,74.875,106.250,8102,9.90,11.9,0,0,,Phillip Lindsay,UDFA,94.7,4.44,1.57,184,28.8,122.4,97.7,"1,745",53,5.77,6.5,4.9,2,16,2.94%,1.41,34,47
Russell Gage,6.20,4.55,1.54,8,0.95,-4.4,N/A,N/A,N,6000,25.2,9.125,33.000,72.000,105.000,8090,8.00,13.3,0,0,,Jeff Wilson,UDFA,92.2,4.62,1.60,210,28.5,114.5,52.3,"1,483",29,5.45,9.6,5.7,1,30,8.04%,0.98,22,20
Equanimeous St. Brown,6.33,4.48,1.54,18,2.48,21.6,19.9,2,Y,6046,25.4,9.750,33.000,76.750,109.750,9016,9.80,16.1,0,0,,Mike Boone,UDFA,101.4,4.49,1.60,206,29.6,140.9,47.1,857,24,9.11,9.6,5.4,0,0,6.38%,1.11,24,24
Cedrick Wilson,6.34,4.55,1.58,35,3.37,34.2,20.8,3,N,6022,24.1,9.750,31.500,74.250,105.750,8096,6.90,19,0,0,,Gus Edwards,UDFA,105.0,4.57,N/A,229,30.2,120.2,38.8,816,13,8.62,-8.2,4.8,1,20,9.09%,0.89,6,4
