player_name,draft_year,pick,round,college,age,RAS,rec_yards,best_ppr,hit24,dc_score,match_status,college_season,pff_file_source,elusive_rating,yards,attempts,yco_attempt,grades_run,grades_offense,team_name
Jeremy McNichols,2017,162,5,Boise St.,21.0,,474.0,73.60000000000001,0,,MATCHED,2016,rushing_summary (2).csv,66.5,1698.0,312.0,3.54,79.6,81.1,BOISE ST
T.J. Logan,2017,179,5,North Carolina,23.0,7.56,244.0,10.9,0,,MATCHED,2016,rushing_summary (2).csv,66.9,630.0,119.0,2.93,68.2,68.8,N CAROLINA
Aaron Jones,2017,182,5,Texas-El Paso,22.0,9.21,233.0,359.70000000000005,1,,MATCHED,2016,rushing_summary (2).csv,73.0,1766.0,228.0,3.98,74.0,76.4,UTEP
Elijah McGuire,2017,188,6,Louisiana,23.0,,238.0,85.9,0,,MATCHED,2016,rushing_summary (2).csv,55.7,1127.0,232.0,3.09,67.1,69.4,LA LAFAYET
Brandon Wilson,2017,207,6,Houston,23.0,,52.0,0.0,0,,MATCHED,2016,rushing_summary (2).csv,55.6,6.0,4.0,1.0,57.2,65.7,HOUSTON
Devante Mays,2017,238,7,Utah St.,23.0,7.66,,1.1,0,,MATCHED,2016,rushing_summary (2).csv,122.3,259.0,37.0,5.16,81.9,84.1,UTAH ST
Khalfani Muhammad,2017,241,7,California,22.0,7.52,132.0,0.0,0,,MATCHED,2016,rushing_summary (2).csv,46.9,827.0,152.0,2.93,70.7,70.0,CAL
Elijah Hood,2017,242,7,North Carolina,21.0,5.69,142.0,0.0,0,,MATCHED,2016,rushing_summary (2).csv,117.0,858.0,145.0,3.75,73.7,75.7,N CAROLINA
Chris Carson,2017,249,7,Oklahoma St.,22.0,7.91,128.0,232.6,1,,MATCHED,2016,rushing_summary (2).csv,145.8,554.0,83.0,4.0,87.0,79.7,OKLA STATE
Saquon Barkley,2018,2,1,Penn St.,21.0,9.97,632.0,455.7,1,,MATCHED,2017,rushing_summary (3).csv,69.0,1272.0,218.0,3.54,84.3,84.4,PENN STATE
Rashaad Penny,2018,27,1,San Diego St.,22.0,7.26,135.0,121.7,0,,MATCHED,2017,rushing_summary (3).csv,129.7,2254.0,290.0,4.47,88.2,88.4,S DIEGO ST
Sony Michel,2018,31,1,Georgia,23.0,8.95,96.0,210.6,1,,MATCHED,2017,rushing_summary (3).csv,95.1,1259.0,157.0,4.03,85.6,85.2,GEORGIA
Nick Chubb,2018,35,2,Georgia,22.0,9.15,30.0,281.4,1,,MATCHED,2017,rushing_summary (3).csv,91.2,1344.0,223.0,3.76,90.3,92.0,GEORGIA
Ronald Jones II,2018,38,2,USC,21.0,,187.0,0.0,0,,MATCHED,2017,rushing_summary (3).csv,75.1,1550.0,261.0,3.5,93.8,93.1,USC
Kerryon Johnson,2018,43,2,Auburn,21.0,7.09,194.0,139.4,0,,MATCHED,2017,rushing_summary (3).csv,53.5,1394.0,285.0,2.9,83.5,86.2,AUBURN
Derrius Guice,2018,59,2,LSU,21.0,7.37,124.0,57.400000000000006,0,,MATCHED,2017,rushing_summary (3).csv,60.2,1255.0,237.0,3.2,85.8,88.1,LSU
Royce Freeman,2018,71,3,Oregon,22.0,8.26,164.0,142.20000000000002,0,,MATCHED,2017,rushing_summary (3).csv,78.8,1472.0,243.0,3.39,82.1,82.4,OREGON
Mark Walton,2018,112,4,Miami (FL),21.0,4.55,91.0,0.0,0,,MATCHED,2017,rushing_summary (3).csv,51.4,427.0,56.0,2.95,85.1,81.4,MIAMI FL
Ito Smith,2018,126,4,Southern Miss,22.0,6.26,,97.7,0,,MATCHED,2017,rushing_summary (3).csv,61.3,1414.0,248.0,2.99,82.2,79.5,SO MISS
Kalen Ballage,2018,131,4,Arizona St.,22.0,9.12,91.0,93.9,0,,MATCHED,2017,rushing_summary (3).csv,25.1,669.0,157.0,2.46,67.8,65.3,ARIZONA ST
Jordan Wilkins,2018,169,5,Mississippi,24.0,7.74,241.0,61.3,0,,MATCHED,2017,rushing_summary (3).csv,79.0,1010.0,155.0,3.34,83.2,84.3,OLE MISS
John Kelly,2018,176,6,Tennessee,21.0,4.43,299.0,12.1,0,,MATCHED,2017,rushing_summary (3).csv,74.1,778.0,189.0,3.22,75.9,75.1,TENNESSEE
Boston Scott,2018,201,6,Louisiana Tech,23.0,8.85,181.0,109.1,0,,MATCHED,2017,rushing_summary (3).csv,101.4,1038.0,179.0,3.9,90.2,88.0,LA TECH
David Williams,2018,226,7,Arkansas,24.0,4.76,171.0,0.0,0,,MATCHED,2017,rushing_summary (3).csv,39.8,624.0,117.0,3.16,77.4,76.5,ARKANSAS
Bo Scarbrough,2018,236,7,Alabama,23.0,9.25,109.0,43.2,0,,MATCHED,2017,rushing_summary (3).csv,44.0,596.0,124.0,2.95,75.1,74.1,ALABAMA
Justin Jackson,2018,251,7,Northwestern,22.0,8.84,276.0,86.2,0,,MATCHED,2017,rushing_summary (3).csv,37.2,1305.0,286.0,2.5,70.4,66.4,NWESTERN
Josh Jacobs,2019,24,1,Alabama,21.0,5.65,247.0,328.3,1,,MATCHED,2018,rushing_summary (4).csv,109.8,645.0,121.0,4.07,85.2,84.0,ALABAMA
Miles Sanders,2019,53,2,Penn St.,22.0,9.48,139.0,244.8,1,,MATCHED,2018,rushing_summary (4).csv,77.5,1276.0,220.0,3.84,83.1,78.6,PENN STATE
Darrell Henderson,2019,70,3,Memphis,22.0,7.68,295.0,171.4,0,,MATCHED,2018,rushing_summary (4).csv,158.6,1909.0,214.0,6.16,85.4,88.1,MEMPHIS
David Montgomery,2019,73,3,Iowa St.,22.0,5.15,157.0,267.90000000000003,1,,MATCHED,2018,rushing_summary (4).csv,127.8,1216.0,256.0,3.48,91.3,91.1,IOWA STATE
Devin Singletary,2019,74,3,Florida Atlantic,22.0,1.65,36.0,237.3,1,,MATCHED,2018,rushing_summary (4).csv,138.3,1335.0,264.0,3.89,91.1,88.2,FAU
Damien Harris,2019,87,3,Alabama,22.0,6.36,204.0,214.8,1,,MATCHED,2018,rushing_summary (4).csv,49.9,871.0,149.0,3.16,84.4,82.7,ALABAMA
Alexander Mattison,2019,102,3,Boise St.,21.0,6.81,173.0,137.4,0,,MATCHED,2018,rushing_summary (4).csv,65.1,1415.0,302.0,2.85,83.8,81.4,BOISE ST
Bryce Love,2019,112,4,Stanford,22.0,,99.0,0.0,0,,MATCHED,2018,rushing_summary (4).csv,94.1,734.0,165.0,3.55,73.3,74.6,STANFORD
Justice Hill,2019,113,4,Oklahoma St.,21.0,9.33,68.0,147.3,0,,MATCHED,2018,rushing_summary (4).csv,64.2,929.0,158.0,2.68,86.2,81.6,OKLA STATE
Benny Snell Jr.,2019,122,4,Kentucky,21.0,,105.0,0.0,0,,MATCHED,2018,rushing_summary (4).csv,52.9,1451.0,288.0,3.23,79.0,80.4,KENTUCKY
Tony Pollard,2019,128,4,Memphis,22.0,7.17,444.0,266.0,1,,MATCHED,2018,rushing_summary (4).csv,87.1,559.0,79.0,3.54,82.2,78.5,MEMPHIS
Ryquell Armstead,2019,140,5,Temple,22.0,7.71,52.0,51.2,0,,MATCHED,2018,rushing_summary (4).csv,49.0,1101.0,210.0,3.34,78.8,78.9,TEMPLE
Qadree Ollison,2019,152,5,Pittsburgh,22.0,4.43,66.0,30.7,0,,MATCHED,2018,rushing_summary (4).csv,68.8,1213.0,194.0,3.92,84.9,82.4,PITTSBURGH
Jordan Scarlett,2019,154,5,Florida,23.0,4.71,84.0,0.9,0,,MATCHED,2018,rushing_summary (4).csv,125.5,771.0,131.0,3.99,86.8,77.7,FLORIDA
Trayveon Williams,2019,182,6,Texas A&M,21.0,4.6,277.0,21.700000000000003,0,,MATCHED,2018,rushing_summary (4).csv,74.9,1756.0,270.0,3.79,85.6,82.5,TEXAS A&M
