player_name,draft_year,pick,round,college,age,RAS,rec_yards,best_ppr,hit24,dc_score,match_status,college_season,pff_file_source,elusive_rating,yards,attempts,yco_attempt,grades_run,grades_offense,team_name
De'Von Achane,2023,84,3,Texas A&M,21.0,,196.0,196.7,1,,MATCHED,2022,rushing_summary (8).csv,89.9,1100.0,196.0,3.6,89.8,82.4,TEXAS A&M
Tank Bigsby,2023,88,3,Auburn,22.0,8.32,180.0,129.0,0,,MATCHED,2022,rushing_summary (8).csv,127.9,976.0,178.0,4.16,90.7,82.9,AUBURN
Roschon Johnson,2023,115,4,Texas,22.0,8.67,128.0,102.1,0,,MATCHED,2022,rushing_summary (8).csv,198.0,545.0,94.0,4.28,88.3,82.0,TEXAS
Israel Abanikanda,2023,143,5,Pittsburgh,20.0,9.63,146.0,18.3,0,,MATCHED,2022,rushing_summary (8).csv,52.4,1426.0,241.0,2.71,90.6,88.5,PITTSBURGH
Chase Brown,2023,163,5,Illinois,23.0,9.81,240.0,255.0,1,,MATCHED,2022,rushing_summary (8).csv,68.7,1632.0,329.0,2.84,81.6,81.2,ILLINOIS
Eric Gray,2023,172,5,Oklahoma,23.0,6.56,229.0,19.3,0,,MATCHED,2022,rushing_summary (8).csv,90.6,1374.0,212.0,3.43,92.4,90.6,OKLAHOMA
Evan Hull,2023,176,5,Northwestern,22.0,9.33,546.0,1.7000000000000002,0,,MATCHED,2022,rushing_summary (8).csv,59.9,914.0,220.0,2.74,73.5,73.3,NWESTERN
Chris Rodriguez,2023,193,6,Kentucky,22.0,,41.0,31.5,0,,MATCHED,2022,rushing_summary (8).csv,142.9,904.0,175.0,3.84,90.7,90.8,KENTUCKY
Deuce Vaughn,2023,212,6,Kansas St.,21.0,4.32,378.0,15.0,0,,MATCHED,2022,rushing_summary (8).csv,40.8,1561.0,291.0,2.35,84.5,82.1,KANSAS ST
Zach Evans,2023,215,6,Mississippi,22.0,8.75,119.0,1.9,0,,MATCHED,2022,rushing_summary (8).csv,86.8,930.0,144.0,3.56,80.8,77.4,OLE MISS
DeWayne McBride,2023,222,7,Ala-Birmingham,22.0,,10.0,0.0,0,,MATCHED,2022,rushing_summary (8).csv,142.9,1702.0,233.0,4.6,93.5,94.1,UAB
Lew Nichols,2023,235,7,Central Michigan,22.0,,128.0,0.0,0,,MATCHED,2022,rushing_summary (8).csv,29.2,616.0,175.0,2.39,69.5,62.6,C MICHIGAN
Kenny McIntosh,2023,237,7,Georgia,23.0,4.08,504.0,22.4,0,,MATCHED,2022,rushing_summary (8).csv,92.9,824.0,151.0,3.09,84.2,85.2,GEORGIA
Jonathon Brooks,2024,46,2,Texas,21.0,,286.0,7.500000000000001,0,,MATCHED,2023,rushing_summary (9).csv,132.9,1135.0,187.0,3.91,91.9,91.5,TEXAS
Trey Benson,2024,66,3,Florida St.,22.0,9.76,227.0,47.0,0,,MATCHED,2023,rushing_summary (9).csv,100.3,905.0,156.0,3.53,87.2,84.2,FLORIDA ST
Blake Corum,2024,83,3,Michigan,23.0,8.29,117.0,33.5,0,,MATCHED,2023,rushing_summary (9).csv,27.4,1245.0,258.0,2.42,83.1,84.0,MICHIGAN
MarShawn Lloyd,2024,88,3,USC,23.0,8.62,232.0,2.8,0,,MATCHED,2023,rushing_summary (9).csv,173.9,816.0,115.0,3.97,86.0,80.8,USC
Jaylen Wright,2024,120,4,Tennessee,21.0,9.81,141.0,26.700000000000003,0,,MATCHED,2023,rushing_summary (9).csv,126.7,1010.0,136.0,4.35,91.2,91.0,TENNESSEE
Bucky Irving,2024,125,4,Oregon,22.0,2.22,,260.70000000000005,1,,MATCHED,2023,rushing_summary (9).csv,140.9,1192.0,186.0,3.99,91.8,88.2,OREGON
Will Shipley,2024,127,4,Clemson,22.0,9.57,244.0,29.4,0,,MATCHED,2023,rushing_summary (9).csv,50.1,840.0,167.0,2.92,76.2,72.9,CLEMSON
Ray Davis,2024,128,4,Kentucky,24.0,,,125.7,0,,MATCHED,2023,rushing_summary (9).csv,86.6,1131.0,197.0,3.81,91.4,87.5,KENTUCKY
Isaac Guerendo,2024,129,4,Louisville,24.0,9.9,234.0,96.2,0,,MATCHED,2023,rushing_summary (9).csv,104.2,810.0,132.0,4.11,90.3,89.1,LOUISVILLE
Braelon Allen,2024,134,4,Wisconsin,20.0,,131.0,85.2,0,,MATCHED,2023,rushing_summary (9).csv,93.7,982.0,181.0,3.77,78.6,74.9,WISCONSIN
Audric Estime,2024,147,5,Notre Dame,21.0,6.57,142.0,48.7,0,,MATCHED,2023,rushing_summary (9).csv,122.8,1341.0,209.0,4.27,94.0,94.2,NOTRE DAME
Rasheen Ali,2024,165,5,Marshall,23.0,,213.0,3.1,0,,MATCHED,2023,rushing_summary (9).csv,36.6,1127.0,210.0,2.55,81.6,75.2,MARSHALL
Tyrone Tracy Jr.,2024,166,5,Purdue,24.0,9.78,132.0,0.0,0,,MATCHED,2023,rushing_summary (9).csv,160.2,714.0,114.0,4.44,90.5,87.5,PURDUE
Keilan Robinson,2024,167,5,Texas,24.0,7.32,56.0,0.0,0,,MATCHED,2023,rushing_summary (9).csv,179.2,134.0,12.0,3.58,89.1,85.7,TEXAS
Kimani Vidal,2024,181,6,Troy,23.0,8.88,201.0,32.7,0,,MATCHED,2023,rushing_summary (9).csv,115.5,1661.0,295.0,3.58,93.2,92.4,TROY
Jase McClellan,2024,186,6,Alabama,22.0,,137.0,3.2,0,,MATCHED,2023,rushing_summary (9).csv,83.8,888.0,181.0,3.2,84.5,79.8,ALABAMA
Jawhar Jordan,2024,205,6,Louisville,25.0,4.6,246.0,0.0,0,,MATCHED,2023,rushing_summary (9).csv,60.0,1123.0,181.0,3.19,90.7,87.9,LOUISVILLE
