prospect,position,prospect_college,prospect_pick,prospect_year,comp_rank,comp_player,comp_college,comp_pick,comp_year,similarity_score,comparison_coverage,dominant_category,category_breakdown,hit24,hit12,career_ppg,first_3yr_ppg,nfl_best_season_ppg
Jonah Coleman,RB,Washington,0,2026,1,Alvin Kamara,Tennessee,0,2017,95.4,0.442,production,draft_capital=0.12; size_speed=0.21; production=0.21; slap_score=0.19,1.0,1.0,25.186667,23.613333,24.170588235294115
Jonah Coleman,RB,Washington,0,2026,2,Duke Johnson,Miami (FL),0,2015,93.8,0.442,size_speed,draft_capital=0.01; size_speed=0.41; production=0.38; slap_score=0.17,1.0,1.0,13.50625,13.50625,12.711764705882352
Jonah Coleman,RB,Washington,0,2026,3,Zach Charbonnet,UCLA,0,2023,93.4,0.442,production,draft_capital=0.28; size_speed=0.16; production=0.45; slap_score=0.09,0.0,0.0,11.2125,11.2125,10.805882352941175
Jonah Coleman,RB,Washington,0,2026,4,Darrell Henderson,Memphis,0,2019,92.8,0.442,production,draft_capital=0.11; size_speed=0.26; production=0.47; slap_score=0.22,0.0,0.0,13.616667,13.616667,10.08235294117647
Jonah Coleman,RB,Washington,0,2026,5,James Cook,Georgia,0,2022,92.5,0.442,size_speed,draft_capital=0.16; size_speed=0.51; production=0.48; slap_score=0.13,1.0,1.0,18.129412,16.66875,19.076470588235296
Jonah Coleman,RB,Washington,0,2026,6,Zack Moss,Utah,0,2020,92.0,0.442,size_speed,draft_capital=0.10; size_speed=0.69; production=0.45; slap_score=0.14,0.0,0.0,12.114286,8.092308,9.976470588235294
Jonah Coleman,RB,Washington,0,2026,7,J.K. Dobbins,Ohio St.,0,2020,91.8,0.442,production,draft_capital=0.22; size_speed=0.05; production=0.62; slap_score=0.13,1.0,0.0,14.753846,11.233333,11.43529411764706
Jonah Coleman,RB,Washington,0,2026,8,Ke'Shawn Vaughn,Illinois,0,2020,91.6,0.442,production,draft_capital=0.00; size_speed=0.40; production=0.44; slap_score=0.34,0.0,0.0,,,2.988235294117647
Jonah Coleman,RB,Washington,0,2026,9,Kareem Hunt,Toledo,0,2017,90.8,0.442,size_speed,draft_capital=0.10; size_speed=0.77; production=0.52; slap_score=0.19,1.0,1.0,20.927273,20.927273,18.17058823529412
Jonah Coleman,RB,Washington,0,2026,10,Tyjae Spears,Tulane,0,2023,90.5,0.442,production,draft_capital=0.03; size_speed=0.10; production=0.50; slap_score=0.44,0.0,0.0,9.466667,9.466667,9.047058823529412
Emmett Johnson,RB,Nebraska,0,2026,1,Duke Johnson,Miami (FL),0,2015,94.0,0.442,size_speed,draft_capital=0.00; size_speed=0.54; production=0.28; slap_score=0.16,1.0,1.0,13.50625,13.50625,12.711764705882352
Emmett Johnson,RB,Nebraska,0,2026,2,Kareem Hunt,Toledo,0,2017,93.8,0.442,production,draft_capital=0.09; size_speed=0.19; production=0.42; slap_score=0.19,1.0,1.0,20.927273,20.927273,18.17058823529412
Emmett Johnson,RB,Nebraska,0,2026,3,Zack Moss,Utah,0,2020,93.3,0.442,production,draft_capital=0.09; size_speed=0.26; production=0.49; slap_score=0.13,0.0,0.0,12.114286,8.092308,9.976470588235294
Emmett Johnson,RB,Nebraska,0,2026,4,Alvin Kamara,Tennessee,0,2017,93.1,0.442,size_speed,draft_capital=0.13; size_speed=0.75; production=0.11; slap_score=0.19,1.0,1.0,25.186667,23.613333,24.170588235294115
Emmett Johnson,RB,Nebraska,0,2026,5,Ameer Abdullah,Nebraska,0,2015,92.6,0.442,production,draft_capital=0.25; size_speed=0.26; production=0.54; slap_score=0.04,0.0,0.0,9.630769,8.885714,7.364705882352942
Emmett Johnson,RB,Nebraska,0,2026,6,Zach Charbonnet,UCLA,0,2023,89.4,0.442,size_speed,draft_capital=0.29; size_speed=1.11; production=0.43; slap_score=0.08,0.0,0.0,11.2125,11.2125,10.805882352941175
Emmett Johnson,RB,Nebraska,0,2026,7,J.K. Dobbins,Ohio St.,0,2020,88.8,0.442,size_speed,draft_capital=0.24; size_speed=0.91; production=0.67; slap_score=0.13,1.0,0.0,14.753846,11.233333,11.43529411764706
Emmett Johnson,RB,Nebraska,0,2026,8,Darrell Henderson,Memphis,0,2019,88.3,0.442,size_speed,draft_capital=0.12; size_speed=1.21; production=0.48; slap_score=0.23,0.0,0.0,13.616667,13.616667,10.08235294117647
Emmett Johnson,RB,Nebraska,0,2026,9,Tyjae Spears,Tulane,0,2023,87.9,0.442,size_speed,draft_capital=0.01; size_speed=0.86; production=0.58; slap_score=0.44,0.0,0.0,9.466667,9.466667,9.047058823529412
