player_name,draft_year,pick,breakout_age,RAS,team_quality,predicted_ppg,slap_regression,slap_current,best_ppg,hit24
Henry Ruggs III,2020,12,20.0,9.54,5,13.787645365722595,62.944735127862366,70.7577897306965,4.970588291392607,0
Jerry Jeudy,2020,15,20.0,6.76,5,12.472136046249847,56.28344607560014,63.90225486712837,12.011764705882353,1
CeeDee Lamb,2020,17,19.0,7.44,1,13.21199231519566,60.02982505720371,66.88290541145588,20.041176470588237,1
Jalen Reagor,2020,21,20.0,6.03,0,10.601381778472573,46.8105865990803,58.89018865316994,5.12941172543694,0
Justin Jefferson,2020,22,20.0,9.69,3,10.962301753904681,48.63816185491524,63.381934069235015,22.36941176470588,1
Brandon Aiyuk,2020,25,21.0,8.47,1,9.095423345084479,39.184928401910916,56.76514051178266,14.394117647058822,1
Tee Higgins,2020,33,20.0,4.12,2,8.29340092403352,35.12376129808769,51.84974710458253,16.470588207244873,1
Michael Pittman Jr.,2020,34,20.0,8.27,2,8.922535359111741,38.309482799830775,57.255192604448595,14.035294069963342,1
Laviska Shenault Jr.,2020,42,20.0,6.97,0,7.791281706388205,32.581201395302834,53.75369844384556,9.241176457966075,0
KJ Hamler,2020,46,20.0,,1,8.061141023096587,33.9476766345364,53.978806366322374,5.300000043476329,0
Chase Claypool,2020,49,21.0,9.98,1,7.0606310579288705,28.881436525859595,53.08680694195214,13.988235098474163,1
Van Jefferson,2020,57,,,3,5.4932558851334825,20.944784975938116,40.38768047988022,11.111764718504514,0
Denzel Mims,2020,59,19.0,9.77,1,8.465591337839387,35.99567463341035,58.779184030886505,3.57058822407442,0
Lynn Bowden Jr.,2020,80,20.0,,1,6.298335785044721,25.021434106500354,50.399295391791554,3.1517646610736847,0
Bryan Edwards,2020,81,19.0,,1,7.658438784152824,31.908530293351436,53.955463394756094,6.835294085390428,0
Devin Duvernay,2020,92,21.0,7.86,1,4.955730283194125,18.222939258460116,46.31619235545391,6.829411764705882,0
Gabriel Davis,2020,128,20.0,6.85,2,5.001930493040365,18.45688131231369,46.96945082706367,11.782352941176471,0
Antonio Gandy-Golden,2020,142,20.0,6.13,0,4.884246751225887,17.860971112838833,45.537711865161505,0.20588235294117646,0
Joe Reed,2020,151,,9.35,0,3.184107941988423,9.252049937093211,37.59209257570035,0.5235294173745548,0
Tyler Johnson,2020,161,19.0,,1,6.602737925407447,26.562822384841187,50.71126762445653,7.382352958707249,0
Collin Johnson,2020,165,19.0,,1,6.112647453746087,24.08117193571757,50.61473079296316,3.482352993067573,0
Quintez Cephus,2020,166,21.0,4.5,0,2.880278854375696,7.71356340179094,39.05408772845699,3.9352941092322853,0
John Hightower,2020,168,21.0,8.02,1,3.466485537890477,10.681913458653346,43.81212208022528,1.6941176604698687,0
Isaiah Coulter,2020,171,,6.68,0,2.771197767295885,7.161214102232321,33.45486377200815,0.0,0
Darnell Mooney,2020,173,19.0,7.04,0,5.318767655528578,20.06123628767674,49.61308467920013,12.923529449631186,0
K.J. Osborn,2020,176,,,0,2.8242385055332004,7.429794251163341,34.655068536486006,9.741176470588234,0
Donovan Peoples-Jones,2020,187,20.0,9.63,1,4.288345870928351,14.843532960633006,49.23115925475423,9.829411764705881,0
Quez Watkins,2020,200,20.0,7.4,0,4.419454372941822,15.507421552065312,45.94463340390394,7.14705880950479,0
James Proche,2020,201,19.0,4.04,1,4.961054651654219,18.24990003844733,44.966459413192865,2.129411767510807,0
Isaiah Hodgins,2020,207,20.0,7.56,0,4.3485592224730185,15.148432769024533,46.041906149358496,7.411764705882353,0
Dezmon Patmon,2020,212,20.0,8.46,0,4.2844835129280945,14.823975301343035,47.187534324222,0.5941176274243523,0
Freddie Swain,2020,214,,8.29,3,1.9736793531530807,3.1228537482089638,34.83751529912853,5.088235276586869,0
Jauan Jennings,2020,217,21.0,2.7,2,2.01556323245546,3.3349393811522816,35.61986506774036,5.488235294117647,0
K.J. Hill,2020,220,20.0,3.89,2,3.3369353035564546,10.02591540154106,40.82319238719266,0.841176474795622,0
Tyrie Cleveland,2020,252,19.0,9.65,3,4.3420159626324155,15.1152999401672,51.86639122935327,0.7235294089597815,0
Ja'Marr Chase,2021,5,20.0,9.82,4,21.105530221398315,100.0,87.06346048926099,22.094117374981153,1
Jaylen Waddle,2021,6,19.0,,5,20.321475969199845,96.02981755489,83.79970725908186,15.729411764705885,1
DeVonta Smith,2021,10,20.0,,5,16.500034585819712,76.67934601191797,70.93153130411069,17.370588235294118,1
Kadarius Toney,2021,20,21.0,8.99,4,10.017473670443065,43.85387574194776,59.845957101108205,4.84470589020673,0
Rashod Bateman,2021,27,19.0,8.04,1,10.637190338340975,46.99190889326539,62.671312150287974,6.088235266068402,0
Elijah Moore,2021,34,20.0,8.69,0,9.12687536549617,39.34419067100978,57.82846583690225,8.12941176400465,0
Rondale Moore,2021,49,19.0,9.33,2,8.368613032710048,35.50460968031376,59.451000140670935,7.01764702796936,0
D'Wayne Eskridge,2021,56,18.0,6.71,1,8.436521499994369,35.84847492169286,57.36529584204123,1.6647058725357056,0
Tutu Atwell,2021,57,20.0,6.25,1,6.826202084712892,27.6943684225013,50.57633462343184,7.247058823529412,0
Terrace Marshall Jr.,2021,59,21.0,9.76,4,6.0294636303314375,23.659957517822452,51.51413289545482,4.882352941176471,0
Josh Palmer,2021,77,19.0,7.59,4,6.445184296084424,25.765024717718404,54.17366075911291,10.258823529411766,0
Dyami Brown,2021,82,20.0,8.38,3,6.114772660269981,24.091933254350483,51.27180425035627,2.0564705882352943,0
