player_name,position,draft_year,pick,round,college,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,peak_dominator,inv_sqrt_pick,log_pick,best_ppg,full_pred
Erik Ezukanma,WR,2022,125,4,Texas Tech,2,1852.0,1.7000000000000002,0,0,7.03,20.0,27.9,0.08944271909999159,4.828313737302301,0.1,0.9049363990097912
Calvin Austin III,WR,2022,138,4,Memphis,2,403.0,15.2,0,0,9.05,20.0,32.1,0.08512565307587486,4.927253685157204,0.8941176470588235,0.8693908505484664
Khalil Shakir,WR,2022,148,5,Boise St.,2,159.0,21.6,0,0,8.31,19.0,42.5,0.08219949365267865,4.997212273764115,1.2705882352941178,0.9421309142089052
Montrell Washington,WR,2022,162,5,Samford,2,1739.0,1.9,0,0,4.32,18.0,282.9,0.07856742013183861,5.087596335232384,0.11176470588235293,1.030604131424177
Kyle Philips,WR,2022,163,5,UCLA,2,554.0,12.6,0,0,8.31,19.0,27.2,0.07832604499879574,5.093750200806762,0.7411764705882353,0.9211447630646394
Jalen Nailor,WR,2022,191,6,Michigan St.,2,246.0,19.1,0,0,8.09,20.0,30.8,0.07235746052924216,5.25227342804663,1.1235294117647059,0.8059904833716955
Bo Melton,WR,2022,229,7,Rutgers,2,143.0,22.5,0,0,9.23,19.0,35.8,0.06608186004550898,5.433722003554239,1.3235294117647058,0.8492700304040717
Dareke Young,WR,2022,233,7,Lenoir-Rhyne,2,1323.0,4.4,0,0,9.93,18.0,97.09,0.06551217820804184,5.4510384535657,0.25882352941176473,0.9261117793100333
Samori Toure,WR,2022,258,7,Nebraska,2,693.0,10.7,0,0,6.14,21.0,28.1,0.062257280636469035,5.552959584921617,0.6294117647058823,0.6788621727853934
Jaxon Smith-Njigba,WR,2023,20,1,Ohio St.,1,14.0,37.0,1,0,8.34,20.0,32.4,0.22360679774997896,2.995732273553991,2.176470588235294,1.6239473872140402
Quentin Johnston,WR,2023,21,1,TCU,1,27.0,31.6,0,0,8.68,19.0,27.2,0.2182178902359924,3.044522437723423,1.8588235294117648,1.6768452104775449
Zay Flowers,WR,2023,22,1,Boston Col.,1,35.0,29.700000000000003,0,0,8.29,19.0,36.3,0.21320071635561041,3.0910424533583156,1.747058823529412,1.6520093445404649
Jordan Addison,WR,2023,23,1,USC,1,11.0,39.3,1,1,5.94,21.0,18.6,0.20851441405707477,3.1354942159291497,2.3117647058823527,1.4724795636910235
Jonathan Mingo,WR,2023,39,2,Mississippi,1,528.0,12.9,0,0,9.87,21.0,27.6,0.16012815380508713,3.6635616461296463,0.7588235294117647,1.1866753786469637
Jayden Reed,WR,2023,50,2,Michigan St.,1,22.0,33.1,1,0,6.74,19.0,31.1,0.1414213562373095,3.912023005428146,1.947058823529412,1.2724399076814144
Rashee Rice,WR,2023,55,2,SMU,1,40.0,29.1,0,0,9.53,19.0,32.9,0.13483997249264842,4.007333185232471,1.711764705882353,1.2199927141438365
Jalin Hyatt,WR,2023,73,3,Tennessee,1,357.0,15.9,0,0,8.76,21.0,29.9,0.11704114719613057,4.290459441148391,0.9352941176470588,0.9599118586282736
Cedric Tillman,WR,2023,74,3,Tennessee,1,45.0,28.9,0,0,8.67,20.0,32.3,0.11624763874381928,4.304065093204169,1.7,1.040294966453507
Josh Downs,WR,2023,79,3,North Carolina,1,124.0,23.5,0,0,8.99,20.0,40.2,0.1125087900926024,4.3694478524670215,1.3823529411764706,1.0181123841726678
Michael Wilson,WR,2023,94,3,Stanford,1,76.0,26.6,0,0,9.55,18.0,21.5,0.10314212462587934,4.543294782270004,1.5647058823529412,1.1322757011766929
Tre Tucker,WR,2023,100,3,Cincinnati,1,129.0,22.6,0,0,7.16,21.0,21.3,0.1,4.605170185988091,1.3294117647058825,0.8772122112399956
Tyler Scott,WR,2023,133,4,Cincinnati,1,960.0,7.6,0,0,8.61,21.0,28.5,0.086710996952412,4.890349128221754,0.44705882352941173,0.7964872869223374
Dontayvion Wicks,WR,2023,159,5,Virginia,1,88.0,24.8,0,0,9.17,20.0,25.6,0.07930515857181442,5.0689042022202315,1.4588235294117649,0.8371335696272131
Puka Nacua,WR,2023,177,5,BYU,1,5.0,41.8,1,1,5.18,20.0,23.4,0.07516460280028289,5.176149732573829,2.4588235294117644,0.8387111580155777
Kayshon Boutte,WR,2023,187,6,LSU,1,89.0,24.700000000000003,0,0,4.99,19.0,22.0,0.07312724241271307,5.231108616854587,1.4529411764705884,0.9129569155016548
Trey Palmer,WR,2023,191,6,Nebraska,1,331.0,16.4,0,0,6.18,21.0,39.4,0.07235746052924216,5.25227342804663,0.9647058823529411,0.7333437315587461
A.T. Perry,WR,2023,195,6,Wake Forest,1,195.0,20.3,0,0,9.62,20.0,30.0,0.0716114874039433,5.272999558563747,1.1941176470588235,0.7927416462484178
Elijah Higgins,WR,2023,197,6,Stanford,1,999.0,0.0,0,0,8.94,21.0,23.1,0.07124704998790965,5.2832037287379885,0.0,0.7107185304792143
Xavier Hutchinson,WR,2023,205,6,Iowa St.,1,815.0,9.2,0,0,7.27,19.0,37.3,0.06984302957695782,5.323009979138408,0.5411764705882353,0.881442693107511
Andrei Iosivas,WR,2023,206,6,Princeton,1,182.0,20.6,0,0,9.96,22.0,,0.06967330142916177,5.327876168789581,1.211764705882353,0.6119132140377361
Antoine Green,WR,2023,219,7,North Carolina,1,2018.0,1.2,0,0,8.68,21.0,18.4,0.06757373783994859,5.389071729816501,0.07058823529411765,0.6923813297850807
Colton Dowell,WR,2023,228,7,UT Martin,1,1998.0,1.3,0,0,9.78,22.0,39.62,0.06622661785325219,5.42934562895444,0.07647058823529412,0.5943224538107907
Ronnie Bell,WR,2023,253,7,Michigan,1,695.0,10.4,0,0,8.2,18.0,28.9,0.06286946134619315,5.53338948872752,0.611764705882353,0.9222044180220834
Malik Nabers,WR,2024,6,1,LSU,0,17.0,36.1,1,0,9.67,20.0,35.6,0.4082482904638631,1.791759469228055,2.123529411764706,2.616322125624248
Rome Odunze,WR,2024,9,1,Washington,0,109.0,23.4,0,0,9.92,20.0,31.8,0.3333333333333333,2.197224577336219,1.3764705882352941,2.208932190304557
Xavier Worthy,WR,2024,28,1,Texas,0,18.0,35.7,1,0,9.41,19.0,36.3,0.1889822365046136,3.332204510175204,2.1,1.5140549262947038
Ricky Pearsall,WR,2024,31,1,Florida,0,47.0,28.700000000000003,0,0,9.91,20.0,31.4,0.1796053020267749,3.4339872044851463,1.6882352941176473,1.3761015804175383
Xavier Legette,WR,2024,32,1,South Carolina,0,228.0,19.6,0,0,9.9,21.0,37.6,0.17677669529663687,3.4657359027997265,1.1529411764705884,1.276695810886915
Ladd McConkey,WR,2024,34,2,Georgia,0,20.0,34.7,1,0,9.34,20.0,17.2,0.17149858514250882,3.526360524616161,2.0411764705882356,1.3356099240166364
Ja'Lynn Polk,WR,2024,37,2,Washington,0,815.0,9.2,0,0,8.85,21.0,22.5,0.1643989873053573,3.6109179126442243,0.5411764705882353,1.2159526690388325
Adonai Mitchell,WR,2024,52,2,Texas,0,539.0,13.1,0,0,9.99,21.0,20.9,0.1386750490563073,3.951243718581427,0.7705882352941176,1.0697213970101327
Malachi Corley,WR,2024,65,3,Western Kentucky,0,1741.0,2.0,0,0,7.76,20.0,26.2,0.12403473458920847,4.174387269895637,0.11764705882352941,1.087961235444812
Jermaine Burton,WR,2024,80,3,Alabama,0,1155.0,5.7,0,0,9.09,21.0,25.9,0.11180339887498948,4.382026634673881,0.33529411764705885,0.9295481351512465
Roman Wilson,WR,2024,84,3,Michigan,0,999.0,0.0,0,0,8.59,21.0,24.6,0.1091089451179962,4.430816798843313,0.0,0.9179586056949971
Jalen McMillan,WR,2024,92,3,Washington,0,120.0,23.0,0,0,8.67,20.0,22.8,0.10425720702853739,4.5217885770490405,1.3529411764705883,0.9753314069108616
Luke McCaffrey,WR,2024,100,3,Rice,0,993.0,7.4,0,0,9.44,20.0,30.2,0.1,4.605170185988091,0.43529411764705883,0.9476323872032428
Troy Franklin,WR,2024,102,4,Oregon,0,515.0,13.4,0,0,9.02,20.0,28.5,0.09901475429766744,4.624972813284271,0.788235294117647,0.9448218397257966
Javon Baker,WR,2024,110,4,Central Florida,0,1701.0,2.2,0,0,7.84,18.0,263.93,0.09534625892455924,4.700480365792416,0.12941176470588237,1.1003284816693417
Jacob Cowing,WR,2024,135,4,Arizona,0,1036.0,7.0,0,0,6.28,20.0,26.9,0.08606629658238704,4.90527477843843,0.4117647058823529,0.8911564400469245
Anthony Gould,WR,2024,142,5,Oregon St.,0,1504.0,3.3000000000000003,0,0,8.87,21.0,22.8,0.08391813582966891,4.955827057601261,0.19411764705882353,0.7797910841278315
Ainias Smith,WR,2024,152,5,Texas A&M,0,484.0,13.9,0,0,7.36,18.0,22.6,0.08111071056538127,5.0238805208462765,0.8176470588235294,1.026089523232172
Jamari Thrash,WR,2024,156,5,Louisville,0,1542.0,3.1,0,0,6.77,21.0,25.9,0.08006407690254357,5.049856007249537,0.1823529411764706,0.7715473079439026
Bub Means,WR,2024,170,5,Pittsburgh,0,401.0,15.5,0,0,9.35,21.0,27.8,0.07669649888473704,5.135798437050261,0.9117647058823529,0.737776085391421
Jha'Quan Jackson,WR,2024,182,6,Tulane,0,1931.0,1.3,0,0,5.34,18.0,20.1,0.07412493166611012,5.204006687076795,0.07647058823529412,1.0003968230117617
Malik Washington,WR,2024,184,6,Virginia,0,704.0,10.5,0,0,8.63,21.0,47.4,0.07372097807744857,5.214935757608986,0.6176470588235294,0.7259876586739897
Johnny Wilson,WR,2024,185,6,Florida St.,0,977.0,7.5,0,0,9.7,20.0,25.5,0.07352146220938077,5.220355825078324,0.4411764705882353,0.8026083724451085
Casey Washington,WR,2024,187,6,Illinois,0,1670.0,2.4000000000000004,0,0,7.15,21.0,21.0,0.07312724241271307,5.231108616854587,0.14117647058823532,0.7316771319265174
Tejhaun Palmer,WR,2024,191,6,Ala-Birmingham,0,999.0,0.0,0,0,9.57,21.0,24.7,0.07235746052924216,5.25227342804663,0.0,0.7129434825574219
Ryan Flournoy,WR,2024,216,6,SE Missouri St.,0,1026.0,7.1000000000000005,0,0,9.89,20.0,,0.06804138174397717,5.375278407684164,0.4176470588235294,0.7717741936857978
Brenden Rice,WR,2024,225,7,USC,0,999.0,0.0,0,0,7.17,21.0,18.3,0.06666666666666667,5.41610040220442,0.0,0.6965537000952764
Devaughn Vele,WR,2024,235,7,Utah,0,423.0,15.0,0,0,8.47,21.0,27.5,0.06523280730534423,5.459585514144159,0.8823529411764706,0.6809620174281212
Tahj Washington,WR,2024,241,7,USC,0,999.0,0.0,0,0,5.13,20.0,24.5,0.06441566264008308,5.484796933490655,0.0,0.78077482627532
