player_name,position,draft_year,pick,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,best_ppg,dc_raw,breakout_score,dc_norm,breakout_norm,ras_norm,slap_score,athletic_status,athletic_contrib,delta
Henry Ruggs III,WR,2020,12,2,88.0,84.50000095367432,0,0,9.54,,4.970588291392607,0.2886751345948129,25,83.35765373072088,25.96215469072998,65.90525238182086,60.65136886438906,observed,9.885787857273128,-22.70628486633182
Jerry Jeudy,WR,2020,15,3,24.0,204.2,1,0,6.76,19.0,12.011764705882353,0.2581988897471611,90,77.23562965225682,63.62218280635726,42.63556349512313,67.2809133326219,observed,6.39533452426847,-9.954716319634912
CeeDee Lamb,WR,2020,17,3,4.0,340.70000000000005,1,1,7.44,19.0,20.041176470588237,0.24253562503633297,90,74.08921564402198,63.62218280635726,48.327429841509634,66.56148628046246,observed,7.249114476226445,-7.527729363559516
Jalen Reagor,WR,2020,21,3,91.0,87.19999933242798,0,0,6.03,19.0,5.12941172543694,0.2182178902359924,90,69.20430417525029,63.62218280635726,36.52517756444351,62.3486927045167,observed,5.478776634666526,-6.855611470733585
Justin Jefferson,WR,2020,22,4,1.0,380.28,1,1,9.69,19.0,22.36941176470588,0.21320071635561041,90,68.19646152747387,63.62218280635726,67.16081113470024,66.440116416167,observed,10.074121670205036,-1.7563451113068709
Brandon Aiyuk,WR,2020,25,3,16.0,244.7,1,0,8.47,21.0,14.394117647058822,0.2,60,65.54472067862557,46.24063136837544,56.948933277948,57.49892130993639,observed,8.5423399916922,-8.045799368689174
Tee Higgins,WR,2020,33,3,11.0,279.99999952316284,1,1,4.12,19.0,16.470588207244873,0.17407765595569785,90,60.33747762086823,63.62218280635726,20.53772944444614,55.517162209326074,observed,3.080659416666921,-4.820315411542154
Michael Pittman Jr.,WR,2020,34,3,19.0,238.59999918937683,1,0,8.27,20.0,14.035294069963342,0.17149858514250882,75,59.81939759830194,54.931407087366345,55.2748549407755,57.42691952084551,observed,8.291228241116324,-2.392478077456431
Laviska Shenault Jr.,WR,2020,42,3,47.0,157.09999978542328,0,0,6.97,19.0,9.241176457966075,0.1543033499620919,90,56.365243573237535,63.62218280635726,44.39334574915425,57.10938763121694,observed,6.659001862373137,0.7441440579794047
KJ Hamler,WR,2020,46,3,87.0,90.1000007390976,0,0,,19.0,5.300000043476329,0.14744195615489714,90,54.98693668833577,63.62218280635726,,57.26123232639292,imputed_avg,7.5,2.274295638057154
Chase Claypool,WR,2020,49,3,18.0,237.7999966740608,1,0,9.98,21.0,13.988235098474163,0.14285714285714285,60,54.065946010369196,46.24063136837544,69.58822472360038,53.655427692656055,observed,10.438233708540055,-0.41051831771314085
Van Jefferson,WR,2020,57,3,37.0,188.90000021457672,0,0,,,11.111764718504514,0.13245323570650439,25,51.9760241579655,25.96215469072998,,42.57476622073824,imputed_avg,7.5,-9.401257937227257
Denzel Mims,WR,2020,59,3,106.0,60.69999980926514,0,0,9.77,19.0,3.57058822407442,0.13018891098082389,90,51.521169875183155,63.62218280635726,67.83044246956925,58.202915290252,observed,10.174566370435388,6.681745415068846
Lynn Bowden Jr.,WR,2020,80,1,113.0,53.57999923825264,0,0,,20.0,3.1517646610736847,0.11180339887498948,75,47.827914739274135,54.931407087366345,,50.63994985021529,imputed_avg,7.5,2.812035110941153
Bryan Edwards,WR,2020,81,3,63.0,116.19999945163728,0,0,,18.0,6.835294085390428,0.1111111111111111,100,47.688848972448994,69.41603328568453,,55.64003613621408,imputed_avg,7.5,7.951187163765084
Devin Duvernay,WR,2020,92,3,64.0,116.1,0,0,7.86,21.0,6.829411764705882,0.10425720702853739,60,46.31204661261914,46.24063136837544,51.84299434957188,47.11669343767675,observed,7.776449152435782,0.8046468250576098
Gabriel Davis,WR,2020,128,3,27.0,200.3,0,0,6.85,19.0,11.782352941176471,0.08838834764831843,90,43.12433304393299,63.62218280635726,43.38889874685075,50.33826531621915,observed,6.508334812027612,7.213932272286158
