player_name,position,college,draft_year,pick,round,slap_display_score,slap_model_score,dc_score,prospect_profile,dataset,enhanced_breakout,teammate_score,early_declare_score,breakout_age,peak_dominator,rush_yards,rec_yards,team_pass_att,pos_rank
Kobe Prentice,WR,Baylor,2026,250,7,3.9,31.11,3.9,36.5,2026_prospect,29.8,0.0,100.0,,14.8,,,,42
Mikey Matthews,WR,UCLA,2026,250,7,3.9,31.1,3.9,36.5,2026_prospect,29.7,0.0,100.0,,14.7,1.0,,,42
Kaden Wetjen,WR,Iowa,2026,212,6,3.9,30.8,16.9,18.8,2026_prospect,28.2,0.0,0.0,,8.2,79.0,,,42
Noah Thomas,WR,Georgia,2026,250,7,3.6,30.58,3.9,34.7,2026_prospect,27.1,0.0,100.0,,12.1,,,,45
Ayden Williams,WR,Mississippi State,2026,250,7,3.6,30.49,3.9,34.5,2026_prospect,26.7,0.0,100.0,,11.7,,,,45
London Humphreys,WR,Georgia,2026,250,7,3.3,30.25,3.9,33.7,2026_prospect,25.5,0.0,100.0,,10.5,7.0,,,47
Braylin Presley,WR,Tulsa,2026,250,7,3.3,30.25,3.9,33.7,2026_prospect,25.5,0.0,100.0,,5.5,215.0,,,47
Cordale Russell,WR,Miami (OH),2026,250,7,3.3,30.1,3.9,33.2,2026_prospect,24.7,0.0,100.0,,9.7,,,,47
Brandon Inniss,WR,Ohio State,2026,250,7,3.3,29.78,3.9,32.1,2026_prospect,23.2,0.0,100.0,,8.2,16.0,,,47
Jalen Brown,WR,Arkansas,2026,250,7,3.3,29.59,3.9,31.5,2026_prospect,22.2,0.0,100.0,,7.2,,,,47
Kendrick Law,WR,Kentucky,2026,250,7,3.3,30.27,3.9,33.7,2026_prospect,50.6,0.0,0.0,22.0,21.1,53.0,,,47
Emmanuel Henderson,WR,Kansas,2026,250,7,3.3,29.69,3.9,31.8,2026_prospect,47.7,0.0,0.0,22.0,25.4,16.0,,,47
Antonio Gates Jr.,WR,Delaware State,2026,250,7,3.0,29.21,3.9,30.2,2026_prospect,20.3,0.0,100.0,,5.3,,,,54
