player_name,position,draft_year,pick,college,dc_score,breakout_age,breakout_score,production_raw,production_score,ras_raw,ras_score,ras_status,slap_score,slap_tier,delta,delta_tier,best_season_ppg,hit24,hit12,outcome_status,data_source
DeAndre Smelter,WR,2015,132,Georgia Tech,52.9,21.0,60.0,,,,68.9,imputed,57.8,Below Avg (50-59),4.9,Neutral (-5 to +5),3.3000000000000003,0.0,0.0,Miss,backtest
Da'Ron Brown,WR,2015,233,Northern Illinois,31.9,19.0,90.0,,,,68.9,imputed,57.8,Below Avg (50-59),25.9,Big Sleeper (+15),0.0,0.0,0.0,Miss,backtest
David Johnson,RB,2015,86,Northern Iowa,64.4,,,,30.0,9.8,98.4,observed,57.5,Below Avg (50-59),-6.9,Bust Risk (-5 to -15),23.988235294117647,1.0,1.0,Hit,backtest
Tre McBride,WR,2015,245,William & Mary,29.7,,79.7,,,9.6,95.6,observed,57.1,Below Avg (50-59),27.4,Big Sleeper (+15),22.4,0.0,0.0,Miss,backtest
Bud Sasser,WR,2015,201,Missouri,38.1,20.0,75.0,,,7.5,74.5,observed,56.5,Below Avg (50-59),18.4,Big Sleeper (+15),0.0,0.0,0.0,Miss,backtest
Tony Lippett,WR,2015,156,Michigan St.,47.5,20.0,75.0,,,4.0,39.9,observed,56.0,Below Avg (50-59),8.5,Sleeper (+5 to +15),0.0,0.0,0.0,Miss,backtest
Kaelin Clay,WR,2015,184,Utah,41.5,19.0,90.0,,,2.2,21.8,observed,55.5,Below Avg (50-59),14.0,Sleeper (+5 to +15),23.4,0.0,0.0,Miss,backtest
Vince Mayle,WR,2015,123,Washington St.,55.0,21.0,60.0,,,4.6,46.3,observed,55.4,Below Avg (50-59),0.5,Neutral (-5 to +5),6.2,0.0,0.0,Miss,backtest
Darren Waller,WR,2015,204,Georgia Tech,37.5,20.0,75.0,,,,68.9,imputed,55.3,Below Avg (50-59),17.8,Big Sleeper (+15),0.0,0.0,0.0,Miss,backtest
Mario Alford,WR,2015,238,West Virginia,31.0,19.0,90.0,,,5.4,54.0,observed,55.1,Below Avg (50-59),24.1,Big Sleeper (+15),2.5,0.0,0.0,Miss,backtest
David Cobb,RB,2015,138,Minnesota,51.5,,,0.638,63.8,4.5,45.5,observed,54.9,Below Avg (50-59),3.4,Neutral (-5 to +5),1.258823529411765,0.0,0.0,Miss,backtest
Keith Mumphery,WR,2015,175,Michigan St.,43.4,20.0,75.0,,,4.4,43.6,observed,54.5,Below Avg (50-59),11.1,Sleeper (+5 to +15),26.9,0.0,0.0,Miss,backtest
Dezmin Lewis,WR,2015,234,Central Arkansas,31.7,19.0,90.0,,,4.8,47.7,observed,54.5,Below Avg (50-59),22.8,Big Sleeper (+15),0.0,0.0,0.0,Miss,backtest
Duke Johnson,RB,2015,77,Miami (FL),66.9,,,,30.0,7.0,69.8,observed,54.4,Below Avg (50-59),-12.5,Bust Risk (-5 to -15),12.711764705882352,1.0,0.0,Hit,backtest
Karlos Williams,RB,2015,155,Florida St.,47.7,,,0.514,51.4,6.4,64.1,observed,51.4,Below Avg (50-59),3.8,Neutral (-5 to +5),7.311764705882353,0.0,0.0,Miss,backtest
Josh Robinson,RB,2015,205,Mississippi St.,37.3,,,0.875,87.5,1.1,11.0,observed,50.9,Below Avg (50-59),13.6,Sleeper (+5 to +15),0.6588235294117647,0.0,0.0,Miss,backtest
Jeremy Langford,RB,2015,106,Michigan St.,59.2,,,0.155,15.5,7.5,75.2,observed,46.3,Poor (<50),-12.9,Bust Risk (-5 to -15),8.68235294117647,0.0,0.0,Miss,backtest
Cameron Artis-Payne,RB,2015,174,Auburn,43.6,,,0.443,44.3,6.0,60.0,observed,46.3,Poor (<50),2.7,Neutral (-5 to +5),2.170588235294117,0.0,0.0,Miss,backtest
Matt Jones,RB,2015,95,Florida,62.0,,,0.201,20.1,5.2,52.3,observed,45.9,Poor (<50),-16.1,Big Bust (<-15),6.847058823529412,0.0,0.0,Miss,backtest
Marcus Murphy,RB,2015,230,Missouri,32.5,,,0.511,51.1,0.2,2.4,observed,34.5,Poor (<50),2.0,Neutral (-5 to +5),2.2705882352941176,0.0,0.0,Miss,backtest
Kenny Hilliard,RB,2015,235,LSU,31.6,,,0.127,12.7,0.9,9.1,observed,21.6,Poor (<50),-10.0,Bust Risk (-5 to -15),0.0,0.0,0.0,Miss,backtest
Corey Coleman,WR,2016,15,Baylor,89.5,18.0,100.0,,,9.7,96.6,observed,94.3,Elite (90+),4.7,Neutral (-5 to +5),93.3,0.0,0.0,Miss,backtest
Josh Doctson,WR,2016,22,TCU,86.1,18.0,100.0,,,9.4,94.1,observed,92.2,Elite (90+),6.1,Sleeper (+5 to +15),119.8,0.0,0.0,Miss,backtest
Will Fuller,WR,2016,21,Notre Dame,86.6,18.0,100.0,,,7.2,71.7,observed,89.0,Great (80-89),2.5,Neutral (-5 to +5),188.9,0.0,0.0,Miss,backtest
Michael Thomas,WR,2016,47,Ohio St.,76.3,18.0,100.0,,,9.1,91.1,observed,86.8,Great (80-89),10.5,Sleeper (+5 to +15),388.6,1.0,1.0,Hit,backtest
Sterling Shepard,WR,2016,40,Oklahoma,78.8,18.0,100.0,,,7.6,76.2,observed,85.8,Great (80-89),7.0,Sleeper (+5 to +15),194.7,0.0,0.0,Miss,backtest
Ezekiel Elliott,RB,2016,4,Ohio St.,96.7,,,0.634,63.4,8.7,86.5,observed,83.5,Great (80-89),-13.2,Bust Risk (-5 to -15),21.8,1.0,1.0,Hit,backtest
Braxton Miller,WR,2016,85,Ohio St.,64.7,18.0,100.0,,,8.6,85.9,observed,80.2,Great (80-89),15.5,Big Sleeper (+15),41.3,0.0,0.0,Miss,backtest
Tyler Boyd,WR,2016,55,Pittsburgh,73.6,18.0,100.0,,,4.3,42.7,observed,78.2,Good (70-79),4.6,Neutral (-5 to +5),222.9,1.0,0.0,Hit,backtest
Chris Moore,WR,2016,107,Cincinnati,58.9,18.0,100.0,,,8.0,79.6,observed,76.4,Good (70-79),17.5,Big Sleeper (+15),115.1,0.0,0.0,Miss,backtest
Malcolm Mitchell,WR,2016,112,Georgia,57.7,18.0,100.0,,,8.1,80.8,observed,75.9,Good (70-79),18.3,Big Sleeper (+15),110.6,0.0,0.0,Miss,backtest
Laquon Treadwell,WR,2016,23,Mississippi,85.6,20.0,75.0,,,3.3,33.3,observed,74.1,Good (70-79),-11.6,Bust Risk (-5 to -15),82.4,0.0,0.0,Miss,backtest
Tyreek Hill,WR,2016,165,West Alabama,45.5,18.0,100.0,,,9.4,93.9,observed,71.8,Good (70-79),26.3,Big Sleeper (+15),393.6,1.0,1.0,Hit,backtest
C.J. Prosise,RB,2016,90,Notre Dame,63.3,,,0.8,80.0,8.1,80.7,observed,71.8,Good (70-79),8.4,Sleeper (+5 to +15),3.588235294117647,0.0,0.0,Miss,backtest
Trevor Davis,WR,2016,163,California,45.9,18.0,100.0,,,9.1,91.4,observed,71.7,Good (70-79),25.7,Big Sleeper (+15),30.4,0.0,0.0,Miss,backtest
Demarcus Robinson,WR,2016,126,Florida,54.3,18.0,100.0,,,5.9,58.6,observed,70.9,Good (70-79),16.7,Big Sleeper (+15),137.2,0.0,0.0,Miss,backtest
Kenneth Dixon,RB,2016,134,Louisiana Tech,52.4,,,0.975,97.5,6.9,68.6,observed,70.6,Good (70-79),18.2,Big Sleeper (+15),6.023529411764706,0.0,0.0,Miss,backtest
Jordan Payton,WR,2016,154,UCLA,47.9,18.0,100.0,,,6.8,68.4,observed,69.2,Average (60-69),21.3,Big Sleeper (+15),1.3,0.0,0.0,Miss,backtest
Leonte Carroo,WR,2016,86,Rutgers,64.4,20.0,75.0,,,7.0,69.6,observed,68.9,Average (60-69),4.5,Neutral (-5 to +5),18.8,0.0,0.0,Miss,backtest
Ricardo Louis,WR,2016,114,Auburn,57.2,20.0,75.0,,,9.2,92.3,observed,68.7,Average (60-69),11.5,Sleeper (+5 to +15),62.7,0.0,0.0,Miss,backtest
Devontae Booker,RB,2016,136,Utah,51.9,,,0.903,90.3,,66.5,imputed,67.6,Average (60-69),15.6,Big Sleeper (+15),8.476470588235296,0.0,0.0,Miss,backtest
Pharoh Cooper,WR,2016,117,South Carolina,56.4,18.0,100.0,,,2.1,20.6,observed,66.3,Average (60-69),9.9,Sleeper (+5 to +15),55.5,0.0,0.0,Miss,backtest
Kenyan Drake,RB,2016,73,Alabama,68.1,,,0.619,61.9,7.0,69.8,observed,66.2,Average (60-69),-1.9,Neutral (-5 to +5),12.411764705882351,1.0,0.0,Hit,backtest
Cody Core,WR,2016,199,Mississippi,38.5,18.0,100.0,,,7.4,73.8,observed,65.3,Average (60-69),26.8,Big Sleeper (+15),37.0,0.0,0.0,Miss,backtest
Jakeem Grant,WR,2016,186,Texas Tech,41.1,18.0,100.0,,,6.4,63.9,observed,65.1,Average (60-69),24.0,Big Sleeper (+15),81.3,0.0,0.0,Miss,backtest
Tajae Sharpe,WR,2016,140,Massachusetts,51.0,19.0,90.0,,,5.3,53.0,observed,65.0,Average (60-69),13.9,Sleeper (+5 to +15),105.3,0.0,0.0,Miss,backtest
Mike Thomas,WR,2016,206,Southern Miss,37.1,18.0,100.0,,,7.7,76.6,observed,65.0,Average (60-69),27.9,Big Sleeper (+15),30.3,0.0,0.0,Miss,backtest
Moritz Boehringer,WR,2016,180,,42.4,,79.7,,,10.0,99.8,observed,64.0,Average (60-69),21.7,Big Sleeper (+15),0.0,0.0,0.0,Miss,backtest
Devin Fuller,WR,2016,238,UCLA,31.0,18.0,100.0,,,8.3,83.4,observed,63.0,Average (60-69),32.0,Big Sleeper (+15),0.0,0.0,0.0,Miss,backtest
Derrick Henry,RB,2016,45,Alabama,77.0,,,0.204,20.4,8.8,87.7,observed,58.8,Below Avg (50-59),-18.2,Big Bust (<-15),22.43529411764706,1.0,1.0,Hit,backtest
Dwayne Washington,RB,2016,236,Washington,31.4,,,0.795,79.5,9.8,98.2,observed,58.3,Below Avg (50-59),26.9,Big Sleeper (+15),2.864705882352941,0.0,0.0,Miss,backtest
Devin Lucien,WR,2016,225,Arizona St.,33.4,19.0,90.0,,,6.7,66.8,observed,58.2,Below Avg (50-59),24.8,Big Sleeper (+15),0.0,0.0,0.0,Miss,backtest
DeAndre Washington,RB,2016,143,Texas Tech,50.3,,,0.621,62.1,7.3,73.1,observed,57.9,Below Avg (50-59),7.5,Sleeper (+5 to +15),7.170588235294118,0.0,0.0,Miss,backtest
Charone Peake,WR,2016,241,Clemson,30.4,19.0,90.0,,,5.8,57.6,observed,55.4,Below Avg (50-59),24.9,Big Sleeper (+15),37.6,0.0,0.0,Miss,backtest
Aaron Burbridge,WR,2016,213,Michigan St.,35.7,19.0,90.0,,,2.8,27.8,observed,53.5,Below Avg (50-59),17.8,Big Sleeper (+15),15.8,0.0,0.0,Miss,backtest
Daniel Braverman,WR,2016,230,Western Michigan,32.5,19.0,90.0,,,2.6,25.6,observed,51.6,Below Avg (50-59),19.1,Big Sleeper (+15),0.0,0.0,0.0,Miss,backtest
Rashard Higgins,WR,2016,172,Colorado St.,44.0,20.0,75.0,,,1.6,16.5,observed,50.7,Below Avg (50-59),6.7,Sleeper (+5 to +15),139.5,0.0,0.0,Miss,backtest
Tyler Ervin,RB,2016,119,San Jose St.,55.9,,,,30.0,7.7,77.0,observed,50.0,Below Avg (50-59),-5.9,Bust Risk (-5 to -15),1.535294117647059,0.0,0.0,Miss,backtest
Darius Jackson,RB,2016,216,Eastern Michigan,35.2,,,0.491,49.1,9.8,98.5,observed,49.6,Poor (<50),14.4,Sleeper (+5 to +15),0.0941176470588235,0.0,0.0,Miss,backtest
Paul Perkins,RB,2016,149,UCLA,49.0,,,0.475,47.5,5.4,53.9,observed,49.2,Poor (<50),0.2,Neutral (-5 to +5),5.029411764705882,0.0,0.0,Miss,backtest
Wendell Smallwood,RB,2016,153,West Virginia,48.1,,,0.373,37.3,7.1,70.9,observed,47.7,Poor (<50),-0.4,Neutral (-5 to +5),7.547058823529412,0.0,0.0,Miss,backtest
Kolby Listenbee,WR,2016,192,TCU,39.9,22.0,45.0,,,7.9,79.1,observed,47.6,Poor (<50),7.7,Sleeper (+5 to +15),0.0,0.0,0.0,Miss,backtest
Kenny Lawler,WR,2016,243,California,30.1,20.0,75.0,,,2.1,20.9,observed,44.4,Poor (<50),14.3,Sleeper (+5 to +15),0.0,0.0,0.0,Miss,backtest
Demarcus Ayers,WR,2016,229,Houston,32.7,20.0,75.0,,,0.9,8.9,observed,43.9,Poor (<50),11.2,Sleeper (+5 to +15),0.0,0.0,0.0,Miss,backtest
Keenan Reynolds,RB,2016,182,Navy,41.9,,,0.385,38.5,4.5,45.5,observed,41.3,Poor (<50),-0.7,Neutral (-5 to +5),0.0,0.0,0.0,Miss,backtest
Jordan Howard,RB,2016,150,Indiana,48.8,,,0.23,23.0,5.4,54.1,observed,40.5,Poor (<50),-8.2,Bust Risk (-5 to -15),13.53529411764706,1.0,1.0,Hit,backtest
Jonathan Williams,RB,2016,156,Arkansas,47.5,,,0.181,18.1,6.4,64.0,observed,39.7,Poor (<50),-7.8,Bust Risk (-5 to -15),2.3764705882352946,0.0,0.0,Miss,backtest
Alex Collins,RB,2016,171,Arkansas,44.2,,,0.254,25.4,3.0,29.6,observed,35.4,Poor (<50),-8.8,Bust Risk (-5 to -15),10.058823529411764,1.0,0.0,Hit,backtest
Kelvin Taylor,RB,2016,211,Florida,36.1,,,0.37,37.0,2.7,26.6,observed,35.0,Poor (<50),-1.1,Neutral (-5 to +5),0.0,0.0,0.0,Miss,backtest
Zac Brooks,RB,2016,247,Clemson,29.3,,,0.214,21.4,7.9,79.4,observed,34.1,Poor (<50),4.7,Neutral (-5 to +5),0.0,0.0,0.0,Miss,backtest
Keith Marshall,RB,2016,242,Georgia,30.3,,,0.086,8.6,9.3,93.5,observed,32.2,Poor (<50),1.9,Neutral (-5 to +5),0.0,0.0,0.0,Miss,backtest
Daniel Lasco,RB,2016,237,California,31.2,,,0.044,4.4,9.6,96.1,observed,31.5,Poor (<50),0.3,Neutral (-5 to +5),0.3705882352941176,0.0,0.0,Miss,backtest
John Ross,WR,2017,9,Washington,93.0,18.0,100.0,,,9.5,95.0,observed,95.8,Elite (90+),2.7,Neutral (-5 to +5),95.0,0.0,0.0,Miss,backtest
Christian McCaffrey,RB,2017,8,Stanford,93.7,,,1.02,100.0,8.5,85.2,observed,94.6,Elite (90+),0.9,Neutral (-5 to +5),28.25294117647059,1.0,1.0,Hit,backtest
Corey Davis,WR,2017,5,Western Michigan,95.9,18.0,100.0,,,,68.9,imputed,93.3,Elite (90+),-2.6,Neutral (-5 to +5),191.4,0.0,0.0,Miss,backtest
Mike Williams,WR,2017,7,Clemson,94.4,18.0,100.0,,,7.2,72.4,observed,93.1,Elite (90+),-1.3,Neutral (-5 to +5),246.6,1.0,0.0,Hit,backtest
Zay Jones,WR,2017,37,East Carolina,79.9,18.0,100.0,,,9.7,97.1,observed,89.5,Great (80-89),9.6,Sleeper (+5 to +15),232.8,1.0,0.0,Hit,backtest
Joe Mixon,RB,2017,48,Oklahoma,75.9,,,1.401,100.0,9.5,94.6,observed,87.2,Great (80-89),11.2,Sleeper (+5 to +15),20.51764705882353,1.0,1.0,Hit,backtest
Curtis Samuel,WR,2017,40,Ohio St.,78.8,18.0,100.0,,,7.5,74.5,observed,85.6,Great (80-89),6.8,Sleeper (+5 to +15),212.1,0.0,0.0,Miss,backtest
Taywan Taylor,WR,2017,72,Western Kentucky,68.4,18.0,100.0,,,8.7,87.0,observed,82.2,Great (80-89),13.9,Sleeper (+5 to +15),87.6,0.0,0.0,Miss,backtest
Alvin Kamara,RB,2017,67,Tennessee,69.9,,,1.034,100.0,8.1,80.8,observed,82.1,Great (80-89),12.2,Sleeper (+5 to +15),24.170588235294115,1.0,1.0,Hit,backtest
Dalvin Cook,RB,2017,41,Florida St.,78.4,,,1.159,100.0,4.7,46.5,observed,81.2,Great (80-89),2.8,Neutral (-5 to +5),19.87058823529412,1.0,1.0,Hit,backtest
Chad Williams,WR,2017,98,Grambling St.,61.2,18.0,100.0,,,9.0,90.1,observed,79.1,Good (70-79),17.9,Big Sleeper (+15),41.0,0.0,0.0,Miss,backtest
ArDarius Stewart,WR,2017,79,Alabama,66.4,18.0,100.0,,,,68.9,imputed,78.5,Good (70-79),12.2,Sleeper (+5 to +15),16.900000000000002,0.0,0.0,Miss,backtest
Leonard Fournette,RB,2017,4,LSU,96.7,,,0.49,49.0,8.0,80.4,observed,77.6,Good (70-79),-19.2,Big Bust (<-15),17.04705882352941,1.0,1.0,Hit,backtest
Josh Reynolds,WR,2017,117,Texas A&M,56.4,18.0,100.0,,,9.1,91.0,observed,76.9,Good (70-79),20.4,Big Sleeper (+15),156.0,0.0,0.0,Miss,backtest
Cooper Kupp,WR,2017,69,Eastern Washington,69.3,19.5,90.0,,,5.0,50.0,observed,73.6,Good (70-79),4.4,Neutral (-5 to +5),554.8,1.0,1.0,Hit,backtest
Kareem Hunt,RB,2017,86,Toledo,64.4,,,0.953,95.3,5.2,51.5,observed,73.3,Good (70-79),8.9,Sleeper (+5 to +15),18.17058823529412,1.0,1.0,Hit,backtest
Carlos Henderson,WR,2017,82,Louisiana Tech,65.5,19.0,90.0,,,5.8,57.5,observed,72.9,Good (70-79),7.4,Sleeper (+5 to +15),0.0,0.0,0.0,Miss,backtest
Josh Malone,WR,2017,128,Tennessee,53.8,18.0,100.0,,,7.0,70.3,observed,72.4,Good (70-79),18.6,Big Sleeper (+15),18.5,0.0,0.0,Miss,backtest
Jehu Chesson,WR,2017,139,Michigan,51.2,19.0,90.0,,,7.9,79.4,observed,69.0,Average (60-69),17.8,Big Sleeper (+15),3.8,0.0,0.0,Miss,backtest
James Conner,RB,2017,105,Pittsburgh,59.4,,,0.932,93.2,4.3,43.3,observed,68.8,Average (60-69),9.4,Sleeper (+5 to +15),16.470588235294116,1.0,1.0,Hit,backtest
Jeremy McNichols,RB,2017,162,Boise St.,46.2,,,1.167,100.0,,66.5,imputed,68.1,Average (60-69),21.9,Big Sleeper (+15),4.329411764705883,0.0,0.0,Miss,backtest
Chris Godwin,WR,2017,84,Penn St.,65.0,21.0,60.0,,,9.7,96.6,observed,68.0,Average (60-69),3.0,Neutral (-5 to +5),276.1,1.0,1.0,Hit,backtest
Robert Davis,WR,2017,209,Georgia St.,36.5,18.0,100.0,,,9.8,97.9,observed,67.9,Average (60-69),31.4,Big Sleeper (+15),3.7,0.0,0.0,Miss,backtest
JuJu Smith-Schuster,WR,2017,62,USC,71.4,21.0,60.0,,,,68.9,imputed,67.0,Average (60-69),-4.4,Neutral (-5 to +5),296.90000000000003,1.0,1.0,Hit,backtest
DeAngelo Yancey,WR,2017,175,Purdue,43.4,19.0,90.0,,,9.1,90.8,observed,66.8,Average (60-69),23.4,Big Sleeper (+15),0.0,0.0,0.0,Miss,backtest
Rodney Adams,WR,2017,170,South Florida,44.4,18.0,100.0,,,6.0,60.2,observed,66.3,Average (60-69),21.8,Big Sleeper (+15),0.0,0.0,0.0,Miss,backtest
Kenny Golladay,WR,2017,96,Northern Illinois,61.7,21.0,60.0,,,8.9,89.4,observed,65.3,Average (60-69),3.5,Neutral (-5 to +5),248.0,1.0,1.0,Hit,backtest
Ryan Switzer,WR,2017,133,North Carolina,52.6,19.0,90.0,,,4.8,48.3,observed,65.1,Average (60-69),12.4,Sleeper (+5 to +15),69.4,0.0,0.0,Miss,backtest
David Moore,WR,2017,226,East Central (OK),33.3,18.0,100.0,,,9.0,89.9,observed,65.1,Average (60-69),31.9,Big Sleeper (+15),120.3,0.0,0.0,Miss,backtest
Amara Darboh,WR,2017,106,Michigan,59.2,21.0,60.0,,,9.6,96.0,observed,65.0,Average (60-69),5.8,Sleeper (+5 to +15),15.1,0.0,0.0,Miss,backtest
Donnel Pumphrey,RB,2017,132,San Diego St.,52.9,,,0.902,90.2,4.0,40.1,observed,64.0,Average (60-69),11.2,Sleeper (+5 to +15),0.0,0.0,0.0,Miss,backtest
