player_name,draft_year,nfl_ppg,hit24,college_seasons,final_rec_yards,final_team_att,final_ratio,best_ratio,career_avg_ratio,multi_season_data,final_season_year,best_season_year,best_same_as_final,final_production,best_production,career_production
Todd Gurley,2015,23.8,1,1,,,,,,False,,,,,,
Melvin Gordon,2015,17.435294117647057,1,2,5.0,355.0,0.014084507042253521,0.22336769759450173,0.11872610231837763,True,2013.0,2012.0,False,0.8048289738430584,12.763868433971528,6.784348703907293
T.J. Yeldon,2015,10.18235294117647,0,2,160.0,365.0,0.4383561643835616,0.4383561643835616,0.41887320414300033,True,2013.0,2013.0,True,25.048923679060664,25.048923679060664,23.935611665314305
Ameer Abdullah,2015,7.364705882352942,0,3,232.0,378.0,0.6137566137566137,0.6137566137566137,0.37406624892404183,True,2013.0,2013.0,True,35.071806500377924,35.071806500377924,21.375214224230962
Tevin Coleman,2015,13.758823529411766,1,2,193.0,470.0,0.4106382978723404,0.4106382978723404,0.2506895193065406,True,2013.0,2013.0,True,23.465045592705167,23.465045592705167,14.325115388945177
Duke Johnson,2015,12.711764705882352,1,1,,,,,,False,,,,,,
David Johnson,2015,23.988235294117647,1,0,,,,,,False,,,,,,
Matt Jones,2015,6.847058823529412,0,2,25.0,311.0,0.08038585209003216,0.08038585209003216,0.05755403715612719,True,2013.0,2013.0,True,4.593477262287552,4.593477262287552,3.288802123207268
Jeremy Langford,2015,8.68235294117647,0,1,140.0,430.0,0.32558139534883723,0.32558139534883723,0.32558139534883723,False,2013.0,2013.0,True,18.6046511627907,18.6046511627907,18.6046511627907
Javorius Allen,2015,9.770588235294117,0,1,458.0,460.0,0.9956521739130435,0.9956521739130435,0.9956521739130435,False,,,,56.8944099378882,56.8944099378882,56.8944099378882
Mike Davis,2015,12.147058823529411,1,2,342.0,383.0,0.8929503916449086,0.8929503916449086,0.4875710862334132,True,2013.0,2013.0,True,51.025736665423345,51.025736665423345,27.861204927623614
David Cobb,2015,1.258823529411765,0,2,162.0,267.0,0.6067415730337079,0.6067415730337079,0.30791624106230847,True,2013.0,2013.0,True,34.670947030497594,34.670947030497594,17.595213774989055
Jay Ajayi,2015,13.105882352941178,1,2,189.0,466.0,0.4055793991416309,0.4055793991416309,0.22055619703274437,True,2013.0,2013.0,True,23.17596566523605,23.17596566523605,12.603211259013964
Karlos Williams,2015,7.311764705882353,0,1,63.0,442.0,0.1425339366515837,0.1425339366515837,0.1425339366515837,False,2013.0,2013.0,True,8.144796380090497,8.144796380090497,8.144796380090497
Cameron Artis-Payne,2015,2.170588235294117,0,1,4.0,285.0,0.014035087719298246,0.014035087719298246,0.014035087719298246,False,2013.0,2013.0,True,0.8020050125313283,0.8020050125313283,0.8020050125313283
Josh Robinson,2015,0.6588235294117647,0,2,112.0,429.0,0.26107226107226106,0.26107226107226106,0.1435078286493381,True,2013.0,2013.0,True,14.918414918414916,14.918414918414916,8.200447351390748
Marcus Murphy,2015,2.2705882352941176,0,1,212.0,415.0,0.5108433734939759,0.5108433734939759,0.5108433734939759,False,,,,29.19104991394148,29.19104991394148,29.19104991394148
Kenny Hilliard,2015,0.0,0,3,0.0,326.0,0.0,0.05898876404494382,0.035194582041265625,True,2013.0,2012.0,False,0.0,3.3707865168539324,2.011118973786607
Ezekiel Elliott,2016,21.8,1,2,176.0,325.0,0.5415384615384615,0.5415384615384615,0.30201923076923076,True,2015.0,2015.0,True,30.945054945054945,30.945054945054945,17.25824175824176
Derrick Henry,2016,22.43529411764706,1,1,97.0,446.0,0.21748878923766815,0.21748878923766815,0.21748878923766815,False,2015.0,2015.0,True,12.427930813581037,12.427930813581037,12.427930813581037
Kenyan Drake,2016,12.411764705882351,1,2,250.0,446.0,0.5605381165919282,0.5605381165919282,0.4652005651452792,True,2015.0,2015.0,True,32.03074951953875,32.03074951953875,26.582889436873096
C.J. Prosise,2016,3.588235294117647,0,2,308.0,385.0,0.8,0.8,0.4547785547785548,True,2015.0,2015.0,True,45.714285714285715,45.714285714285715,25.987345987345986
Tyler Ervin,2016,1.535294117647059,0,3,337.0,391.0,0.8618925831202046,0.8618925831202046,0.35397103435936467,True,2015.0,2015.0,True,49.25100474972597,49.25100474972597,20.22691624910655
Kenneth Dixon,2016,6.023529411764706,0,3,354.0,479.0,0.7390396659707724,0.7390396659707724,0.3314792833679042,True,2015.0,2015.0,True,42.23083805547271,42.23083805547271,18.941673335308813
Devontae Booker,2016,8.476470588235296,0,1,318.0,352.0,0.9034090909090909,0.9034090909090909,0.9034090909090909,False,2015.0,2015.0,True,51.62337662337662,51.62337662337662,51.62337662337662
DeAndre Washington,2016,7.170588235294118,0,3,304.0,620.0,0.49032258064516127,0.49032258064516127,0.3425771814101985,True,2015.0,2015.0,True,28.018433179723502,28.018433179723502,19.575838937725628
Paul Perkins,2016,5.029411764705882,0,2,234.0,510.0,0.4588235294117647,0.7333333333333333,0.596078431372549,True,2015.0,2013.0,False,26.218487394957982,41.904761904761905,34.061624649859944
Jordan Howard,2016,13.53529411764706,1,2,106.0,461.0,0.2299349240780911,0.23512747875354106,0.23253120141581607,True,2015.0,2013.0,False,13.139138518748064,13.435855928773774,13.28749722376092
Wendell Smallwood,2016,7.547058823529412,0,2,155.0,429.0,0.3613053613053613,0.3613053613053613,0.32289405996302545,True,2015.0,2015.0,True,20.646020646020645,20.646020646020645,18.451089140744312
Jonathan Williams,2016,2.3764705882352946,0,2,72.0,301.0,0.23920265780730898,0.4531590413943355,0.34618084960082224,True,2013.0,2012.0,False,13.668723303274799,25.8948023653906,19.7817628343327
