player_name,position,school,projected_pick,slap_score,delta,draft_capital_score,breakout_score,athletic_score,rec_yards,team_pass_attempts,age,age_estimated,weight
Braylin Presley,WR,Oklahoma State,250,45.0,0.0,45.0,,,,450,20,FALSE,170
Jayden McGowan,WR,Boston College,250,45.0,0.0,45.0,,,,330,20,TRUE,180
Squirrel White,WR,Florida State,250,45.0,0.0,45.0,,,,355,20,FALSE,170
Justus Ross-Simmons,WR,Colorado State,250,45.0,0.0,45.0,,,,388,20,TRUE,210
Christian Leary,WR,Alabama,250,45.0,0.0,45.0,,,,354,21,TRUE,180
JoJo Earle,WR,Alabama,250,45.0,0.0,45.0,,,,354,21,FALSE,185
Dacari Collins,WR,Clemson,250,45.0,0.0,45.0,,,,529,21,FALSE,215
Cody Jackson,WR,Army,250,45.0,0.0,45.0,,,,122,21,TRUE,200
Kyron Ware-Hudson,WR,Penn State,250,45.0,0.0,45.0,,,,437,MISSING,MISSING,215
Malik McClain,WR,USC,250,45.0,0.0,45.0,,,,533,21,TRUE,245
Deion Colzie,WR,Miami (OH),250,45.0,0.0,45.0,,,,398,21,TRUE,211
Andrel Anthony,WR,Duke,250,45.0,0.0,45.0,,,,467,22,FALSE,186
Jayden Thomas,WR,Georgia Tech,250,45.0,0.0,45.0,,,,410,21,FALSE,220
Rara Thomas,WR,Georgia,250,45.0,0.0,45.0,,,,513,22,FALSE,208
Cyrus Allen,WR,Cincinnati,250,45.0,0.0,45.0,,,,395,21,TRUE,180
Jared Brown,WR,Coastal Carolina,250,45.0,0.0,45.0,,,,358,21,TRUE,195
Jaden Bray,WR,Oklahoma State,250,45.0,0.0,45.0,,,,450,21,TRUE,209
Joseph Manjack IV,WR,,250,45.0,0.0,45.0,,,,,21,TRUE,
Max Tomzcak,WR,,250,45.0,0.0,45.0,,,,,MISSING,MISSING,
E.J. Williams,WR,Clemson,250,45.0,0.0,45.0,,,,529,22,TRUE,203
Ja'Mori Maclin,WR,,250,45.0,0.0,45.0,,,,,22,TRUE,
Ja'Varrius Johnson,WR,Auburn,250,45.0,0.0,45.0,,,,369,23,TRUE,180
Donavon Greene,WR,Virginia Tech,250,45.0,0.0,45.0,,,,339,23,TRUE,196
Talyn Shettron,WR,Oklahoma State,250,43.9,-1.1,45.0,42.4,,245,450,20,TRUE,195
Jaron Glover,WR,Michigan State,250,43.8,-1.2,45.0,42.3,,192,354,20,TRUE,205
London Humphreys,WR,Georgia,250,43.6,-1.4,45.0,41.9,,244,513,19,FALSE,200
Zavion Thomas,WR,LSU,250,43.1,-1.9,45.0,40.6,,218,533,19,FALSE,192
Brandon Inniss,WR,Ohio State,250,42.9,-2.1,45.0,40.2,,176,455,19,FALSE,199
Caullin Lacy,WR,Louisville,231,42.8,-2.8,45.6,39.3,,196,427,22,FALSE,190
Kobe Prentice,WR,Alabama,250,42.4,-2.6,45.0,39.1,,129,354,20,FALSE,190
Kendrick Law,WR,Alabama,250,41.7,-3.3,45.0,37.4,,105,354,21,FALSE,205
Tobias Merriweather,WR,California,250,41.7,-3.3,45.0,37.4,,125,464,20,TRUE,195
Jerand Bradley,WR,Boston College,250,41.6,-3.4,45.0,37.2,,94,330,21,FALSE,223
Colbie Young,WR,Georgia,250,41.5,-3.5,45.0,36.9,,149,513,22,FALSE,215
Anthony Evans III,WR,Georgia,250,41.1,-3.9,45.0,36.0,,88,513,19,FALSE,180
Kaden Wetjen,WR,Iowa,250,40.7,-4.3,45.0,35.2,,46,260,22,FALSE,196
Antonio Gates Jr.,WR,Michigan State,250,40.7,-4.3,45.0,35.1,,49,354,20,FALSE,193
Kaleb Brown,WR,Iowa,250,40.1,-4.9,45.0,33.8,,18,260,20,FALSE,200
Ryan Niblett,WR,Texas,250,40.0,-5.0,45.0,33.5,,24,541,19,FALSE,187
Kyion Grayes,WR,California,250,39.9,-5.1,45.0,33.4,,22,464,20,TRUE,190
Jayden Ballard,WR,Ohio State,250,39.8,-5.2,45.0,33.2,,18,455,21,TRUE,205
