player_name,position,draft_year,pick,college,dc_score,production_score,ras_raw,ras_score,slap_score,slap_tier,best_season_ppg,hit24,hit12,rank
Tutu Atwell,WR,2021,57,Louisville,72.96570404937304,75.0,6.25,57.5,72.39584844196709,Good,7.129411764705883,0.0,0.0,122
Kenneth Walker III,RB,2022,41,Michigan St.,78.40408953083528,13.05995238095238,9.24,87.4,72.31947133930522,Good,11.729411764705883,1.0,0.0,123
Jonathon Brooks,RB,2024,46,Texas,76.62960369267617,38.591117794486216,,66.49597701149425,72.31907376879808,Good,0.4411764705882353,0.0,0.0,124
Jalen Hurd,WR,2019,67,Baylor,69.86299160356411,90.0,8.21,77.10000000000001,72.2385428630295,Good,0.0,0.0,0.0,125
Taywan Taylor,WR,2017,72,Western Kentucky,68.37819198708551,100.0,8.7,82.0,72.22146318902267,Good,5.152941176470588,0.0,0.0,126
Zach Charbonnet,RB,2023,52,UCLA,74.59433316596373,44.93737924764178,8.71,82.10000000000001,72.00392111583335,Good,10.805882352941175,0.0,0.0,127
Tyler Lockett,WR,2015,69,Kansas St.,69.2641833889955,90.0,7.71,72.1,71.47955588064617,Good,16.11764705882353,1.0,1.0,128
JJ Arcega-Whiteside,WR,2019,57,Stanford,72.96570404937304,60.0,,68.94822695035461,71.46825978948482,Good,0.0,0.0,0.0,129
Marvin Mims,WR,2023,63,Oklahoma,71.08139694751989,75.0,,68.94822695035461,71.36659875290964,Good,7.811764705882354,0.0,0.0,130
Tank Dell,WR,2023,69,Houston,69.2641833889955,90.0,,68.94822695035461,71.3219672281639,Good,9.705882352941176,0.0,0.0,131
Ameer Abdullah,RB,2015,54,Nebraska,73.9360365676696,43.909802361055846,8.66,81.6,71.31661131862475,Good,7.364705882352942,0.0,0.0,132
Jonah Coleman,RB,2026,56,Washington,73.28694247866397,55.0,,66.49597701149425,71.11869995743909,Good,,,,133
Malachi Corley,WR,2024,65,Western Kentucky,70.4686321545596,75.0,7.76,72.6,71.02833733137565,Good,0.4235294117647059,0.0,0.0,134
Terrace Marshall Jr.,WR,2021,59,LSU,72.3295803529313,60.0,,68.94822695035461,70.92755464750933,Good,1.935294117647059,0.0,0.0,135
Cam Akers,RB,2020,52,Florida St.,74.59433316596373,33.12500000000001,8.79,82.89999999999999,70.86268319106917,Good,8.588235294117647,0.0,0.0,136
Ja'Kobi Lane,WR,2026,65,USC,70.4686321545596,75.0,,68.94822695035461,70.84574867889339,Good,,,,137
Chris Conley,WR,2015,76,Georgia,67.21839332711826,90.0,9.68,91.8,70.72563432805052,Good,9.205882352941176,0.0,0.0,138
Mecole Hardman,WR,2019,56,Georgia,73.28694247866397,45.0,8.3,78.0,70.69390110686439,Good,10.5,0.0,0.0,139
Derrick Henry,RB,2016,45,Alabama,76.9783930175478,10.57057441810805,8.77,82.69999999999999,70.62369150672643,Good,22.43529411764706,1.0,1.0,140
Diontae Johnson,WR,2019,66,Toledo,70.1649400864357,90.0,4.18,36.8,70.48019907347035,Good,16.988235294117647,1.0,1.0,141
Jaelen Strong,WR,2015,70,Arizona St.,68.96725571920754,75.0,9.14,86.4,70.4421673613264,Good,2.988235294117647,0.0,0.0,142
JuJu Smith-Schuster,WR,2017,62,USC,71.3905481598709,60.0,,68.94822695035461,70.129377283408,Good,17.464705882352945,1.0,1.0,143
Cooper Kupp,WR,2017,69,Eastern Washington,69.2641833889955,90.0,5.0,45.0,70.12455588064617,Good,32.63529411764706,1.0,1.0,144
Andy Isabella,WR,2019,62,Massachusetts,71.3905481598709,60.0,7.26,67.6,70.06196593589027,Good,3.2235294117647055,0.0,0.0,145
ArDarius Stewart,WR,2017,79,Alabama,66.36371289664757,100.0,,68.94822695035461,69.85656730966816,Average,0.9941176470588237,0.0,0.0,146
J.K. Dobbins,RB,2020,55,Ohio St.,73.61036829159038,39.01276096645555,,66.49597701149425,69.79488799507209,Average,11.43529411764706,1.0,0.0,147
Miles Sanders,RB,2019,53,Penn St.,74.26400482294514,20.51966327428069,9.48,89.80000000000001,69.66637042693144,Average,14.4,1.0,1.0,148
Josh Palmer,WR,2021,77,Tennessee,66.9320986936365,90.0,7.59,70.9,69.43728388959103,Average,10.258823529411766,0.0,0.0,149
Alvin Kamara,RB,2017,67,Tennessee,69.86299160356411,61.335343636135185,8.08,75.8,69.30707722664302,Average,24.170588235294115,1.0,1.0,150
Cedric Tillman,WR,2023,74,Tennessee,67.79531439030325,75.0,8.67,81.7,69.21101723175775,Average,4.729411764705882,0.0,0.0,151
Braxton Miller,WR,2016,85,Ohio St.,64.69048249230454,100.0,8.59,80.9,69.03191011845887,Average,2.429411764705882,0.0,0.0,152
DJ Chark,WR,2018,61,LSU,71.70160008687043,45.0,,68.94822695035461,68.89377142135758,Average,6.794117647058823,0.0,0.0,153
James Cook,RB,2022,63,Georgia,71.08139694751989,40.76003276003276,8.75,82.5,68.62019068139519,Average,19.076470588235296,1.0,1.0,154
Bryan Edwards,WR,2020,81,South Carolina,65.80076958583709,90.0,,68.94822695035461,68.37806549547925,Average,6.835294117647059,0.0,0.0,155
Josh Downs,WR,2023,79,North Carolina,66.36371289664757,75.0,8.99,84.9,68.15415596215044,Average,10.717647058823529,0.0,0.0,156
D.K. Metcalf,WR,2019,64,Mississippi,70.7741049369252,45.0,,68.94822695035461,68.10540054390414,Average,0.0,0.0,0.0,157
Jalin Hyatt,WR,2023,73,Tennessee,68.08599462283559,60.0,8.76,82.6,68.00309542941025,Average,3.5470588235294116,0.0,0.0,158
AJ Dillon,RB,2020,62,Boston Col.,71.3905481598709,37.186572989851676,,66.49597701149425,67.72542208545015,Average,6.91764705882353,0.0,0.0,159
Velus Jones Jr.,WR,2022,71,Tennessee,68.67193564014815,60.0,7.1,66.0,67.67114529412592,Average,0.0,0.0,0.0,160
Nico Collins,WR,2021,89,Michigan,63.59988204942709,90.0,9.57,90.7,67.59489974201303,Average,17.305882352941175,1.0,1.0,161
Derrius Guice,RB,2018,59,LSU,72.3295803529313,25.89485714285715,7.37,68.7,67.50462901427733,Average,3.3764705882352946,0.0,0.0,162
Michael Wilson,WR,2023,94,Stanford,62.262482221264236,100.0,9.55,90.5,67.4481098880746,Average,7.323529411764706,0.0,0.0,163
Jalen Tolbert,WR,2022,88,South Alabama,63.870755038336846,90.0,8.62,81.19999999999999,67.35014178258632,Average,8.941176470588236,0.0,0.0,164
Carlos Henderson,WR,2017,82,Louisiana Tech,65.52128074753156,90.0,5.75,52.5,67.31808863540184,Average,0.0,0.0,0.0,165
Trey Benson,RB,2024,66,Florida St.,70.1649400864357,30.149345650500386,9.76,92.6,67.28513363852039,Average,2.764705882352941,0.0,0.0,166
Dyami Brown,WR,2021,82,North Carolina,65.52128074753156,75.0,8.38,78.80000000000001,67.13308863540183,Average,6.370588235294117,0.0,0.0,167
Lynn Bowden Jr.,WR,2020,80,Kentucky,66.0815727265999,75.0,,68.94822695035461,67.11674816512765,Average,0.0,0.0,0.0,168
Tre'Quan Smith,WR,2018,91,Central Florida,63.061580711070775,100.0,6.85,63.49999999999999,66.77734360441016,Average,7.447058823529411,0.0,0.0,169
Sammie Coates,WR,2015,87,Auburn,64.14280026523261,75.0,9.86,93.6,66.7013802254477,Average,4.8999999999999995,0.0,0.0,170
Omar Cooper Jr.,WR,2026,76,Indiana,67.21839332711826,60.0,,68.94822695035461,66.58304567556826,Average,,,,171
Jermaine Burton,WR,2024,80,Alabama,66.0815727265999,60.0,9.09,85.9,66.46433681760992,Average,0.8647058823529411,0.0,0.0,172
Darrell Henderson,RB,2019,70,Memphis,68.96725571920754,41.76870748299319,7.68,71.8,66.38903810962573,Average,10.08235294117647,0.0,0.0,173
Chad Williams,WR,2017,98,Grambling St.,61.21193317920564,100.0,9.01,85.1,66.28514320232479,Average,2.411764705882353,0.0,0.0,174
Terry McLaurin,WR,2019,76,Ohio St.,67.21839332711826,45.0,9.56,90.6,66.16563432805052,Average,18.970588235294116,1.0,1.0,175
Rachaad White,RB,2022,91,Arizona St.,63.061580711070775,78.26465845123992,9.87,93.69999999999999,66.11380944953414,Average,17.38235294117647,1.0,1.0,176
Chris Godwin,WR,2017,84,Penn St.,64.96615833500175,60.0,9.66,91.6,65.80123458475148,Average,16.241176470588236,1.0,1.0,177
Ty Montgomery,WR,2015,94,Stanford,62.262482221264236,90.0,7.75,72.5,65.5481098880746,Average,10.547058823529412,0.0,0.0,178
Leonte Carroo,WR,2016,86,Rutgers,64.41603636571921,75.0,6.96,64.6,65.48363091086132,Average,1.1058823529411765,0.0,0.0,179
Royce Freeman,RB,2018,71,Oregon,68.67193564014815,30.337773694686877,8.26,77.6,65.28492266359461,Average,8.364705882352942,0.0,0.0,180
Roman Wilson,WR,2024,84,Michigan,64.96615833500175,60.0,8.59,80.9,65.26623458475149,Average,0.0,0.0,0.0,181
Tevin Coleman,RB,2015,73,Indiana,68.08599462283559,25.638825498250416,9.72,92.2,65.0469779792353,Average,13.758823529411766,1.0,1.0,182
Jalen McMillan,WR,2024,92,Washington,62.79411750331776,75.0,8.67,81.7,64.9599998778201,Average,8.323529411764707,0.0,0.0,183
Jadarian Price,RB,2026,79,Notre Dame,66.36371289664757,50.0,,66.49597701149425,64.73395481272514,Average,,,,184
Kenyan Drake,RB,2016,73,Alabama,68.08599462283559,35.93252188767884,6.98,64.80000000000001,64.70634761817813,Average,12.411764705882351,1.0,0.0,185
Antonio Williams,WR,2026,85,Clemson,64.69048249230454,60.0,,68.94822695035461,64.4343214659766,Average,,,,186
Chris Moore,WR,2016,107,Cincinnati,58.906016650653214,100.0,7.96,74.6,63.800114153055226,Average,6.770588235294118,0.0,0.0,187
Skyler Bell,WR,2026,88,UConn,63.870755038336846,60.0,,68.94822695035461,63.73755313010405,Average,,,,188
Luke McCaffrey,WR,2024,100,Rice,60.69278011001499,75.0,9.44,89.4,63.55886309351274,Average,2.0470588235294116,0.0,0.0,189
Malachi Fields,WR,2026,89,Notre Dame,63.59988204942709,60.0,,68.94822695035461,63.50731108953075,Average,,,,190
