player_name,position,college,draft_year,pick,round,slap_display_score,slap_model_score,dc_score,prospect_profile,dataset,te_breakout_score,te_production_score,ras_score,breakout_age,peak_dominator,rec_yards,team_pass_att,pos_rank
Josh Kattus,TE,Kentucky,2026,250,7,1.6,25.18,5.9,19.8,2026_prospect,23.0,3.0,40.0,,7.995079950799508,195.0,367.0,22
Andrew Rappleyea,TE,Penn State,2026,250,7,1.6,25.08,5.9,19.5,2026_prospect,22.4,3.0,40.0,,7.395234182415776,180.0,339.0,22
Jaleel Skinner,TE,Louisville,2026,250,7,1.6,25.02,5.9,19.4,2026_prospect,22.2,2.8,40.0,,7.150368033648791,204.0,418.0,22
Khalil Dinkins,TE,Penn State,2026,250,7,1.6,24.93,5.9,19.1,2026_prospect,21.9,2.5,40.0,,6.86113393590797,167.0,339.0,22
Will Kacmarek,TE,Ohio State,2026,250,7,1.6,25.17,5.9,19.7,2026_prospect,24.2,1.8,40.0,,9.204545454545451,168.0,408.0,22
Benji Gosnell,TE,Virginia Tech,2026,250,7,1.6,25.61,5.9,20.8,2026_prospect,28.9,0.0,40.0,,13.878713878713878,86.0,319.0,22
Tanner Arkin,TE,Illinois,2026,250,7,1.6,24.29,5.9,17.5,2026_prospect,19.9,0.1,40.0,,4.948805460750854,114.0,372.0,22
Amari Niblack,TE,Texas A&M,2026,250,7,1.6,25.11,5.9,19.6,2026_prospect,25.6,0.0,40.0,,10.579100614687803,69.0,408.0,22
Jack Pedersen,TE,UCLA,2026,250,7,1.6,24.15,5.9,17.2,2026_prospect,19.2,0.0,40.0,,4.203997243280496,72.0,361.0,22
Luke Hasz,TE,Mississippi,2026,250,7,1.6,25.21,5.9,19.8,2026_prospect,26.2,0.0,40.0,,11.244444444444444,28.0,523.0,22
Holden Staes,TE,Indiana,2026,250,7,1.6,24.35,5.9,17.7,2026_prospect,20.5,0.0,40.0,,5.472636815920398,62.0,406.0,22
Max Bredeson,TE,Michigan,2026,250,7,1.0,23.9,5.9,16.6,2026_prospect,17.5,0.0,40.0,,2.530003243593902,11.0,340.0,51
Davin Stoffel,TE,Illinois,2026,250,7,1.0,23.64,5.9,15.9,2026_prospect,15.8,0.0,40.0,,0.787143325680551,24.0,372.0,51
Joey Schlaffer,TE,Penn State,2026,250,7,1.0,23.64,5.9,15.9,2026_prospect,15.8,0.0,40.0,,0.780608052588332,19.0,339.0,51
Shamar Easter,TE,North Carolina,2026,250,7,1.0,23.65,5.9,15.9,2026_prospect,15.9,0.0,40.0,,0.8608971454463071,17.0,355.0,51
