player_name,position,school,draft_year,pick,round,dc_score,production_score,production_score_raw,production_metric,ras_score,slap_score,delta_vs_dc,production_status,ras_status,breakout_age,nfl_best_ppr,nfl_hit24,nfl_hit12,data_type
Mario Alford,WR,West Virginia,2015,238,7,31.00152182589578,88.20058997050147,96.30975491385587,breakout_age,54.0,45.89110718093255,14.889585355036772,observed,observed,19.0,2.5,0.0,0.0,backtest
Kaelin Clay,WR,Utah,2015,184,6,41.53070215783976,77.28613569321534,90.08754863813229,breakout_age,21.8,45.72218354123892,4.191481383399157,observed,observed,19.0,6.0,0.0,0.0,backtest
Keith Mumphery,WR,Michigan St.,2015,175,5,43.39418247364378,47.49262536873156,75.0,breakout_age,43.6,44.24474368161477,0.8505612079709906,observed,observed,20.0,0.0,0.0,0.0,backtest
Dezmin Lewis,WR,Central Arkansas,2015,234,7,31.7479002688044,70.50147492625368,90.0,breakout_age,47.699999999999996,41.891430159973595,10.143529891169194,observed,observed,19.0,0.0,0.0,0.0,backtest
Tre McBride,WR,William & Mary,2015,245,7,29.706728556907052,1.1799410029498525,25.0,breakout_age,95.60000000000001,33.88536176257956,4.178633205672504,observed,observed,,9.6,0.0,0.0,backtest
Corey Coleman,WR,Baylor,2016,15,1,89.53565074279604,45.42772861356932,69.9,breakout_age,96.6,81.77371870553128,-7.7619320372647564,observed,observed,21.0,93.3,0.0,0.0,backtest
Josh Doctson,WR,TCU,2016,22,1,86.0877712199221,21.533923303834808,51.31883539676323,breakout_age,94.1,74.37883595371632,-11.708935266205785,observed,observed,22.0,119.8,0.0,0.0,backtest
Laquon Treadwell,WR,Mississippi,2016,23,1,85.63195232697663,58.4070796460177,79.48205667005942,breakout_age,33.3,72.33718494173836,-13.294767385238274,observed,observed,20.0,82.4,0.0,0.0,backtest
Will Fuller,WR,Notre Dame,2016,21,1,86.55153502322084,25.368731563421832,60.0,breakout_age,71.7,72.08724407777791,-14.464290945442926,observed,observed,21.0,188.9,0.0,1.0,backtest
Michael Thomas,WR,Ohio St.,2016,47,2,76.2836840704932,23.893805309734514,54.79526208596849,breakout_age,91.1,68.02815570776748,-8.255528362725713,observed,observed,22.0,388.6,0.0,1.0,backtest
Sterling Shepard,WR,Oklahoma,2016,40,2,78.76865523265029,20.64896755162242,50.2747851906351,breakout_age,76.2,66.75941941154717,-12.009235821103118,observed,observed,22.0,141.8,0.0,1.0,backtest
Tyler Boyd,WR,Pittsburgh,2016,55,2,73.61036829159038,62.53687315634219,81.48506860371268,breakout_age,42.699999999999996,66.75911402080219,-6.851254270788189,observed,observed,20.0,221.1,0.0,1.0,backtest
Leonte Carroo,WR,Rutgers,2016,86,3,64.41603636571921,45.42772861356932,69.9,breakout_age,69.6,61.39596936043135,-3.0200670052878564,observed,observed,21.0,18.8,0.0,0.0,backtest
Ricardo Louis,WR,Auburn,2016,114,4,57.16316107479519,39.233038348082594,65.97136772361571,breakout_age,92.30000000000001,58.847662368233394,1.6845012934382027,observed,observed,21.0,38.5,0.0,0.0,backtest
Braxton Miller,WR,Ohio St.,2016,85,3,64.69048249230454,9.734513274336283,45.0,breakout_age,85.9,56.88071627486521,-7.809766217439332,observed,observed,22.0,41.3,0.0,0.0,backtest
Tajae Sharpe,WR,Massachusetts,2016,140,5,51.018045072501344,64.60176991150442,82.61596548004314,breakout_age,53.0,54.03208327942676,3.014038206925413,observed,observed,20.0,105.3,0.0,0.0,backtest
Pharoh Cooper,WR,South Carolina,2016,117,4,56.42873272246869,67.84660766961652,84.9,breakout_age,20.6,53.337997803527955,-3.0907349189407327,observed,observed,20.0,55.5,0.0,0.0,backtest
Chris Moore,WR,Cincinnati,2016,107,4,58.906016650653214,13.274336283185843,45.682911910148796,breakout_age,79.6,52.88377807956176,-6.0222385710914565,observed,observed,22.0,115.1,0.0,0.0,backtest
Malcolm Mitchell,WR,Georgia,2016,112,4,57.65686444404836,8.55457227138643,37.91651822823893,breakout_age,80.8,51.30787634290872,-6.348988101139639,observed,observed,23.0,110.6,0.0,0.0,backtest
Demarcus Robinson,WR,Florida,2016,126,4,54.26721625603232,25.368731563421832,60.0,breakout_age,58.6,49.13743687910537,-5.1297793769269475,observed,observed,21.0,94.8,0.0,0.0,backtest
Tyreek Hill,WR,West Alabama,2016,165,5,45.50798876586117,25.368731563421832,60.0,breakout_age,93.9,48.73893901049413,3.2309502446329574,observed,observed,21.0,393.6,0.0,1.0,backtest
Trevor Davis,WR,California,2016,163,5,45.936531045873316,9.734513274336283,45.0,breakout_age,91.4,45.51564783468491,-0.42088321118840355,observed,observed,22.0,30.4,0.0,0.0,backtest
Jordan Payton,WR,UCLA,2016,154,5,47.89026274987726,19.469026548672566,49.18855871375251,breakout_age,68.4,45.28247609715473,-2.607786652722531,observed,observed,22.0,1.3,0.0,0.0,backtest
Moritz Boehringer,WR,,2016,180,6,42.354537423956494,9.734513274336283,45.0,breakout_age,99.80000000000001,44.44735198043898,2.0928145564824874,observed,observed,22.0,0.0,0.0,0.0,backtest
Mike Thomas,WR,Southern Miss,2016,206,6,37.115674968761425,40.117994100294986,66.28357885615252,breakout_age,76.6,43.63878754975393,6.523112580992503,observed,observed,21.0,14.3,0.0,0.0,backtest
Kolby Listenbee,WR,TCU,2016,192,6,39.903167965411214,25.368731563421832,60.0,breakout_age,79.1,42.87580549020166,2.972637524790443,observed,observed,21.0,0.0,0.0,0.0,backtest
Cody Core,WR,Mississippi,2016,199,6,38.500104329470645,25.368731563421832,60.0,breakout_age,73.8,41.16881412684029,2.668709797369644,observed,observed,21.0,37.0,0.0,0.0,backtest
Jakeem Grant,WR,Texas Tech,2016,186,6,41.12133897642805,16.519174041297934,47.69246013597976,breakout_age,63.9,39.61770514293782,-1.5036338334902268,observed,observed,22.0,72.3,0.0,0.0,backtest
