pick,dc_expected_ppg,dc_hit_probability,dc_percentile,dc_current_sqrt
1,100.0,77.91353383458646,100.0,100.0
2,100.0,76.9736842105263,99.61685823754789,68.78202519421318
3,100.0,76.03383458646616,99.23371647509579,54.95194903602582
4,100.0,75.09398496240601,98.85057471264368,46.707583514130526
5,100.0,74.15413533834587,98.46743295019157,41.0813534073149
6,100.0,73.21428571428571,98.08429118773945,36.92824287834986
7,100.0,72.27443609022556,97.70114942528735,33.70044725320088
8,100.0,71.33458646616542,97.31800766283524,31.098596111237125
9,100.0,70.39473684210526,96.93486590038314,28.94344468550737
10,100.0,69.45488721804512,96.55172413793103,27.120250650191874
11,100.0,68.51503759398496,96.16858237547893,25.55170332916642
12,97.81696011738029,67.57518796992481,95.78544061302682,24.183558032143445
13,94.95414832599707,66.63533834586465,95.40229885057471,22.97648091028949
14,92.09133653461386,65.69548872180452,95.01915708812261,21.90116185731633
15,89.22852474323064,64.75563909774436,94.6360153256705,20.935252565450668
16,87.61202033260858,63.81118881118881,94.25287356321839,20.061375271195793
17,87.24182330274768,62.86213786213787,93.86973180076629,19.265786112454915
18,86.87162627288679,61.913086913086914,93.48659003831418,18.53745308357843
19,86.5014292430259,60.964035964035965,93.10344827586206,17.867404703943794
20,86.13123221316499,60.014985014985015,92.72030651340997,17.248260217787976
21,85.7610351833041,59.065934065934066,92.33716475095785,16.673884410509565
22,85.3908381534432,58.11688311688312,91.95402298850574,16.13912977047889
23,85.02064112358231,57.16783216783217,91.57088122605363,15.639641022734388
24,84.65044409372142,56.218781218781224,91.18773946360153,15.17170495330546
25,84.28024706386053,55.26973026973027,90.80459770114942,14.732133622608847
26,83.91005003399962,54.32067932067932,90.42145593869732,14.318172535027388
27,83.48660579616462,53.551282051282044,90.03831417624522,13.927427697515984
28,83.00991435035554,52.96153846153846,89.65517241379311,13.557807140730965
29,82.53322290454645,52.371794871794876,89.272030651341,13.207473631492705
30,82.05653145873735,51.78205128205128,88.88888888888889,12.874806130441657
31,81.57984001292826,51.19230769230769,88.50574712643679,12.558368145623586
32,81.10314856711916,50.602564102564095,88.12260536398468,12.256881569749089
33,80.62645712131007,50.01282051282051,87.73946360153256,11.969204912410948
34,80.14976567550097,49.42307692307693,87.35632183908046,11.69431508056491
35,79.67307422969189,48.833333333333336,86.97318007662835,11.431292043379743
36,79.1963827838828,48.243589743589745,86.59003831417624,11.179305856884213
37,78.71969133807369,47.65384615384615,86.20689655172413,10.937605630925594
38,78.2429998922646,47.06410256410256,85.82375478927203,10.705510103921503
39,77.76630844645551,46.47435897435898,85.44061302681992,10.482399555649192
40,77.28961700064642,45.88461538461539,85.0574712643678,10.267708839226463
41,76.81292555483734,45.294871794871796,84.67432950191571,10.060921353726263
42,76.30728118880931,44.68308253533972,84.2911877394636,9.861563810950402
43,75.77268390256239,44.04924760601915,83.9080459770115,9.669201675590708
44,75.23808661631548,43.41541267669859,83.5249042145594,9.483435178713737
45,74.70348933006855,42.781577747378016,83.14176245210729,9.303895821279003
46,74.16889204382163,42.14774281805745,82.75862068965517,9.130243298057223
47,73.63429475757471,41.51390788873689,82.37547892720306,8.96216278348827
48,73.0996974713278,40.880072959416324,81.99233716475096,8.79936253020225
49,72.56510018508087,40.24623803009576,81.60919540229885,8.641571738509475
50,72.03050289883394,39.6124031007752,81.22605363984674,8.48853866145148
51,71.49590561258702,38.97856817145463,80.84291187739464,8.340028915238856
52,70.9613083263401,38.34473324213407,80.45977011494253,8.195823969275272
53,70.42671104009318,37.7108983128135,80.07662835249042,8.055719793635943
54,69.89211375384626,37.077063383492934,79.6934865900383,7.919525644957323
55,69.35751646759934,36.44322845417236,79.3103448275862,7.787062974303861
56,68.82291918135243,35.8093935248518,78.9272030651341,7.658164442788691
57,68.28832189510551,35.175558595531236,78.544061302682,7.532673032605194
58,67.75372460885859,34.54172366621067,78.16091954022988,7.410441242729437
59,67.21912732261167,33.9078887368901,77.77777777777779,7.291330359924757
60,66.68453003636475,33.27405380756954,77.39463601532567,7.175209796855861
61,66.14993275011783,32.64021887824897,77.01149425287356,7.061956490131367
62,65.6153354638709,32.00638394892841,76.62835249042146,6.951454351965994
63,65.08073817762397,31.372549019607842,76.24521072796935,6.843593769907661
64,64.52786159169548,30.917647058823526,75.86206896551724,6.738271149728424
65,63.974985005767,30.462745098039218,75.47892720306514,6.63538849714581
66,63.422108419838516,30.007843137254902,75.09578544061303,6.534853034535547
67,62.86923183391002,29.552941176470586,74.71264367816092,6.436576849228002
68,62.31635524798155,29.09803921568627,74.32950191570882,6.340476570357984
69,61.76347866205305,28.643137254901962,73.9463601532567,6.246473071568069
70,61.210602076124566,28.188235294117646,73.5632183908046,6.154491197156071
71,60.65772549019607,27.73333333333333,73.18007662835248,6.06445950951258
72,60.10484890426759,27.278431372549015,72.79693486590038,5.976310055919743
73,59.5519723183391,26.823529411764707,72.41379310344827,5.889978152981344
74,58.99909573241061,26.36862745098039,72.03065134099617,5.805402187130083
75,58.44621914648213,25.913725490196075,71.64750957854406,5.722523429814011
76,57.89334256055364,25.458823529411767,71.26436781609196,5.641285866102425
77,57.34046597462515,25.00392156862745,70.88122605363985,5.561636035574651
