rank,player_name,school,projected_pick,age,slap_score,dc_score,production_score,ras_score,delta_vs_dc,production_status,ras_status,rec_yards,receptions,team_pass_att,best_season_year,best_season_team
37,Seth McGowan,Kentucky,250,23,29.495687278065766,28.79046960395864,16.98788114700921,66.5,0.705217674107125,observed,imputed,126.0,19.0,367.0,2025.0,Kentucky
38,Trevion Cooley,Georgia Tech,250,MISSING,29.4132831312,28.79046960395864,16.16383967835155,66.5,0.6228135272413589,observed,imputed,112.0,11.0,379.0,2023.0,Georgia Tech
39,Dominic Richardson,Tulsa,250,23,29.35549737037381,28.79046960395864,15.585982070089651,66.5,0.5650277664151702,observed,imputed,130.0,20.0,409.0,2025.0,Tulsa
40,Rahsul Faison,South Carolina,250,25,29.294108854258745,28.79046960395864,14.972096908939015,66.5,0.5036392503001039,observed,imputed,118.0,19.0,342.0,2025.0,South Carolina
41,Alton McCaskill IV,Houston,250,22,29.111682854619126,28.79046960395864,13.147836912542795,66.5,0.32121325066048456,observed,imputed,113.0,21.0,459.0,2021.0,Houston
42,Savion Red,Nevada,250,21,28.966266844863675,28.79046960395864,11.69367681498829,66.5,0.1757972409050339,observed,imputed,74.0,16.0,366.0,2024.0,Nevada
43,Max Bredeson,Michigan,250,22,28.895380501846184,28.79046960395864,10.984813384813384,66.5,0.10491089788754238,observed,imputed,78.0,5.0,370.0,2022.0,Michigan
44,E.J. Smith,Texas A&M,250,23,28.612485497621538,28.79046960395864,8.155863342566942,66.5,-0.17798410633710304,observed,imputed,66.0,8.0,361.0,2024.0,Texas A&M
45,Jalen Berger,UCLA,250,24,28.554899427182285,28.79046960395864,7.580002638174384,66.5,-0.23557017677635628,observed,imputed,70.0,10.0,361.0,2025.0,UCLA
46,Jaylon Glover,UNLV,250,21,28.415412191217495,28.79046960395864,6.185130278526505,66.5,-0.3750574127411461,observed,imputed,51.0,6.0,424.0,2025.0,UNLV
47,Roydell Williams,Florida State,250,23,28.31946925055465,28.79046960395864,5.225700871898054,66.5,-0.4710003534039906,observed,imputed,46.0,5.0,355.0,2024.0,Florida State
48,Kedrick Reescano,Arizona,250,MISSING,28.2640234959354,28.79046960395864,4.671243325705568,66.5,-0.5264461080232401,observed,imputed,47.0,8.0,437.0,2024.0,Arizona
49,Andrew Paul,Jacksonville State,250,21,28.201074540832906,28.79046960395864,4.041753774680604,66.5,-0.5893950631257354,observed,imputed,29.0,2.0,328.0,2025.0,Jacksonville State
50,Logan Diggs,Ole Miss,250,23,28.195639034074123,28.79046960395864,3.9873987070927797,66.5,-0.5948305698845182,observed,imputed,56.0,7.0,523.0,2025.0,Ole Miss
51,Djay Braswell,Georgia State,250,MISSING,28.12584044861681,28.79046960395864,3.2894128525196487,66.5,-0.6646291553418315,observed,imputed,35.0,3.0,412.0,2023.0,South Carolina
52,Kaelon Black,Indiana,250,23,28.094361044669093,28.79046960395864,2.9746188130424587,66.5,-0.6961085592895486,observed,imputed,36.0,4.0,406.0,2025.0,Indiana
53,Terion Stewart,Virginia Tech,250,23,28.02377449776827,28.79046960395864,2.2687533440342427,66.5,-0.7666951061903724,observed,imputed,27.0,1.0,356.0,2023.0,Bowling Green
54,Branson Robinson,Georgia State,250,21,27.91792973980595,28.79046960395864,1.2103057644110278,66.5,-0.8725398641526922,observed,imputed,22.0,5.0,475.0,2025.0,Georgia State
