player_name,pick,breakout_age,RAS,dc_norm,breakout_norm,slap_score,delta,athletic_status
Carnell Tate,4,,,125.80833511892007,25.961761297798382,114.43708485108206,-11.371250267838008,elite_optout_full
Jordyn Tyson,7,,,101.29402045128572,25.961761297798382,93.59991738359285,-7.694103067692865,elite_optout_full
Makai Lemon,16,,,75.58870794943218,25.961761297798382,71.75040175701734,-3.8383061924148336,elite_optout_full
Denzel Boston,24,,,66.3732346592963,25.961761297798382,63.917249460401855,-2.455985198894446,elite_optout_full
Kevin Concepcion,27,,,64.0281677998196,25.961761297798382,61.92394262984666,-2.104225169972942,elite_optout_full
Chris Bell,43,,,56.002766163877624,25.961761297798382,44.58799953616825,-11.414766627709376,imputed_avg
Elijah Sarratt,44,,,55.65265540407686,25.961761297798382,44.41294415626786,-11.239711247808998,imputed_avg
Zachariah Branch,47,,,54.670222740363435,25.961761297798382,43.92172782441115,-10.748494915952286,imputed_avg
Germie Bernard,52,,,53.225917825217074,25.961761297798382,43.19957536683797,-10.026342458379105,imputed_avg
Chris Brazzell,53,,,52.96186601711934,25.961761297798382,43.0675494627891,-9.894316554330238,imputed_avg
Ja'Kobi Lane,65,,,50.28499328849002,25.961761297798382,41.72911309847444,-8.555880190015579,imputed_avg
Omar Cooper Jr.,76,,,48.41142602353242,25.961761297798382,40.79232946599564,-7.619096557536778,imputed_avg
Antonio Williams,85,,,47.15741420666276,25.961761297798382,40.16532355756081,-6.9920906491019466,imputed_avg
Skyler Bell,88,,,46.78280175523728,25.961761297798382,39.97801733184807,-6.804784423389208,imputed_avg
Malachi Fields,89,,,46.66216011369107,25.961761297798382,39.91769651107497,-6.744463602616101,imputed_avg
C.J. Daniels,112,,,44.35031569777965,25.961761297798382,38.76177430311926,-5.588541394660389,imputed_avg
Brenen Thompson,113,,,44.26614129225675,25.961761297798382,38.71968710035781,-5.546454191898938,imputed_avg
Deion Burks,121,,,43.6307633870308,25.961761297798382,38.401998147744834,-5.228765239285963,imputed_avg
Ted Hurst,132,,,42.85331074121135,25.961761297798382,38.01327182483511,-4.840038916376244,imputed_avg
Bryce Lance,150,,,41.77074233168509,25.961761297798382,37.47198762007198,-4.298754711613114,imputed_avg
Kevin Coleman Jr.,162,,,41.1515869667021,25.961761297798382,37.162409937580485,-3.9891770291216133,imputed_avg
Eric McAlister,171,,,40.73064427566971,25.961761297798382,36.95193859206429,-3.7787056836054234,imputed_avg
Eric Rivers,178,,,40.42556156917978,25.961761297798382,36.799397238819324,-3.626164330360453,imputed_avg
Lewis Bond,185,,,40.13796246438707,25.961761297798382,36.65559768642297,-3.4823647779641007,imputed_avg
De'Zhaun Stribling,186,,,40.09820766365103,25.961761297798382,36.63572028605495,-3.4624873775960836,imputed_avg
Keelan Marion,193,,,39.82863223327408,25.961761297798382,36.500932570866475,-3.3276996624076034,imputed_avg
Josh Cameron,194,,,39.79131719957424,25.961761297798382,36.482275054016554,-3.309042145557683,imputed_avg
Noah Thomas,196,,,39.717545685512256,25.961761297798382,36.44538929698556,-3.272156388526696,imputed_avg
Aaron Anderson,199,,,39.60898070913466,25.961761297798382,36.39110680879676,-3.2178739003378993,imputed_avg
Dane Key,202,,,39.502843329433226,25.961761297798382,36.338038118946045,-3.164805210487181,imputed_avg
Jordan Hudson,211,,,39.19812762792307,25.961761297798382,36.18568026819097,-3.0124473597321,imputed_avg
Caleb Douglas,212,,,39.165473398531816,25.961761297798382,36.169353153495344,-2.9961202450364723,imputed_avg
Reggie Virgil,216,,,39.03713207306163,25.961761297798382,36.10518249076025,-2.931949582301378,imputed_avg
Vinny Anthony II,224,,,38.790840705640555,25.961761297798382,35.98203680704971,-2.8088038985908454,imputed_avg
Caullin Lacy,231,,,38.585916306509176,25.961761297798382,35.879574607484024,-2.7063416990251525,imputed_avg
