player_name,draft_year,pick,round,college,dc_score,breakout_age,breakout_score,RAS,ras_score,athletic_status,slap_score,slap_percentile,delta,hit24_prob,hit12_prob,best_ppg,career_ppg,hit24,hit12,top24_seasons,hit24_display,hit12_display
Laquon Treadwell,2016,23,1,Mississippi,33.4,20.0,75,3.33,33.3,observed,47.9,65.0,6.2,15.8,9.5,4.8,2.0,0,0,0,0,0
Sterling Shepard,2016,40,2,Oklahoma,21.9,18.0,100,7.62,76.2,observed,57.4,87.0,21.4,29.8,14.9,11.5,6.7,0,0,0,0,0
Michael Thomas,2016,47,2,Ohio St.,19.1,18.0,100,9.11,91.1,observed,58.2,90.0,23.6,31.2,15.4,22.9,13.1,1,1,4,1,1
Tyler Boyd,2016,55,2,Pittsburgh,16.6,18.0,100,4.27,42.7,observed,49.7,68.0,16.4,17.9,10.4,13.1,9.4,1,0,2,1,0
Braxton Miller,2016,85,3,Ohio St.,10.6,18.0,100,8.59,85.9,observed,53.2,84.0,22.9,22.8,12.3,2.4,2.1,0,0,0,0,0
Leonte Carroo,2016,86,3,Rutgers,10.4,20.0,75,6.96,69.6,observed,41.9,32.0,11.7,10.0,7.1,1.1,0.9,0,0,0,0,0
Chris Moore,2016,107,4,Cincinnati,7.9,18.0,100,7.96,79.6,observed,50.9,79.0,21.9,19.5,11.0,6.8,3.1,0,0,0,0,0
Malcolm Mitchell,2016,112,4,Georgia,7.4,18.0,100,8.08,80.8,observed,50.8,74.0,22.1,19.4,11.0,6.5,6.5,0,0,0,0,0
Ricardo Louis,2016,114,4,Auburn,7.2,20.0,75,9.23,92.3,observed,43.7,42.0,15.1,11.5,7.8,3.7,3.0,0,0,0,0,0
Pharoh Cooper,2016,117,4,South Carolina,6.9,18.0,100,2.06,20.6,observed,41.5,28.999999999999996,13.1,9.7,7.0,3.3,1.0,0,0,0,0,0
Demarcus Robinson,2016,126,4,Florida,6.1,18.0,100,5.86,58.6,observed,46.8,48.0,18.8,14.5,9.0,8.1,5.8,0,0,0,0,0
Tajae Sharpe,2016,140,5,Massachusetts,5.1,19.0,90,5.3,53.0,observed,42.0,37.0,14.4,10.1,7.2,6.2,3.6,0,0,0,0,0
Jordan Payton,2016,154,5,UCLA,4.2,18.0,100,6.84,68.4,observed,47.4,57.99999999999999,20.3,15.2,9.3,0.1,0.1,0,0,0,0,0
Trevor Davis,2016,163,5,California,3.7,18.0,100,9.14,91.4,observed,50.6,71.0,23.8,19.1,10.9,1.8,1.1,0,0,0,0,0
Tyreek Hill,2016,165,5,West Alabama,3.6,18.0,100,9.39,93.9,observed,50.9,79.0,24.1,19.5,11.0,23.2,18.3,1,1,7,1,1
Rashard Higgins,2016,172,5,Colorado St.,3.2,20.0,75,1.65,16.5,observed,30.3,16.0,3.7,4.0,4.0,8.2,4.1,0,0,0,0,0
Moritz Boehringer,2016,180,6,,2.8,,25,9.98,99.8,observed,25.1,3.0,-1.3,2.6,3.0,0.0,,0,0,0,0,0
Jakeem Grant,2016,186,6,Texas Tech,2.5,18.0,100,6.39,63.9,observed,45.8,45.0,19.6,13.5,8.6,4.8,2.6,0,0,0,0,0
Kolby Listenbee,2016,192,6,TCU,2.3,22.0,45,7.91,79.1,observed,28.8,10.0,2.6,3.5,3.7,0.0,,0,0,0,0,0
Cody Core,2016,199,6,Mississippi,2.0,18.0,100,7.38,73.8,observed,47.1,52.0,21.1,14.9,9.2,2.2,1.1,0,0,0,0,0
Mike Thomas,2016,206,6,Southern Miss,1.7,18.0,100,7.66,76.6,observed,47.3,55.00000000000001,21.5,15.1,9.3,1.8,2.9,0,0,0,0,0
Aaron Burbridge,2016,213,6,Michigan St.,1.4,19.0,90,2.78,27.8,observed,36.4,23.0,10.7,6.5,5.4,0.9,0.9,0,0,0,0,0
Devin Lucien,2016,225,7,Arizona St.,1.0,19.0,90,6.68,66.8,observed,42.0,37.0,16.5,10.1,7.2,0.0,,0,0,0,0,0
Demarcus Ayers,2016,229,7,Houston,0.9,20.0,75,0.89,8.9,observed,28.0,6.0,2.6,3.3,3.5,0.0,,0,0,0,0,0
Daniel Braverman,2016,230,7,Western Michigan,0.8,19.0,90,2.56,25.6,observed,35.7,19.0,10.3,6.1,5.2,0.0,0.0,0,0,0,0,0
Devin Fuller,2016,238,7,UCLA,0.6,18.0,100,8.34,83.4,observed,47.8,61.0,22.5,15.7,9.5,0.0,,0,0,0,0,0
Charone Peake,2016,241,7,Clemson,0.5,19.0,90,5.76,57.6,observed,40.4,26.0,15.2,8.9,6.6,2.2,0.9,0,0,0,0,0
Kenny Lawler,2016,243,7,California,0.4,20.0,75,2.09,20.9,observed,29.6,13.0,4.4,3.7,3.8,0.0,,0,0,0,0,0
